# c0 + a0 * (exp(Al) * (WE * AAV))
# Property Label: $E_{T}$; Unit of the Property: Unitless
# RMSE: 0.778115098562924; Max AE: 2.49260954668694
# Coefficients
# Task   a0                      c0
# all , -5.434195719624140e-02,  1.053910714903233e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|exp|5|1|mult|mult; (exp(Al) * (WE * AAV)); $\left(\left(\exp{ Al }\right) \left(WE AAV\right)\right)$; (exp(Al) .* (WE .* AAV)); (exp(newdata$Al) * (newdata$WE * newdata$AAV)); Al,WE,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  9.627351630837904e+00,  7.572082317529219e+00,  5.459915293055238e+01
s2          ,  7.942391979192743e+00,  8.111514985662716e+00,  4.467251988372487e+01
s3          ,  7.190586636137100e+00,  7.845009168001826e+00,  4.957675652537682e+01
s4          ,  7.801448301236565e+00,  8.204997078999572e+00,  4.295226359999788e+01
s5          ,  8.469161610331188e+00,  8.810158054066887e+00,  3.181609909120149e+01
s6          ,  7.909389765119206e+00,  6.842619777088818e+00,  6.802271325257284e+01
s7          ,  8.069240521374599e+00,  8.907551025501313e+00,  3.002387487883616e+01
s8          ,  6.514380492886220e+00,  6.852027555572623e+00,  6.784959143346296e+01
s9          ,  7.069246192646957e+00,  8.380438118812277e+00,  3.972379983342526e+01
s10         ,  7.182828748758404e+00,  8.399849178090758e+00,  3.936659776931150e+01
s11         ,  8.281712320055306e+00,  8.023363906639888e+00,  4.629467491035545e+01
s12         ,  8.667136914414131e+00,  7.820333437049044e+00,  5.003083901018083e+01
s13         ,  7.633522070371748e+00,  7.707799441284005e+00,  5.210168815826456e+01
s14         ,  7.349146862996486e+00,  7.883805363227770e+00,  4.886282943795445e+01
s15         ,  8.730252119237013e+00,  8.007438796094799e+00,  4.658772859054549e+01
s16         ,  7.663568812540761e+00,  8.576386481696824e+00,  3.611796057046070e+01
s17         ,  7.397981103859396e+00,  8.456857720182999e+00,  3.831752730822429e+01
s18         ,  7.634343129458566e+00,  7.651818758917477e+00,  5.313184395784991e+01
s19         ,  7.908238494205531e+00,  7.469452326931647e+00,  5.648774870245202e+01
s20         ,  7.576517696383075e+00,  7.932249088361342e+00,  4.797136862879312e+01
s21         ,  8.532705101163961e+00,  8.249427222956879e+00,  4.213466066021310e+01
s22         ,  8.329116670513413e+00,  8.960253477386756e+00,  2.905404503455721e+01
s23         ,  7.493041833870397e+00,  7.796695268464723e+00,  5.046582828557548e+01
s24         ,  1.059219924457796e+01,  8.726086369868685e+00,  3.336318514654177e+01
s25         ,  8.578651914394655e+00,  7.397592346981693e+00,  5.781011513269394e+01
s26         ,  8.144438025614420e+00,  7.934570607517291e+00,  4.792864806303275e+01
s27         ,  8.510120168948882e+00,  8.564496932556718e+00,  3.633675190138703e+01
s28         ,  7.189133078527061e+00,  7.529071256120547e+00,  5.539064193146100e+01
s29         ,  8.503410813013494e+00,  8.904369762014099e+00,  3.008241644876389e+01
s30         ,  8.142667393573289e+00,  8.595919555837190e+00,  3.575851319042197e+01
s31         ,  6.927212409606008e+00,  8.067220394850043e+00,  4.548762837627902e+01
s32         ,  8.836093594042303e+00,  8.434766582695747e+00,  3.872404813719400e+01
s33         ,  7.781799073840278e+00,  7.661650077113118e+00,  5.295092816638996e+01
s34         ,  8.752473919455131e+00,  8.575724750260505e+00,  3.613013774387257e+01
s35         ,  7.714609048750617e+00,  8.361255436026269e+00,  4.007679931625096e+01
s36         ,  6.256414997963060e+00,  6.207390453809499e+00,  7.971219511987769e+01
s37         ,  8.317250646523553e+00,  8.937563631732495e+00,  2.947158328354453e+01
s38         ,  7.621094284411799e+00,  7.534905770272297e+00,  5.528327527680261e+01
s39         ,  7.863121891718822e+00,  8.111604850813588e+00,  4.467086618637002e+01
s40         ,  8.588951308381437e+00,  8.380156116095995e+00,  3.972898924379678e+01
s41         ,  8.466791260314862e+00,  7.842195731971223e+00,  4.962852933916126e+01
s42         ,  6.965545209929878e+00,  7.294372939759159e+00,  5.970955734177348e+01
s43         ,  5.742710398507013e+00,  7.280125299988157e+00,  5.997174222627351e+01
s44         ,  7.657337843103465e+00,  8.545055018880570e+00,  3.669452174773134e+01
s45         ,  6.929642414952987e+00,  6.137334137538696e+00,  8.100137055420761e+01
s46         ,  7.407981644678499e+00,  7.085375795938048e+00,  6.355552010432864e+01
s47         ,  7.477916419891637e+00,  8.095028925555528e+00,  4.497589615056878e+01
s48         ,  8.065752072747419e+00,  7.792481267431093e+00,  5.054337427859910e+01
s49         ,  1.014689217922620e+01,  8.799884432604006e+00,  3.200515414171763e+01
s50         ,  7.545430289743591e+00,  7.236689688837414e+00,  6.077104378609563e+01
s51         ,  7.570978629679006e+00,  7.683387914619523e+00,  5.255090875914071e+01
s52         ,  7.795687486574141e+00,  7.999635916902585e+00,  4.673131707345633e+01
s53         ,  9.562441706215767e+00,  8.570815547258157e+00,  3.622047683461641e+01
s54         ,  8.280447950103838e+00,  8.226590746655342e+00,  4.255489720449266e+01
s55         ,  7.825727923778901e+00,  8.593650318247809e+00,  3.580027167146429e+01
s56         ,  7.118939478946283e+00,  7.801226088974992e+00,  5.038245218460241e+01
s57         ,  7.871849863936480e+00,  7.630059553878227e+00,  5.353225657016479e+01
s58         ,  6.730625541378074e+00,  6.208228565971474e+00,  7.969677219061239e+01
s59         ,  7.346597587321452e+00,  7.872903331324625e+00,  4.906344848934000e+01
s60         ,  9.160102121533143e+00,  8.995993573197346e+00,  2.839635624941605e+01
s61         ,  9.473309271873642e+00,  8.481038887577689e+00,  3.787254577567907e+01
s62         ,  6.148514364065349e+00,  6.990437946975332e+00,  6.530256518442897e+01
s63         ,  9.742882945859217e+00,  8.973781015922198e+00,  2.880511144376677e+01
s64         ,  7.769754107745993e+00,  8.059998364675657e+00,  4.562052808300668e+01
s65         ,  8.911180765969100e+00,  8.665206909954025e+00,  3.448348818779606e+01
s66         ,  7.119243990330276e+00,  7.409562504590655e+00,  5.758984044575664e+01
s67         ,  9.128092259359644e+00,  8.454781405180208e+00,  3.835573563030024e+01
s68         ,  8.853260947322894e+00,  7.773498961722730e+00,  5.089268642500955e+01
s69         ,  7.753079548340686e+00,  7.995412919999051e+00,  4.680902860836267e+01
s70         ,  7.493232802610160e+00,  7.517846326743411e+00,  5.559720293802540e+01
s71         ,  8.175332159116204e+00,  8.420285852050082e+00,  3.899052235698281e+01
s72         ,  8.442204221154190e+00,  8.922935770676856e+00,  2.974076499525236e+01
s73         ,  7.424144002640064e+00,  8.364322458387321e+00,  4.002036001006299e+01
s74         ,  8.574295382843832e+00,  8.235850178188223e+00,  4.238450526407279e+01
s75         ,  8.365063336741047e+00,  7.783916451941378e+00,  5.070098390349327e+01
s76         ,  1.006391557310598e+01,  7.817602241059307e+00,  5.008109844378705e+01
s77         ,  7.611996221847688e+00,  7.163446978513875e+00,  6.211885520295429e+01
s78         ,  7.070887086618086e+00,  8.845497531689333e+00,  3.116578247682513e+01
s79         ,  6.661643882147870e+00,  7.881432183937981e+00,  4.890650065283577e+01
s80         ,  8.617523239859635e+00,  8.106633921696542e+00,  4.476234116028558e+01
s81         ,  6.646048985579415e+00,  7.253149101306442e+00,  6.046815788874767e+01
s82         ,  8.281343998915766e+00,  8.914592043956430e+00,  2.989430614744706e+01
s83         ,  6.763183164861317e+00,  8.133290563148829e+00,  4.427180598585259e+01
s84         ,  7.178957498760083e+00,  8.243901807051127e+00,  4.223633929290930e+01
s85         ,  6.812443708937937e+00,  7.483395622969563e+00,  5.623116434742843e+01
s86         ,  6.698713350829386e+00,  6.765469523859490e+00,  6.944243122391350e+01
s87         ,  6.967323671826372e+00,  8.130569273586541e+00,  4.432188312150784e+01
s88         ,  7.753117596667242e+00,  7.658070908995683e+00,  5.301679197222438e+01
s89         ,  7.649105010968406e+00,  7.637752170320868e+00,  5.339069714095871e+01
s90         ,  9.249949326069649e+00,  7.593185384363387e+00,  5.421081456507982e+01
s91         ,  6.408188336154115e+00,  6.958629935526975e+00,  6.588789580352113e+01
s92         ,  8.648605247617484e+00,  8.479550402916750e+00,  3.789993685133659e+01
s93         ,  6.379429753159395e+00,  7.413139103310771e+00,  5.752402392193879e+01
s94         ,  8.168735377448940e+00,  7.665722224779101e+00,  5.287599255722009e+01
s95         ,  5.762343966074309e+00,  7.306545388092600e+00,  5.948556010351643e+01
s96         ,  8.832251009079080e+00,  7.957004657948110e+00,  4.751581695446952e+01
s97         ,  9.864920736579611e+00,  8.993183726612459e+00,  2.844806301026639e+01
s98         ,  8.367716996608189e+00,  7.830198058155091e+00,  4.984931037899032e+01
s99         ,  9.525029255992946e+00,  8.640745177602815e+00,  3.493363267307607e+01
s100        ,  8.304615691286356e+00,  7.444208087376695e+00,  5.695229287526840e+01
s101        ,  8.213920025343791e+00,  8.242463996935374e+00,  4.226279785623565e+01
s102        ,  7.342780294453894e+00,  8.091542465562613e+00,  4.504005394268371e+01
s103        ,  7.620663655973660e+00,  7.626620716838710e+00,  5.359553800530153e+01
s104        ,  7.588412763449981e+00,  8.249437341888223e+00,  4.213447445176816e+01
s105        ,  7.761686981590299e+00,  7.670011010668542e+00,  5.279707037423810e+01
s106        ,  5.765889299917045e+00,  6.467828927666402e+00,  7.491960966116113e+01
s107        ,  9.163218304965826e+00,  8.581902239286650e+00,  3.601645966997035e+01
s108        ,  9.145415223907584e+00,  8.548767983664193e+00,  3.662619581736015e+01
s109        ,  8.907344867310053e+00,  8.059597557682899e+00,  4.562790372815157e+01
s110        ,  7.187712979897188e+00,  7.429979310900215e+00,  5.721413063766435e+01
s111        ,  7.672978409935292e+00,  8.499620409893337e+00,  3.753060884012584e+01
s112        ,  6.603286769071715e+00,  6.955146031727355e+00,  6.595200655659981e+01
s113        ,  8.208139417897124e+00,  7.554431000629666e+00,  5.492397223795805e+01
s114        ,  9.490685045738040e+00,  8.680726674803086e+00,  3.419789367391029e+01
s115        ,  7.464390616571710e+00,  7.752070145905981e+00,  5.128701921908548e+01
s116        ,  7.928727650609704e+00,  8.406120124713574e+00,  3.925119988991285e+01
s117        ,  9.124632999567014e+00,  8.602114084742512e+00,  3.564452154888151e+01
s118        ,  8.021885171121083e+00,  7.383183900040613e+00,  5.807525918867719e+01
s119        ,  8.968830926922529e+00,  8.217886201846536e+00,  4.271507812652627e+01
s120        ,  7.277771579613969e+00,  8.511593870908639e+00,  3.731027336394740e+01
s121        ,  9.490619311909677e+00,  8.662207937032688e+00,  3.453867524906636e+01
s122        ,  8.362283466244515e+00,  8.794424609966452e+00,  3.210562572793300e+01
s123        ,  7.947663967689638e+00,  8.722366306304039e+00,  3.343164170859035e+01
s124        ,  7.500155537108027e+00,  8.016303744954035e+00,  4.642459591523124e+01
s125        ,  7.676721295760406e+00,  8.290771355932080e+00,  4.137384645497757e+01
s126        ,  7.024408552307285e+00,  8.118697001579681e+00,  4.454035651884954e+01
s127        ,  6.799573135407770e+00,  8.271013610325520e+00,  4.173742823645831e+01
s128        ,  7.697800396812369e+00,  7.816201076900869e+00,  5.010688264867643e+01
s129        ,  7.533342927184101e+00,  8.058032618733723e+00,  4.565670171464153e+01
s130        ,  6.124502077904181e+00,  7.501669137150802e+00,  5.589489537361784e+01
s131        ,  6.337033222495729e+00,  7.849051457469821e+00,  4.950237036638372e+01
s132        ,  8.333642239874484e+00,  8.468320135070201e+00,  3.810659609634674e+01
s133        ,  8.579601425612095e+00,  8.136164402430385e+00,  4.421892163221809e+01
s134        ,  6.951515610154178e+00,  7.433522373222102e+00,  5.714893125021695e+01
s135        ,  6.698438838755101e+00,  6.629023175378916e+00,  7.195331518026116e+01
s136        ,  8.281968440787288e+00,  8.396566906950063e+00,  3.942699808078429e+01
s137        ,  5.665057747716694e+00,  7.355074251679323e+00,  5.859253257763115e+01
s138        ,  8.112595100690500e+00,  8.508243554361625e+00,  3.737192584611538e+01
s139        ,  8.715718019493625e+00,  8.593303357977305e+00,  3.580665642991622e+01
s140        ,  8.533707889288090e+00,  8.310491428821134e+00,  4.101095792636163e+01
s141        ,  7.727405448227938e+00,  7.091927593638585e+00,  6.343495400699658e+01
s142        ,  8.389591380956231e+00,  8.342094199555353e+00,  4.042940414426110e+01
s143        ,  6.224884257878246e+00,  6.539726573423740e+00,  7.359655010521436e+01
s144        ,  9.290205280403852e+00,  7.777604478621624e+00,  5.081713675564323e+01
s145        ,  9.792510171143572e+00,  8.752257972828993e+00,  3.288157564422303e+01
s146        ,  6.546579819570549e+00,  6.171846635807796e+00,  8.036627200329477e+01
s147        ,  8.089860798356693e+00,  7.504400341507097e+00,  5.584463578605032e+01
s148        ,  6.908129645938573e+00,  7.169052310182918e+00,  6.201570596140598e+01
s149        ,  6.851404144405834e+00,  6.620535687811525e+00,  7.210950181771959e+01
s150        ,  6.344873152787280e+00,  7.299353713525733e+00,  5.961790120674345e+01
s151        ,  7.969193585505869e+00,  7.896511587843171e+00,  4.862900965539645e+01
s152        ,  8.462080179948535e+00,  8.358594698609682e+00,  4.012576217209691e+01
s153        ,  9.215343905614519e+00,  8.075531047614867e+00,  4.533469585059154e+01
s154        ,  6.679636276886174e+00,  7.649540696440706e+00,  5.317376483435690e+01
s155        ,  9.381766813453464e+00,  8.356081254055415e+00,  4.017201454657782e+01
s156        ,  7.876232974733705e+00,  7.475279650319303e+00,  5.638051437214233e+01
s157        ,  6.539948998671028e+00,  8.113320079633839e+00,  4.463930256759831e+01
s158        ,  6.241825264823305e+00,  7.080315209086114e+00,  6.364864495873274e+01
s159        ,  9.840996596660752e+00,  7.614252062823546e+00,  5.382314581799952e+01
s160        ,  7.842769799352280e+00,  8.004500553345268e+00,  4.664179809597241e+01
s161        ,  7.267264865374984e+00,  7.723554732447944e+00,  5.181175949215039e+01
s162        ,  6.412636071072660e+00,  7.421820325311680e+00,  5.736427218591721e+01
s163        ,  6.832702694222424e+00,  7.151538589146597e+00,  6.233799323149960e+01
s164        ,  8.320800917846281e+00,  8.064890275790319e+00,  4.553050719735848e+01
s165        ,  8.505863207497077e+00,  8.694822797073165e+00,  3.393849701252076e+01
s166        ,  7.956207279171495e+00,  8.075861656782658e+00,  4.532861198492218e+01
s167        ,  5.971986436857214e+00,  5.954269886292567e+00,  8.437011655989602e+01
s168        ,  8.276929850966233e+00,  8.358294078340144e+00,  4.013129418244485e+01
