# c0 + a0 * ((VPA / RBI) + (WE * AAV))
# Property Label: $E_{T}$; Unit of the Property: Unitless
# RMSE: 0.779927412997855; Max AE: 2.8773803056428
# Coefficients
# Task   a0                      c0
# all , -5.995783577067750e-02,  1.148287217532459e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|4|div|5|1|mult|add; ((VPA / RBI) + (WE * AAV)); $\left(\left(\frac{ VPA }{ RBI } \right) + \left(WE AAV\right)\right)$; ((VPA ./ RBI) + (WE .* AAV)); ((newdata$VPA / newdata$RBI) + (newdata$WE * newdata$AAV)); VPA,RBI,WE,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  9.627351630837904e+00,  7.657564349712981e+00,  6.379996503280024e+01
s2          ,  7.942391979192743e+00,  7.938707403520310e+00,  5.911095232589361e+01
s3          ,  7.190586636137100e+00,  7.833235371864371e+00,  6.087005570746562e+01
s4          ,  7.801448301236565e+00,  8.692669240726076e+00,  4.653608487921881e+01
s5          ,  8.469161610331188e+00,  8.774265102284527e+00,  4.517519750712395e+01
s6          ,  7.909389765119206e+00,  6.860454293051837e+00,  7.709447519006935e+01
s7          ,  8.069240521374599e+00,  8.619735852062789e+00,  4.775249617435357e+01
s8          ,  6.514380492886220e+00,  7.040752911136841e+00,  7.408738502799949e+01
s9          ,  7.069246192646957e+00,  8.155599712552444e+00,  5.549353841753158e+01
s10         ,  7.182828748758404e+00,  8.437694861596933e+00,  5.078864629761874e+01
s11         ,  8.281712320055306e+00,  8.113531097491888e+00,  5.619517506801804e+01
s12         ,  8.667136914414131e+00,  8.006887273504942e+00,  5.797382205579175e+01
s13         ,  7.633522070371748e+00,  7.644697082903194e+00,  6.401457029071850e+01
s14         ,  7.349146862996486e+00,  7.853751968039687e+00,  6.052787197265261e+01
s15         ,  8.730252119237013e+00,  7.973422614962066e+00,  5.853195858811873e+01
s16         ,  7.663568812540761e+00,  8.580280793735788e+00,  4.841054291369728e+01
s17         ,  7.397981103859396e+00,  8.285632051657966e+00,  5.332480871883363e+01
s18         ,  7.634343129458566e+00,  7.854109568959876e+00,  6.052190776604653e+01
s19         ,  7.908238494205531e+00,  7.569052952659511e+00,  6.527619238350051e+01
s20         ,  7.576517696383075e+00,  7.758965323687999e+00,  6.210876032749952e+01
s21         ,  8.532705101163961e+00,  8.017602648354890e+00,  5.779510688516867e+01
s22         ,  8.329116670513413e+00,  8.796147766362992e+00,  4.481022996289570e+01
s23         ,  7.493041833870397e+00,  7.309408545422418e+00,  6.960664233886855e+01
s24         ,  1.059219924457796e+01,  8.407825730689193e+00,  5.128681522789803e+01
s25         ,  8.578651914394655e+00,  7.576945351142248e+00,  6.514455990575527e+01
s26         ,  8.144438025614420e+00,  8.042212236060374e+00,  5.738465865285406e+01
s27         ,  8.510120168948882e+00,  8.355564129680825e+00,  5.215845444463451e+01
s28         ,  7.189133078527061e+00,  7.704212394041507e+00,  6.302195088787777e+01
s29         ,  8.503410813013494e+00,  8.831979761428961e+00,  4.421261007542986e+01
s30         ,  8.142667393573289e+00,  8.593452274391655e+00,  4.819086385946585e+01
s31         ,  6.927212409606008e+00,  8.309209818856250e+00,  5.293156958844771e+01
s32         ,  8.836093594042303e+00,  8.406457914257880e+00,  5.130962819994300e+01
s33         ,  7.781799073840278e+00,  7.826127006785044e+00,  6.098861177253966e+01
s34         ,  8.752473919455131e+00,  8.265172372980345e+00,  5.366604316158229e+01
s35         ,  7.714609048750617e+00,  8.235209797965048e+00,  5.416577058886794e+01
s36         ,  6.256414997963060e+00,  6.365682607100034e+00,  8.534646893854570e+01
s37         ,  8.317250646523553e+00,  8.507139344898679e+00,  4.963042431696968e+01
s38         ,  7.621094284411799e+00,  7.485482693964007e+00,  6.667000951551205e+01
s39         ,  7.863121891718822e+00,  8.281325925334929e+00,  5.339662796093413e+01
s40         ,  8.588951308381437e+00,  8.433060736478787e+00,  5.086593603062161e+01
s41         ,  8.466791260314862e+00,  7.655353541463902e+00,  6.383683774877910e+01
s42         ,  6.965545209929878e+00,  7.257332386155246e+00,  7.047518868644434e+01
s43         ,  5.742710398507013e+00,  7.219033469801951e+00,  7.111395284230511e+01
s44         ,  7.657337843103465e+00,  8.519994334806192e+00,  4.941602381798100e+01
s45         ,  6.929642414952987e+00,  6.502966680402873e+00,  8.305679200911293e+01
s46         ,  7.407981644678499e+00,  7.102831382339834e+00,  7.305201624917254e+01
s47         ,  7.477916419891637e+00,  8.246644691404008e+00,  5.397505500862761e+01
s48         ,  8.065752072747419e+00,  7.638899015273579e+00,  6.411127270759344e+01
s49         ,  1.014689217922620e+01,  8.949823225203726e+00,  4.224717115889717e+01
s50         ,  7.545430289743591e+00,  7.514344145060080e+00,  6.618864705929433e+01
s51         ,  7.570978629679006e+00,  7.098143817747970e+00,  7.313019726640927e+01
s52         ,  7.795687486574141e+00,  8.279925224333720e+00,  5.341998939456838e+01
s53         ,  9.562441706215767e+00,  8.819526385434079e+00,  4.442031230208314e+01
s54         ,  8.280447950103838e+00,  8.041671617760665e+00,  5.739367529417809e+01
s55         ,  7.825727923778901e+00,  8.525756602056353e+00,  4.931991849369612e+01
s56         ,  7.118939478946283e+00,  8.073441668332633e+00,  5.686380208972354e+01
s57         ,  7.871849863936480e+00,  7.702408275206512e+00,  6.305204068034284e+01
s58         ,  6.730625541378074e+00,  6.025303691980204e+00,  9.102344027589830e+01
s59         ,  7.346597587321452e+00,  8.084913900994085e+00,  5.667246375147313e+01
s60         ,  9.160102121533143e+00,  8.829942723599871e+00,  4.424658458106215e+01
s61         ,  9.473309271873642e+00,  8.793625408576908e+00,  4.485229882268131e+01
s62         ,  6.148514364065349e+00,  7.042784930874907e+00,  7.405349421603226e+01
s63         ,  9.742882945859217e+00,  8.623092596093787e+00,  4.769651109771009e+01
s64         ,  7.769754107745993e+00,  8.035266636574733e+00,  5.750050005033555e+01
s65         ,  8.911180765969100e+00,  8.627017364625541e+00,  4.763105228851015e+01
s66         ,  7.119243990330276e+00,  6.927359543036049e+00,  7.597860352585340e+01
s67         ,  9.128092259359644e+00,  8.337895827088948e+00,  5.245313323623490e+01
s68         ,  8.853260947322894e+00,  7.954132187114721e+00,  5.885369181279891e+01
s69         ,  7.753079548340686e+00,  8.294501013670454e+00,  5.317688873642452e+01
s70         ,  7.493232802610160e+00,  7.378796225074636e+00,  6.844936775148005e+01
s71         ,  8.175332159116204e+00,  8.180972838161406e+00,  5.507035560442928e+01
s72         ,  8.442204221154190e+00,  8.869038935732831e+00,  4.359452281748393e+01
s73         ,  7.424144002640064e+00,  8.056036558907042e+00,  5.715409124379111e+01
