# FEAT_ID     Score                   Feature Expression
0             0.886258120692315576    ((AAV / E_T) + (S - PF))
1             0.88660978217472719     ((AAV / E_T) + (S + NBI))
2             0.887048728841709599    ((rho - AAV) / (rho + E_T))
3             0.887226746151766998    ((rho + E_T) - (AAV - E_T))
4             0.887492801040486223    ((O - AAV) / (rho + E_T))
5             0.887508295717174267    ((NBI + AAV) / (rho + E_T))
6             0.887511664179743698    ((S + AAV) / (rho + E_T))
7             0.887565676287649485    ((PF - AAV) / (rho + E_T))
8             0.893675430125216108    ((rho / NBI) - (AAV - E_T))
9             0.894727382979110919    ((AAV / E_T) - (O + PF))
#-----------------------------------------------------------------------
