# c0 + a0 * ((AAV - E_T) * (B + WE))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.4127503954523; Max AE: 1.63251473515629
# Coefficients
# Task   a0                      c0
# all ,  8.938019183393937e-02, -1.771178974412554e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|sub|7|6|add|mult; ((AAV - E_T) * (B + WE)); $\left(\left(AAV - E_{T}\right) \left(B + WE\right)\right)$; ((AAV - E_T) .* (B + WE)); ((newdata$AAV - newdata$E_T) * (newdata$B + newdata$WE)); AAV,E_T,B,WE
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.522346349428285e+01,  2.783979535942133e+01
s2          , -1.676053957577113e+01, -1.630501909358505e+01,  1.573917689899514e+01
s3          , -1.469519139678599e+01, -1.463698144867575e+01,  3.440145106381647e+01
s4          , -1.482490640944098e+01, -1.521524259128133e+01,  2.793177214793390e+01
s5          , -1.661617250197141e+01, -1.678784976944648e+01,  1.033718943449646e+01
s6          , -1.434920619754616e+01, -1.351392154586054e+01,  4.696642636507518e+01
s7          , -1.650308689038163e+01, -1.661369546483940e+01,  1.228565587917182e+01
s8          , -1.458891392032861e+01, -1.447465567893485e+01,  3.621757795289816e+01
s9          , -1.601703755740822e+01, -1.587768112477354e+01,  2.052030300807156e+01
s10         , -1.658811786664458e+01, -1.627243942764512e+01,  1.610368345544171e+01
s11         , -1.506367336241177e+01, -1.503827988866086e+01,  2.991165940247515e+01
s12         , -1.549821089880063e+01, -1.514320514284780e+01,  2.873773873801871e+01
s13         , -1.453148296371105e+01, -1.445900062127766e+01,  3.639272926255611e+01
s14         , -1.465169748063443e+01, -1.467807299082409e+01,  3.394171226369527e+01
s15         , -1.581197879728031e+01, -1.541970989752181e+01,  2.564415895260350e+01
s16         , -1.619315500215883e+01, -1.626816863023539e+01,  1.615146582558560e+01
s17         , -1.684922037807049e+01, -1.604344453405362e+01,  1.866571525345979e+01
s18         , -1.426536183018756e+01, -1.438465230340832e+01,  3.722455023254766e+01
s19         , -1.606751413385304e+01, -1.548875755627054e+01,  2.487164261165613e+01
s20         , -1.502445348449817e+01, -1.490124676421573e+01,  3.144480809720742e+01
s21         , -1.635889943275450e+01, -1.571301392379629e+01,  2.236262620741303e+01
s22         , -1.609859360689693e+01, -1.680712774524724e+01,  1.012150433240383e+01
s23         , -1.425699056390511e+01, -1.464855318735253e+01,  3.427198458540163e+01
s24         , -1.783369299687520e+01, -1.706126916537980e+01,  7.278129140227771e+00
s25         , -1.437292967204356e+01, -1.439607677234662e+01,  3.709673143171614e+01
s26         , -1.507280660180631e+01, -1.484080131162003e+01,  3.212108156849293e+01
s27         , -1.727846250712225e+01, -1.650343140526180e+01,  1.351930795929338e+01
s28         , -1.397837986980880e+01, -1.405605845184635e+01,  4.090091123401504e+01
s29         , -1.642893168374653e+01, -1.690198389198753e+01,  9.060238465839911e+00
s30         , -1.682966437283499e+01, -1.639005898073511e+01,  1.478773692773115e+01
s31         , -1.420746367536026e+01, -1.461060322114051e+01,  3.469657492732584e+01
s32         , -1.693330532410375e+01, -1.640127406388045e+01,  1.466226076891755e+01
s33         , -1.474461208276328e+01, -1.487808192572299e+01,  3.170398004590698e+01
s34         , -1.716094441986192e+01, -1.651272014863268e+01,  1.341538400052473e+01
s35         , -1.490781329092262e+01, -1.545007849370279e+01,  2.530439020118475e+01
s36         , -1.262179431497255e+01, -1.187907389369028e+01,  6.525736553879788e+01
s37         , -1.644088958394727e+01, -1.679983602395141e+01,  1.020308528614999e+01
s38         , -1.461238558797282e+01, -1.425319656497489e+01,  3.869529823315232e+01
s39         , -1.501622627955599e+01, -1.523503066987150e+01,  2.771037993357239e+01
s40         , -1.623397018878606e+01, -1.607928088144166e+01,  1.826477241978781e+01
s41         , -1.477366635037428e+01, -1.493204881585864e+01,  3.110018977618018e+01
s42         , -1.422311445934928e+01, -1.432452102360394e+01,  3.789730868797924e+01
s43         , -1.258984560834217e+01, -1.308557437034329e+01,  5.175884364152363e+01
s44         , -1.596299994962497e+01, -1.648155812131538e+01,  1.376402978744808e+01
s45         , -1.348787700887648e+01, -1.270025184001425e+01,  5.606989424930186e+01
s46         , -1.542057609084416e+01, -1.483198147723548e+01,  3.221975929790461e+01
s47         , -1.436307499232010e+01, -1.479904173453248e+01,  3.258829445124373e+01
s48         , -1.488673519218485e+01, -1.487521489187284e+01,  3.173605688297031e+01
s49         , -1.670962096820184e+01, -1.714474859892363e+01,  6.344147775554442e+00
s50         , -1.470058355659457e+01, -1.463443182496087e+01,  3.442997666509974e+01
s51         , -1.422124899427813e+01, -1.474460203842446e+01,  3.319737455043568e+01
s52         , -1.445526933875853e+01, -1.475822740292448e+01,  3.304493177513564e+01
s53         , -1.689013290841563e+01, -1.681393033083304e+01,  1.004539590786117e+01
s54         , -1.720944815722343e+01, -1.598401998663613e+01,  1.933056667297670e+01
s55         , -1.562566680706692e+01, -1.622268764086732e+01,  1.666031446905868e+01
s56         , -1.398744736555374e+01, -1.435859846655636e+01,  3.751604476078012e+01
s57         , -1.422672185441562e+01, -1.443736454683866e+01,  3.663479715248859e+01
s58         , -1.312845606224703e+01, -1.203982854774829e+01,  6.345881654533995e+01
s59         , -1.619702485478463e+01, -1.624655556707254e+01,  1.639327626164954e+01
s60         , -1.672765451482195e+01, -1.696061973630770e+01,  8.404211183764907e+00
s61         , -1.650980416381348e+01, -1.642649932362059e+01,  1.438003649503132e+01
s62         , -1.380421394955886e+01, -1.408213051404614e+01,  4.060921279765200e+01
s63         , -1.727933600205615e+01, -1.706665994961705e+01,  7.217816176844725e+00
s64         , -1.494958812372483e+01, -1.498724510087231e+01,  3.048264483830157e+01
s65         , -1.623922548981244e+01, -1.639374740555999e+01,  1.474647023598203e+01
s66         , -1.367737338350917e+01, -1.418287601069972e+01,  3.948205593452118e+01
s67         , -1.741146232592018e+01, -1.628348740683041e+01,  1.598007688268105e+01
s68         , -1.487711888617207e+01, -1.482378504095753e+01,  3.231146234876826e+01
s69         , -1.433186966990272e+01, -1.468015980316478e+01,  3.391836467070098e+01
s70         , -1.495278133437334e+01, -1.486229234664639e+01,  3.188063640289866e+01
s71         , -1.570155986508802e+01, -1.577953707943019e+01,  2.161835441442447e+01
s72         , -1.639206679417054e+01, -1.674585798315014e+01,  1.080700031132200e+01
s73         , -1.656159175852897e+01, -1.597064320443537e+01,  1.948022826942548e+01
s74         , -1.616936532813614e+01, -1.610280677026096e+01,  1.800156098181052e+01
s75         , -1.476925333058890e+01, -1.488924261534476e+01,  3.157911245060682e+01
s76         , -1.554181169575925e+01, -1.527307105540862e+01,  2.728477796565769e+01
s77         , -1.355623132555349e+01, -1.405663087889074e+01,  4.089450682793082e+01
s78         , -1.613153244530022e+01, -1.635856657155527e+01,  1.514007908021104e+01
s79         , -1.369332123872701e+01, -1.452692118307344e+01,  3.563282306407797e+01
s80         , -1.596103871394553e+01, -1.560286282973420e+01,  2.359501441112981e+01
s81         , -1.371015102329203e+01, -1.359626454188311e+01,  4.604515964665557e+01
s82         , -1.618514068737401e+01, -1.671631972451247e+01,  1.113747911240298e+01
s83         , -1.463129145817202e+01, -1.513938664000255e+01,  2.878046076363647e+01
s84         , -1.558344435959043e+01, -1.598198781651295e+01,  1.935330292002972e+01
s85         , -1.436666926664573e+01, -1.407536368258028e+01,  4.068492119933491e+01
s86         , -1.340858470992052e+01, -1.344717932913018e+01,  4.771314904893734e+01
s87         , -1.690450093998452e+01, -1.627188776491559e+01,  1.610985554702288e+01
s88         , -1.434879628797493e+01, -1.440279727769146e+01,  3.702154133414597e+01
s89         , -1.503479473600998e+01, -1.500479156994633e+01,  3.028633211269649e+01
s90         , -1.481179943199058e+01, -1.466369451464858e+01,  3.410258097387016e+01
s91         , -1.288609925783191e+01, -1.311488782500408e+01,  5.143087998358861e+01
s92         , -1.580824275413979e+01, -1.589030043076423e+01,  2.037911617761436e+01
s93         , -1.408132744524983e+01, -1.413155200987003e+01,  4.005627713249125e+01
s94         , -1.417595748076664e+01, -1.458931336223421e+01,  3.493476930204650e+01
s95         , -1.290027811695738e+01, -1.323004381594281e+01,  5.014249618650886e+01
s96         , -1.563974152224070e+01, -1.536970986278155e+01,  2.620356740445778e+01
s97         , -1.649006866380947e+01, -1.707969614219589e+01,  7.071965152010696e+00
s98         , -1.474432582637551e+01, -1.467795815551443e+01,  3.394299705965845e+01
s99         , -1.617902320789352e+01, -1.647051081599207e+01,  1.388762882093221e+01
s100        , -1.588005443066773e+01, -1.525330573308302e+01,  2.750591557926140e+01
s101        , -1.606627254137342e+01, -1.581513019787872e+01,  2.122013286535173e+01
s102        , -1.451131934460694e+01, -1.493659016528597e+01,  3.104938042643336e+01
s103        , -1.502092590861538e+01, -1.478326560831303e+01,  3.276480029550007e+01
s104        , -1.557036849723766e+01, -1.549645607842786e+01,  2.478551030426939e+01
s105        , -1.434931863042170e+01, -1.445065574493909e+01,  3.648609308475596e+01
s106        , -1.213742527798283e+01, -1.218521354756271e+01,  6.183222572212339e+01
s107        , -1.659053433805247e+01, -1.665235956786097e+01,  1.185307565945820e+01
s108        , -1.700250083426357e+01, -1.687017474490600e+01,  9.416124333042296e+00
s109        , -1.566474756073793e+01, -1.537120553874227e+01,  2.618683354061122e+01
s110        , -1.431419118557280e+01, -1.443364130924277e+01,  3.667645333513364e+01
s111        , -1.645030650736458e+01, -1.617412090626509e+01,  1.720368692782968e+01
s112        , -1.338762259085481e+01, -1.318332896767441e+01,  5.066514944233529e+01
s113        , -1.433675892531957e+01, -1.437248771772924e+01,  3.736064957882873e+01
s114        , -1.609955695453763e+01, -1.637312663575437e+01,  1.497717873394464e+01
s115        , -1.546929652764100e+01, -1.542225335672686e+01,  2.561570232085025e+01
s116        , -1.637830542970395e+01, -1.615327541352865e+01,  1.743690966218194e+01
s117        , -1.674807484517825e+01, -1.674329577832907e+01,  1.083566667205023e+01
s118        , -1.523642937716048e+01, -1.477903401540810e+01,  3.281214403932189e+01
s119        , -1.525541306886539e+01, -1.535585291495015e+01,  2.635860117141522e+01
s120        , -1.490045415348265e+01, -1.581634436135064e+01,  2.120654860862772e+01
