# c0 + a0 * ((AAV / E_T) - (Al + O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.415441539636516; Max AE: 1.46070500306758
# Coefficients
# Task   a0                      c0
# all ,  1.022103377481036e+00, -1.763830875451889e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|div|13|10|add|sub; ((AAV / E_T) - (Al + O)); $\left(\left(\frac{ AAV }{ E_{T} } \right) - \left(Al + O\right)\right)$; ((AAV ./ E_T) - (Al + O)); ((newdata$AAV / newdata$E_T) - (newdata$Al + newdata$O)); AAV,E_T,Al,O
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.602129752646810e+01,  1.582042740173599e+00
s2          , -1.676053957577113e+01, -1.647518918767816e+01,  1.137966660189718e+00
s3          , -1.469519139678599e+01, -1.429916211147449e+01,  3.266936316435718e+00
s4          , -1.482490640944098e+01, -1.471552464747950e+01,  2.859577779933144e+00
s5          , -1.661617250197141e+01, -1.674784677535066e+01,  8.712053974058558e-01
s6          , -1.434920619754616e+01, -1.471150080339614e+01,  2.863514606845190e+00
s7          , -1.650308689038163e+01, -1.637186398889168e+01,  1.239057411930636e+00
s8          , -1.458891392032861e+01, -1.420730160908313e+01,  3.356810300237382e+00
s9          , -1.601703755740822e+01, -1.614286683277277e+01,  1.463102416735598e+00
s10         , -1.658811786664458e+01, -1.644283530411136e+01,  1.169620878617743e+00
s11         , -1.506367336241177e+01, -1.475007712448101e+01,  2.825772513496524e+00
s12         , -1.549821089880063e+01, -1.515415047988298e+01,  2.430437399353963e+00
s13         , -1.453148296371105e+01, -1.431331913022575e+01,  3.253085448643704e+00
s14         , -1.465169748063443e+01, -1.429118250260721e+01,  3.274743363201320e+00
s15         , -1.581197879728031e+01, -1.520409159472818e+01,  2.381576280268064e+00
s16         , -1.619315500215883e+01, -1.637775049180686e+01,  1.233298206898267e+00
s17         , -1.684922037807049e+01, -1.624161649826943e+01,  1.366488250622552e+00
s18         , -1.426536183018756e+01, -1.437876806856544e+01,  3.189051868693122e+00
s19         , -1.606751413385304e+01, -1.576152190332530e+01,  1.836200615850529e+00
s20         , -1.502445348449817e+01, -1.499530124611142e+01,  2.585851457531761e+00
s21         , -1.635889943275450e+01, -1.589607995231461e+01,  1.704552436269201e+00
s22         , -1.609859360689693e+01, -1.662719467774350e+01,  9.892483471361451e-01
s23         , -1.425699056390511e+01, -1.445306783870648e+01,  3.116358859572894e+00
s24         , -1.783369299687520e+01, -1.687614472085861e+01,  7.456819441675494e-01
s25         , -1.437292967204356e+01, -1.466303356231859e+01,  2.910933725248849e+00
s26         , -1.507280660180631e+01, -1.471652588949200e+01,  2.858598190163111e+00
s27         , -1.727846250712225e+01, -1.654346387331179e+01,  1.071168440814012e+00
s28         , -1.397837986980880e+01, -1.373106138180076e+01,  3.822751649982318e+00
s29         , -1.642893168374653e+01, -1.677714145738617e+01,  8.425442241029070e-01
s30         , -1.682966437283499e+01, -1.647179995318775e+01,  1.141282601184613e+00
s31         , -1.420746367536026e+01, -1.440448470363091e+01,  3.163891365722423e+00
s32         , -1.693330532410375e+01, -1.661622198216451e+01,  9.999837539655749e-01
s33         , -1.474461208276328e+01, -1.470591261563131e+01,  2.868981947906714e+00
s34         , -1.716094441986192e+01, -1.659660792549164e+01,  1.019173649141551e+00
s35         , -1.490781329092262e+01, -1.546483180732145e+01,  2.126474674757414e+00
s36         , -1.262179431497255e+01, -1.200184632502769e+01,  5.514571768055603e+00
s37         , -1.644088958394727e+01, -1.652702429893165e+01,  1.087252503094150e+00
s38         , -1.461238558797282e+01, -1.423191252971440e+01,  3.332731600202238e+00
s39         , -1.501622627955599e+01, -1.484807957337889e+01,  2.729889405136778e+00
s40         , -1.623397018878606e+01, -1.626907011335839e+01,  1.339628330487449e+00
s41         , -1.477366635037428e+01, -1.496552238518040e+01,  2.614986339175925e+00
s42         , -1.422311445934928e+01, -1.392102832843441e+01,  3.636892811415690e+00
s43         , -1.258984560834217e+01, -1.313491854206801e+01,  4.406002672204679e+00
s44         , -1.596299994962497e+01, -1.633649688875099e+01,  1.273659684968659e+00
s45         , -1.348787700887648e+01, -1.308022139218774e+01,  4.459516975244235e+00
s46         , -1.542057609084416e+01, -1.471277480369367e+01,  2.862268157292633e+00
s47         , -1.436307499232010e+01, -1.461859979271238e+01,  2.954406597548429e+00
s48         , -1.488673519218485e+01, -1.509589677585618e+01,  2.487431344692807e+00
s49         , -1.670962096820184e+01, -1.666531530273067e+01,  9.519520952823333e-01
s50         , -1.470058355659457e+01, -1.459847279549080e+01,  2.974098340737051e+00
s51         , -1.422124899427813e+01, -1.486297786388207e+01,  2.715313295878736e+00
s52         , -1.445526933875853e+01, -1.446141422291992e+01,  3.108192969118635e+00
s53         , -1.689013290841563e+01, -1.654990374112547e+01,  1.064867837611278e+00
s54         , -1.720944815722343e+01, -1.640475976976494e+01,  1.206873014933205e+00
s55         , -1.562566680706692e+01, -1.641832388468954e+01,  1.193602229195239e+00
s56         , -1.398744736555374e+01, -1.405871065779793e+01,  3.502187915221299e+00
s57         , -1.422672185441562e+01, -1.440021840661075e+01,  3.168065402433542e+00
s58         , -1.312845606224703e+01, -1.262176961561087e+01,  4.908054556351465e+00
s59         , -1.619702485478463e+01, -1.659075225531281e+01,  1.024902688207298e+00
s60         , -1.672765451482195e+01, -1.663280478430896e+01,  9.837595612764600e-01
s61         , -1.650980416381348e+01, -1.632193093296796e+01,  1.287910646372317e+00
s62         , -1.380421394955886e+01, -1.348514054822082e+01,  4.063354351233538e+00
s63         , -1.727933600205615e+01, -1.674704562103512e+01,  8.719892264520968e-01
s64         , -1.494958812372483e+01, -1.455803028477846e+01,  3.013666266646871e+00
s65         , -1.623922548981244e+01, -1.636596078144726e+01,  1.244832960250379e+00
s66         , -1.367737338350917e+01, -1.438762005808124e+01,  3.180391306845047e+00
s67         , -1.741146232592018e+01, -1.637837125020921e+01,  1.232690872634411e+00
s68         , -1.487711888617207e+01, -1.483883836060672e+01,  2.738930773139054e+00
s69         , -1.433186966990272e+01, -1.489408492074918e+01,  2.684878941044908e+00
s70         , -1.495278133437334e+01, -1.451285920871874e+01,  3.057860500865176e+00
s71         , -1.570155986508802e+01, -1.560754376733066e+01,  1.986848915608746e+00
s72         , -1.639206679417054e+01, -1.651411790099331e+01,  1.099879795227895e+00
s73         , -1.656159175852897e+01, -1.628125315262427e+01,  1.327708754117481e+00
s74         , -1.616936532813614e+01, -1.628316683988691e+01,  1.325836451075735e+00
s75         , -1.476925333058890e+01, -1.481467388642063e+01,  2.762572681304589e+00
s76         , -1.554181169575925e+01, -1.539285603259982e+01,  2.196893945750348e+00
s77         , -1.355623132555349e+01, -1.426710593052087e+01,  3.298299270183717e+00
s78         , -1.613153244530022e+01, -1.615855129763404e+01,  1.447757134441423e+00
s79         , -1.369332123872701e+01, -1.459929910435159e+01,  2.973289901122243e+00
s80         , -1.596103871394553e+01, -1.516156395916566e+01,  2.423184239403597e+00
s81         , -1.371015102329203e+01, -1.335315892847408e+01,  4.192481817842652e+00
s82         , -1.618514068737401e+01, -1.652424410969729e+01,  1.089972569670208e+00
s83         , -1.463129145817202e+01, -1.500735588542179e+01,  2.574057504419028e+00
s84         , -1.558344435959043e+01, -1.604071734048957e+01,  1.563042887077202e+00
s85         , -1.436666926664573e+01, -1.428357711024918e+01,  3.282184286033196e+00
s86         , -1.340858470992052e+01, -1.327926991476994e+01,  4.264772953291438e+00
s87         , -1.690450093998452e+01, -1.647590545878084e+01,  1.137265878724303e+00
s88         , -1.434879628797493e+01, -1.425051300413420e+01,  3.314533368174440e+00
