# c0 + a0 * ((AAV - E_T) + (B * AAV))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.416675645710687; Max AE: 1.73286268231419
# Coefficients
# Task   a0                      c0
# all ,  1.942540452376892e-01, -1.774313416369932e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|sub|7|2|mult|add; ((AAV - E_T) + (B * AAV)); $\left(\left(AAV - E_{T}\right) + \left(B AAV\right)\right)$; ((AAV - E_T) + (B .* AAV)); ((newdata$AAV - newdata$E_T) + (newdata$B * newdata$AAV)); AAV,E_T,B,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.579747276989391e+01,  1.001606628796170e+01
s2          , -1.676053957577113e+01, -1.643364570811745e+01,  6.741112927556181e+00
s3          , -1.469519139678599e+01, -1.457667628889865e+01,  1.630060198193654e+01
s4          , -1.482490640944098e+01, -1.492501304485868e+01,  1.450739991227669e+01
s5          , -1.661617250197141e+01, -1.647029410804445e+01,  6.552450704938618e+00
s6          , -1.434920619754616e+01, -1.431609729800712e+01,  1.764203603327220e+01
s7          , -1.650308689038163e+01, -1.665748108975654e+01,  5.588831226728756e+00
s8          , -1.458891392032861e+01, -1.436316968113061e+01,  1.739971220899406e+01
s9          , -1.601703755740822e+01, -1.627574053334905e+01,  7.553992652017944e+00
s10         , -1.658811786664458e+01, -1.645659636699961e+01,  6.622965277894209e+00
s11         , -1.506367336241177e+01, -1.480591145949463e+01,  1.512052271864250e+01
s12         , -1.549821089880063e+01, -1.459744492826093e+01,  1.619368714607371e+01
s13         , -1.453148296371105e+01, -1.431602368394345e+01,  1.764241499095920e+01
s14         , -1.465169748063443e+01, -1.449570710993872e+01,  1.671742305179306e+01
s15         , -1.581197879728031e+01, -1.486675101901643e+01,  1.480732687529545e+01
s16         , -1.619315500215883e+01, -1.653889915788247e+01,  6.199278909962220e+00
s17         , -1.684922037807049e+01, -1.637815719499595e+01,  7.026762130143442e+00
s18         , -1.426536183018756e+01, -1.428355646443042e+01,  1.780955292352220e+01
s19         , -1.606751413385304e+01, -1.563189801157610e+01,  1.086842824580521e+01
s20         , -1.502445348449817e+01, -1.494282369828629e+01,  1.441571248612387e+01
s21         , -1.635889943275450e+01, -1.586844938233785e+01,  9.650685930723400e+00
s22         , -1.609859360689693e+01, -1.646553948021311e+01,  6.576927043773779e+00
s23         , -1.425699056390511e+01, -1.466266022186134e+01,  1.585796547026194e+01
s24         , -1.783369299687520e+01, -1.716903859226528e+01,  2.955385411570562e+00
s25         , -1.437292967204356e+01, -1.451257492410710e+01,  1.663058926592396e+01
s26         , -1.507280660180631e+01, -1.451616749748983e+01,  1.661209506479506e+01
s27         , -1.727846250712225e+01, -1.666715032702946e+01,  5.539054980056074e+00
s28         , -1.397837986980880e+01, -1.380111016050599e+01,  2.029313725935472e+01
s29         , -1.642893168374653e+01, -1.646833407354722e+01,  6.562540762496112e+00
s30         , -1.682966437283499e+01, -1.662775127906689e+01,  5.741877258039359e+00
s31         , -1.420746367536026e+01, -1.381278740338489e+01,  2.023302400475245e+01
s32         , -1.693330532410375e+01, -1.669720220439077e+01,  5.384350982388817e+00
s33         , -1.474461208276328e+01, -1.476268152621122e+01,  1.534306600329077e+01
s34         , -1.716094441986192e+01, -1.673899022203149e+01,  5.169230532312280e+00
s35         , -1.490781329092262e+01, -1.498987939009983e+01,  1.417347458700596e+01
s36         , -1.262179431497255e+01, -1.225642195049691e+01,  2.824503451904369e+01
s37         , -1.644088958394727e+01, -1.680818253994747e+01,  4.813035541205048e+00
s38         , -1.461238558797282e+01, -1.428969206744754e+01,  1.777796746536807e+01
s39         , -1.501622627955599e+01, -1.473228539873574e+01,  1.549954216541286e+01
s40         , -1.623397018878606e+01, -1.632339216209945e+01,  7.308686930368296e+00
s41         , -1.477366635037428e+01, -1.494535939011461e+01,  1.440265900337545e+01
s42         , -1.422311445934928e+01, -1.397522982251365e+01,  1.939678700937871e+01
s43         , -1.258984560834217e+01, -1.258702016804575e+01,  2.654314863479187e+01
s44         , -1.596299994962497e+01, -1.658467211521944e+01,  5.963644397018265e+00
s45         , -1.348787700887648e+01, -1.227627750360256e+01,  2.814282015804363e+01
s46         , -1.542057609084416e+01, -1.463290943733075e+01,  1.601111947276515e+01
s47         , -1.436307499232010e+01, -1.407143103967020e+01,  1.890155296141413e+01
s48         , -1.488673519218485e+01, -1.509925834964962e+01,  1.361040286607497e+01
s49         , -1.670962096820184e+01, -1.689382340880217e+01,  4.372165088546485e+00
s50         , -1.470058355659457e+01, -1.457403088076444e+01,  1.631422027303041e+01
s51         , -1.422124899427813e+01, -1.522043452031511e+01,  1.298660030630217e+01
s52         , -1.445526933875853e+01, -1.416440019782732e+01,  1.842295722332611e+01
s53         , -1.689013290841563e+01, -1.697765916436930e+01,  3.940587174868810e+00
s54         , -1.720944815722343e+01, -1.640430462762982e+01,  6.892157815459203e+00
s55         , -1.562566680706692e+01, -1.582920859667084e+01,  9.852693490560776e+00
s56         , -1.398744736555374e+01, -1.386974479036644e+01,  1.993981318944170e+01
s57         , -1.422672185441562e+01, -1.442786149699329e+01,  1.706668534315187e+01
s58         , -1.312845606224703e+01, -1.263354339429096e+01,  2.630365181407813e+01
s59         , -1.619702485478463e+01, -1.650614264066693e+01,  6.367906117573029e+00
s60         , -1.672765451482195e+01, -1.693972844688729e+01,  4.135850637390759e+00
s61         , -1.650980416381348e+01, -1.661670893601741e+01,  5.798722113115431e+00
s62         , -1.380421394955886e+01, -1.383551615262215e+01,  2.011601872329511e+01
s63         , -1.727933600205615e+01, -1.711033609962831e+01,  3.257579852696106e+00
s64         , -1.494958812372483e+01, -1.470389525132031e+01,  1.564569174690906e+01
s65         , -1.623922548981244e+01, -1.605433657272953e+01,  8.693757645578934e+00
s66         , -1.367737338350917e+01, -1.472777957079070e+01,  1.552273770782498e+01
s67         , -1.741146232592018e+01, -1.647678599421844e+01,  6.519031137453931e+00
s68         , -1.487711888617207e+01, -1.475255275108567e+01,  1.539520790392999e+01
s69         , -1.433186966990272e+01, -1.379912122156134e+01,  2.030337611405766e+01
s70         , -1.495278133437334e+01, -1.447434631319171e+01,  1.682738625343899e+01
s71         , -1.570155986508802e+01, -1.576687411311218e+01,  1.017358505028294e+01
s72         , -1.639206679417054e+01, -1.680709479720196e+01,  4.818635129847737e+00
