# c0 + a0 * ((AAV - E_T) * exp(B))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.419450565874278; Max AE: 1.6908289567867
# Coefficients
# Task   a0                      c0
# all ,  1.917471903584861e-01, -1.765249494313823e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|sub|7|exp|mult; ((AAV - E_T) * exp(B)); $\left(\left(AAV - E_{T}\right) \left(\exp{ B }\right)\right)$; ((AAV - E_T) .* exp(B)); ((newdata$AAV - newdata$E_T) * exp(newdata$B)); AAV,E_T,B
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.573194237397722e+01,  1.001606628796170e+01
s2          , -1.676053957577113e+01, -1.635990547939006e+01,  6.741112927556181e+00
s3          , -1.469519139678599e+01, -1.452690031194992e+01,  1.630060198193654e+01
s4          , -1.482490640944098e+01, -1.487074177055222e+01,  1.450739991227669e+01
s5          , -1.661617250197141e+01, -1.677389409572943e+01,  4.582079381534541e+00
s6          , -1.434920619754616e+01, -1.426968410155511e+01,  1.764203603327220e+01
s7          , -1.650308689038163e+01, -1.658085225802522e+01,  5.588831226728756e+00
s8          , -1.458891392032861e+01, -1.431614901401737e+01,  1.739971220899406e+01
s9          , -1.601703755740822e+01, -1.620403807612514e+01,  7.553992652017944e+00
s10         , -1.658811786664458e+01, -1.642464234680076e+01,  6.403497198795483e+00
s11         , -1.506367336241177e+01, -1.475317719508687e+01,  1.512052271864250e+01
s12         , -1.549821089880063e+01, -1.473578907830276e+01,  1.521120523008685e+01
s13         , -1.453148296371105e+01, -1.429522010205832e+01,  1.750886067641055e+01
s14         , -1.465169748063443e+01, -1.444697604292272e+01,  1.671742305179306e+01
s15         , -1.581197879728031e+01, -1.493070887100285e+01,  1.419465947348061e+01
s16         , -1.619315500215883e+01, -1.646380062990435e+01,  6.199278909962220e+00
s17         , -1.684922037807049e+01, -1.630513304736581e+01,  7.026762130143442e+00
s18         , -1.426536183018756e+01, -1.430025121913374e+01,  1.748262239325232e+01
s19         , -1.606751413385304e+01, -1.556850436339227e+01,  1.086842824580521e+01
s20         , -1.502445348449817e+01, -1.488832257690823e+01,  1.441571248612387e+01
s21         , -1.635889943275450e+01, -1.580200303088984e+01,  9.650685930723400e+00
s22         , -1.609859360689693e+01, -1.672147136578409e+01,  4.855474417192326e+00
s23         , -1.425699056390511e+01, -1.461177461941361e+01,  1.585796547026194e+01
s24         , -1.783369299687520e+01, -1.708580809404311e+01,  2.955385411570562e+00
s25         , -1.437292967204356e+01, -1.446362617739131e+01,  1.663058926592396e+01
s26         , -1.507280660180631e+01, -1.456015301117236e+01,  1.612718249578776e+01
s27         , -1.727846250712225e+01, -1.659039671347129e+01,  5.539054980056074e+00
s28         , -1.397837986980880e+01, -1.376134289009785e+01,  2.029313725935472e+01
s29         , -1.642893168374653e+01, -1.684241748131777e+01,  4.224716202130301e+00
s30         , -1.682966437283499e+01, -1.655150611152589e+01,  5.741877258039359e+00
s31         , -1.420746367536026e+01, -1.400141645587287e+01,  1.904110553296445e+01
s32         , -1.693330532410375e+01, -1.662006077036122e+01,  5.384350982388817e+00
s33         , -1.474461208276328e+01, -1.471050514552241e+01,  1.534306600329077e+01
s34         , -1.716094441986192e+01, -1.666130951225205e+01,  5.169230532312280e+00
s35         , -1.490781329092262e+01, -1.517505602270354e+01,  1.292034014059305e+01
s36         , -1.262179431497255e+01, -1.223658893253315e+01,  2.824503451904369e+01
s37         , -1.644088958394727e+01, -1.672960890101662e+01,  4.813035541205048e+00
s38         , -1.461238558797282e+01, -1.424361963136932e+01,  1.777796746536807e+01
s39         , -1.501622627955599e+01, -1.476889817364117e+01,  1.503853466695367e+01
s40         , -1.623397018878606e+01, -1.625107475903032e+01,  7.308686930368296e+00
s41         , -1.477366635037428e+01, -1.494283696882382e+01,  1.413140901438237e+01
s42         , -1.422311445934928e+01, -1.393321553210788e+01,  1.939678700937871e+01
s43         , -1.258984560834217e+01, -1.270988673575484e+01,  2.577669168524870e+01
s44         , -1.596299994962497e+01, -1.650898288571285e+01,  5.963644397018265e+00
s45         , -1.348787700887648e+01, -1.235901104391469e+01,  2.760657869002911e+01
s46         , -1.542057609084416e+01, -1.458240776974146e+01,  1.601111947276515e+01
s47         , -1.436307499232010e+01, -1.425005373741613e+01,  1.774441231373961e+01
s48         , -1.488673519218485e+01, -1.504273843392127e+01,  1.361040286607497e+01
s49         , -1.670962096820184e+01, -1.712749323744943e+01,  2.737989040190186e+00
s50         , -1.470058355659457e+01, -1.452428904289519e+01,  1.631422027303041e+01
s51         , -1.422124899427813e+01, -1.516235082209613e+01,  1.298660030630217e+01
s52         , -1.445526933875853e+01, -1.423169080051253e+01,  1.784017870733982e+01
s53         , -1.689013290841563e+01, -1.689689842399445e+01,  3.940587174868810e+00
s54         , -1.720944815722343e+01, -1.633094304651664e+01,  6.892157815459203e+00
s55         , -1.562566680706692e+01, -1.618267882408682e+01,  7.665385429134448e+00
s56         , -1.398744736555374e+01, -1.393275095556069e+01,  1.939920986911562e+01
s57         , -1.422672185441562e+01, -1.438000597985650e+01,  1.706668534315187e+01
s58         , -1.312845606224703e+01, -1.260884361162085e+01,  2.630365181407813e+01
s59         , -1.619702485478463e+01, -1.643146683662698e+01,  6.367906117573029e+00
s60         , -1.672765451482195e+01, -1.690691577308028e+01,  3.888344693155778e+00
s61         , -1.650980416381348e+01, -1.654060627027872e+01,  5.798722113115431e+00
s62         , -1.380421394955886e+01, -1.379530487174769e+01,  2.011601872329511e+01
s63         , -1.727933600205615e+01, -1.702786315901534e+01,  3.257579852696106e+00
s64         , -1.494958812372483e+01, -1.465247750945346e+01,  1.564569174690906e+01
s65         , -1.623922548981244e+01, -1.629750209057998e+01,  7.066559098075851e+00
s66         , -1.367737338350917e+01, -1.467605360099106e+01,  1.552273770782498e+01
s67         , -1.741146232592018e+01, -1.640248903867195e+01,  6.519031137453931e+00
s68         , -1.487711888617207e+01, -1.470050708257489e+01,  1.539520790392999e+01
s69         , -1.433186966990272e+01, -1.410574229748677e+01,  1.849702537502911e+01
s70         , -1.495278133437334e+01, -1.442589090796429e+01,  1.682738625343899e+01
s71         , -1.570155986508802e+01, -1.570173859387338e+01,  1.017358505028294e+01
s72         , -1.639206679417054e+01, -1.672853519562722e+01,  4.818635129847737e+00
s73         , -1.656159175852897e+01, -1.630239408595595e+01,  7.041046362442946e+00
s74         , -1.616936532813614e+01, -1.606003691707410e+01,  8.304987536385282e+00
s75         , -1.476925333058890e+01, -1.477697234099899e+01,  1.499642626712405e+01
s76         , -1.554181169575925e+01, -1.534281573937174e+01,  1.204543961999319e+01
s77         , -1.355623132555349e+01, -1.420275592127349e+01,  1.799107989752121e+01
s78         , -1.613153244530022e+01, -1.636621234004637e+01,  6.708221386123310e+00
s79         , -1.369332123872701e+01, -1.444331201274317e+01,  1.673653170299520e+01
s80         , -1.596103871394553e+01, -1.505674295889916e+01,  1.353736646355081e+01
s81         , -1.371015102329203e+01, -1.358411991902112e+01,  2.121739054695389e+01
s82         , -1.618514068737401e+01, -1.669045796356187e+01,  5.017215521008472e+00
s83         , -1.463129145817202e+01, -1.524320665900787e+01,  1.256492092335752e+01
s84         , -1.558344435959043e+01, -1.602496151013306e+01,  8.487912808330412e+00
s85         , -1.436666926664573e+01, -1.423396050752210e+01,  1.782834173071801e+01
s86         , -1.340858470992052e+01, -1.330979462039587e+01,  2.264805191994386e+01
s87         , -1.690450093998452e+01, -1.639274287494017e+01,  6.569859333233786e+00
s88         , -1.434879628797493e+01, -1.421162049218382e+01,  1.794484938486675e+01
s89         , -1.503479473600998e+01, -1.468737390931096e+01,  1.546370003275536e+01
s90         , -1.481179943199058e+01, -1.464446822324294e+01,  1.568746177856140e+01
s91         , -1.288609925783191e+01, -1.328120538922184e+01,  2.279715048624143e+01
s92         , -1.580824275413979e+01, -1.556779606665751e+01,  1.087212215513154e+01
s93         , -1.408132744524983e+01, -1.410618003280299e+01,  1.849474249768737e+01
s94         , -1.417595748076664e+01, -1.460256639045928e+01,  1.590598822844219e+01
s95         , -1.290027811695738e+01, -1.292716471693138e+01,  2.464354349793848e+01
s96         , -1.563974152224070e+01, -1.499562815490615e+01,  1.385609240617742e+01
s97         , -1.649006866380947e+01, -1.699517575446389e+01,  3.428051213920955e+00
s98         , -1.474432582637551e+01, -1.430647706256167e+01,  1.745015337289128e+01
s99         , -1.617902320789352e+01, -1.641617289018336e+01,  6.447667111280573e+00
s100        , -1.588005443066773e+01, -1.500122884177117e+01,  1.382688370249553e+01
s101        , -1.606627254137342e+01, -1.606421578570128e+01,  8.283193899569218e+00
s102        , -1.451131934460694e+01, -1.452782709152696e+01,  1.629576864083100e+01
s103        , -1.502092590861538e+01, -1.535409989217011e+01,  1.198659050320942e+01
s104        , -1.557036849723766e+01, -1.557373533166159e+01,  1.084114769864546e+01
s105        , -1.434931863042170e+01, -1.432335146959740e+01,  1.736214996066818e+01
s106        , -1.213742527798283e+01, -1.242904610294686e+01,  2.724133183086398e+01
s107        , -1.659053433805247e+01, -1.661107743254175e+01,  5.431200888260546e+00
s108        , -1.700250083426357e+01, -1.684730258056521e+01,  4.199239431188802e+00
s109        , -1.566474756073793e+01, -1.496368184823600e+01,  1.402269879352747e+01
s110        , -1.431419118557280e+01, -1.408605953404553e+01,  1.859967492835214e+01
s111        , -1.645030650736458e+01, -1.636114395500067e+01,  6.734654029210401e+00
s112        , -1.338762259085481e+01, -1.345606198675674e+01,  2.188523831058978e+01
s113        , -1.433675892531957e+01, -1.430452560323594e+01,  1.746033062410459e+01
s114        , -1.609955695453763e+01, -1.617290142133658e+01,  7.716376542651964e+00
s115        , -1.546929652764100e+01, -1.525802220546056e+01,  1.248765488141450e+01
s116        , -1.637830542970395e+01, -1.643725806630061e+01,  6.337703694983172e+00
s117        , -1.674807484517825e+01, -1.678860936886908e+01,  4.505336285001325e+00
s118        , -1.523642937716048e+01, -1.452996254347692e+01,  1.628463183123308e+01
s119        , -1.525541306886539e+01, -1.495179924176570e+01,  1.408466896606605e+01
s120        , -1.490045415348265e+01, -1.569948798370010e+01,  1.018532243307881e+01
s121        , -1.709928581270984e+01, -1.667595119468609e+01,  5.092871226047222e+00
s122        , -1.651833889258148e+01, -1.668522814159157e+01,  5.044490089989221e+00
s123        , -1.584219836251522e+01, -1.663702493058835e+01,  5.295879489297240e+00
s124        , -1.434420835450800e+01, -1.404306497264262e+01,  1.882390017682920e+01
s125        , -1.696687428130489e+01, -1.655975341027777e+01,  5.698865943315734e+00
s126        , -1.626031865342975e+01, -1.611124562594556e+01,  8.037923863766554e+00
s127        , -1.444652906875201e+01, -1.431592158720333e+01,  1.740089828537733e+01
s128        , -1.550757694366739e+01, -1.487571774012484e+01,  1.448144923439028e+01
s129        , -1.437474319081911e+01, -1.447088865448014e+01,  1.659271399340886e+01
s130        , -1.294395503489043e+01, -1.298527640717262e+01,  2.434047939497776e+01
s131        , -1.368728725933399e+01, -1.351043447941162e+01,  2.160167487191185e+01
s132        , -1.634804464087011e+01, -1.629951355401870e+01,  7.056068913395920e+00
s133        , -1.526577331630236e+01, -1.483505468265295e+01,  1.469351522292374e+01
s134        , -1.358907204541357e+01, -1.327091205001607e+01,  2.285083231170400e+01
s135        , -1.251531043120831e+01, -1.315065530824393e+01,  2.347799530453488e+01
s136        , -1.551825006632732e+01, -1.495609311907112e+01,  1.406227553595951e+01
s137        , -1.251550668315227e+01, -1.271121856747555e+01,  2.576974591609181e+01
s138        , -1.515118812744504e+01, -1.554484250171594e+01,  1.099182959334044e+01
s139        , -1.716590059353486e+01, -1.656790843883326e+01,  5.656335836145763e+00
s140        , -1.517245768667761e+01, -1.474641807608281e+01,  1.515577287793518e+01
s141        , -1.515272979184492e+01, -1.463221995386012e+01,  1.575133895642210e+01
s142        , -1.571494590073632e+01, -1.502454991803957e+01,  1.370525961911363e+01
s143        , -1.317275764850951e+01, -1.266513918041958e+01,  2.601005914816482e+01
s144        , -1.567547130773729e+01, -1.583783874527355e+01,  9.463795503193774e+00
s145        , -1.717630807447705e+01, -1.698369334236473e+01,  3.487934292664816e+00
s146        , -1.271063083617605e+01, -1.262849513510676e+01,  2.620116518337879e+01
s147        , -1.416477604175418e+01, -1.443734330626540e+01,  1.676765970266291e+01
s148        , -1.546283640715642e+01, -1.514405074439947e+01,  1.308203887654899e+01
s149        , -1.308258050736013e+01, -1.313094925113796e+01,  2.358076633898464e+01
s150        , -1.343350672133549e+01, -1.291136085550019e+01,  2.472596380042972e+01
s151        , -1.536729547226238e+01, -1.476286922263244e+01,  1.506997685391586e+01
s152        , -1.677944164125962e+01, -1.657663324611100e+01,  5.610834218826483e+00
s153        , -1.538993954039009e+01, -1.506816156519363e+01,  1.347781614485714e+01
s154        , -1.352780543056411e+01, -1.433159642717114e+01,  1.731915085565747e+01
s155        , -1.695942368239437e+01, -1.618848158701365e+01,  7.635122858319288e+00
s156        , -1.421914414070176e+01, -1.464497593389057e+01,  1.568481396585194e+01
s157        , -1.721807371285914e+01, -1.648860960100639e+01,  6.069895157033918e+00
s158        , -1.306694656831443e+01, -1.325510521874763e+01,  2.293326810249131e+01
s159        , -1.610568644553464e+01, -1.545027494413276e+01,  1.148501834570950e+01
s160        , -1.469958879574686e+01, -1.455278287021395e+01,  1.616561925694518e+01
s161        , -1.397090813949345e+01, -1.423245963872296e+01,  1.783616906209289e+01
s162        , -1.446678342676426e+01, -1.425109079953835e+01,  1.773900382707403e+01
s163        , -1.369523421071183e+01, -1.398824048649745e+01,  1.910982085208223e+01
s164        , -1.529503222203964e+01, -1.509538528915008e+01,  1.333583897217700e+01
s165        , -1.633321206845500e+01, -1.657498553714019e+01,  5.619427351105127e+00
s166        , -1.489526954713951e+01, -1.514522807937353e+01,  1.307589883886781e+01
s167        , -1.316411969580279e+01, -1.350507742303056e+01,  2.162961299382668e+01
s168        , -1.521994145867225e+01, -1.486697374383182e+01,  1.452705092626733e+01
s169        , -1.646060855285067e+01, -1.648961442634236e+01,  6.064654791664880e+00
s170        , -1.475138591090689e+01, -1.530489637672107e+01,  1.224319669053896e+01
s171        , -1.413163078642262e+01, -1.412045516611695e+01,  1.842029481849439e+01
s172        , -1.511887280547885e+01, -1.479339335239181e+01,  1.491078740398285e+01
s173        , -1.616800548598967e+01, -1.628623749746675e+01,  7.125306207184336e+00
s174        , -1.589203754588484e+01, -1.574674447116730e+01,  9.938870386616745e+00
s175        , -1.342492585523155e+01, -1.355888805848326e+01,  2.134897975298443e+01
s176        , -1.466195030038903e+01, -1.418668448647577e+01,  1.807489564870732e+01
s177        , -1.747555642548953e+01, -1.680240857523457e+01,  4.433370660161211e+00
s178        , -1.492207724374237e+01, -1.455161865231444e+01,  1.617169088645554e+01
s179        , -1.518711745246239e+01, -1.472478104997103e+01,  1.526861430247615e+01
s180        , -1.493215977763767e+01, -1.482375356189924e+01,  1.475245283099291e+01
s181        , -1.370584339007942e+01, -1.421783462572268e+01,  1.791244143392234e+01
