# c0 + a0 * ((O - WE) * (AAV - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.420405729411685; Max AE: 1.30535892453561
# Coefficients
# Task   a0                      c0
# all , -8.480682876953334e-02, -1.741499948356026e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         10|6|sub|2|0|sub|mult; ((O - WE) * (AAV - E_T)); $\left(\left(O - WE\right) \left(AAV - E_{T}\right)\right)$; ((O - WE) .* (AAV - E_T)); ((newdata$O - newdata$WE) * (newdata$AAV - newdata$E_T)); O,WE,AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.544331718407255e+01, -2.324909831077222e+01
s2          , -1.676053957577113e+01, -1.633522945668861e+01, -1.273211181856567e+01
s3          , -1.469519139678599e+01, -1.449752151376770e+01, -3.440145106381647e+01
s4          , -1.482490640944098e+01, -1.504619446578081e+01, -2.793177214793390e+01
s5          , -1.661617250197141e+01, -1.678071456050958e+01, -7.479172753580712e+00
s6          , -1.434920619754616e+01, -1.398102344484368e+01, -4.049173974006956e+01
s7          , -1.650308689038163e+01, -1.658806244662377e+01, -9.750830787267525e+00
s8          , -1.458891392032861e+01, -1.435003081897995e+01, -3.614058807586721e+01
s9          , -1.601703755740822e+01, -1.606261920307037e+01, -1.594659651954507e+01
s10         , -1.658811786664458e+01, -1.635913870378967e+01, -1.245018585283907e+01
s11         , -1.506367336241177e+01, -1.487828650640195e+01, -2.991165940247515e+01
s12         , -1.549821089880063e+01, -1.512135449741880e+01, -2.704552238799723e+01
s13         , -1.453148296371105e+01, -1.435469378774432e+01, -3.608560466436584e+01
s14         , -1.465169748063443e+01, -1.453651050346829e+01, -3.394171226369527e+01
s15         , -1.581197879728031e+01, -1.532341148507436e+01, -2.466296675436232e+01
s16         , -1.619315500215883e+01, -1.634787741778096e+01, -1.258297334380062e+01
s17         , -1.684922037807049e+01, -1.617963785698483e+01, -1.456677067754278e+01
s18         , -1.426536183018756e+01, -1.432199762205678e+01, -3.647114160946715e+01
s19         , -1.606751413385304e+01, -1.554957667500396e+01, -2.199613917442515e+01
s20         , -1.502445348449817e+01, -1.513560787442945e+01, -2.687745364615827e+01
s21         , -1.635889943275450e+01, -1.586753839559562e+01, -1.824689250166334e+01
s22         , -1.609859360689693e+01, -1.678754817952756e+01, -7.398594112483909e+00
s23         , -1.425699056390511e+01, -1.450850115523402e+01, -3.427198458540163e+01
s24         , -1.783369299687520e+01, -1.693143742622750e+01, -5.701923587390139e+00
s25         , -1.437292967204356e+01, -1.426894333312135e+01, -3.709673143171614e+01
s26         , -1.507280660180631e+01, -1.477223538672491e+01, -3.116216152849186e+01
s27         , -1.727846250712225e+01, -1.651355664171578e+01, -1.062936623056847e+01
s28         , -1.397837986980880e+01, -1.394632290801927e+01, -4.090091123401504e+01
s29         , -1.642893168374653e+01, -1.686612766102029e+01, -6.472023898353219e+00
s30         , -1.682966437283499e+01, -1.643547837208572e+01, -1.155002640337415e+01
s31         , -1.420746367536026e+01, -1.477661545886769e+01, -3.111051389343310e+01
s32         , -1.693330532410375e+01, -1.644979838797115e+01, -1.138117188902436e+01
s33         , -1.474461208276328e+01, -1.472628547649433e+01, -3.170398004590698e+01
s34         , -1.716094441986192e+01, -1.652778962324968e+01, -1.046153798206057e+01
s35         , -1.490781329092262e+01, -1.567634515815393e+01, -2.050134818896729e+01
s36         , -1.262179431497255e+01, -1.188072925836059e+01, -6.525736553879788e+01
s37         , -1.644088958394727e+01, -1.672697417309882e+01, -8.112852708255231e+00
s38         , -1.461238558797282e+01, -1.413337395211529e+01, -3.869529823315232e+01
s39         , -1.501622627955599e+01, -1.513948740700184e+01, -2.683170812508791e+01
s40         , -1.623397018878606e+01, -1.618294694963913e+01, -1.452775150064022e+01
s41         , -1.477366635037428e+01, -1.481566805363385e+01, -3.065002509397236e+01
s42         , -1.422311445934928e+01, -1.420104891483266e+01, -3.789730868797924e+01
s43         , -1.258984560834217e+01, -1.348332351990849e+01, -4.636037003973220e+01
s44         , -1.596299994962497e+01, -1.642499168530555e+01, -1.167368020498807e+01
s45         , -1.348787700887648e+01, -1.285998383663955e+01, -5.371048196247479e+01
s46         , -1.542057609084416e+01, -1.468254387378729e+01, -3.221975929790461e+01
s47         , -1.436307499232010e+01, -1.489177840094737e+01, -2.975256968362619e+01
s48         , -1.488673519218485e+01, -1.495441616273555e+01, -2.901397630975531e+01
s49         , -1.670962096820184e+01, -1.696391807498744e+01, -5.318927910848560e+00
s50         , -1.470058355659457e+01, -1.449510234798412e+01, -3.442997666509974e+01
s51         , -1.422124899427813e+01, -1.459963542446340e+01, -3.319737455043568e+01
s52         , -1.445526933875853e+01, -1.472692541124471e+01, -3.169643425319580e+01
s53         , -1.689013290841563e+01, -1.666210018748471e+01, -8.877814522714855e+00
s54         , -1.720944815722343e+01, -1.614122284880550e+01, -1.501974137267076e+01
s55         , -1.562566680706692e+01, -1.639746942433495e+01, -1.199820903562492e+01
s56         , -1.398744736555374e+01, -1.436225396591035e+01, -3.599645879868817e+01
s57         , -1.422672185441562e+01, -1.430811851444257e+01, -3.663479715248859e+01
s58         , -1.312845606224703e+01, -1.203325849488239e+01, -6.345881654533995e+01
s59         , -1.619702485478463e+01, -1.630168228694047e+01, -1.312768338084286e+01
s60         , -1.672765451482195e+01, -1.684877103614341e+01, -6.676684597600091e+00
s61         , -1.650980416381348e+01, -1.635490687377794e+01, -1.250008549032267e+01
s62         , -1.380421394955886e+01, -1.397106092736425e+01, -4.060921279765200e+01
s63         , -1.727933600205615e+01, -1.693061482082233e+01, -5.711623341727170e+00
s64         , -1.494958812372483e+01, -1.482986304231592e+01, -3.048264483830157e+01
s65         , -1.623922548981244e+01, -1.646146482639443e+01, -1.124360704203563e+01
