# c0 + a0 * ((AAV / E_T) - (Al - S))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.422238854604958; Max AE: 1.57719932756707
# Coefficients
# Task   a0                      c0
# all ,  1.034936977626314e+00, -1.815475279016723e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|div|13|9|sub|sub; ((AAV / E_T) - (Al - S)); $\left(\left(\frac{ AAV }{ E_{T} } \right) - \left(Al - S\right)\right)$; ((AAV ./ E_T) - (Al - S)); ((newdata$AAV / newdata$E_T) - (newdata$Al - newdata$S)); AAV,E_T,Al,S
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.604309214343092e+01,  2.040376073506933e+00
s2          , -1.676053957577113e+01, -1.644941408446070e+01,  1.647770581758346e+00
s3          , -1.469519139678599e+01, -1.424481311958936e+01,  3.777949532294749e+00
s4          , -1.482490640944098e+01, -1.467267806611842e+01,  3.364528274982649e+00
s5          , -1.661617250197141e+01, -1.668227043104197e+01,  1.422774904132313e+00
s6          , -1.434920619754616e+01, -1.481137028214492e+01,  3.230517973848556e+00
s7          , -1.650308689038163e+01, -1.640300881156818e+01,  1.692609324498942e+00
s8          , -1.458891392032861e+01, -1.410366542171222e+01,  3.914332424131187e+00
s9          , -1.601703755740822e+01, -1.601391199886096e+01,  2.068571166735598e+00
s10         , -1.658811786664458e+01, -1.636726863121950e+01,  1.727143002511549e+00
s11         , -1.506367336241177e+01, -1.469092297105197e+01,  3.346899274059904e+00
s12         , -1.549821089880063e+01, -1.510686286722431e+01,  2.945000506150079e+00
s13         , -1.453148296371105e+01, -1.430288765972544e+01,  3.721835448643704e+00
s14         , -1.465169748063443e+01, -1.420323677611396e+01,  3.818122358635110e+00
s15         , -1.581197879728031e+01, -1.520553284740819e+01,  2.849661386651043e+00
s16         , -1.619315500215883e+01, -1.628262583806847e+01,  1.808928458999108e+00
s17         , -1.684922037807049e+01, -1.613681033315738e+01,  1.949821583955885e+00
s18         , -1.426536183018756e+01, -1.423926106409902e+01,  3.783314163775090e+00
s19         , -1.606751413385304e+01, -1.568356119624099e+01,  2.387770122576987e+00
s20         , -1.502445348449817e+01, -1.515065867352424e+01,  2.902683140700078e+00
s21         , -1.635889943275450e+01, -1.594927826193446e+01,  2.131023024504496e+00
s22         , -1.609859360689693e+01, -1.663503579388105e+01,  1.468415013802812e+00
s23         , -1.425699056390511e+01, -1.443474526838017e+01,  3.594429035011490e+00
s24         , -1.783369299687520e+01, -1.683105258453259e+01,  1.279015277500883e+00
s25         , -1.437292967204356e+01, -1.451215819993254e+01,  3.519629377422762e+00
s26         , -1.507280660180631e+01, -1.463432708905893e+01,  3.401584615502477e+00
s27         , -1.727846250712225e+01, -1.650619384274093e+01,  1.592907571248795e+00
s28         , -1.397837986980880e+01, -1.375218852243379e+01,  4.253944310532776e+00
s29         , -1.642893168374653e+01, -1.673601345936640e+01,  1.370846110895360e+00
s30         , -1.682966437283499e+01, -1.639002042632304e+01,  1.705159253166992e+00
s31         , -1.420746367536026e+01, -1.441980242680260e+01,  3.608867442277448e+00
s32         , -1.693330532410375e+01, -1.648916790542165e+01,  1.609358753965575e+00
