# c0 + a0 * ((S + B) + (AAV / E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.422835773779691; Max AE: 1.67556365086177
# Coefficients
# Task   a0                      c0
# all ,  1.040132400077990e+00, -1.826500393419080e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         9|7|add|2|0|div|add; ((S + B) + (AAV / E_T)); $\left(\left(S + B\right) + \left(\frac{ AAV }{ E_{T} } \right)\right)$; ((S + B) + (AAV ./ E_T)); ((newdata$S + newdata$B) + (newdata$AAV / newdata$E_T)); S,B,AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.614274267179233e+01,  2.040376073506933e+00
s2          , -1.676053957577113e+01, -1.627577519948206e+01,  1.912476464111287e+00
s3          , -1.469519139678599e+01, -1.433543621979154e+01,  3.777949532294749e+00
s4          , -1.482490640944098e+01, -1.476544906440284e+01,  3.364528274982649e+00
s5          , -1.661617250197141e+01, -1.652859476150470e+01,  1.669411675432762e+00
s6          , -1.434920619754616e+01, -1.490483752055662e+01,  3.230517973848556e+00
s7          , -1.650308689038163e+01, -1.650446613510533e+01,  1.692609324498942e+00
s8          , -1.458891392032861e+01, -1.387141505249711e+01,  4.224066937405524e+00
s9          , -1.601703755740822e+01, -1.611341604180198e+01,  2.068571166735598e+00
s10         , -1.658811786664458e+01, -1.629365701911338e+01,  1.895284595431902e+00
s11         , -1.506367336241177e+01, -1.478378555944359e+01,  3.346899274059904e+00
s12         , -1.549821089880063e+01, -1.494935416909074e+01,  3.187718952752021e+00
s13         , -1.453148296371105e+01, -1.437522850343915e+01,  3.739692591500847e+00
s14         , -1.465169748063443e+01, -1.429365116151223e+01,  3.818122358635110e+00
s15         , -1.581197879728031e+01, -1.509073926900854e+01,  3.051789046225511e+00
s16         , -1.619315500215883e+01, -1.638347883456268e+01,  1.808928458999108e+00
s17         , -1.684922037807049e+01, -1.623693133034690e+01,  1.949821583955885e+00
s18         , -1.426536183018756e+01, -1.428296507801675e+01,  3.828396130988204e+00
s19         , -1.606751413385304e+01, -1.549688634376585e+01,  2.661312723473848e+00
s20         , -1.502445348449817e+01, -1.524582915238851e+01,  2.902683140700078e+00
s21         , -1.635889943275450e+01, -1.604845784109148e+01,  2.131023024504496e+00
s22         , -1.609859360689693e+01, -1.651012893905647e+01,  1.687165013802812e+00
s23         , -1.425699056390511e+01, -1.452632183509428e+01,  3.594429035011490e+00
s24         , -1.783369299687520e+01, -1.693465870386739e+01,  1.279015277500883e+00
s25         , -1.437292967204356e+01, -1.457534501566648e+01,  3.547297361612485e+00
s26         , -1.507280660180631e+01, -1.466101482372341e+01,  3.464933031792070e+00
s27         , -1.727846250712225e+01, -1.654787162856609e+01,  1.650878585741548e+00
s28         , -1.397837986980880e+01, -1.384033862867823e+01,  4.253944310532776e+00
s29         , -1.642893168374653e+01, -1.653495281455388e+01,  1.663298941084039e+00
