# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA / rho) + (VPA * E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.381405821223442; Max AE: 1.49718898209431
# Coefficients
# Task   a0                      c0
# all , -6.198024426835201e+01, -1.664497489880065e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|2|div|3|0|mult|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA / rho) + (VPA * E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(\frac{ VPA }{ rho } \right) + \left(VPA E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA ./ rho) + (VPA .* E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA / newdata$rho) + (newdata$VPA * newdata$E_div_T))); rho,E/T,rho,AAV,VPA,rho,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.558128948488229e+01, -1.716168476705232e-02
s2          , -1.676053957577113e+01, -1.616149261973025e+01, -7.800586860824470e-03
s3          , -1.469519139678599e+01, -1.428688758083098e+01, -3.804578936088093e-02
s4          , -1.482490640944098e+01, -1.490648922642366e+01, -2.804902905593568e-02
s5          , -1.661617250197141e+01, -1.694449082215234e+01,  4.832441802824986e-03
s6          , -1.434920619754616e+01, -1.420945674592481e+01, -3.929507186727003e-02
s7          , -1.650308689038163e+01, -1.681226403923668e+01,  2.699071977059732e-03
s8          , -1.458891392032861e+01, -1.389560924866357e+01, -4.435874176670428e-02
s9          , -1.601703755740822e+01, -1.573291780199656e+01, -1.471528722693019e-02
s10         , -1.658811786664458e+01, -1.621494726525561e+01, -6.938140348127394e-03
s11         , -1.506367336241177e+01, -1.495485297689386e+01, -2.726871992612968e-02
s12         , -1.549821089880063e+01, -1.516436733014285e+01, -2.388837904941624e-02
s13         , -1.453148296371105e+01, -1.437672480259640e+01, -3.659634005931871e-02
s14         , -1.465169748063443e+01, -1.437772168048321e+01, -3.658025625876948e-02
s15         , -1.581197879728031e+01, -1.533709951803946e+01, -2.110148800154073e-02
s16         , -1.619315500215883e+01, -1.622369821424913e+01, -6.796951020837387e-03
s17         , -1.684922037807049e+01, -1.646890150483473e+01, -2.840798645510199e-03
s18         , -1.426536183018756e+01, -1.427596282994569e+01, -3.822205118453547e-02
s19         , -1.606751413385304e+01, -1.524178227601371e+01, -2.263935289947587e-02
s20         , -1.502445348449817e+01, -1.515817196635731e+01, -2.398833612216852e-02
s21         , -1.635889943275450e+01, -1.606017408433860e+01, -9.435277665736099e-03
s22         , -1.609859360689693e+01, -1.684121413663815e+01,  3.166157864558513e-03
s23         , -1.425699056390511e+01, -1.454038466703461e+01, -3.395582345003232e-02
s24         , -1.783369299687520e+01, -1.709244393037449e+01,  7.219542885898563e-03
s25         , -1.437292967204356e+01, -1.477474087026257e+01, -3.017467986154816e-02
s26         , -1.507280660180631e+01, -1.478175311552903e+01, -3.006154308144619e-02
s27         , -1.727846250712225e+01, -1.686559782838319e+01,  3.559568572000478e-03
s28         , -1.397837986980880e+01, -1.418051501949185e+01, -3.976202269611236e-02
s29         , -1.642893168374653e+01, -1.706226844517186e+01,  6.732686379299805e-03
s30         , -1.682966437283499e+01, -1.666330512441806e+01,  2.957430360880778e-04
s31         , -1.420746367536026e+01, -1.452730484554103e+01, -3.416685555627818e-02
s32         , -1.693330532410375e+01, -1.645940635435399e+01, -2.993995048538633e-03
s33         , -1.474461208276328e+01, -1.464188292821748e+01, -3.231823291806521e-02
s34         , -1.716094441986192e+01, -1.654828959962197e+01, -1.559937369076386e-03
s35         , -1.490781329092262e+01, -1.541789029627737e+01, -1.979799558727862e-02
s36         , -1.262179431497255e+01, -1.265851692808559e+01, -6.431820361105930e-02
s37         , -1.644088958394727e+01, -1.673276088352505e+01,  1.416354287735828e-03
s38         , -1.461238558797282e+01, -1.414935787480797e+01, -4.026471746686834e-02
s39         , -1.501622627955599e+01, -1.501574196287612e+01, -2.628632647639364e-02
s40         , -1.623397018878606e+01, -1.617909800588369e+01, -7.516538510236912e-03
s41         , -1.477366635037428e+01, -1.495206123634148e+01, -2.731376235191111e-02
s42         , -1.422311445934928e+01, -1.430188750472134e+01, -3.780377798987992e-02
s43         , -1.258984560834217e+01, -1.289362739357461e+01, -6.052489062456849e-02
s44         , -1.596299994962497e+01, -1.639295734279624e+01, -4.066094914264345e-03
s45         , -1.348787700887648e+01, -1.355486565029432e+01, -4.985635802155396e-02
s46         , -1.542057609084416e+01, -1.452036176973376e+01, -3.427887634434096e-02
s47         , -1.436307499232010e+01, -1.478607721023937e+01, -2.999177738817758e-02
s48         , -1.488673519218485e+01, -1.505353300889589e+01, -2.567659919206507e-02
s49         , -1.670962096820184e+01, -1.726020429662253e+01,  9.926217701856003e-03
s50         , -1.470058355659457e+01, -1.438664710892208e+01, -3.643625184987698e-02
s51         , -1.422124899427813e+01, -1.488190221082655e+01, -2.844572022563567e-02
s52         , -1.445526933875853e+01, -1.486199752300790e+01, -2.876686590767708e-02
s53         , -1.689013290841563e+01, -1.703258091538403e+01,  6.253702629908780e-03
s54         , -1.720944815722343e+01, -1.646909346019872e+01, -2.837701604408455e-03
s55         , -1.562566680706692e+01, -1.629677523691029e+01, -5.617913675570246e-03
s56         , -1.398744736555374e+01, -1.440511995088482e+01, -3.613820781696291e-02
s57         , -1.422672185441562e+01, -1.460353977491063e+01, -3.293686799702415e-02
s58         , -1.312845606224703e+01, -1.277344294356095e+01, -6.246396736478424e-02
s59         , -1.619702485478463e+01, -1.625326910289916e+01, -6.319849179773272e-03
