# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + (VPA + E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.382187033358742; Max AE: 1.55581202047007
# Coefficients
# Task   a0                      c0
# all , -6.803071727447299e+01, -1.665021547199498e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|0|mult|3|0|add|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + (VPA + E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(VPA E/T\right) + \left(VPA + E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA .* E_div_T) + (VPA + E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA * newdata$E_div_T) + (newdata$VPA + newdata$E_div_T))); rho,E/T,rho,AAV,VPA,E/T,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.557930584506663e+01, -1.574156013389838e-02
s2          , -1.676053957577113e+01, -1.616930984979620e+01, -7.068948284912956e-03
s3          , -1.469519139678599e+01, -1.427043469984686e+01, -3.498097429352085e-02
s4          , -1.482490640944098e+01, -1.489225134704617e+01, -2.584074070329482e-02
s5          , -1.661617250197141e+01, -1.694744057038353e+01,  4.368983751698175e-03
s6          , -1.434920619754616e+01, -1.421285515724670e+01, -3.582734994421188e-02
s7          , -1.650308689038163e+01, -1.681517257087793e+01,  2.424744372713640e-03
s8          , -1.458891392032861e+01, -1.389243517629266e+01, -4.053728089586255e-02
s9          , -1.601703755740822e+01, -1.575498451531472e+01, -1.315921678538846e-02
s10         , -1.658811786664458e+01, -1.622798681560512e+01, -6.206441344523233e-03
s11         , -1.506367336241177e+01, -1.493865844438026e+01, -2.515859153313592e-02
s12         , -1.549821089880063e+01, -1.514098015768755e+01, -2.218461563793825e-02
s13         , -1.453148296371105e+01, -1.434830933236293e+01, -3.383627619777850e-02
s14         , -1.465169748063443e+01, -1.435628131444530e+01, -3.371909410119399e-02
s15         , -1.581197879728031e+01, -1.531527930030521e+01, -1.962255030038737e-02
s16         , -1.619315500215883e+01, -1.623456945457457e+01, -6.109681539053434e-03
s17         , -1.684922037807049e+01, -1.647897044520423e+01, -2.517172148867052e-03
s18         , -1.426536183018756e+01, -1.425107985736677e+01, -3.526547581365041e-02
s19         , -1.606751413385304e+01, -1.524153341094470e+01, -2.070655899991316e-02
s20         , -1.502445348449817e+01, -1.517666952220931e+01, -2.166000901975774e-02
s21         , -1.635889943275450e+01, -1.607027725052465e+01, -8.524652461483635e-03
s22         , -1.609859360689693e+01, -1.684570256420739e+01,  2.873512143399992e-03
s23         , -1.425699056390511e+01, -1.453756065790396e+01, -3.105442509987692e-02
s24         , -1.783369299687520e+01, -1.709986677257768e+01,  6.609533437205449e-03
s25         , -1.437292967204356e+01, -1.477367583815342e+01, -2.758371084447890e-02
s26         , -1.507280660180631e+01, -1.475610646652271e+01, -2.784196729589679e-02
s27         , -1.727846250712225e+01, -1.686766223510561e+01,  3.196302667710019e-03
s28         , -1.397837986980880e+01, -1.418936496313555e+01, -3.617263800014067e-02
s29         , -1.642893168374653e+01, -1.706474075106561e+01,  6.093207534446692e-03
s30         , -1.682966437283499e+01, -1.666824083641890e+01,  2.649591999918375e-04
s31         , -1.420746367536026e+01, -1.452557067056904e+01, -3.123066882940499e-02
s32         , -1.693330532410375e+01, -1.646560422434904e+01, -2.713645468430458e-03
s33         , -1.474461208276328e+01, -1.462548270120862e+01, -2.976203767803139e-02
s34         , -1.716094441986192e+01, -1.655400325147462e+01, -1.414246745807297e-03
s35         , -1.490781329092262e+01, -1.541889841444533e+01, -1.809942783025269e-02
s36         , -1.262179431497255e+01, -1.275608336803549e+01, -5.724079151258162e-02
s37         , -1.644088958394727e+01, -1.673763680865930e+01,  1.285027413596325e-03
s38         , -1.461238558797282e+01, -1.411833450084969e+01, -3.721673197903089e-02
s39         , -1.501622627955599e+01, -1.499773496998826e+01, -2.429021136642896e-02
s40         , -1.623397018878606e+01, -1.618707995175116e+01, -6.807741249813365e-03
s41         , -1.477366635037428e+01, -1.494039180417384e+01, -2.513311245746217e-02
s42         , -1.422311445934928e+01, -1.430931679744464e+01, -3.440943691811862e-02
s43         , -1.258984560834217e+01, -1.286078752233815e+01, -5.570171977414574e-02
s44         , -1.596299994962497e+01, -1.640062093026355e+01, -3.668850656453170e-03
s45         , -1.348787700887648e+01, -1.357255003761421e+01, -4.523935007128902e-02
s46         , -1.542057609084416e+01, -1.450377325207345e+01, -3.155107436632795e-02
s47         , -1.436307499232010e+01, -1.477118852343343e+01, -2.762027248633193e-02
s48         , -1.488673519218485e+01, -1.506489865409969e+01, -2.330295609701216e-02
s49         , -1.670962096820184e+01, -1.726646000242278e+01,  9.058327695436888e-03
s50         , -1.470058355659457e+01, -1.436912887955210e+01, -3.353024462816906e-02
s51         , -1.422124899427813e+01, -1.490322116581307e+01, -2.567949267877896e-02
s52         , -1.445526933875853e+01, -1.485239351033129e+01, -2.642662070444299e-02
s53         , -1.689013290841563e+01, -1.703604683462541e+01,  5.671428702916189e-03
s54         , -1.720944815722343e+01, -1.647770811924029e+01, -2.535727384127132e-03
s55         , -1.562566680706692e+01, -1.630473723706385e+01, -5.078268299557756e-03
s56         , -1.398744736555374e+01, -1.440910757964303e+01, -3.294258802696587e-02
s57         , -1.422672185441562e+01, -1.460674062632551e+01, -3.003753197875279e-02
s58         , -1.312845606224703e+01, -1.278158993955338e+01, -5.686586423649573e-02
s59         , -1.619702485478463e+01, -1.626608004951278e+01, -5.646499667677986e-03
s60         , -1.672765451482195e+01, -1.695742456346933e+01,  4.515740885619386e-03
s61         , -1.650980416381348e+01, -1.643330946961302e+01, -3.188353894709727e-03
s62         , -1.380421394955886e+01, -1.373011596102100e+01, -4.292325037810075e-02
s63         , -1.727933600205615e+01, -1.707734440416925e+01,  6.278471685826841e-03
s64         , -1.494958812372483e+01, -1.472024794229849e+01, -2.836906043353843e-02
s65         , -1.623922548981244e+01, -1.649292123099712e+01, -2.312106167619081e-03
s66         , -1.367737338350917e+01, -1.415549984921884e+01, -3.667042951658293e-02
s67         , -1.741146232592018e+01, -1.671031762201520e+01,  8.834560684952597e-04
s68         , -1.487711888617207e+01, -1.508669060336769e+01, -2.298263095359089e-02
s69         , -1.433186966990272e+01, -1.474342696870440e+01, -2.802834630711830e-02
s70         , -1.495278133437334e+01, -1.469179954186388e+01, -2.878723036580353e-02
s71         , -1.570155986508802e+01, -1.551753704313848e+01, -1.664951472269010e-02
s72         , -1.639206679417054e+01, -1.672802889794120e+01,  1.143798405539079e-03
s73         , -1.656159175852897e+01, -1.584126413219139e+01, -1.189097178763881e-02
s74         , -1.616936532813614e+01, -1.599239121993450e+01, -9.669518100279030e-03
s75         , -1.476925333058890e+01, -1.488318148297638e+01, -2.597406083327666e-02
s76         , -1.554181169575925e+01, -1.561255190132616e+01, -1.525286829598350e-02
s77         , -1.355623132555349e+01, -1.395084046853460e+01, -3.967876735107213e-02
s78         , -1.613153244530022e+01, -1.656682840592134e+01, -1.225726692505868e-03
s79         , -1.369332123872701e+01, -1.428934302548737e+01, -3.470303623262661e-02
s80         , -1.596103871394553e+01, -1.537439992236978e+01, -1.875352194917867e-02
s81         , -1.371015102329203e+01, -1.355439673712629e+01, -4.550618983449008e-02
s82         , -1.618514068737401e+01, -1.672117359149259e+01,  1.043030594713932e-03
s83         , -1.463129145817202e+01, -1.461956086416678e+01, -2.984908419582633e-02
s84         , -1.558344435959043e+01, -1.583493963032375e+01, -1.198393717329144e-02
s85         , -1.436666926664573e+01, -1.454318507657229e+01, -3.097175040683139e-02
s86         , -1.340858470992052e+01, -1.356857463862957e+01, -4.529778542437514e-02
s87         , -1.690450093998452e+01, -1.621836525187258e+01, -6.347871041548470e-03
s88         , -1.434879628797493e+01, -1.464169055459162e+01, -2.952379451329146e-02
s89         , -1.503479473600998e+01, -1.470390872497011e+01, -2.860923454874678e-02
s90         , -1.481179943199058e+01, -1.508312116012464e+01, -2.303509906485085e-02
s91         , -1.288609925783191e+01, -1.324437043478027e+01, -5.006334158544403e-02
s92         , -1.580824275413979e+01, -1.569468412034543e+01, -1.404558690443342e-02
s93         , -1.408132744524983e+01, -1.351639465809640e+01, -4.606479160369630e-02
s94         , -1.417595748076664e+01, -1.449327695168238e+01, -3.170536202948349e-02
s95         , -1.290027811695738e+01, -1.326861078007151e+01, -4.970702687552506e-02
s96         , -1.563974152224070e+01, -1.522843131316236e+01, -2.089914991042013e-02
s97         , -1.649006866380947e+01, -1.701511621795976e+01,  5.363764496155018e-03
s98         , -1.474432582637551e+01, -1.497748182428191e+01, -2.458791726337908e-02
s99         , -1.617902320789352e+01, -1.637618532623145e+01, -4.028035521923806e-03
s100        , -1.588005443066773e+01, -1.506790519834026e+01, -2.325876217460439e-02
s101        , -1.606627254137342e+01, -1.609480720068742e+01, -8.164080779374108e-03
s102        , -1.451131934460694e+01, -1.477763421556914e+01, -2.752552569555940e-02
s103        , -1.502092590861538e+01, -1.462174025644231e+01, -2.981704878060741e-02
s104        , -1.557036849723766e+01, -1.550156186933837e+01, -1.688433767385287e-02
s105        , -1.434931863042170e+01, -1.440769887720545e+01, -3.296329488548528e-02
s106        , -1.213742527798283e+01, -1.230035486189573e+01, -6.393965526703979e-02
s107        , -1.659053433805247e+01, -1.664370562565133e+01, -9.568980902237215e-05
s108        , -1.700250083426357e+01, -1.685739619532984e+01,  3.045399661140931e-03
s109        , -1.566474756073793e+01, -1.534728950814895e+01, -1.915202449783560e-02
s110        , -1.431419118557280e+01, -1.433330390265053e+01, -3.405684464558516e-02
s111        , -1.645030650736458e+01, -1.613003696901982e+01, -7.646229876961030e-03
s112        , -1.338762259085481e+01, -1.312727162350924e+01, -5.178460539041898e-02
s113        , -1.433675892531957e+01, -1.470980676790380e+01, -2.852253778631372e-02
s114        , -1.609955695453763e+01, -1.624384655541512e+01, -5.973315185555841e-03
s115        , -1.546929652764100e+01, -1.509014073991975e+01, -2.293191656029495e-02
s116        , -1.637830542970395e+01, -1.614306961708091e+01, -7.454659824737198e-03
s117        , -1.674807484517825e+01, -1.690393443120928e+01,  3.729476468558356e-03
s118        , -1.523642937716048e+01, -1.468057766148550e+01, -2.895218350503179e-02
