# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((AAV / rho) + (VPA * E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.38229875263301; Max AE: 1.49913479947503
# Coefficients
# Task   a0                      c0
# all , -6.038462358484691e+01, -1.664377780123698e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|1|2|div|3|0|mult|add|div; (((rho + E/T) + (rho - AAV)) / ((AAV / rho) + (VPA * E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(\frac{ AAV }{ rho } \right) + \left(VPA E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((AAV ./ rho) + (VPA .* E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$AAV / newdata$rho) + (newdata$VPA * newdata$E_div_T))); rho,E/T,rho,AAV,AAV,rho,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.559242335473721e+01, -1.741096299163821e-02
s2          , -1.676053957577113e+01, -1.616109647271460e+01, -7.993447667089660e-03
s3          , -1.469519139678599e+01, -1.427896392996286e+01, -3.916251739072794e-02
s4          , -1.482490640944098e+01, -1.490105038829394e+01, -2.886045005305578e-02
s5          , -1.661617250197141e+01, -1.694222615605230e+01,  4.942456160150931e-03
s6          , -1.434920619754616e+01, -1.423146809867102e+01, -3.994907245180409e-02
s7          , -1.650308689038163e+01, -1.681021852825459e+01,  2.756342875661695e-03
s8          , -1.458891392032861e+01, -1.387939006625200e+01, -4.577966327968772e-02
s9          , -1.601703755740822e+01, -1.573562926155221e+01, -1.503940052567727e-02
s10         , -1.658811786664458e+01, -1.621469783962482e+01, -7.105781838802989e-03
s11         , -1.506367336241177e+01, -1.495532942466964e+01, -2.796156167463553e-02
s12         , -1.549821089880063e+01, -1.516219685361582e+01, -2.453573210635957e-02
s13         , -1.453148296371105e+01, -1.437131540212583e+01, -3.763313016132483e-02
s14         , -1.465169748063443e+01, -1.436872830511755e+01, -3.767597380022990e-02
s15         , -1.581197879728031e+01, -1.533239420739607e+01, -2.171717758575213e-02
s16         , -1.619315500215883e+01, -1.622430593470013e+01, -6.946666910119044e-03
s17         , -1.684922037807049e+01, -1.646932853057734e+01, -2.888968421149872e-03
s18         , -1.426536183018756e+01, -1.427626054848385e+01, -3.920728675945989e-02
s19         , -1.606751413385304e+01, -1.524274515408627e+01, -2.320181138799537e-02
s20         , -1.502445348449817e+01, -1.516517653299420e+01, -2.448638710424670e-02
s21         , -1.635889943275450e+01, -1.606454024682623e+01, -9.592467751278748e-03
s22         , -1.609859360689693e+01, -1.684002577076590e+01,  3.249965933018799e-03
s23         , -1.425699056390511e+01, -1.454197501170113e+01, -3.480692045024664e-02
s24         , -1.783369299687520e+01, -1.708730034232384e+01,  7.344958281699974e-03
s25         , -1.437292967204356e+01, -1.479197298503169e+01, -3.066682718661489e-02
s26         , -1.507280660180631e+01, -1.477916407414629e+01, -3.087894924890460e-02
s27         , -1.727846250712225e+01, -1.686243358813586e+01,  3.621050756268124e-03
s28         , -1.397837986980880e+01, -1.418521916414835e+01, -4.071497826982554e-02
s29         , -1.642893168374653e+01, -1.706011841026279e+01,  6.894811697232925e-03
s30         , -1.682966437283499e+01, -1.666195806766689e+01,  3.010744350234746e-04
s31         , -1.420746367536026e+01, -1.451553162432296e+01, -3.524483636009770e-02
s32         , -1.693330532410375e+01, -1.645970788780099e+01, -3.048291146128524e-03
s33         , -1.474461208276328e+01, -1.464060771249287e+01, -3.317351288825117e-02
s34         , -1.716094441986192e+01, -1.654771850720734e+01, -1.590790640512434e-03
s35         , -1.490781329092262e+01, -1.541424451869725e+01, -2.036169490751406e-02
s36         , -1.262179431497255e+01, -1.269837537703084e+01, -6.533786566811041e-02
s37         , -1.644088958394727e+01, -1.673150308901197e+01,  1.452775269050422e-03
s38         , -1.461238558797282e+01, -1.414928761004328e+01, -4.131002303407044e-02
s39         , -1.501622627955599e+01, -1.500711181413050e+01, -2.710401903568699e-02
s40         , -1.623397018878606e+01, -1.618150779977332e+01, -7.655425736224437e-03
s41         , -1.477366635037428e+01, -1.495912255202638e+01, -2.789874556133446e-02
s42         , -1.422311445934928e+01, -1.429722528980972e+01, -3.886010000758058e-02
s43         , -1.258984560834217e+01, -1.284798150825531e+01, -6.286031223906147e-02
s44         , -1.596299994962497e+01, -1.639177569768660e+01, -4.173282676777681e-03
s45         , -1.348787700887648e+01, -1.356713126381060e+01, -5.095082745863868e-02
s46         , -1.542057609084416e+01, -1.451254486067969e+01, -3.529429868123098e-02
s47         , -1.436307499232010e+01, -1.477599898565097e+01, -3.093136472005297e-02
s48         , -1.488673519218485e+01, -1.506528543684436e+01, -2.614063433176281e-02
s49         , -1.670962096820184e+01, -1.725457071127508e+01,  1.011504044866426e-02
s50         , -1.470058355659457e+01, -1.438528516102626e+01, -3.740178386700217e-02
s51         , -1.422124899427813e+01, -1.489449317198295e+01, -2.896904088167569e-02
s52         , -1.445526933875853e+01, -1.485902033353255e+01, -2.955648908197065e-02
s53         , -1.689013290841563e+01, -1.702786786882328e+01,  6.360726370126444e-03
s54         , -1.720944815722343e+01, -1.647002152435389e+01, -2.877492092650879e-03
s55         , -1.562566680706692e+01, -1.629627568118701e+01, -5.754811397668044e-03
s56         , -1.398744736555374e+01, -1.440210843145573e+01, -3.712318197415711e-02
s57         , -1.422672185441562e+01, -1.461453333900439e+01, -3.360531774088617e-02
s58         , -1.312845606224703e+01, -1.279778614882271e+01, -6.369157285563337e-02
s59         , -1.619702485478463e+01, -1.625386304620968e+01, -6.457186149043964e-03
s60         , -1.672765451482195e+01, -1.694986725997316e+01,  5.068996717452299e-03
s61         , -1.650980416381348e+01, -1.642915154277962e+01, -3.554319721075729e-03
s62         , -1.380421394955886e+01, -1.368640107977717e+01, -4.897565880003183e-02
s63         , -1.727933600205615e+01, -1.706758443370594e+01,  7.018452833004083e-03
s64         , -1.494958812372483e+01, -1.473492367316772e+01, -3.161159273249618e-02
s65         , -1.623922548981244e+01, -1.648721461788812e+01, -2.592765741577713e-03
s66         , -1.367737338350917e+01, -1.414979734590325e+01, -4.130158154963767e-02
s67         , -1.741146232592018e+01, -1.670376041417893e+01,  9.933424998115233e-04
s68         , -1.487711888617207e+01, -1.510335562702639e+01, -2.551017266914204e-02
s69         , -1.433186966990272e+01, -1.475915754896207e+01, -3.121026745536993e-02
s70         , -1.495278133437334e+01, -1.469611009492946e+01, -3.225436527845272e-02
s71         , -1.570155986508802e+01, -1.551943114187691e+01, -1.861975106593562e-02
s72         , -1.639206679417054e+01, -1.672178398674095e+01,  1.291822004890948e-03
s73         , -1.656159175852897e+01, -1.582776444843316e+01, -1.351359509026718e-02
s74         , -1.616936532813614e+01, -1.599102954536120e+01, -1.080984225990248e-02
s75         , -1.476925333058890e+01, -1.489917754147577e+01, -2.889146534646955e-02
s76         , -1.554181169575925e+01, -1.562928111499770e+01, -1.680057978359027e-02
s77         , -1.355623132555349e+01, -1.398555914543985e+01, -4.402144946820853e-02
s78         , -1.613153244530022e+01, -1.655854302269032e+01, -1.411531172781151e-03
s79         , -1.369332123872701e+01, -1.427950817986194e+01, -3.915350433629831e-02
s80         , -1.596103871394553e+01, -1.538839375891114e+01, -2.078979660379752e-02
s81         , -1.371015102329203e+01, -1.354522203963925e+01, -5.131365532558008e-02
s82         , -1.618514068737401e+01, -1.671503432960677e+01,  1.180044258612763e-03
s83         , -1.463129145817202e+01, -1.460234263632512e+01, -3.380720196166211e-02
