# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((AAV + E/T) + (VPA * E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.382450525165275; Max AE: 1.51585932559853
# Coefficients
# Task   a0                      c0
# all , -6.463114485651397e+01, -1.665018258603916e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|1|0|add|3|0|mult|add|div; (((rho + E/T) + (rho - AAV)) / ((AAV + E/T) + (VPA * E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(AAV + E/T\right) + \left(VPA E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((AAV + E_div_T) + (VPA .* E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$AAV + newdata$E_div_T) + (newdata$VPA * newdata$E_div_T))); rho,E/T,rho,AAV,AAV,E/T,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.559946110000813e+01, -1.625720058593592e-02
s2          , -1.676053957577113e+01, -1.616764851337030e+01, -7.465968206816065e-03
s3          , -1.469519139678599e+01, -1.426358871415872e+01, -3.692637469410234e-02
s4          , -1.482490640944098e+01, -1.488260132156500e+01, -2.734875373781974e-02
s5          , -1.661617250197141e+01, -1.694601365823317e+01,  4.577221598824833e-03
s6          , -1.434920619754616e+01, -1.424486807917036e+01, -3.721602815807724e-02
s7          , -1.650308689038163e+01, -1.681663819907390e+01,  2.575470594003690e-03
s8          , -1.458891392032861e+01, -1.386973066101671e+01, -4.302031058238658e-02
s9          , -1.601703755740822e+01, -1.575757242592854e+01, -1.381083627858173e-02
s10         , -1.658811786664458e+01, -1.622697554984455e+01, -6.548035581516534e-03
s11         , -1.506367336241177e+01, -1.493751339902487e+01, -2.649913119776139e-02
s12         , -1.549821089880063e+01, -1.514219160659897e+01, -2.333226469665734e-02
s13         , -1.453148296371105e+01, -1.434773551046563e+01, -3.562442040420497e-02
s14         , -1.465169748063443e+01, -1.434739177508277e+01, -3.562973882125655e-02
s15         , -1.581197879728031e+01, -1.531007427127022e+01, -2.073471416519204e-02
s16         , -1.619315500215883e+01, -1.623572463953090e+01, -6.412666020822971e-03
s17         , -1.684922037807049e+01, -1.647930856856449e+01, -2.643833988304163e-03
s18         , -1.426536183018756e+01, -1.426103761360040e+01, -3.696584638478614e-02
s19         , -1.606751413385304e+01, -1.524285099984921e+01, -2.177482062733574e-02
s20         , -1.502445348449817e+01, -1.516632356796115e+01, -2.295888493654705e-02
s21         , -1.635889943275450e+01, -1.607044012627642e+01, -8.970016871120153e-03
s22         , -1.609859360689693e+01, -1.684649019059345e+01,  3.037353043801263e-03
s23         , -1.425699056390511e+01, -1.453505186977337e+01, -3.272618365281225e-02
s24         , -1.783369299687520e+01, -1.709463535124961e+01,  6.876758352295498e-03
s25         , -1.437292967204356e+01, -1.479315897695970e+01, -2.873264295723359e-02
s26         , -1.507280660180631e+01, -1.475808695500246e+01, -2.927529189274454e-02
s27         , -1.727846250712225e+01, -1.686733245224427e+01,  3.359833199414939e-03
s28         , -1.397837986980880e+01, -1.417753278897579e+01, -3.825786782135518e-02
s29         , -1.642893168374653e+01, -1.706371937901258e+01,  6.398413549558843e-03
s30         , -1.682966437283499e+01, -1.666813361088800e+01,  2.777457352595699e-04
s31         , -1.420746367536026e+01, -1.450348493769960e+01, -3.321460037734730e-02
s32         , -1.693330532410375e+01, -1.646782289880996e+01, -2.821545055933097e-03
s33         , -1.474461208276328e+01, -1.462585770777492e+01, -3.132119789550990e-02
s34         , -1.716094441986192e+01, -1.655473268911157e+01, -1.476840571824787e-03
s35         , -1.490781329092262e+01, -1.540865452261090e+01, -1.920943944571215e-02
s36         , -1.262179431497255e+01, -1.277681202605005e+01, -5.993040303693037e-02
s37         , -1.644088958394727e+01, -1.673844043880990e+01,  1.365562268263743e-03
s38         , -1.461238558797282e+01, -1.413005567233864e+01, -3.899245354999342e-02
s39         , -1.501622627955599e+01, -1.498477555767035e+01, -2.576787138872651e-02
s40         , -1.623397018878606e+01, -1.618976149204851e+01, -7.123826987945467e-03
s41         , -1.477366635037428e+01, -1.495300482417801e+01, -2.625944141371799e-02
s42         , -1.422311445934928e+01, -1.428224551499927e+01, -3.663770889865693e-02
s43         , -1.258984560834217e+01, -1.282785224231029e+01, -5.914068754645664e-02
s44         , -1.596299994962497e+01, -1.639837498881494e+01, -3.896072052928143e-03
s45         , -1.348787700887648e+01, -1.356863455345674e+01, -4.767899500192504e-02
s46         , -1.542057609084416e+01, -1.449349339930562e+01, -3.336919362207721e-02
s47         , -1.436307499232010e+01, -1.475608692822847e+01, -2.930623714024747e-02
s48         , -1.488673519218485e+01, -1.507330647006044e+01, -2.439808422826956e-02
s49         , -1.670962096820184e+01, -1.726064108584050e+01,  9.445268239586477e-03
s50         , -1.470058355659457e+01, -1.437149385424976e+01, -3.525682141091968e-02
s51         , -1.422124899427813e+01, -1.491398634147183e+01, -2.686315163412033e-02
s52         , -1.445526933875853e+01, -1.483841673859557e+01, -2.803239601380803e-02
s53         , -1.689013290841563e+01, -1.703275251940594e+01,  5.919281396238932e-03
s54         , -1.720944815722343e+01, -1.647965788836738e+01, -2.638429166779412e-03
s55         , -1.562566680706692e+01, -1.630545078854973e+01, -5.333833993731003e-03
s56         , -1.398744736555374e+01, -1.439022259687689e+01, -3.496704250217993e-02
s57         , -1.422672185441562e+01, -1.461248747402271e+01, -3.152806772246231e-02
s58         , -1.312845606224703e+01, -1.281986707489017e+01, -5.926423738357996e-02
s59         , -1.619702485478463e+01, -1.626628380774125e+01, -5.939841838639743e-03
s60         , -1.672765451482195e+01, -1.695817280335467e+01,  4.765352957916497e-03
s61         , -1.650980416381348e+01, -1.643512496309004e+01, -3.327461140082845e-03
s62         , -1.380421394955886e+01, -1.368539700038803e+01, -4.587239777715799e-02
s63         , -1.727933600205615e+01, -1.707664299576749e+01,  6.598373132258519e-03
s64         , -1.494958812372483e+01, -1.471080764977516e+01, -3.000681700083696e-02
s65         , -1.623922548981244e+01, -1.649293103244744e+01, -2.433061551684261e-03
s66         , -1.367737338350917e+01, -1.417392921770045e+01, -3.831362377745555e-02
s67         , -1.741146232592018e+01, -1.670993054157921e+01,  9.244452604498585e-04
s68         , -1.487711888617207e+01, -1.509683372470228e+01, -2.403406074247064e-02
s69         , -1.433186966990272e+01, -1.474633148291507e+01, -2.945717745447316e-02
s70         , -1.495278133437334e+01, -1.467231153349641e+01, -3.060244495024456e-02
s71         , -1.570155986508802e+01, -1.551297781960308e+01, -1.759530593123114e-02
s72         , -1.639206679417054e+01, -1.672835313300564e+01,  1.209487270263093e-03
s73         , -1.656159175852897e+01, -1.584679998044897e+01, -1.243027038084742e-02
s74         , -1.616936532813614e+01, -1.599301815516346e+01, -1.016792186390401e-02
s75         , -1.476925333058890e+01, -1.489226227190667e+01, -2.719927548916552e-02
s76         , -1.554181169575925e+01, -1.562487236972266e+01, -1.586402683400957e-02
s77         , -1.355623132555349e+01, -1.397559868044043e+01, -4.138227647887886e-02
s78         , -1.613153244530022e+01, -1.656564150863202e+01, -1.308054771346366e-03
s79         , -1.369332123872701e+01, -1.428077944044031e+01, -3.666039261503259e-02
s80         , -1.596103871394553e+01, -1.536340594298788e+01, -1.990954432120952e-02
s81         , -1.371015102329203e+01, -1.354676657804353e+01, -4.801734542820572e-02
s82         , -1.618514068737401e+01, -1.672146767105799e+01,  1.102952534371581e-03
s83         , -1.463129145817202e+01, -1.460521303154329e+01, -3.164062092719933e-02
s84         , -1.558344435959043e+01, -1.582586013639221e+01, -1.275426037210086e-02
s85         , -1.436666926664573e+01, -1.452655679551910e+01, -3.285762298091211e-02
s86         , -1.340858470992052e+01, -1.355875720832460e+01, -4.783182140093222e-02
s87         , -1.690450093998452e+01, -1.621514232063578e+01, -6.731124233822574e-03
s88         , -1.434879628797493e+01, -1.463964161065643e+01, -3.110792760744505e-02
s89         , -1.503479473600998e+01, -1.469343160684110e+01, -3.027566637636064e-02
s90         , -1.481179943199058e+01, -1.510032354762175e+01, -2.398006474832232e-02
s91         , -1.288609925783191e+01, -1.324508747538191e+01, -5.268505019084561e-02
s92         , -1.580824275413979e+01, -1.568783392046317e+01, -1.488985948976269e-02
s93         , -1.408132744524983e+01, -1.350344885000188e+01, -4.868757536359999e-02
s94         , -1.417595748076664e+01, -1.451194006153502e+01, -3.308377917877203e-02
s95         , -1.290027811695738e+01, -1.322371491872038e+01, -5.301573529179776e-02
s96         , -1.563974152224070e+01, -1.522700137056283e+01, -2.202005269496463e-02
s97         , -1.649006866380947e+01, -1.701515655619414e+01,  5.647029322554124e-03
s98         , -1.474432582637551e+01, -1.497538901744617e+01, -2.591310384971767e-02
s99         , -1.617902320789352e+01, -1.637689697114195e+01, -4.228388890587140e-03
s100        , -1.588005443066773e+01, -1.506424687907093e+01, -2.453825799448746e-02
s101        , -1.606627254137342e+01, -1.609804974552225e+01, -8.542829339364002e-03
s102        , -1.451131934460694e+01, -1.475619210193762e+01, -2.930460984880191e-02
s103        , -1.502092590861538e+01, -1.464067164443054e+01, -3.109199049575680e-02
s104        , -1.557036849723766e+01, -1.549747917918996e+01, -1.783510735278306e-02
s105        , -1.434931863042170e+01, -1.440645374657863e+01, -3.471590739173468e-02
s106        , -1.213742527798283e+01, -1.230123556404397e+01, -6.728872019287574e-02
s107        , -1.659053433805247e+01, -1.664370929230277e+01, -1.001574976082230e-04
s108        , -1.700250083426357e+01, -1.685754905950191e+01,  3.208460470925024e-03
s109        , -1.566474756073793e+01, -1.534460344626638e+01, -2.020046438402517e-02
s110        , -1.431419118557280e+01, -1.431700918390342e+01, -3.609983093005022e-02
s111        , -1.645030650736458e+01, -1.613283559660192e+01, -8.004608158895934e-03
s112        , -1.338762259085481e+01, -1.313260694992866e+01, -5.442539574256001e-02
s113        , -1.433675892531957e+01, -1.471925031416231e+01, -2.987618858003621e-02
s114        , -1.609955695453763e+01, -1.624358963178458e+01, -6.290975583942512e-03
s115        , -1.546929652764100e+01, -1.507462235611962e+01, -2.437772429093430e-02
s116        , -1.637830542970395e+01, -1.614769545624217e+01, -7.774690219592176e-03
