# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA + AAV) + (VPA * E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.382529242099091; Max AE: 1.52469156921779
# Coefficients
# Task   a0                      c0
# all , -7.226639909257217e+01, -1.666898352137461e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|1|add|3|0|mult|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA + AAV) + (VPA * E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(VPA + AAV\right) + \left(VPA E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA + AAV) + (VPA .* E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA + newdata$AAV) + (newdata$VPA * newdata$E_div_T))); rho,E/T,rho,AAV,VPA,AAV,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.556496489187032e+01, -1.527706712064148e-02
s2          , -1.676053957577113e+01, -1.617078529766360e+01, -6.893912384825338e-03
s3          , -1.469519139678599e+01, -1.425319341331740e+01, -3.342895368236941e-02
s4          , -1.482490640944098e+01, -1.486745645987803e+01, -2.492897230411120e-02
s5          , -1.661617250197141e+01, -1.697955019184285e+01,  4.297525189686164e-03
s6          , -1.434920619754616e+01, -1.420315292534765e+01, -3.412139842291399e-02
s7          , -1.650308689038163e+01, -1.684079601907091e+01,  2.377488014536408e-03
s8          , -1.458891392032861e+01, -1.388671971557521e+01, -3.850010296258653e-02
s9          , -1.601703755740822e+01, -1.575230182055019e+01, -1.268475684875584e-02
s10         , -1.658811786664458e+01, -1.623373003394120e+01, -6.022902661524086e-03
s11         , -1.506367336241177e+01, -1.491331144921364e+01, -2.429444519453621e-02
s12         , -1.549821089880063e+01, -1.511499217557379e+01, -2.150364990249736e-02
s13         , -1.453148296371105e+01, -1.432657683938052e+01, -3.241349660986302e-02
s14         , -1.465169748063443e+01, -1.433565568482818e+01, -3.228786636452553e-02
s15         , -1.581197879728031e+01, -1.529007987255206e+01, -1.908084069688049e-02
s16         , -1.619315500215883e+01, -1.623976019324780e+01, -5.939459188730045e-03
s17         , -1.684922037807049e+01, -1.649283192610428e+01, -2.437531099960923e-03
s18         , -1.426536183018756e+01, -1.423312237614549e+01, -3.370669046493968e-02
s19         , -1.606751413385304e+01, -1.522309729073334e+01, -2.000772487347978e-02
s20         , -1.502445348449817e+01, -1.516074253058713e+01, -2.087057069019657e-02
s21         , -1.635889943275450e+01, -1.606968706591111e+01, -8.292878336110499e-03
s22         , -1.609859360689693e+01, -1.687340577359366e+01,  2.828731675936767e-03
s23         , -1.425699056390511e+01, -1.451859557791170e+01, -2.975640090643366e-02
s24         , -1.783369299687520e+01, -1.714204762321941e+01,  6.546114207777360e-03
s25         , -1.437292967204356e+01, -1.475418155570254e+01, -2.649643526888947e-02
s26         , -1.507280660180631e+01, -1.473026934568004e+01, -2.682732500911118e-02
s27         , -1.727846250712225e+01, -1.689523248446542e+01,  3.130762926225032e-03
s28         , -1.397837986980880e+01, -1.417554311186888e+01, -3.450345445207079e-02
s29         , -1.642893168374653e+01, -1.710304441150080e+01,  6.006399870154936e-03
s30         , -1.682966437283499e+01, -1.668767116937079e+01,  2.585938725442486e-04
s31         , -1.420746367536026e+01, -1.450651880909822e+01, -2.992351548478716e-02
s32         , -1.693330532410375e+01, -1.647720991519710e+01, -2.653703638005401e-03
s33         , -1.474461208276328e+01, -1.460280844500293e+01, -2.859108939031183e-02
s34         , -1.716094441986192e+01, -1.656888145551419e+01, -1.385181316868914e-03
s35         , -1.490781329092262e+01, -1.540104320325929e+01, -1.754536456827064e-02
s36         , -1.262179431497255e+01, -1.281821544948528e+01, -5.328573334554220e-02
s37         , -1.644088958394727e+01, -1.676033183582482e+01,  1.264049621916094e-03
s38         , -1.461238558797282e+01, -1.410180485942810e+01, -3.552382150185731e-02
s39         , -1.501622627955599e+01, -1.497177301829474e+01, -2.348547214737750e-02
s40         , -1.623397018878606e+01, -1.618951539529869e+01, -6.634731107353717e-03
s41         , -1.477366635037428e+01, -1.491791910459470e+01, -2.423068588953535e-02
s42         , -1.422311445934928e+01, -1.429190127269957e+01, -3.289332633870467e-02
s43         , -1.258984560834217e+01, -1.289789372282400e+01, -5.218317013028289e-02
s44         , -1.596299994962497e+01, -1.640993950431887e+01, -3.584570703791576e-03
s45         , -1.348787700887648e+01, -1.357654115615158e+01, -4.279225759210258e-02
s46         , -1.542057609084416e+01, -1.448178094337113e+01, -3.026583039237508e-02
s47         , -1.436307499232010e+01, -1.474684785768615e+01, -2.659791670574643e-02
s48         , -1.488673519218485e+01, -1.504888721796545e+01, -2.241838978767767e-02
s49         , -1.670962096820184e+01, -1.731810269110044e+01,  8.982309591686125e-03
s50         , -1.470058355659457e+01, -1.434992799637825e+01, -3.209037054725376e-02
s51         , -1.422124899427813e+01, -1.489139643399365e+01, -2.459769837298661e-02
s52         , -1.445526933875853e+01, -1.482720776400920e+01, -2.548592126482082e-02
s53         , -1.689013290841563e+01, -1.707300270563798e+01,  5.590692069018524e-03
