# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA + rho) + (VPA * E/T)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.382820243147015; Max AE: 1.56935320073919
# Coefficients
# Task   a0                      c0
# all , -6.715862001514063e+01, -1.665253194099355e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|2|add|3|0|mult|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA + rho) + (VPA * E/T))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(VPA + rho\right) + \left(VPA E/T\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA + rho) + (VPA .* E_div_T))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA + newdata$rho) + (newdata$VPA * newdata$E_div_T))); rho,E/T,rho,AAV,VPA,rho,VPA,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.557168744740627e+01, -1.609390564224818e-02
s2          , -1.676053957577113e+01, -1.616772955632673e+01, -7.218766326013272e-03
s3          , -1.469519139678599e+01, -1.426807042217698e+01, -3.550492130837413e-02
s4          , -1.482490640944098e+01, -1.489192447914828e+01, -2.621565871139623e-02
s5          , -1.661617250197141e+01, -1.695465769978637e+01,  4.498689203630216e-03
s6          , -1.434920619754616e+01, -1.420895612188691e+01, -3.638514041169619e-02
s7          , -1.650308689038163e+01, -1.681828293603619e+01,  2.468052425813382e-03
s8          , -1.458891392032861e+01, -1.389250570094365e+01, -4.109712557267647e-02
s9          , -1.601703755740822e+01, -1.574808208009785e+01, -1.346736816051009e-02
s10         , -1.658811786664458e+01, -1.622584929471773e+01, -6.353356370032944e-03
s11         , -1.506367336241177e+01, -1.493844457619057e+01, -2.552296882241689e-02
s12         , -1.549821089880063e+01, -1.513883393605654e+01, -2.253914694190788e-02
s13         , -1.453148296371105e+01, -1.434681012035387e+01, -3.433247764947915e-02
s14         , -1.465169748063443e+01, -1.435542508636939e+01, -3.420419976030307e-02
s15         , -1.581197879728031e+01, -1.531541778490961e+01, -1.990979200856846e-02
s16         , -1.619315500215883e+01, -1.623205798585477e+01, -6.260908205737242e-03
s17         , -1.684922037807049e+01, -1.648015155686888e+01, -2.566764833550803e-03
s18         , -1.426536183018756e+01, -1.424653151601014e+01, -3.582563823439169e-02
s19         , -1.606751413385304e+01, -1.523597924756466e+01, -2.109264146746215e-02
s20         , -1.502445348449817e+01, -1.518050968396455e+01, -2.191858999927546e-02
s21         , -1.635889943275450e+01, -1.607131034995259e+01, -8.654460006919763e-03
s22         , -1.609859360689693e+01, -1.685034848109480e+01,  2.945512282066756e-03
s23         , -1.425699056390511e+01, -1.453664307055904e+01, -3.150584198956868e-02
s24         , -1.783369299687520e+01, -1.710853676163775e+01,  6.789967103871400e-03
s25         , -1.437292967204356e+01, -1.477290300375094e+01, -2.798790292026338e-02
s26         , -1.507280660180631e+01, -1.475353582913034e+01, -2.827628250007345e-02
s27         , -1.727846250712225e+01, -1.687159384573721e+01,  3.261858339171802e-03
s28         , -1.397837986980880e+01, -1.419611846545705e+01, -3.657629467345677e-02
s29         , -1.642893168374653e+01, -1.707383426341964e+01,  6.273242695146433e-03
s30         , -1.682966437283499e+01, -1.667073521115938e+01,  2.710489012688085e-04
s31         , -1.420746367536026e+01, -1.452542665134648e+01, -3.167285583246828e-02
s32         , -1.693330532410375e+01, -1.646520483064106e+01, -2.789323400484624e-03
s33         , -1.474461208276328e+01, -1.462295502086759e+01, -3.022064657773484e-02
s34         , -1.716094441986192e+01, -1.655504334330304e+01, -1.451617047350467e-03
s35         , -1.490781329092262e+01, -1.541719276905715e+01, -1.839435014682989e-02
s36         , -1.262179431497255e+01, -1.277751494700087e+01, -5.769947317439028e-02
s37         , -1.644088958394727e+01, -1.674057032183006e+01,  1.310902171853183e-03
s38         , -1.461238558797282e+01, -1.411450505372650e+01, -3.779152827581715e-02
s39         , -1.501622627955599e+01, -1.499794171028652e+01, -2.463704927727826e-02
s40         , -1.623397018878606e+01, -1.618552159056837e+01, -6.953840777548680e-03
s41         , -1.477366635037428e+01, -1.493542577377919e+01, -2.556791915657645e-02
s42         , -1.422311445934928e+01, -1.431662224972438e+01, -3.478197870567538e-02
s43         , -1.258984560834217e+01, -1.285882010896682e+01, -5.648882944842303e-02
s44         , -1.596299994962497e+01, -1.640103980086140e+01, -3.744748478682923e-03
s45         , -1.348787700887648e+01, -1.358426858833466e+01, -4.568681357608538e-02
s46         , -1.542057609084416e+01, -1.450310360087945e+01, -3.200524876225157e-02
s47         , -1.436307499232010e+01, -1.477076136751345e+01, -2.801979214367206e-02
s48         , -1.488673519218485e+01, -1.506321163498883e+01, -2.366517217963098e-02
s49         , -1.670962096820184e+01, -1.727853277588630e+01,  9.321228380684748e-03
s50         , -1.470058355659457e+01, -1.436620272272965e+01, -3.404371944730925e-02
s51         , -1.422124899427813e+01, -1.489901837688545e+01, -2.611002971342729e-02
s52         , -1.445526933875853e+01, -1.485571649913243e+01, -2.675479992674113e-02
s53         , -1.689013290841563e+01, -1.704317858673631e+01,  5.816775950052203e-03
s54         , -1.720944815722343e+01, -1.647840872986196e+01, -2.592715739131249e-03
s55         , -1.562566680706692e+01, -1.630250914283915e+01, -5.211881930800307e-03
s56         , -1.398744736555374e+01, -1.441339443541198e+01, -3.334102911996654e-02
s57         , -1.422672185441562e+01, -1.460797296946501e+01, -3.044373114080662e-02
s58         , -1.312845606224703e+01, -1.278868273494473e+01, -5.753318345698187e-02
s59         , -1.619702485478463e+01, -1.626442968033191e+01, -5.778889747498421e-03
s60         , -1.672765451482195e+01, -1.696259692988583e+01,  4.616905303033100e-03
s61         , -1.650980416381348e+01, -1.643327432585396e+01, -3.264772490711702e-03
s62         , -1.380421394955886e+01, -1.373908367035500e+01, -4.338159822196655e-02
s63         , -1.727933600205615e+01, -1.708406047353933e+01,  6.425512204516684e-03
s64         , -1.494958812372483e+01, -1.472014598029118e+01, -2.877346140028969e-02
s65         , -1.623922548981244e+01, -1.649394927894647e+01, -2.361315077816115e-03
s66         , -1.367737338350917e+01, -1.414938706478623e+01, -3.727213089910120e-02
s67         , -1.741146232592018e+01, -1.671300344755539e+01,  9.004280693709130e-04
s68         , -1.487711888617207e+01, -1.508690451676241e+01, -2.331238229549936e-02
