# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + AAV))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.383010227838214; Max AE: 1.52639696614912
# Coefficients
# Task   a0                      c0
# all , -6.333371818799567e+01, -1.665282743137156e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|0|mult|1|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + AAV)); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(VPA E/T\right) + AAV\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA .* E_div_T) + AAV)); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA * newdata$E_div_T) + newdata$AAV)); rho,E/T,rho,AAV,VPA,E/T,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.559115516567076e+01, -1.676314443673420e-02
s2          , -1.676053957577113e+01, -1.616455308812235e+01, -7.709548045163538e-03
s3          , -1.469519139678599e+01, -1.426246503672368e+01, -3.774233477896371e-02
s4          , -1.482490640944098e+01, -1.488390723185661e+01, -2.793014921789691e-02
s5          , -1.661617250197141e+01, -1.695517820720642e+01,  4.773930608927606e-03
s6          , -1.434920619754616e+01, -1.423960968015233e+01, -3.810320663719733e-02
s7          , -1.650308689038163e+01, -1.682106993716223e+01,  2.656444475457340e-03
s8          , -1.458891392032861e+01, -1.386967804173928e+01, -4.394419701320799e-02
s9          , -1.601703755740822e+01, -1.574477674550491e+01, -1.433755528407870e-02
s10         , -1.658811786664458e+01, -1.622209353550484e+01, -6.801020186248175e-03
s11         , -1.506367336241177e+01, -1.493937882911631e+01, -2.705428721505270e-02
s12         , -1.549821089880063e+01, -1.514259301234908e+01, -2.384566171434296e-02
