# c0 + a0 * (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + (rho + AAV)))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.38301904766815; Max AE: 1.52939477183565
# Coefficients
# Task   a0                      c0
# all , -6.376326730842059e+01, -1.665269351605006e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         2|0|add|2|1|sub|add|3|0|mult|2|1|add|add|div; (((rho + E/T) + (rho - AAV)) / ((VPA * E/T) + (rho + AAV))); $\left(\frac{ \left(\left(rho + E/T\right) + \left(rho - AAV\right)\right) }{ \left(\left(VPA E/T\right) + \left(rho + AAV\right)\right) } \right)$; (((rho + E_div_T) + (rho - AAV)) ./ ((VPA .* E_div_T) + (rho + AAV))); (((newdata$rho + newdata$E_div_T) + (newdata$rho - newdata$AAV)) / ((newdata$VPA * newdata$E_div_T) + (newdata$rho + newdata$AAV))); rho,E/T,rho,AAV,VPA,E/T,rho,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.559210103285170e+01, -1.663328320470644e-02
s2          , -1.676053957577113e+01, -1.616597021344883e+01, -7.633286736185702e-03
s3          , -1.469519139678599e+01, -1.426088837116318e+01, -3.751070554960449e-02
s4          , -1.482490640944098e+01, -1.488204730562928e+01, -2.776906336772596e-02
s5          , -1.661617250197141e+01, -1.695364259953040e+01,  4.719787680023629e-03
s6          , -1.434920619754616e+01, -1.424127767677068e+01, -3.781826027853086e-02
s7          , -1.650308689038163e+01, -1.682003284669934e+01,  2.624384504010104e-03
s8          , -1.458891392032861e+01, -1.386933929236926e+01, -4.365137392062769e-02
s9          , -1.601703755740822e+01, -1.575040149037279e+01, -1.415065544419049e-02
s10         , -1.658811786664458e+01, -1.622472843018470e+01, -6.711780997597130e-03
s11         , -1.506367336241177e+01, -1.493722660329363e+01, -2.690368585503605e-02
s12         , -1.549821089880063e+01, -1.513992591977897e+01, -2.372475031672846e-02
s13         , -1.453148296371105e+01, -1.434606499059405e+01, -3.617487972030873e-02
s14         , -1.465169748063443e+01, -1.434626011423799e+01, -3.617181959412371e-02
s15         , -1.581197879728031e+01, -1.531011294418707e+01, -2.105570540118316e-02
s16         , -1.619315500215883e+01, -1.623316512235746e+01, -6.579468264437544e-03
s17         , -1.684922037807049e+01, -1.648062212536358e+01, -2.698597451949610e-03
s18         , -1.426536183018756e+01, -1.425635510990721e+01, -3.758180073414139e-02
s19         , -1.606751413385304e+01, -1.523701009637864e+01, -2.220217814159079e-02
s20         , -1.502445348449817e+01, -1.517022201594929e+01, -2.324961631796738e-02
s21         , -1.635889943275450e+01, -1.607156424413360e+01, -9.113856557970292e-03
s22         , -1.609859360689693e+01, -1.685150183009245e+01,  3.117912905572355e-03
s23         , -1.425699056390511e+01, -1.453397380496209e+01, -3.322790378416159e-02
s24         , -1.783369299687520e+01, -1.710364600695655e+01,  7.072292715573090e-03
s25         , -1.437292967204356e+01, -1.479262493310799e+01, -2.917147538793758e-02
s26         , -1.507280660180631e+01, -1.475536254633382e+01, -2.975586179639952e-02
s27         , -1.727846250712225e+01, -1.687155101774849e+01,  3.432344529018923e-03
s28         , -1.397837986980880e+01, -1.418443685899257e+01, -3.870969542885296e-02
s29         , -1.642893168374653e+01, -1.707335448271637e+01,  6.597230418441165e-03
s30         , -1.682966437283499e+01, -1.667083064642841e+01,  2.844448088053510e-04
s31         , -1.420746367536026e+01, -1.450290207789337e+01, -3.371520201055935e-02
s32         , -1.693330532410375e+01, -1.646755995238027e+01, -2.903451649902200e-03
s33         , -1.474461208276328e+01, -1.462313890520999e+01, -3.182952656775243e-02
s34         , -1.716094441986192e+01, -1.655592384547195e+01, -1.517639773853583e-03
s35         , -1.490781329092262e+01, -1.540663317150737e+01, -1.954197764859741e-02
s36         , -1.262179431497255e+01, -1.279926301643606e+01, -6.043339154775584e-02
s37         , -1.644088958394727e+01, -1.674163172041575e+01,  1.394818805872833e-03
s38         , -1.461238558797282e+01, -1.412614583455509e+01, -3.962387418565231e-02
s39         , -1.501622627955599e+01, -1.498474011397329e+01, -2.615853096123417e-02
s40         , -1.623397018878606e+01, -1.618824392093659e+01, -7.283967944536871e-03
s41         , -1.477366635037428e+01, -1.494801693530955e+01, -2.673446096316018e-02
s42         , -1.422311445934928e+01, -1.428960393258445e+01, -3.706035909413855e-02
s43         , -1.258984560834217e+01, -1.282506345897104e+01, -6.002876293281702e-02
s44         , -1.596299994962497e+01, -1.639880273082260e+01, -3.981771887557289e-03
s45         , -1.348787700887648e+01, -1.358081609878977e+01, -4.817628623705456e-02
s46         , -1.542057609084416e+01, -1.449254442587796e+01, -3.387764117738101e-02
s47         , -1.436307499232010e+01, -1.475532715019878e+01, -2.975641691436216e-02
s48         , -1.488673519218485e+01, -1.507165553997025e+01, -2.479543541005182e-02
s49         , -1.670962096820184e+01, -1.727320344867968e+01,  9.731463879167861e-03
s50         , -1.470058355659457e+01, -1.436837531942439e+01, -3.582498659575439e-02
s51         , -1.422124899427813e+01, -1.490974642832203e+01, -2.733465773166024e-02
s52         , -1.445526933875853e+01, -1.484169248344229e+01, -2.840194847368822e-02
s53         , -1.689013290841563e+01, -1.704023311712586e+01,  6.077787689286409e-03
s54         , -1.720944815722343e+01, -1.648052099433582e+01, -2.700183490934551e-03
s55         , -1.562566680706692e+01, -1.630317964493398e+01, -5.481429761519289e-03
s56         , -1.398744736555374e+01, -1.439443490209002e+01, -3.541629388338787e-02
s57         , -1.422672185441562e+01, -1.461380688131455e+01, -3.197588079785026e-02
s58         , -1.312845606224703e+01, -1.282757386436738e+01, -5.998939221826129e-02
s59         , -1.619702485478463e+01, -1.626459688910552e+01, -6.086523531915880e-03
s60         , -1.672765451482195e+01, -1.696374030383720e+01,  4.878150084163884e-03
s61         , -1.650980416381348e+01, -1.643521100165135e+01, -3.410780588559797e-03
s62         , -1.380421394955886e+01, -1.369431526913155e+01, -4.639627754031091e-02
s63         , -1.727933600205615e+01, -1.708379527449879e+01,  6.760973467113868e-03
s64         , -1.494958812372483e+01, -1.471048793292488e+01, -3.045963083621187e-02
s65         , -1.623922548981244e+01, -1.649407508786500e+01, -2.487614497824226e-03
s66         , -1.367737338350917e+01, -1.416777899750648e+01, -3.897094084787320e-02
s67         , -1.741146232592018e+01, -1.671282516267210e+01,  9.430452541143792e-04
s68         , -1.487711888617207e+01, -1.509719430947744e+01, -2.439491061599351e-02
s69         , -1.433186966990272e+01, -1.473877488775594e+01, -3.001600622246292e-02
s70         , -1.495278133437334e+01, -1.467561460382011e+01, -3.100654962781150e-02
s71         , -1.570155986508802e+01, -1.550999867224484e+01, -1.792089540013777e-02
s72         , -1.639206679417054e+01, -1.673160153666945e+01,  1.237515327401722e-03
s73         , -1.656159175852897e+01, -1.583873821223801e+01, -1.276526969477559e-02
s74         , -1.616936532813614e+01, -1.598941671810228e+01, -1.040217708323417e-02
s75         , -1.476925333058890e+01, -1.489033970228094e+01, -2.763901362276003e-02
s76         , -1.554181169575925e+01, -1.562323760290085e+01, -1.614496804515635e-02
s77         , -1.355623132555349e+01, -1.396946138156422e+01, -4.208115812991755e-02
s78         , -1.613153244530022e+01, -1.656778129618549e+01, -1.331679248082713e-03
s79         , -1.369332123872701e+01, -1.427060787597987e+01, -3.735827445209379e-02
s80         , -1.596103871394553e+01, -1.536534774348873e+01, -2.018945745572432e-02
s81         , -1.371015102329203e+01, -1.355192291393280e+01, -4.862941836275343e-02
s82         , -1.618514068737401e+01, -1.672471728895938e+01,  1.129549597277334e-03
s83         , -1.463129145817202e+01, -1.459895304244116e+01, -3.220883371103054e-02
s84         , -1.558344435959043e+01, -1.582448449265725e+01, -1.298881093070081e-02
s85         , -1.436666926664573e+01, -1.453586931431707e+01, -3.319817649076843e-02
s86         , -1.340858470992052e+01, -1.356734800797098e+01, -4.838750644874232e-02
s87         , -1.690450093998452e+01, -1.621386475935354e+01, -6.882156062893078e-03
s88         , -1.434879628797493e+01, -1.464405489644472e+01, -3.150150085455362e-02
s89         , -1.503479473600998e+01, -1.469298555501511e+01, -3.073412081529507e-02
s90         , -1.481179943199058e+01, -1.509991244835027e+01, -2.435228201511453e-02
s91         , -1.288609925783191e+01, -1.325438351631153e+01, -5.329573190315100e-02
s92         , -1.580824275413979e+01, -1.568720168402678e+01, -1.514181867991851e-02
s93         , -1.408132744524983e+01, -1.350180577546635e+01, -4.941540597885279e-02
s94         , -1.417595748076664e+01, -1.450635466441979e+01, -3.366105505931045e-02
s95         , -1.290027811695738e+01, -1.323394905102450e+01, -5.361620583978586e-02
s96         , -1.563974152224070e+01, -1.522676148104775e+01, -2.236290728492837e-02
s97         , -1.649006866380947e+01, -1.702154122878300e+01,  5.784642605417765e-03
s98         , -1.474432582637551e+01, -1.497863352513276e+01, -2.625430065902894e-02
s99         , -1.617902320789352e+01, -1.637694670543803e+01, -4.324540166335273e-03
s100        , -1.588005443066773e+01, -1.506294186350048e+01, -2.493209209089010e-02
s101        , -1.606627254137342e+01, -1.609685620694075e+01, -8.717202436016166e-03
s102        , -1.451131934460694e+01, -1.476032156254337e+01, -2.967808949239317e-02
s103        , -1.502092590861538e+01, -1.462607430222048e+01, -3.178349070518775e-02
s104        , -1.557036849723766e+01, -1.549650454681181e+01, -1.813252391295775e-02
s105        , -1.434931863042170e+01, -1.440541047629133e+01, -3.524416383634656e-02
s106        , -1.213742527798283e+01, -1.232006490669390e+01, -6.794866060422207e-02
s107        , -1.659053433805247e+01, -1.664612564820055e+01, -1.030039414032491e-04
s108        , -1.700250083426357e+01, -1.686215022845665e+01,  3.284911850477265e-03
s109        , -1.566474756073793e+01, -1.534607199310071e+01, -2.049175925426268e-02
s110        , -1.431419118557280e+01, -1.432160209481419e+01, -3.655853157524802e-02
s111        , -1.645030650736458e+01, -1.612789500517902e+01, -8.230420632816865e-03
s112        , -1.338762259085481e+01, -1.313194055383394e+01, -5.521600618717317e-02
s113        , -1.433675892531957e+01, -1.472135614975087e+01, -3.028918447603049e-02
