# c0 + a0 * ((rho / NBI) - (AAV - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.419017832368958; Max AE: 1.21935407313866
# Coefficients
# Task   a0                      c0
# all , -2.105810962152558e-01, -1.684379252614514e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         4|5|div|1|0|sub|sub; ((rho / NBI) - (AAV - E_T)); $\left(\left(\frac{ rho }{ NBI } \right) - \left(AAV - E_{T}\right)\right)$; ((rho ./ NBI) - (AAV - E_T)); ((newdata$rho / newdata$NBI) - (newdata$AAV - newdata$E_T)); rho,NBI,AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.549108524454585e+01, -6.423688098843172e+00
s2          , -1.676053957577113e+01, -1.638216774392000e+01, -2.192147303446789e+00
s3          , -1.469519139678599e+01, -1.442207715978381e+01, -1.150015556897784e+01
s4          , -1.482490640944098e+01, -1.476343055716007e+01, -9.879148728803854e+00
s5          , -1.661617250197141e+01, -1.687882824915663e+01,  1.663763919990235e-01
s6          , -1.434920619754616e+01, -1.394603392691632e+01, -1.376077269664669e+01
s7          , -1.650308689038163e+01, -1.663805279098717e+01, -9.770095172629514e-01
s8          , -1.458891392032861e+01, -1.438703928336954e+01, -1.166654218697913e+01
s9          , -1.601703755740822e+01, -1.608552369684396e+01, -3.600839975332242e+00
s10         , -1.658811786664458e+01, -1.639169857261602e+01, -2.146887644021879e+00
s11         , -1.506367336241177e+01, -1.476422686760102e+01, -9.875367238179766e+00
s12         , -1.549821089880063e+01, -1.509944072180437e+01, -8.283515641678001e+00
s13         , -1.453148296371105e+01, -1.415529293418819e+01, -1.276705098547291e+01
s14         , -1.465169748063443e+01, -1.433967021921976e+01, -1.189148670954616e+01
s15         , -1.581197879728031e+01, -1.515367693386874e+01, -8.025960651989188e+00
s16         , -1.619315500215883e+01, -1.631121882883473e+01, -2.529066981235652e+00
s17         , -1.684922037807049e+01, -1.645265471793088e+01, -1.857421274958295e+00
s18         , -1.426536183018756e+01, -1.431769032497819e+01, -1.199586404747733e+01
s19         , -1.606751413385304e+01, -1.558671106285730e+01, -5.969583623037322e+00
s20         , -1.502445348449817e+01, -1.484893782220644e+01, -9.473094877897093e+00
s21         , -1.635889943275450e+01, -1.592425175496958e+01, -4.366682421652900e+00
s22         , -1.609859360689693e+01, -1.679563998734088e+01, -2.286650590660333e-01
s23         , -1.425699056390511e+01, -1.453352642592235e+01, -1.097090926842379e+01
s24         , -1.783369299687520e+01, -1.704724501799539e+01,  9.661479378105526e-01
s25         , -1.437292967204356e+01, -1.473304554775055e+01, -1.002343997790281e+01
s26         , -1.507280660180631e+01, -1.467314776643424e+01, -1.030788042575323e+01
s27         , -1.727846250712225e+01, -1.674822139421295e+01, -4.538447830782024e-01
s28         , -1.397837986980880e+01, -1.381305821912795e+01, -1.439224299563516e+01
s29         , -1.642893168374653e+01, -1.696005375748372e+01,  5.520971892925437e-01
s30         , -1.682966437283499e+01, -1.655876275209816e+01, -1.353539226311245e+00
s31         , -1.420746367536026e+01, -1.472023035167823e+01, -1.008429632399767e+01
s32         , -1.693330532410375e+01, -1.647921906367735e+01, -1.731273457210623e+00
s33         , -1.474461208276328e+01, -1.465686643146553e+01, -1.038519664863047e+01
s34         , -1.716094441986192e+01, -1.657207959437871e+01, -1.290300680592355e+00
s35         , -1.490781329092262e+01, -1.547735259793888e+01, -6.488901201319035e+00
s36         , -1.262179431497255e+01, -1.242644915329242e+01, -2.097692267845978e+01
s37         , -1.644088958394727e+01, -1.666215187631146e+01, -8.625686402924182e-01
s38         , -1.461238558797282e+01, -1.410904597220771e+01, -1.298666690927459e+01
s39         , -1.501622627955599e+01, -1.489685143868523e+01, -9.245564404649812e+00
s40         , -1.623397018878606e+01, -1.615073310855676e+01, -3.291175846477383e+00
s41         , -1.477366635037428e+01, -1.492086102840356e+01, -9.131548521221291e+00
s42         , -1.422311445934928e+01, -1.388786199127182e+01, -1.403701751011764e+01
s43         , -1.258984560834217e+01, -1.346582048780153e+01, -1.604119315102550e+01
s44         , -1.596299994962497e+01, -1.640522947418516e+01, -2.082632581187037e+00
s45         , -1.348787700887648e+01, -1.292637527218781e+01, -1.860289135332901e+01
s46         , -1.542057609084416e+01, -1.469113894596897e+01, -1.022244455397710e+01
s47         , -1.436307499232010e+01, -1.470058754692574e+01, -1.017757537470797e+01
s48         , -1.488673519218485e+01, -1.517018723909376e+01, -7.947557103324317e+00
s49         , -1.670962096820184e+01, -1.707115951278518e+01,  1.079712237833697e+00
s50         , -1.470058355659457e+01, -1.451720949113605e+01, -1.104839454644521e+01
s51         , -1.422124899427813e+01, -1.506429265467293e+01, -8.450425529427408e+00
s52         , -1.445526933875853e+01, -1.438431381942476e+01, -1.167948477296508e+01
s53         , -1.689013290841563e+01, -1.681390380597625e+01, -1.419344884516027e-01
s54         , -1.720944815722343e+01, -1.646851677102231e+01, -1.782096122907528e+00
s55         , -1.562566680706692e+01, -1.646203716459384e+01, -1.812866246840422e+00
s56         , -1.398744736555374e+01, -1.411548202123844e+01, -1.295610362915870e+01
s57         , -1.422672185441562e+01, -1.447922166267464e+01, -1.122878979152734e+01
s58         , -1.312845606224703e+01, -1.234892987106311e+01, -2.134504348143095e+01
s59         , -1.619702485478463e+01, -1.651997996859242e+01, -1.537709525558366e+00
s60         , -1.672765451482195e+01, -1.684597565896536e+01,  1.036718328218011e-02
s61         , -1.650980416381348e+01, -1.632278846517896e+01, -2.474125504758543e+00
s62         , -1.380421394955886e+01, -1.378433709232066e+01, -1.452863285836970e+01
