# c0 + a0 * ((PF - AAV) / (rho + E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.430888739371842; Max AE: 1.36533157623149
# Coefficients
# Task   a0                      c0
# all , -1.632230887364663e+00, -1.844208595747538e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|1|sub|4|0|add|div; ((PF - AAV) / (rho + E_T)); $\left(\frac{ \left(PF - AAV\right) }{ \left(rho + E_{T}\right) } \right)$; ((PF - AAV) ./ (rho + E_T)); ((newdata$PF - newdata$AAV) / (newdata$rho + newdata$E_T)); PF,AAV,rho,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.582038649481675e+01, -1.606206256083983e+00
s2          , -1.676053957577113e+01, -1.622133344912040e+01, -1.360562727703630e+00
s3          , -1.469519139678599e+01, -1.433772991911311e+01, -2.514568294310987e+00
s4          , -1.482490640944098e+01, -1.486068767330399e+01, -2.194173821789257e+00
s5          , -1.661617250197141e+01, -1.667280964929929e+01, -1.083962031274079e+00
s6          , -1.434920619754616e+01, -1.447863401886011e+01, -2.428242210888750e+00
s7          , -1.650308689038163e+01, -1.657836056994779e+01, -1.141827055200928e+00
s8          , -1.458891392032861e+01, -1.393836625203596e+01, -2.759241808437383e+00
s9          , -1.601703755740822e+01, -1.599557884601837e+01, -1.498873186628055e+00
s10         , -1.658811786664458e+01, -1.626286309823710e+01, -1.335119238404300e+00
s11         , -1.506367336241177e+01, -1.487201354442704e+01, -2.187234931457793e+00
s12         , -1.549821089880063e+01, -1.512900333467028e+01, -2.029787972064590e+00
s13         , -1.453148296371105e+01, -1.428549192021271e+01, -2.546572344292387e+00
s14         , -1.465169748063443e+01, -1.430925230689023e+01, -2.532015343281405e+00
s15         , -1.581197879728031e+01, -1.519840446766568e+01, -1.987268783429788e+00
s16         , -1.619315500215883e+01, -1.628361824601767e+01, -1.322403422314039e+00
