# c0 + a0 * ((S + AAV) / (rho + E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.430992223850361; Max AE: 1.40547410425397
# Coefficients
# Task   a0                      c0
# all ,  1.608151228298000e+00, -1.850599137232930e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         6|1|add|4|0|add|div; ((S + AAV) / (rho + E_T)); $\left(\frac{ \left(S + AAV\right) }{ \left(rho + E_{T}\right) } \right)$; ((S + AAV) ./ (rho + E_T)); ((newdata$S + newdata$AAV) / (newdata$rho + newdata$E_T)); S,AAV,rho,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.588282591777757e+01,  1.631168392868115e+00
s2          , -1.676053957577113e+01, -1.622003053470029e+01,  1.421483749416017e+00
s3          , -1.469519139678599e+01, -1.431043132622121e+01,  2.608933769586144e+00
s4          , -1.482490640944098e+01, -1.481142167085788e+01,  2.297401908763023e+00
s5          , -1.661617250197141e+01, -1.670002129262261e+01,  1.123010104975048e+00
s6          , -1.434920619754616e+01, -1.455850440714943e+01,  2.454673973266635e+00
s7          , -1.650308689038163e+01, -1.654569388356251e+01,  1.218975836520980e+00
s8          , -1.458891392032861e+01, -1.390360343062415e+01,  2.861912400226271e+00
s9          , -1.601703755740822e+01, -1.603511998811194e+01,  1.536467056541957e+00
s10         , -1.658811786664458e+01, -1.627549832120738e+01,  1.386992101161148e+00
s11         , -1.506367336241177e+01, -1.484005964842103e+01,  2.279593896021923e+00
s12         , -1.549821089880063e+01, -1.510286710761179e+01,  2.116171790832907e+00
s13         , -1.453148296371105e+01, -1.426943427593853e+01,  2.634427050044644e+00
s14         , -1.465169748063443e+01, -1.427297663028959e+01,  2.632224300521635e+00
s15         , -1.581197879728031e+01, -1.516349531234794e+01,  2.078471229051585e+00
s16         , -1.619315500215883e+01, -1.629923813500956e+01,  1.372229923708904e+00
s17         , -1.684922037807049e+01, -1.632594674169513e+01,  1.355621655645803e+00
s18         , -1.426536183018756e+01, -1.433600388515363e+01,  2.593031932443951e+00
s19         , -1.606751413385304e+01, -1.547688126438642e+01,  1.883597795182961e+00
s20         , -1.502445348449817e+01, -1.518732249184108e+01,  2.063654724811273e+00
s21         , -1.635889943275450e+01, -1.604587001546822e+01,  1.529782344826348e+00
s22         , -1.609859360689693e+01, -1.665638195530827e+01,  1.150146444236206e+00
s23         , -1.425699056390511e+01, -1.458665295515019e+01,  2.437170303521251e+00
s24         , -1.783369299687520e+01, -1.684010022499722e+01,  1.035904533117320e+00
s25         , -1.437292967204356e+01, -1.483315413887059e+01,  2.283887963289303e+00
s26         , -1.507280660180631e+01, -1.472806178052338e+01,  2.349237761553265e+00
s27         , -1.727846250712225e+01, -1.657536296668079e+01,  1.200526649282737e+00
s28         , -1.397837986980880e+01, -1.390147191480296e+01,  2.863237845112100e+00
s29         , -1.642893168374653e+01, -1.676134759059470e+01,  1.084875446434885e+00
s30         , -1.682966437283499e+01, -1.648431276932448e+01,  1.257144581573020e+00
s31         , -1.420746367536026e+01, -1.453837902317164e+01,  2.467188582355413e+00
s32         , -1.693330532410375e+01, -1.646503182810796e+01,  1.269134089075320e+00
s33         , -1.474461208276328e+01, -1.465272965417291e+01,  2.396081693283614e+00
s34         , -1.716094441986192e+01, -1.650039873232936e+01,  1.247141813971428e+00
s35         , -1.490781329092262e+01, -1.551563086789993e+01,  1.859502049191135e+00
s36         , -1.262179431497255e+01, -1.259400712696229e+01,  3.676261374761385e+00
s37         , -1.644088958394727e+01, -1.657058566614715e+01,  1.203497327941291e+00
s38         , -1.461238558797282e+01, -1.413640453761025e+01,  2.717149207008122e+00
s39         , -1.501622627955599e+01, -1.486225783233927e+01,  2.265790353464713e+00
s40         , -1.623397018878606e+01, -1.624137825570649e+01,  1.408209051968069e+00
s41         , -1.477366635037428e+01, -1.509971033024184e+01,  2.118134776225324e+00
s42         , -1.422311445934928e+01, -1.395934061947080e+01,  2.827253228958131e+00
s43         , -1.258984560834217e+01, -1.296332331237625e+01,  3.446608728346513e+00
s44         , -1.596299994962497e+01, -1.635296588960441e+01,  1.338820283092136e+00
s45         , -1.348787700887648e+01, -1.305120086322328e+01,  3.391963649388336e+00
s46         , -1.542057609084416e+01, -1.443667933142389e+01,  2.530428711740128e+00
s47         , -1.436307499232010e+01, -1.471501948506656e+01,  2.357347879076615e+00
s48         , -1.488673519218485e+01, -1.523697297124273e+01,  2.032780464649688e+00
s49         , -1.670962096820184e+01, -1.690830718739646e+01,  9.934912568041051e-01
s50         , -1.470058355659457e+01, -1.441611234745394e+01,  2.543217921864178e+00
s51         , -1.422124899427813e+01, -1.523929196307050e+01,  2.031338441171446e+00
s52         , -1.445526933875853e+01, -1.460634475504258e+01,  2.424925310919883e+00
s53         , -1.689013290841563e+01, -1.674148620757065e+01,  1.097225891265298e+00
s54         , -1.720944815722343e+01, -1.637138394653021e+01,  1.327367344710654e+00
s55         , -1.562566680706692e+01, -1.636407629755843e+01,  1.331911475165045e+00
s56         , -1.398744736555374e+01, -1.423429208764746e+01,  2.656279589577423e+00
s57         , -1.422672185441562e+01, -1.460107080392330e+01,  2.428204822837969e+00
s58         , -1.312845606224703e+01, -1.255775560911700e+01,  3.698803730982233e+00
s59         , -1.619702485478463e+01, -1.628839646413790e+01,  1.378971622300980e+00
s60         , -1.672765451482195e+01, -1.673154492584290e+01,  1.103407699016217e+00
