# c0 + a0 * ((NBI + AAV) / (rho + E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.430998676831884; Max AE: 1.33099940959738
# Coefficients
# Task   a0                      c0
# all ,  1.651286879062138e+00, -1.863769230452839e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|1|add|4|0|add|div; ((NBI + AAV) / (rho + E_T)); $\left(\frac{ \left(NBI + AAV\right) }{ \left(rho + E_{T}\right) } \right)$; ((NBI + AAV) ./ (rho + E_T)); ((newdata$NBI + newdata$AAV) / (newdata$rho + newdata$E_T)); NBI,AAV,rho,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.585197741616220e+01,  1.686996320075136e+00
s2          , -1.676053957577113e+01, -1.621545775082023e+01,  1.466876885186590e+00
s3          , -1.469519139678599e+01, -1.434618307139321e+01,  2.598887744794880e+00
s4          , -1.482490640944098e+01, -1.485150402031766e+01,  2.292871294636047e+00
s5          , -1.661617250197141e+01, -1.669042831201716e+01,  1.179240274480462e+00
s6          , -1.434920619754616e+01, -1.448214472890403e+01,  2.516550956902492e+00
s7          , -1.650308689038163e+01, -1.652462088910959e+01,  1.279651308450373e+00
s8          , -1.458891392032861e+01, -1.395013026063324e+01,  2.838732689838536e+00
s9          , -1.601703755740822e+01, -1.599309474320715e+01,  1.601537319077624e+00
s10         , -1.658811786664458e+01, -1.624327143222813e+01,  1.450033245380222e+00
s11         , -1.506367336241177e+01, -1.488904397244993e+01,  2.270137539158269e+00
s12         , -1.549821089880063e+01, -1.516228076051145e+01,  2.104668539479234e+00
s13         , -1.453148296371105e+01, -1.429164492819547e+01,  2.631915405759957e+00
s14         , -1.465169748063443e+01, -1.431389754680238e+01,  2.618439480474612e+00
s15         , -1.581197879728031e+01, -1.521674247461326e+01,  2.071687163079794e+00
s16         , -1.619315500215883e+01, -1.626313155500845e+01,  1.438006187555119e+00
s17         , -1.684922037807049e+01, -1.630182448900875e+01,  1.414574199757653e+00
s18         , -1.426536183018756e+01, -1.438565389655551e+01,  2.574984675217585e+00
s19         , -1.606751413385304e+01, -1.550046501080209e+01,  1.899868117106406e+00
s20         , -1.502445348449817e+01, -1.513343626209917e+01,  2.122136429994217e+00
s21         , -1.635889943275450e+01, -1.602341303290785e+01,  1.583176917814143e+00
s22         , -1.609859360689693e+01, -1.664102367182740e+01,  1.209159146129114e+00
s23         , -1.425699056390511e+01, -1.461502349703623e+01,  2.436081130722039e+00
s24         , -1.783369299687520e+01, -1.684707896023998e+01,  1.084374476048282e+00
s25         , -1.437292967204356e+01, -1.489499118781790e+01,  2.266535975163919e+00
s26         , -1.507280660180631e+01, -1.477950828587709e+01,  2.336471068456975e+00
s27         , -1.727846250712225e+01, -1.656669537266291e+01,  1.254171493836198e+00
s28         , -1.397837986980880e+01, -1.390922432430008e+01,  2.863504845938020e+00
s29         , -1.642893168374653e+01, -1.675329042015928e+01,  1.141171717805553e+00
s30         , -1.682966437283499e+01, -1.646291931828292e+01,  1.317017057315108e+00
s31         , -1.420746367536026e+01, -1.456537530490503e+01,  2.466147494574813e+00
s32         , -1.693330532410375e+01, -1.644642774119404e+01,  1.327004163309823e+00
s33         , -1.474461208276328e+01, -1.470142669732023e+01,  2.383756364274991e+00
s34         , -1.716094441986192e+01, -1.648638007115638e+01,  1.302809500063288e+00
s35         , -1.490781329092262e+01, -1.550701675590194e+01,  1.895900456984520e+00
s36         , -1.262179431497255e+01, -1.255552805725079e+01,  3.683287455618866e+00
s37         , -1.644088958394727e+01, -1.655103305848034e+01,  1.263656407924215e+00
s38         , -1.461238558797282e+01, -1.418417637242034e+01,  2.696997104850403e+00
s39         , -1.501622627955599e+01, -1.490635934593214e+01,  2.259651551713101e+00
s40         , -1.623397018878606e+01, -1.621402162011714e+01,  1.467746589125558e+00
s41         , -1.477366635037428e+01, -1.514199490998329e+01,  2.116953413043833e+00
s42         , -1.422311445934928e+01, -1.393792401434361e+01,  2.846124649675681e+00
s43         , -1.258984560834217e+01, -1.291721302074361e+01,  3.464255276487010e+00
s44         , -1.596299994962497e+01, -1.632167281101669e+01,  1.402554288342130e+00
s45         , -1.348787700887648e+01, -1.302706921746483e+01,  3.397727649995109e+00
s46         , -1.542057609084416e+01, -1.449015368584339e+01,  2.511700826352250e+00
s47         , -1.436307499232010e+01, -1.473111570023602e+01,  2.365777051720496e+00
s48         , -1.488673519218485e+01, -1.526445303367159e+01,  2.042794207129325e+00
s49         , -1.670962096820184e+01, -1.690417940449806e+01,  1.049795115561563e+00
s50         , -1.470058355659457e+01, -1.446925218154412e+01,  2.524358532632301e+00
s51         , -1.422124899427813e+01, -1.523746932215635e+01,  2.059135226886329e+00
s52         , -1.445526933875853e+01, -1.460777139667658e+01,  2.440472917789208e+00
s53         , -1.689013290841563e+01, -1.672892857456678e+01,  1.155924966257650e+00
s54         , -1.720944815722343e+01, -1.635677289886536e+01,  1.381298086107543e+00
s55         , -1.562566680706692e+01, -1.634079445528557e+01,  1.390974444457136e+00
s56         , -1.398744736555374e+01, -1.422426870478833e+01,  2.672717657786207e+00
s57         , -1.422672185441562e+01, -1.463714089228045e+01,  2.422687095121889e+00
s58         , -1.312845606224703e+01, -1.251649406853260e+01,  3.706925982160271e+00
s59         , -1.619702485478463e+01, -1.627128075330393e+01,  1.433071128481614e+00
s60         , -1.672765451482195e+01, -1.672027418566210e+01,  1.161165962849108e+00
s61         , -1.650980416381348e+01, -1.641607577021375e+01,  1.345384961561871e+00
s62         , -1.380421394955886e+01, -1.345709208581567e+01,  3.137310835810120e+00
s63         , -1.727933600205615e+01, -1.681049664398826e+01,  1.106528298449207e+00
s64         , -1.494958812372483e+01, -1.461906638046588e+01,  2.433632807852818e+00
s65         , -1.623922548981244e+01, -1.642727403314575e+01,  1.338603424644216e+00
s66         , -1.367737338350917e+01, -1.460987686355648e+01,  2.439197871698427e+00
s67         , -1.741146232592018e+01, -1.648949987516642e+01,  1.300920183282783e+00
s68         , -1.487711888617207e+01, -1.510913053302683e+01,  2.136855694938747e+00
s69         , -1.433186966990272e+01, -1.500922638993788e+01,  2.197356474273763e+00
s70         , -1.495278133437334e+01, -1.442746118822738e+01,  2.549666668878422e+00
s71         , -1.570155986508802e+01, -1.562748286090510e+01,  1.822947594262334e+00
s72         , -1.639206679417054e+01, -1.654387865203218e+01,  1.267989032702425e+00
s73         , -1.656159175852897e+01, -1.608040539561436e+01,  1.548663010249593e+00
s74         , -1.616936532813614e+01, -1.612674176163217e+01,  1.520602249514835e+00
s75         , -1.476925333058890e+01, -1.498669438900716e+01,  2.211001590223284e+00
s76         , -1.554181169575925e+01, -1.569602760052260e+01,  1.781437702500565e+00
s77         , -1.355623132555349e+01, -1.415823428240753e+01,  2.712707330821282e+00
s78         , -1.613153244530022e+01, -1.632606497493684e+01,  1.399894445297390e+00
s79         , -1.369332123872701e+01, -1.472278042636886e+01,  2.370824795981564e+00
s80         , -1.596103871394553e+01, -1.515056799941498e+01,  2.111761650461335e+00
s81         , -1.371015102329203e+01, -1.339807575456688e+01,  3.173050435026405e+00
s82         , -1.618514068737401e+01, -1.654158850028908e+01,  1.269375921783989e+00
s83         , -1.463129145817202e+01, -1.494173779734265e+01,  2.238226775764662e+00
s84         , -1.558344435959043e+01, -1.590368682953453e+01,  1.655681704772374e+00
s85         , -1.436666926664573e+01, -1.452340773892153e+01,  2.491562561160540e+00
s86         , -1.340858470992052e+01, -1.325126961215125e+01,  3.261954516005357e+00
s87         , -1.690450093998452e+01, -1.621095805770134e+01,  1.469601846655096e+00
s88         , -1.434879628797493e+01, -1.453374965291884e+01,  2.485299619131238e+00
s89         , -1.503479473600998e+01, -1.464169845278480e+01,  2.419927089842282e+00
s90         , -1.481179943199058e+01, -1.514123821886193e+01,  2.117411656327277e+00
s91         , -1.288609925783191e+01, -1.317560851503463e+01,  3.307773990547296e+00
s92         , -1.580824275413979e+01, -1.568314224251195e+01,  1.789240924444637e+00
s93         , -1.408132744524983e+01, -1.364986657114614e+01,  3.020568864578588e+00
s94         , -1.417595748076664e+01, -1.468643579138877e+01,  2.392834681387262e+00
s95         , -1.290027811695738e+01, -1.319153194591739e+01,  3.298130947242909e+00
s96         , -1.563974152224070e+01, -1.514012106523904e+01,  2.118088191481192e+00
s97         , -1.649006866380947e+01, -1.680682357483771e+01,  1.108752666120939e+00
s98         , -1.474432582637551e+01, -1.479525687237183e+01,  2.326933908866820e+00
s99         , -1.617902320789352e+01, -1.638558596270071e+01,  1.363849232004300e+00
s100        , -1.588005443066773e+01, -1.505495290829710e+01,  2.169665030140697e+00
s101        , -1.606627254137342e+01, -1.612455694122467e+01,  1.521925351172821e+00
s102        , -1.451131934460694e+01, -1.456970488703701e+01,  2.463525550328252e+00
s103        , -1.502092590861538e+01, -1.513790314308688e+01,  2.119431339168179e+00
s104        , -1.557036849723766e+01, -1.563071273268666e+01,  1.820991621728115e+00
s105        , -1.434931863042170e+01, -1.427836578309062e+01,  2.639957100557643e+00
s106        , -1.213742527798283e+01, -1.201350290654006e+01,  4.011531540631263e+00
s107        , -1.659053433805247e+01, -1.658704717926487e+01,  1.241846678045549e+00
s108        , -1.700250083426357e+01, -1.667136867054010e+01,  1.190782570200690e+00
s109        , -1.566474756073793e+01, -1.521523334899157e+01,  2.072601071886815e+00
s110        , -1.431419118557280e+01, -1.411098857827376e+01,  2.741318776072153e+00
s111        , -1.645030650736458e+01, -1.624846277199530e+01,  1.446889430799612e+00
s112        , -1.338762259085481e+01, -1.293049575183834e+01,  3.456211410055832e+00
s113        , -1.433675892531957e+01, -1.470156262544638e+01,  2.383674047793294e+00
s114        , -1.609955695453763e+01, -1.628796923740979e+01,  1.422964777902882e+00
s115        , -1.546929652764100e+01, -1.514542670613919e+01,  2.114875157472732e+00
s116        , -1.637830542970395e+01, -1.624258030489654e+01,  1.450451784000226e+00
s117        , -1.674807484517825e+01, -1.665111695898528e+01,  1.203046769602749e+00
s118        , -1.523642937716048e+01, -1.471585605182820e+01,  2.375018116129903e+00
s119        , -1.525541306886539e+01, -1.533985487730983e+01,  1.997131733458444e+00
s120        , -1.490045415348265e+01, -1.590193838558495e+01,  1.656740541956726e+00
s121        , -1.709928581270984e+01, -1.660282093857468e+01,  1.232294274093320e+00
s122        , -1.651833889258148e+01, -1.653728951034975e+01,  1.271979339756869e+00
s123        , -1.584219836251522e+01, -1.658066238620188e+01,  1.245713233968655e+00
s124        , -1.434420835450800e+01, -1.461957130298787e+01,  2.433327032685343e+00
s125        , -1.696687428130489e+01, -1.637857768313319e+01,  1.368093364054513e+00
s126        , -1.626031865342975e+01, -1.600297284698841e+01,  1.595555255084681e+00
s127        , -1.444652906875201e+01, -1.480261992943270e+01,  2.322474927720521e+00
s128        , -1.550757694366739e+01, -1.482265784112803e+01,  2.310340203010116e+00
s129        , -1.437474319081911e+01, -1.460321974910187e+01,  2.443229342267847e+00
s130        , -1.294395503489043e+01, -1.348774219689988e+01,  3.118749487401890e+00
s131        , -1.368728725933399e+01, -1.396228159839298e+01,  2.831373981964204e+00
s132        , -1.634804464087011e+01, -1.621783012426879e+01,  1.465440203602891e+00
s133        , -1.526577331630236e+01, -1.510438547536335e+01,  2.139729246302619e+00
s134        , -1.358907204541357e+01, -1.378693937985597e+01,  2.937559176529910e+00
s135        , -1.251531043120831e+01, -1.301986009877581e+01,  3.402093407865792e+00
s136        , -1.551825006632732e+01, -1.519286435479529e+01,  2.086147472866504e+00
s137        , -1.251550668315227e+01, -1.297220093035684e+01,  3.430955242246770e+00
s138        , -1.515118812744504e+01, -1.580219699518948e+01,  1.717142760166148e+00
