# c0 + a0 * ((rho + E_T) - (AAV - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.43153770171928; Max AE: 1.37649484674825
# Coefficients
# Task   a0                      c0
# all , -1.720847461812097e-01, -1.554720987752086e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         4|0|add|1|0|sub|sub; ((rho + E_T) - (AAV - E_T)); $\left(\left(rho + E_{T}\right) - \left(AAV - E_{T}\right)\right)$; ((rho + E_T) - (AAV - E_T)); ((newdata$rho + newdata$E_T) - (newdata$AAV - newdata$E_T)); rho,E_T,AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.589593586213429e+01,  2.026478187940141e+00
s2          , -1.676053957577113e+01, -1.617246608836627e+01,  3.633420304359803e+00
s3          , -1.469519139678599e+01, -1.432530532342397e+01, -7.100597706726383e+00
s4          , -1.482490640944098e+01, -1.475955394969331e+01, -4.577139725087124e+00
s5          , -1.661617250197141e+01, -1.677749255837760e+01,  7.149283757906225e+00
s6          , -1.434920619754616e+01, -1.430256549237395e+01, -7.232740918455772e+00
s7          , -1.650308689038163e+01, -1.651358885806538e+01,  5.615715523832106e+00
s8          , -1.458891392032861e+01, -1.402417946038256e+01, -8.850467289730082e+00
s9          , -1.601703755740822e+01, -1.588508986810979e+01,  1.963451137227124e+00
s10         , -1.658811786664458e+01, -1.614030448657412e+01,  3.446526332024365e+00
s11         , -1.506367336241177e+01, -1.475115428652733e+01, -4.625950926267816e+00
s12         , -1.549821089880063e+01, -1.507690689502018e+01, -2.732973101552183e+00
s13         , -1.453148296371105e+01, -1.424024396235624e+01, -7.594896957272107e+00
s14         , -1.465169748063443e+01, -1.427930060497462e+01, -7.367935280045671e+00
s15         , -1.581197879728031e+01, -1.513227912700565e+01, -2.411200061150534e+00
s16         , -1.619315500215883e+01, -1.621888151029092e+01,  3.903144512662222e+00
s17         , -1.684922037807049e+01, -1.616911090485727e+01,  3.613923030002550e+00
s18         , -1.426536183018756e+01, -1.432649823662675e+01, -7.093665580380168e+00
s19         , -1.606751413385304e+01, -1.541856777080400e+01, -7.475508990284876e-01
s20         , -1.502445348449817e+01, -1.490038126745755e+01, -3.758779464288931e+00
s21         , -1.635889943275450e+01, -1.593191811180870e+01,  2.235574290139221e+00
s22         , -1.609859360689693e+01, -1.670576472916168e+01,  6.732466865022650e+00
s23         , -1.425699056390511e+01, -1.450082944290106e+01, -6.080611197914862e+00
s24         , -1.783369299687520e+01, -1.728916162124720e+01,  1.012263888800475e+01
s25         , -1.437292967204356e+01, -1.463065046403754e+01, -5.326209520733217e+00
s26         , -1.507280660180631e+01, -1.468750990238683e+01, -4.995794189850736e+00
s27         , -1.727846250712225e+01, -1.660784647460015e+01,  6.163455045355471e+00
s28         , -1.397837986980880e+01, -1.373271010370368e+01, -1.054422204223996e+01
s29         , -1.642893168374653e+01, -1.685357977649615e+01,  7.591433453373359e+00
s30         , -1.682966437283499e+01, -1.645971191576744e+01,  5.302631746835333e+00
s31         , -1.420746367536026e+01, -1.452743426286458e+01, -5.926008186585140e+00
s32         , -1.693330532410375e+01, -1.654882727579007e+01,  5.820489151400363e+00
s33         , -1.474461208276328e+01, -1.460682813206577e+01, -5.464643243073031e+00
s34         , -1.716094441986192e+01, -1.657862691013965e+01,  5.993657517631942e+00
s35         , -1.490781329092262e+01, -1.542676445319306e+01, -6.999192374724714e-01
s36         , -1.262179431497255e+01, -1.231936391864899e+01, -1.875730435440725e+01
s37         , -1.644088958394727e+01, -1.659642309582781e+01,  6.097072759732633e+00
s38         , -1.461238558797282e+01, -1.413443672725997e+01, -8.209752355233151e+00
s39         , -1.501622627955599e+01, -1.482241800264972e+01, -4.211831036481936e+00
s40         , -1.623397018878606e+01, -1.623220579812856e+01,  3.980573152523295e+00
s41         , -1.477366635037428e+01, -1.503373053783753e+01, -2.983874812138295e+00
s42         , -1.422311445934928e+01, -1.383098972238470e+01, -9.973110303041825e+00
s43         , -1.258984560834217e+01, -1.346217721489838e+01, -1.211631308928966e+01
s44         , -1.596299994962497e+01, -1.627172531809694e+01,  4.210224651830281e+00
s45         , -1.348787700887648e+01, -1.286645743889487e+01, -1.557809450352496e+01
s46         , -1.542057609084416e+01, -1.442081122521330e+01, -6.545604286863599e+00
s47         , -1.436307499232010e+01, -1.467293464260842e+01, -5.080492340627366e+00
s48         , -1.488673519218485e+01, -1.507251005205110e+01, -2.758523553097969e+00
s49         , -1.670962096820184e+01, -1.730739383394687e+01,  1.022858792244431e+01
s50         , -1.470058355659457e+01, -1.439297288980224e+01, -6.707375367850318e+00
s51         , -1.422124899427813e+01, -1.508021665352368e+01, -2.713739796003887e+00
s52         , -1.445526933875853e+01, -1.446220087016450e+01, -6.305085322401624e+00
s53         , -1.689013290841563e+01, -1.698685875627148e+01,  8.365929640472803e+00
s54         , -1.720944815722343e+01, -1.632820662605833e+01,  4.538442632881974e+00
s55         , -1.562566680706692e+01, -1.631964813243513e+01,  4.488708453571363e+00
s56         , -1.398744736555374e+01, -1.411886566758319e+01, -8.300237189143914e+00
s57         , -1.422672185441562e+01, -1.441340063470103e+01, -6.588667897536368e+00
s58         , -1.312845606224703e+01, -1.257587819238914e+01, -1.726667674543811e+01
s59         , -1.619702485478463e+01, -1.616285190430664e+01,  3.577551412590048e+00
s60         , -1.672765451482195e+01, -1.691476976623163e+01,  7.947014009427050e+00
s61         , -1.650980416381348e+01, -1.659580752864847e+01,  6.093495643265307e+00
s62         , -1.380421394955886e+01, -1.354933166857965e+01, -1.160985068855194e+01
s63         , -1.727933600205615e+01, -1.711196233595563e+01,  9.092917839371147e+00
s64         , -1.494958812372483e+01, -1.454026818834783e+01, -5.851429086647157e+00
s65         , -1.623922548981244e+01, -1.652016621900183e+01,  5.653937162195795e+00
s66         , -1.367737338350917e+01, -1.451231598210172e+01, -6.013861881339370e+00
s67         , -1.741146232592018e+01, -1.658022761854900e+01,  6.002959378749042e+00
s68         , -1.487711888617207e+01, -1.488487298629770e+01, -3.848899486568671e+00
s69         , -1.433186966990272e+01, -1.496131028971001e+01, -3.404715413845425e+00
s70         , -1.495278133437334e+01, -1.432033568582108e+01, -7.129476719614917e+00
s71         , -1.570155986508802e+01, -1.557970120732762e+01,  1.888100516041593e-01
s72         , -1.639206679417054e+01, -1.661237694121431e+01,  6.189781995969629e+00
s73         , -1.656159175852897e+01, -1.601050221973663e+01,  2.692233637767716e+00
s74         , -1.616936532813614e+01, -1.615456066541383e+01,  3.529370274651892e+00
s75         , -1.476925333058890e+01, -1.481832199370641e+01, -4.235633314337516e+00
s76         , -1.554181169575925e+01, -1.566009936205032e+01,  6.560109889727919e-01
s77         , -1.355623132555349e+01, -1.410264361319230e+01, -8.394505012125787e+00
s78         , -1.613153244530022e+01, -1.617667070159870e+01,  3.657853691546853e+00
s79         , -1.369332123872701e+01, -1.476205834206078e+01, -4.562586474883076e+00
