# c0 + a0 * ((rho - AAV) / (rho + E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.431878167591126; Max AE: 1.39777336016165
# Coefficients
# Task   a0                      c0
# all , -1.666471787832355e+00, -1.819949668173062e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         4|1|sub|4|0|add|div; ((rho - AAV) / (rho + E_T)); $\left(\frac{ \left(rho - AAV\right) }{ \left(rho + E_{T}\right) } \right)$; ((rho - AAV) ./ (rho + E_T)); ((newdata$rho - newdata$AAV) / (newdata$rho + newdata$E_T)); rho,AAV,rho,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.581541986995232e+01, -1.430613364825915e+00
s2          , -1.676053957577113e+01, -1.623154772099092e+01, -1.180907456764981e+00
s3          , -1.469519139678599e+01, -1.430832834981563e+01, -2.334974021358253e+00
s4          , -1.482490640944098e+01, -1.481293272636774e+01, -2.032175990070564e+00
s5          , -1.661617250197141e+01, -1.667914138066093e+01, -9.123198557398203e-01
s6          , -1.434920619754616e+01, -1.450907306796348e+01, -2.214513105299802e+00
s7          , -1.650308689038163e+01, -1.663442740604817e+01, -9.391513778449232e-01
s8          , -1.458891392032861e+01, -1.393466195012629e+01, -2.559200079319537e+00
s9          , -1.601703755740822e+01, -1.606768868739017e+01, -1.279234374026445e+00
s10         , -1.658811786664458e+01, -1.631477976498441e+01, -1.130962390427105e+00
s11         , -1.506367336241177e+01, -1.483475753069532e+01, -2.019079576145693e+00
s12         , -1.549821089880063e+01, -1.506668224960663e+01, -1.879908471897362e+00
s13         , -1.453148296371105e+01, -1.423255995199745e+01, -2.380440376307314e+00
s14         , -1.465169748063443e+01, -1.426636697450403e+01, -2.360153790747678e+00
s15         , -1.581197879728031e+01, -1.512321049938769e+01, -1.845987555747568e+00
s16         , -1.619315500215883e+01, -1.631502189485892e+01, -1.130817095513458e+00
s17         , -1.684922037807049e+01, -1.644824170710787e+01, -1.050875860851316e+00
s18         , -1.426536183018756e+01, -1.432498670189999e+01, -2.324977841281283e+00
s19         , -1.606751413385304e+01, -1.547211601882026e+01, -1.636619763277225e+00
s20         , -1.502445348449817e+01, -1.524217248241192e+01, -1.774602019014923e+00
s21         , -1.635889943275450e+01, -1.612033109839023e+01, -1.247645233793515e+00
s22         , -1.609859360689693e+01, -1.664400605520933e+01, -9.334035162662908e-01
s23         , -1.425699056390511e+01, -1.460884713804171e+01, -2.154641662646693e+00
s24         , -1.783369299687520e+01, -1.678994812326061e+01, -8.458280354709535e-01
s25         , -1.437292967204356e+01, -1.488501667195639e+01, -1.988920564977283e+00
s26         , -1.507280660180631e+01, -1.470193717013854e+01, -2.098781111765168e+00
s27         , -1.727846250712225e+01, -1.665345857902550e+01, -9.277313387441845e-01
s28         , -1.397837986980880e+01, -1.393926643644184e+01, -2.556437064458337e+00
s29         , -1.642893168374653e+01, -1.673922316116764e+01, -8.762665718226241e-01
s30         , -1.682966437283499e+01, -1.654235060464007e+01, -9.944039192202959e-01
