# c0 + a0 * ((AAV / E_T) + (S - PF))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.433387008458919; Max AE: 1.54861121131827
# Coefficients
# Task   a0                      c0
# all ,  9.410698378534584e-01, -1.750553732136795e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|0|div|6|3|sub|add; ((AAV / E_T) + (S - PF)); $\left(\left(\frac{ AAV }{ E_{T} } \right) + \left(S - PF\right)\right)$; ((AAV ./ E_T) + (S - PF)); ((newdata$AAV / newdata$E_T) + (newdata$S - newdata$PF)); AAV,E_T,S,PF
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.586829372603789e+01,  1.739768431070479e+00
s2          , -1.676053957577113e+01, -1.624057496966777e+01,  1.344174790029933e+00
s3          , -1.469519139678599e+01, -1.428632564620989e+01,  3.420799972190104e+00
s4          , -1.482490640944098e+01, -1.482876109048737e+01,  2.844397007756825e+00
s5          , -1.661617250197141e+01, -1.656089555481446e+01,  1.003795604275426e+00
s6          , -1.434920619754616e+01, -1.472431650055564e+01,  2.955381958852449e+00
s7          , -1.650308689038163e+01, -1.672615062440253e+01,  8.281921974496236e-01
s8          , -1.458891392032861e+01, -1.383592183432933e+01,  3.899408247329289e+00
s9          , -1.601703755740822e+01, -1.589557986535810e+01,  1.710773623009842e+00
s10         , -1.658811786664458e+01, -1.622239527393298e+01,  1.363492905438090e+00
s11         , -1.506367336241177e+01, -1.477760336474822e+01,  2.898758250335631e+00
s12         , -1.549821089880063e+01, -1.500797856915053e+01,  2.653956860326379e+00
s13         , -1.453148296371105e+01, -1.435594429280041e+01,  3.346821778659522e+00
s14         , -1.465169748063443e+01, -1.428275055808781e+01,  3.424598933731822e+00
s15         , -1.581197879728031e+01, -1.518709026650484e+01,  2.463629118271807e+00
s16         , -1.619315500215883e+01, -1.627691414222687e+01,  1.305560044240199e+00
s17         , -1.684922037807049e+01, -1.609206998356033e+01,  1.501979216581495e+00
s18         , -1.426536183018756e+01, -1.423059252365809e+01,  3.480023124723529e+00
s19         , -1.606751413385304e+01, -1.536569442786763e+01,  2.273840694311502e+00
s20         , -1.502445348449817e+01, -1.530522715191074e+01,  2.338094454792032e+00
s21         , -1.635889943275450e+01, -1.605833268041159e+01,  1.537829162878462e+00
s22         , -1.609859360689693e+01, -1.676812760470748e+01,  7.835866021829690e-01
s23         , -1.425699056390511e+01, -1.450112921873930e+01,  3.192545315745727e+00
s24         , -1.783369299687520e+01, -1.686538761121384e+01,  6.802361359431708e-01
s25         , -1.437292967204356e+01, -1.444670059433306e+01,  3.250382281948347e+00
s26         , -1.507280660180631e+01, -1.466406557382080e+01,  3.019405822237835e+00
s27         , -1.727846250712225e+01, -1.654008880347077e+01,  1.025905282544518e+00
s28         , -1.397837986980880e+01, -1.388193479053332e+01,  3.850513941770696e+00
s29         , -1.642893168374653e+01, -1.666830339158133e+01,  8.896618466662537e-01
s30         , -1.682966437283499e+01, -1.641068787921744e+01,  1.163409343399860e+00
s31         , -1.420746367536026e+01, -1.449139041629937e+01,  3.202893965812064e+00
s32         , -1.693330532410375e+01, -1.635511095255572e+01,  1.222466518995340e+00
s33         , -1.474461208276328e+01, -1.457347574183389e+01,  3.115668425015053e+00
s34         , -1.716094441986192e+01, -1.644789063547109e+01,  1.123876935966098e+00
s35         , -1.490781329092262e+01, -1.559138755142109e+01,  2.034014578889225e+00
s36         , -1.262179431497255e+01, -1.221049145495076e+01,  5.626623714234612e+00
s37         , -1.644088958394727e+01, -1.688706138534946e+01,  6.572051415750406e-01
s38         , -1.461238558797282e+01, -1.407534854167800e+01,  3.644988545710982e+00
s39         , -1.501622627955599e+01, -1.490222978181691e+01,  2.766327678176435e+00
