sample_id,E_T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s1,4.376068923108138,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,-10.531195380475284
s2,3.2684484709714092,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-10.74748491541494
s3,3.5461128641984385,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-10.599318181984566
s4,3.5951771659632756,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-10.0323779965023
s5,2.961082042221009,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-10.978932903637622
s6,3.7644146909342298,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,-10.545101923307842
s7,3.9396076883700597,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,-10.752073121523507
s8,3.4697827592598856,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-10.384259893486323
s9,3.340521301362039,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-10.646064425580263
s10,3.4701559679357117,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-10.09149526642792
s11,3.443871680174125,3.0804153254518627,21.992230182506944,0.564588685908046,43.55324016535693,3.080712559541102,2.1812871287128712,0.0,0.0,0.0,0.31683168316831684,0.0,0.38613861386138615,0.0,0.039603960396039604,0.0,0.034653465346534656,0.06930693069306931,0.0,0.15346534653465346,-10.845920151359234
s12,3.4059281063047258,2.2843124384766815,23.351007304132338,0.40188371926576333,41.921493427891114,2.1901625140482865,2.161184210526316,0.0,0.0,0.4780701754385965,0.0,0.07894736842105263,0.24561403508771928,0.0,0.10526315789473684,0.0,0.0,0.09210526315789473,0.0,0.0,-10.183487235929379
s13,3.899387233815752,2.7257278307960866,25.209241180318614,0.2969150796641382,41.41518193909483,4.647120503637297,2.230632411067193,0.0,0.0,0.6086956521739131,0.0,0.0,0.1067193675889328,0.02766798418972332,0.0,0.0,0.0,0.25691699604743085,0.0,0.0,-9.753325940300352
s14,3.702017284370191,1.9970055588374238,23.281675799917,0.3821787932646424,42.87708626484716,4.534373757047304,2.0586425339366516,0.06334841628959276,0.0,0.5429864253393665,0.0,0.0,0.22624434389140272,0.0,0.167420814479638,0.0,0.0,0.0,0.0,0.0,-10.60029839038564
s15,3.267787762966846,2.5597821385877046,27.482270337881783,0.40343036876208066,50.34567171141371,6.597252450260268,2.0155045871559634,0.0,0.0,0.43119266055045874,0.0,0.0,0.2798165137614679,0.0,0.11467889908256881,0.0,0.0,0.05963302752293578,0.0,0.11467889908256881,-10.105231924918035
s16,3.1487329134572764,2.136514525480516,21.91694753127767,0.4059734764653831,42.413352167009506,5.697701118014736,2.075454545454545,0.23923444976076555,0.0,0.4449760765550239,0.0,0.0,0.24401913875598086,0.0,0.0,0.0,0.0,0.0,0.07177033492822966,0.0,-10.414293243903604
s17,3.5371813972001265,2.0966236863774568,23.124865077131044,0.40063495146308914,41.77394981675282,3.1635440856038537,2.0663392857142857,0.0,0.0,0.5446428571428571,0.0,0.008928571428571428,0.23214285714285715,0.10267857142857142,0.0,0.11160714285714286,0.0,0.0,0.0,0.0,-10.503390235281902
s18,3.5066404767048263,2.283156195533974,18.41229353050768,0.5312356060722699,37.98746875767897,2.6962556756369143,2.1766326530612248,0.18877551020408162,0.0,0.17857142857142858,0.2602040816326531,0.0,0.3163265306122449,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.04591836734693878,-10.678945123547713
s19,2.8438249990741182,3.2313151666733817,34.50144951700675,0.26587447522567326,51.579667027925126,9.154625545003947,2.310401337792642,0.0,0.0,0.3779264214046823,0.0,0.0,0.10033444816053512,0.0,0.0,0.023411371237458192,0.0,0.20735785953177258,0.0,0.2909698996655518,-9.206669114586937
s20,3.4641337656417273,1.9471208257231176,25.399061749779868,0.28694940369760596,42.38783815195052,3.7225632269393074,2.1765873015873014,0.0,0.0,0.5992063492063492,0.0,0.0,0.1349206349206349,0.0,0.26587301587301587,0.0,0.0,0.0,0.0,0.0,-10.480818532178597
s21,3.5741463144176464,2.057018658258049,21.99509347817763,0.5127845248878043,45.64573162675577,3.92294389402469,1.898652849740933,0.06217616580310881,0.0,0.48186528497409326,0.0,0.0,0.34196891191709844,0.06735751295336788,0.0,0.046632124352331605,0.0,0.0,0.0,0.0,-10.712077430376672
s22,3.848541481961301,2.223086149609455,22.140543482377474,0.38299029227916903,37.88839483251921,2.6666365720828478,2.241522633744856,0.03292181069958848,0.0,0.5020576131687243,0.0,0.0823045267489712,0.2222222222222222,0.0,0.0,0.12345679012345678,0.0,0.037037037037037035,0.0,0.0,-10.18886686701965
s23,3.16615691360449,2.4581314964070113,26.36233221930859,0.46477691356464473,51.95682951960822,2.73909007802838,1.953793103448276,0.0,0.0,0.28078817733990147,0.0,0.0,0.3448275862068966,0.1477832512315271,0.0,0.0,0.0,0.0,0.22660098522167488,0.0,-10.429744504267298
s24,2.6103229084122788,1.7006634752158178,25.3023973615195,0.24710966019850836,42.170662269199134,3.784766212238286,2.3701999999999996,0.276,0.0,0.352,0.0,0.0,0.124,0.0,0.0,0.0,0.248,0.0,0.0,0.0,-9.48579731584702
s25,3.149837461342267,2.6251330933756845,32.06251242680661,0.29695383239254614,54.55080239283069,3.752486896428846,2.137061224489796,0.09387755102040816,0.0,0.3469387755102041,0.0,0.0,0.1510204081632653,0.1673469387755102,0.0,0.0,0.0,0.0,0.0,0.24081632653061225,-9.737745706155478
s26,3.3990529181325626,2.0564804264329384,22.09280560684358,0.4573691659821177,43.966870564114416,4.885664455710958,2.035771144278607,0.19402985074626866,0.0,0.38308457711442784,0.0,0.0,0.3034825870646766,0.0,0.0,0.0,0.07960199004975124,0.0,0.03980099502487562,0.0,-10.276627330012523
s27,3.666250942157918,2.7861272402295834,21.67615493882239,0.3616103358452328,37.159122752267,2.7387530166690133,2.33175,0.0,0.0,0.38333333333333336,0.2,0.0,0.16666666666666666,0.0,0.025,0.0,0.0,0.225,0.0,0.0,-10.42063708282911
s28,3.4297410407925417,2.0614146154364987,23.859650562774,0.337531671615568,41.665359937978465,2.631287918316342,2.1104273504273507,0.0,0.0,0.5726495726495726,0.0,0.0,0.15384615384615385,0.18803418803418803,0.0,0.08547008547008547,0.0,0.0,0.0,0.0,-10.517818180582573
s29,3.4413539225813663,2.7018818806192777,20.557578935981176,0.3905551188168823,33.56870484483001,1.6311887961031122,2.5562790697674416,0.0,0.0,0.31007751937984496,0.0,0.3023255813953488,0.20930232558139536,0.0,0.0,0.0,0.0,0.17829457364341086,0.0,0.0,-10.121343267493344
