sample_id,E/T,D
s1,9.627351630837904,1.4364625631071203e-07
s2,7.942391979192743,5.260053344200803e-08
s3,7.1905866361371,4.1491531541234836e-07
s4,7.801448301236565,3.644390884127098e-07
s5,8.469161610331188,6.07698230883191e-08
s6,7.909389765119206,5.864337124176607e-07
s7,8.0692405213746,6.80456597370682e-08
s8,6.51438049288622,4.614399455322109e-07
s9,7.069246192646957,1.1063409111677341e-07
s10,7.182828748758404,6.249883835826289e-08
s11,8.281712320055306,2.870316460130225e-07
s12,8.667136914414131,1.8587138167452298e-07
s13,7.633522070371748,4.887166497840028e-07
s14,7.349146862996486,4.3335981147211866e-07
s15,8.730252119237013,1.3581410010469197e-07
s16,7.663568812540761,9.276884252728586e-08
s17,7.397981103859396,4.813672786793108e-08
s18,7.634343129458566,6.377229916916383e-07
s19,7.9082384942055315,1.0518826062853579e-07
s20,7.576517696383075,2.985126625238188e-07
s21,8.53270510116396,7.859958379498259e-08
s22,8.329116670513413,1.0196934511745442e-07
s23,7.493041833870397,6.430839483603262e-07
s24,10.592199244577964,1.7985625222048538e-08
s25,8.578651914394655,5.726851933210015e-07
s26,8.14443802561442,2.84422052437744e-07
s27,8.510120168948882,3.133711976372876e-08
s28,7.189133078527061,8.497022271754762e-07
s29,8.503410813013494,7.32834026770735e-08
s30,8.142667393573289,4.908735490773996e-08
s31,6.927212409606008,6.757357934716325e-07
s32,8.836093594042303,4.425465275104499e-08
s33,7.781799073840278,3.949083663967946e-07
s34,8.75247391945513,3.5244920411898e-08
s35,7.714609048750617,3.3544316762897765e-07
s36,6.25641499796306,3.2993195260815966e-06
s37,8.317250646523553,7.241230568684906e-08
s38,7.621094284411799,4.507352998804503e-07
s39,7.863121891718822,3.0097871783751753e-07
s40,8.588951308381437,8.905869512620033e-08
s41,8.466791260314862,3.8359967147085025e-07
s42,6.965545209929878,6.652423282078261e-07
s43,5.742710398507013,3.4064304344976134e-06
s44,7.657337843103465,1.1677697128762128e-07
s45,6.929642414952987,1.3876803623701733e-06
s46,7.4079816446784985,2.0087639047051644e-07
s47,7.4779164198916375,5.783567221345447e-07
s48,8.065752072747419,3.425887145552688e-07
s49,10.146892179226201,5.534824042877104e-08
s50,7.545430289743591,4.126840468093039e-07
s51,7.570978629679006,6.664844727633748e-07
s52,7.795687486574141,5.27419632444707e-07
s53,9.562441706215767,4.620707516816867e-08
s54,8.280447950103838,3.3576206616987986e-08
s55,7.825727923778901,1.6362856798828888e-07
s56,7.118939478946283,8.420323815432365e-07
s57,7.87184986393648,6.628468596136663e-07
s58,6.730625541378074,1.9878516758494184e-06
s59,7.346597587321452,9.241053452518151e-08
s60,9.160102121533143,5.435906136536872e-08
s61,9.473309271873642,6.759011017318665e-08
s62,6.148514364065349,1.0113606560325923e-06
s63,9.742882945859217,3.130975889989965e-08
s64,7.769754107745993,3.2171874889309985e-07
s65,8.9111807659691,8.859189254269666e-08
s66,7.1192439903302756,1.148133033995882e-06
s67,9.128092259359644,2.7434559411574966e-08
s68,8.853260947322894,3.4589904352944e-07
s69,7.753079548340686,5.966890760240881e-07
s70,7.49323280261016,3.206930716316187e-07
s71,8.175332159116204,1.5166982767189895e-07
s72,8.44220422115419,7.603540163187953e-08
s73,7.424144002640064,6.4178873184671e-08
s74,8.574295382843832,9.500224366141867e-08
s75,8.365063336741047,3.852962451639928e-07
s76,10.06391557310598,1.779413748356851e-07
s77,7.611996221847688,1.2959956382943315e-06
s78,7.070887086618086,9.866530764039711e-08
s79,6.66164388214787,1.1299680062126395e-06
s80,8.617523239859635,1.1700622318526368e-07
s81,6.646048985579415,1.1111100211276687e-06
s82,8.281343998915766,9.351530844453403e-08
s83,6.763183164861317,4.4229380514540153e-07
s84,7.178957498760083,1.7068529441120914e-07
s85,6.812443708937937,5.762816807849678e-07
s86,6.698713350829386,1.5021927110037557e-06
s87,6.967323671826372,4.554791719442746e-08
s88,7.753117596667242,5.86674146484022e-07
s89,7.649105010968406,2.954415748152465e-07
s90,9.249949326069649,3.692472245591798e-07
