sample_id,E_T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s1,4.3941054250662255,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-10.841187962298502
s2,4.241301738588092,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-10.940768579337366
s3,4.162801018816887,2.2843124384766815,23.351007304132338,0.40188371926576333,41.921493427891114,2.1901625140482865,2.161184210526316,0.0,0.0,0.4780701754385965,0.0,0.07894736842105263,0.24561403508771928,0.0,0.10526315789473684,0.0,0.0,0.09210526315789473,0.0,0.0,-10.925837135513019
s4,4.765917730219252,2.7257278307960866,25.209241180318614,0.2969150796641382,41.41518193909483,4.647120503637297,2.230632411067193,0.0,0.0,0.6086956521739131,0.0,0.0,0.1067193675889328,0.02766798418972332,0.0,0.0,0.0,0.25691699604743085,0.0,0.0,-10.600166041916369
s5,3.9939628214039224,2.5597821385877046,27.482270337881783,0.40343036876208066,50.34567171141371,6.597252450260268,2.0155045871559634,0.0,0.0,0.43119266055045874,0.0,0.0,0.2798165137614679,0.0,0.11467889908256881,0.0,0.0,0.05963302752293578,0.0,0.11467889908256881,-10.7199436958765
s6,3.475786109979478,3.2313151666733817,34.50144951700675,0.26587447522567326,51.579667027925126,9.154625545003947,2.310401337792642,0.0,0.0,0.3779264214046823,0.0,0.0,0.10033444816053512,0.0,0.0,0.023411371237458192,0.0,0.20735785953177258,0.0,0.2909698996655518,-9.817856496395107
s7,4.703772922397145,2.223086149609455,22.140543482377474,0.38299029227916903,37.88839483251921,2.6666365720828478,2.241522633744856,0.03292181069958848,0.0,0.5020576131687243,0.0,0.0823045267489712,0.2222222222222222,0.0,0.0,0.12345679012345678,0.0,0.037037037037037035,0.0,0.0,-10.989187835734107
s8,3.1903946658372293,1.7006634752158178,25.3023973615195,0.24710966019850836,42.170662269199134,3.784766212238286,2.3701999999999996,0.276,0.0,0.352,0.0,0.0,0.124,0.0,0.0,0.0,0.248,0.0,0.0,0.0,-9.959662945246288
s9,3.849801341640548,2.6251330933756845,32.06251242680661,0.29695383239254614,54.55080239283069,3.752486896428846,2.137061224489796,0.09387755102040816,0.0,0.3469387755102041,0.0,0.0,0.1510204081632653,0.1673469387755102,0.0,0.0,0.0,0.0,0.0,0.24081632653061225,-10.3371563750385
s10,4.206099238710559,2.7018818806192777,20.557578935981176,0.3905551188168823,33.56870484483001,1.6311887961031122,2.5562790697674416,0.0,0.0,0.31007751937984496,0.0,0.3023255813953488,0.20930232558139536,0.0,0.0,0.0,0.0,0.17829457364341086,0.0,0.0,-10.847179236361143
s11,4.33093749254119,2.334040739665963,24.23050103521587,0.5110967937160327,49.73629159860104,7.435898966318622,1.9286153846153846,0.08205128205128205,0.0,0.3333333333333333,0.0,0.0,0.39487179487179486,0.0,0.0,0.035897435897435895,0.0,0.0,0.15384615384615385,0.0,-10.911274743168851
s12,3.954966377192379,2.3937476653210066,24.931863812357484,0.45567393793212607,47.823847858249316,7.378686316636301,2.0208056872037914,0.08530805687203792,0.0,0.33649289099526064,0.0,0.0,0.3412322274881517,0.0,0.0,0.052132701421800945,0.0,0.0,0.1848341232227488,0.0,-10.80072230519604
s13,4.373249924409155,2.6061675816790237,24.93853520708835,0.3745107139673548,43.596254139798894,4.579542312644264,2.14656779661017,0.0,0.0,0.5042372881355932,0.0,0.0,0.211864406779661,0.0,0.0,0.0,0.06779661016949153,0.21610169491525424,0.0,0.0,-10.760050257460755
s14,3.739236411876708,2.3063495272619474,33.034277355456204,0.20024271721640385,48.47085555894043,4.279356929502267,2.4125477707006366,0.0,0.0,0.39171974522292996,0.0,0.0,0.06687898089171974,0.0,0.21656050955414013,0.0,0.0,0.03503184713375796,0.2898089171974522,0.0,-10.127763420410165
s15,3.955135550183486,2.389631836155332,22.641981698155252,0.30597554387898174,35.207037475702926,1.9145951972054915,2.5434982332155474,0.0,0.0,0.4134275618374558,0.0,0.2226148409893993,0.1519434628975265,0.0,0.0,0.08480565371024736,0.007067137809187279,0.12014134275618374,0.0,0.0,-10.547054114407063
s16,4.918478304068275,2.6930474700384246,24.248468851252884,0.3881342003012747,43.300837234380126,5.439116685035184,2.0987999999999998,0.0,0.0,0.56,0.0,0.0,0.21333333333333335,0.0,0.0,0.0,0.0,0.22666666666666666,0.0,0.0,-10.997195045576317
s17,4.3072664157448255,1.9052054970590735,20.81608000758587,0.2587712038039323,36.82844924419036,5.783489037690222,2.248695652173913,0.34782608695652173,0.0,0.5652173913043478,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.80695182781046
s18,5.591064207281099,2.637535035859997,22.109355193099166,0.43114934549933354,39.20955960026178,1.8173715978538054,2.2651541850220265,0.0,0.0,0.41409691629955947,0.0,0.14977973568281938,0.2555066079295154,0.0,0.0,0.0,0.0,0.18061674008810572,0.0,0.0,-10.984450445679254
