# FEAT_ID     Score                   Feature Expression
0             0.943667340663557064    ((face-area-avg - rho) + (face-area-avg - E_T))
1             0.943945173925427539    ((face-area-avg + S) + (face-area-avg - E_T))
2             0.946359256907126412    ((bottleneck_avg * O) - (face-area-avg - E_T))
3             0.946571177845024758    ((O * WE) - (face-area-avg - E_T))
4             0.946623028539859024    ((Na-Na-avg * O) - (face-area-avg - E_T))
5             0.946647030537754341    ((Na-Na * O) - (face-area-avg - E_T))
6             0.947296465572240565    ((bottleneck_min * O) - (face-area-avg - E_T))
7             0.947636818122007063    ((face-area-avg - O) + (face-area-avg - E_T))
8             0.947710152035433628    ((rho / RBI) - (face-area-avg - E_T))
9             0.949761946674667845    ((O * rho) - (face-area-avg - E_T))
#-----------------------------------------------------------------------
