# c0 + a0 * ((face-area-max / Na-Na-avg) / (poly_dist_avg + PF))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0331846841077759; Max AE: 0.137019837409373
# Coefficients
# Task   a0                      c0
# all , -1.359099787469187e-02,  4.196590020311967e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         28|21|div|26|2|add|div; ((face-area-max / Na-Na-avg) / (poly_dist_avg + PF)); $\left(\frac{ \left(\frac{ face-area-max }{ Na-Na-avg } \right) }{ \left(poly_{dist, avg} + PF\right) } \right)$; ((face_sub_area_sub_max ./ Na_sub_Na_sub_avg) ./ (poly_dist_avg + PF)); ((newdata$face_sub_area_sub_max / newdata$Na_sub_Na_sub_avg) / (newdata$poly_dist_avg + newdata$PF)); face-area-max,Na-Na-avg,poly_dist_avg,PF
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.601363987703107e-01,  4.379560927731771e+00
s2          ,  4.250240521814745e-01,  3.564653310011186e-01,  4.649671172986688e+00
s3          ,  2.746380789449931e-01,  2.962277364732576e-01,  9.081839810142530e+00
s4          ,  3.247370215691567e-01,  3.155747773682063e-01,  7.658321016796581e+00
s5          ,  3.450588503436838e-01,  3.340564470013735e-01,  6.298474609375503e+00
s6          ,  3.418868902527870e-01,  3.654042920800651e-01,  3.991959269757569e+00
s7          ,  3.253614410179195e-01,  3.720771316122477e-01,  3.500984317535094e+00
s8          ,  3.920908336338758e-01,  3.364228122661139e-01,  6.124361914593407e+00
s9          ,  3.897447923973993e-01,  3.774794311038734e-01,  3.103493306099832e+00
s10         ,  3.161197563926354e-01,  3.457811243091606e-01,  5.435794958043950e+00
s11         ,  3.431871249187676e-01,  3.044920720477909e-01,  8.473765579631277e+00
s12         ,  2.917324756968375e-01,  3.007965168858721e-01,  8.745677561076022e+00
s13         ,  2.447364458196310e-01,  2.738496184171242e-01,  1.072837954640459e+01
s14         ,  3.105728952400728e-01,  2.984322697875688e-01,  8.919634405165143e+00
s15         ,  3.795908353494076e-01,  3.554883230317544e-01,  4.721557577382606e+00
s16         ,  3.670742293030571e-01,  3.754507828483428e-01,  3.252757420054868e+00
s17         ,  2.954366621683970e-01,  3.127131302657615e-01,  7.868875615423482e+00
s18         ,  3.635454507147386e-01,  3.362078063633863e-01,  6.140181643557380e+00
s19         ,  3.651486704953139e-01,  3.589452479446958e-01,  4.467203559759029e+00
s20         ,  3.399672486499590e-01,  3.070201105016068e-01,  8.287757276405546e+00
s21         ,  3.890225043355258e-01,  3.684462153525176e-01,  3.768140290422950e+00
s22         ,  2.558533901530953e-01,  2.743806319216662e-01,  1.068930857388014e+01
s23         ,  4.117639764254846e-01,  3.739268989741862e-01,  3.364881922479688e+00
s24         ,  3.311791000527954e-01,  3.521959561181925e-01,  4.963803727659228e+00
s25         ,  3.690868050126928e-01,  3.870823571769130e-01,  2.396928110403542e+00
s26         ,  2.979562579207253e-01,  2.553418943493285e-01,  1.209014299000422e+01
s27         ,  3.397813902812787e-01,  3.378341655520072e-01,  6.020517200694846e+00
s28         ,  2.613491376061739e-01,  2.837617941542920e-01,  9.999060343461773e+00
s29         ,  3.947313720925611e-01,  3.873914850117802e-01,  2.374183067124351e+00
s30         ,  2.592589137508671e-01,  2.896515519713551e-01,  9.565703067464364e+00
s31         ,  3.031212395007984e-01,  3.180688553877680e-01,  7.474811458296398e+00
s32         ,  3.857616783620361e-01,  3.455661927512556e-01,  5.451609216856045e+00
s33         ,  4.141193231435004e-01,  3.770086434770097e-01,  3.138132972090836e+00
s34         ,  4.179319881718991e-01,  3.611856625284883e-01,  4.302358078621517e+00
s35         ,  3.612111930609704e-01,  3.801238388125291e-01,  2.908922772498332e+00
s36         ,  3.787074193034875e-01,  3.539879667143597e-01,  4.831950966538274e+00
s37         ,  3.867254135891385e-01,  3.441127257180331e-01,  5.558552580884456e+00
s38         ,  3.446930711358910e-01,  3.692420677842780e-01,  3.709582968944564e+00
s39         ,  2.876898720952064e-01,  3.557640583423979e-01,  4.701269493079621e+00
s40         ,  3.049912944269815e-01,  3.445346106269719e-01,  5.527511084680235e+00
s41         ,  3.032122447573497e-01,  3.291461180288869e-01,  6.659767357543046e+00
s42         ,  3.284012713704346e-01,  3.167423932382883e-01,  7.572410042426092e+00
s43         ,  3.521735822893021e-01,  3.663908389224929e-01,  3.919371013065624e+00
s44         ,  3.330769886831567e-01,  3.185251162718412e-01,  7.441240642652104e+00
s45         ,  3.222694574216643e-01,  3.178418597614301e-01,  7.491513368518935e+00
s46         ,  3.537154217541030e-01,  3.162013691769664e-01,  7.612217572845133e+00
s47         ,  3.064622412169097e-01,  3.082906240265727e-01,  8.194275286585528e+00
s48         ,  2.709027668189650e-01,  2.769122865314795e-01,  1.050303420071380e+01
s49         ,  3.986674224858993e-01,  3.474397901906225e-01,  5.313753449631194e+00
s50         ,  3.630933243380700e-01,  3.281498050245124e-01,  6.733074190018517e+00
s51         ,  3.785261269820064e-01,  3.730787302194473e-01,  3.427288580368903e+00
s52         ,  3.404870415156796e-01,  3.562752480154710e-01,  4.663657120700031e+00
s53         ,  2.464211996641334e-01,  3.551174105154113e-01,  4.748848621039804e+00
s54         ,  4.479825317233843e-01,  3.831427943669718e-01,  2.686793714552972e+00
s55         ,  3.436317929445776e-01,  3.301284394111548e-01,  6.587490002243245e+00
s56         ,  3.917346641556894e-01,  3.896190495757895e-01,  2.210283066215861e+00
s57         ,  3.497750017469617e-01,  3.658133024289674e-01,  3.961865059407943e+00
s58         ,  4.567353100642558e-01,  3.727279507289212e-01,  3.453098273944029e+00
s59         ,  3.347920174849711e-01,  3.284652289105945e-01,  6.709865895161119e+00
s60         ,  2.709373029897972e-01,  2.684910592387021e-01,  1.112265222805959e+01
s61         ,  2.790893938381299e-01,  2.856901125895757e-01,  9.857178308524926e+00
s62         ,  3.360458157463063e-01,  3.447357190574206e-01,  5.512713905525115e+00
s63         ,  4.093736118424267e-01,  3.777742901161431e-01,  3.081798135885831e+00
s64         ,  3.302497794709098e-01,  3.799244172398036e-01,  2.923595835842478e+00
s65         ,  3.637362750415415e-01,  3.642279024834250e-01,  4.078515798386761e+00
s66         ,  3.848471859724885e-01,  3.621455253593445e-01,  4.231733181192639e+00
s67         ,  3.211750777924535e-01,  3.065202079455951e-01,  8.324539163991789e+00
s68         ,  4.095598752010021e-01,  3.720150190387766e-01,  3.505554443587925e+00
s69         ,  3.476279282639844e-01,  3.627230677415666e-01,  4.189238701571127e+00
s70         ,  3.542202710009075e-01,  3.680887401369375e-01,  3.794442642823857e+00
s71         ,  3.324591144603498e-01,  3.077258173557074e-01,  8.235832696576525e+00
s72         ,  3.490784623419291e-01,  3.771078473551840e-01,  3.130833737767574e+00
s73         ,  2.871691931895054e-01,  3.214830448050771e-01,  7.223601837870604e+00
s74         ,  4.049442418517104e-01,  3.889703894935748e-01,  2.258010252121957e+00
s75         ,  3.439829269029567e-01,  3.562745507187071e-01,  4.663708426481280e+00
s76         ,  3.071028154909760e-01,  2.870513006972109e-01,  9.757024653864299e+00
s77         ,  2.780468433194506e-01,  3.235118810896002e-01,  7.074323889096802e+00
s78         ,  2.669617651637353e-01,  2.900890681780909e-01,  9.533511449838512e+00
s79         ,  3.541307689639985e-01,  3.643592829075585e-01,  4.068849074475478e+00
s80         ,  3.629523222745701e-01,  3.410042837714672e-01,  5.787265878850172e+00
s81         ,  2.554152131748840e-01,  2.991437920514073e-01,  8.867281938451610e+00
s82         ,  3.259366268272620e-01,  3.243764422719635e-01,  7.010711107288246e+00
s83         ,  2.722850822770267e-01,  3.119789829296052e-01,  7.922892792302255e+00
s84         ,  3.998438077165619e-01,  3.270616518826540e-01,  6.813138446660385e+00
s85         ,  3.012322773461942e-01,  3.005177085853233e-01,  8.766191750182623e+00
s86         ,  3.200453803456573e-01,  3.413206906796152e-01,  5.763985255082499e+00
s87         ,  3.352140969143458e-01,  3.200361512693559e-01,  7.330061536346127e+00
s88         ,  3.302506455484479e-01,  3.322821566839702e-01,  6.429023545793730e+00
s89         ,  3.471406078486814e-01,  3.564758451933386e-01,  4.648897558545943e+00
s90         ,  3.483351733862548e-01,  3.315132351919938e-01,  6.485599339496718e+00
s91         ,  3.564650130752042e-01,  3.861427161116240e-01,  2.466065128446839e+00
s92         ,  2.923433543076974e-01,  2.984436117865020e-01,  8.918799882267130e+00
s93         ,  3.745472031333225e-01,  3.535704196581309e-01,  4.862673291718411e+00
s94         ,  3.437578785209007e-01,  3.478730383956453e-01,  5.281875863524768e+00
s95         ,  2.980732528469880e-01,  2.721438381334086e-01,  1.085388764370861e+01
s96         ,  3.581539694897533e-01,  3.373477296746766e-01,  6.056308235452961e+00
s97         ,  4.279362669937736e-01,  3.780536692514657e-01,  3.061241945832785e+00
s98         ,  2.896944279808133e-01,  3.107479439351297e-01,  8.013470320591612e+00
s99         ,  2.909528202324455e-01,  3.094151438450677e-01,  8.111535238440204e+00
s100        ,  3.111721139319150e-01,  3.330165599665527e-01,  6.374987536859457e+00
s101        ,  3.241780336567121e-01,  3.345806165117279e-01,  6.259907205040133e+00
s102        ,  3.096847321141750e-01,  2.749432997006032e-01,  1.064790853952470e+01
s103        ,  3.391049191815317e-01,  3.642017324893830e-01,  4.080441337209095e+00
s104        ,  2.515445686944838e-01,  2.829432927870350e-01,  1.005928413091311e+01
s105        ,  3.580226031747242e-01,  3.469874727408541e-01,  5.347034114814045e+00
s106        ,  3.582576851144277e-01,  3.788229895938737e-01,  3.004636805467003e+00
s107        ,  3.406125813060369e-01,  3.178138041792059e-01,  7.493577645364749e+00
s108        ,  3.541195107207772e-01,  3.667561381900783e-01,  3.892492981669149e+00
s109        ,  3.030334722988908e-01,  3.092714308067023e-01,  8.122109372855533e+00
s110        ,  3.844717335443058e-01,  3.394039618030411e-01,  5.905014552139731e+00
s111        ,  3.518414134147780e-01,  3.693922914001134e-01,  3.698529798513629e+00
s112        ,  3.724995886738390e-01,  3.750070535173557e-01,  3.285406187649292e+00
s113        ,  3.276637756053076e-01,  3.378358518833283e-01,  6.020393123615546e+00
s114        ,  3.975727278995340e-01,  3.652081734272605e-01,  4.006389310481054e+00
s115        ,  4.661802026900197e-01,  3.736131639933697e-01,  3.387965950871794e+00
s116        ,  3.149444114213277e-01,  3.585913475011260e-01,  4.493242887175064e+00
s117        ,  2.617905198031230e-01,  2.735766132043698e-01,  1.074846675525206e+01
s118        ,  2.697626524103243e-01,  2.866500407224285e-01,  9.786548606298252e+00
s119        ,  3.390451473349576e-01,  3.265385229920666e-01,  6.851629284155212e+00
s120        ,  3.261908135769222e-01,  3.532995979647742e-01,  4.882599841325268e+00
s121        ,  3.485047140780971e-01,  3.617985213033829e-01,  4.257265085410487e+00
s122        ,  2.626009490674024e-01,  2.689518375243292e-01,  1.108874903052579e+01
s123        ,  2.763746480585029e-01,  2.998239594761132e-01,  8.817236501686992e+00
