# c0 + a0 * ((face-area-max - Na-Na-avg) / (poly_dist_avg_fixed + PF))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0332009281423055; Max AE: 0.128752770846051
# Coefficients
# Task   a0                      c0
# all , -4.041638020730863e-03,  4.021408587261797e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         28|21|sub|27|2|add|div; ((face-area-max - Na-Na-avg) / (poly_dist_avg_fixed + PF)); $\left(\frac{ \left(face-area-max - Na-Na-avg\right) }{ \left(poly_{dist, avg, fixed} + PF\right) } \right)$; ((face_sub_area_sub_max - Na_sub_Na_sub_avg) ./ (poly_dist_avg_fixed + PF)); ((newdata$face_sub_area_sub_max - newdata$Na_sub_Na_sub_avg) / (newdata$poly_dist_avg_fixed + newdata$PF)); face-area-max,Na-Na-avg,poly_dist_avg_fixed,PF
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.602457308063974e-01,  1.036587831589288e+01
s2          ,  4.250240521814745e-01,  3.566923110450124e-01,  1.124508118937100e+01
s3          ,  2.746380789449931e-01,  2.956822368677827e-01,  2.634046426531432e+01
s4          ,  3.247370215691567e-01,  3.105571888585464e-01,  2.266003768716326e+01
s5          ,  3.450588503436838e-01,  3.374179173627117e-01,  1.601403713827989e+01
s6          ,  3.418868902527870e-01,  3.654031191683871e-01,  9.089814419142179e+00
s7          ,  3.253614410179195e-01,  3.704867394292991e-01,  7.832002553053097e+00
s8          ,  3.920908336338758e-01,  3.361313801787700e-01,  1.633235787292822e+01
s9          ,  3.897447923973993e-01,  3.756357326654081e-01,  6.558015815572388e+00
s10         ,  3.161197563926354e-01,  3.489780548367984e-01,  1.315377666596862e+01
s11         ,  3.431871249187676e-01,  3.005524702105535e-01,  2.513544953668454e+01
s12         ,  2.917324756968375e-01,  3.210813087821615e-01,  2.005611327096531e+01
s13         ,  2.447364458196310e-01,  2.682280013403193e-01,  3.313331295355453e+01
s14         ,  3.105728952400728e-01,  3.006343098870204e-01,  2.511520040105015e+01
s15         ,  3.795908353494076e-01,  3.594866649674883e-01,  1.055368975150776e+01
s16         ,  3.670742293030571e-01,  3.742318468907215e-01,  6.905371458874828e+00
s17         ,  2.954366621683970e-01,  3.107385856561896e-01,  2.261515568716408e+01
s18         ,  3.635454507147386e-01,  3.274746272970135e-01,  1.847425005559108e+01
s19         ,  3.651486704953139e-01,  3.604583728585876e-01,  1.031326547646999e+01
s20         ,  3.399672486499590e-01,  3.032399385121041e-01,  2.447050421308909e+01
s21         ,  3.890225043355258e-01,  3.654112443602258e-01,  9.087804048149753e+00
s22         ,  2.558533901530953e-01,  2.672238734670034e-01,  3.338175872434485e+01
s23         ,  4.117639764254846e-01,  3.736615682880002e-01,  7.046472319416052e+00
s24         ,  3.311791000527954e-01,  3.563054925736719e-01,  1.134078953073073e+01
s25         ,  3.690868050126928e-01,  3.842129241300229e-01,  4.435809071519681e+00
s26         ,  2.979562579207253e-01,  2.388858123954623e-01,  4.039328744764614e+01
s27         ,  3.397813902812787e-01,  3.446627836905292e-01,  1.422148018719812e+01
s28         ,  2.613491376061739e-01,  2.798948531670569e-01,  3.024664874293137e+01
s29         ,  3.947313720925611e-01,  3.842350950278660e-01,  4.430323449667995e+00
s30         ,  2.592589137508671e-01,  2.908439661893183e-01,  2.753757064981668e+01
s31         ,  3.031212395007984e-01,  3.283013952718969e-01,  1.826968745729736e+01
s32         ,  3.857616783620361e-01,  3.516624315138400e-01,  1.248959628581767e+01
s33         ,  4.141193231435004e-01,  3.723771724968487e-01,  7.364263221165161e+00
s34         ,  4.179319881718991e-01,  3.643480122622484e-01,  9.350873648278164e+00
s35         ,  3.612111930609704e-01,  3.786159850129546e-01,  5.820628565091311e+00
s36         ,  3.787074193034875e-01,  3.487129247064727e-01,  1.321937633841969e+01
s37         ,  3.867254135891385e-01,  3.426803106832866e-01,  1.471199244907654e+01
s38         ,  3.446930711358910e-01,  3.713744668606347e-01,  7.612357095745397e+00
s39         ,  2.876898720952064e-01,  3.470550042179332e-01,  1.362958637703165e+01
s40         ,  3.049912944269815e-01,  3.485180723168946e-01,  1.326758758063849e+01
s41         ,  3.032122447573497e-01,  3.305501637665832e-01,  1.771328718514245e+01
s42         ,  3.284012713704346e-01,  3.112370910476323e-01,  2.249181327280492e+01
s43         ,  3.521735822893021e-01,  3.655396984636248e-01,  9.056021364312139e+00
s44         ,  3.330769886831567e-01,  3.212988443537862e-01,  2.000228965526570e+01
s45         ,  3.222694574216643e-01,  3.340000992207477e-01,  1.685968885781361e+01
s46         ,  3.537154217541030e-01,  3.201823069441763e-01,  2.027854829195777e+01
s47         ,  3.064622412169097e-01,  3.145050231060735e-01,  2.168324703266196e+01
s48         ,  2.709027668189650e-01,  2.729627906234692e-01,  3.196181039472476e+01
s49         ,  3.986674224858993e-01,  3.510715208705863e-01,  1.263580201731138e+01
s50         ,  3.630933243380700e-01,  3.267158775321282e-01,  1.866198328676949e+01
s51         ,  3.785261269820064e-01,  3.722216446893867e-01,  7.402744600908767e+00
s52         ,  3.404870415156796e-01,  3.532215066114369e-01,  1.210384301212025e+01
s53         ,  2.464211996641334e-01,  3.541188610610795e-01,  1.188181559525616e+01
s54         ,  4.479825317233843e-01,  3.811470984188484e-01,  5.194369263067994e+00
s55         ,  3.436317929445776e-01,  3.280340040500198e-01,  1.833584657904592e+01
s56         ,  3.917346641556894e-01,  3.863279250956064e-01,  3.912506154550124e+00
s57         ,  3.497750017469617e-01,  3.653190752984324e-01,  9.110608926102874e+00
s58         ,  4.567353100642558e-01,  3.725730761406353e-01,  7.315791872968774e+00
s59         ,  3.347920174849711e-01,  3.310649738441081e-01,  1.758591059305670e+01
s60         ,  2.709373029897972e-01,  2.664453814900696e-01,  3.357437666116667e+01
s61         ,  2.790893938381299e-01,  2.743624371974486e-01,  3.161550363325821e+01
s62         ,  3.360458157463063e-01,  3.470731825532085e-01,  1.362508861271380e+01
s63         ,  4.093736118424267e-01,  3.757896525377907e-01,  6.519932278255795e+00
s64         ,  3.302497794709098e-01,  3.786251152876757e-01,  5.818369512035511e+00
s65         ,  3.637362750415415e-01,  3.579469985938753e-01,  1.093464083265743e+01
