# c0 + a0 * ((face-area-count * face-area-max) * (face-area-count / rho))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0332047312343876; Max AE: 0.132000860740028
# Coefficients
# Task   a0                      c0
# all , -7.559674329660348e-06,  3.809818387748737e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         31|28|mult|31|0|div|mult; ((face-area-count * face-area-max) * (face-area-count / rho)); $\left(\left(face-area-count face-area-max\right) \left(\frac{ face-area-count }{ rho } \right)\right)$; ((face_sub_area_sub_count .* face_sub_area_sub_max) .* (face_sub_area_sub_count ./ rho)); ((newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max) * (newdata$face_sub_area_sub_count / newdata$rho)); face-area-count,face-area-max,face-area-count,rho
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.617827445852197e-01,  2.539672127716725e+03
s2          ,  4.250240521814745e-01,  3.547392440641619e-01,  3.471392227539367e+03
s3          ,  2.746380789449931e-01,  2.840618843878990e-01,  1.282065207580566e+04
s4          ,  3.247370215691567e-01,  2.963882184163605e-01,  1.119011437127794e+04
s5          ,  3.450588503436838e-01,  3.267071416700194e-01,  7.179502017951721e+03
s6          ,  3.418868902527870e-01,  3.619515839877027e-01,  2.517337911304706e+03
s7          ,  3.253614410179195e-01,  3.650666980296496e-01,  2.105268038172112e+03
s8          ,  3.920908336338758e-01,  3.375382331237515e-01,  5.746756243277761e+03
s9          ,  3.897447923973993e-01,  3.723707899368259e-01,  1.139076693325580e+03
s10         ,  3.161197563926354e-01,  3.461446522890627e-01,  4.608291966907545e+03
s11         ,  3.431871249187676e-01,  3.033734126209641e-01,  1.026610707942976e+04
s12         ,  2.917324756968375e-01,  3.127854349246980e-01,  9.021076950710352e+03
s13         ,  2.447364458196310e-01,  3.034180288592151e-01,  1.026020520637210e+04
s14         ,  3.105728952400728e-01,  3.124397703452046e-01,  9.066801748422495e+03
s15         ,  3.795908353494076e-01,  3.587602845523846e-01,  2.939485651558147e+03
s16         ,  3.670742293030571e-01,  3.696531459175794e-01,  1.498568901684848e+03
s17         ,  2.954366621683970e-01,  3.029051774864164e-01,  1.032804561198144e+04
s18         ,  3.635454507147386e-01,  3.274740052039012e-01,  7.078060672671402e+03
s19         ,  3.651486704953139e-01,  3.733029661907188e-01,  1.015767644120172e+03
s20         ,  3.399672486499590e-01,  2.954946371076758e-01,  1.130831804907114e+04
s21         ,  3.890225043355258e-01,  3.677467544263623e-01,  1.750747951744899e+03
s22         ,  2.558533901530953e-01,  2.570822278414866e-01,  1.638954345523424e+04
s23         ,  4.117639764254846e-01,  3.720986888296874e-01,  1.175070453806888e+03
s24         ,  3.311791000527954e-01,  3.460041313891516e-01,  4.626880188275731e+03
s25         ,  3.690868050126928e-01,  3.798699550856152e-01,  1.470808980349939e+02
s26         ,  2.979562579207253e-01,  2.496139918681896e-01,  1.737744791349845e+04
s27         ,  3.397813902812787e-01,  3.393038346807105e-01,  5.513201002672788e+03
s28         ,  2.613491376061739e-01,  2.762069645572408e-01,  1.385970739593228e+04
s29         ,  3.947313720925611e-01,  3.796150288190066e-01,  1.808027563442000e+02
s30         ,  2.592589137508671e-01,  3.003141997020238e-01,  1.067078230557509e+04
s31         ,  3.031212395007984e-01,  3.350061820491250e-01,  6.081698062754284e+03
s32         ,  3.857616783620361e-01,  3.526186255884399e-01,  3.751909401063860e+03
s33         ,  4.141193231435004e-01,  3.743601459829793e-01,  8.759230230215378e+02
s34         ,  4.179319881718991e-01,  3.639176730590588e-01,  2.257262015754268e+03
s35         ,  3.612111930609704e-01,  3.750403902028784e-01,  7.859397525478141e+02
s36         ,  3.787074193034875e-01,  3.386100251183289e-01,  5.604978707918556e+03
s37         ,  3.867254135891385e-01,  3.375597972471487e-01,  5.743903723121885e+03
s38         ,  3.446930711358910e-01,  3.740493351934427e-01,  9.170373324458287e+02
s39         ,  2.876898720952064e-01,  3.625366156610854e-01,  2.439949435575352e+03
s40         ,  3.049912944269815e-01,  3.493651437895065e-01,  4.182282676030003e+03
s41         ,  3.032122447573497e-01,  3.247263623169442e-01,  7.441521156170887e+03
s42         ,  3.284012713704346e-01,  3.052997513987768e-01,  1.001128938572903e+04
s43         ,  3.521735822893021e-01,  3.675208374082038e-01,  1.780632442571721e+03
s44         ,  3.330769886831567e-01,  3.319543228139305e-01,  6.485400537505161e+03
s45         ,  3.222694574216643e-01,  3.328319567004306e-01,  6.369306397965745e+03
s46         ,  3.537154217541030e-01,  3.332481069869970e-01,  6.314257692370904e+03
s47         ,  3.064622412169097e-01,  3.421482988295897e-01,  5.136932922218712e+03
