# c0 + a0 * ((face-area-max - S) / (poly_dist_avg + PF))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0332068019629207; Max AE: 0.12740745500832
# Coefficients
# Task   a0                      c0
# all , -2.913166018879165e-03,  4.025800658783512e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         28|8|sub|26|2|add|div; ((face-area-max - S) / (poly_dist_avg + PF)); $\left(\frac{ \left(face-area-max - S\right) }{ \left(poly_{dist, avg} + PF\right) } \right)$; ((face_sub_area_sub_max - S) ./ (poly_dist_avg + PF)); ((newdata$face_sub_area_sub_max - newdata$S) / (newdata$poly_dist_avg + newdata$PF)); face-area-max,S,poly_dist_avg,PF
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.585092570361738e-01,  1.512814874146223e+01
s2          ,  4.250240521814745e-01,  3.565257906846979e-01,  1.580901153425252e+01
s3          ,  2.746380789449931e-01,  2.995533543718774e-01,  3.536589086883318e+01
s4          ,  3.247370215691567e-01,  3.047564062555354e-01,  3.357984371259871e+01
s5          ,  3.450588503436838e-01,  3.384891988271665e-01,  2.200041694700376e+01
s6          ,  3.418868902527870e-01,  3.632681307803290e-01,  1.349457423409989e+01
s7          ,  3.253614410179195e-01,  3.676928340706087e-01,  1.197571013174361e+01
s8          ,  3.920908336338758e-01,  3.218754796134107e-01,  2.770339408805525e+01
s9          ,  3.897447923973993e-01,  3.751392915172885e-01,  9.419571072581881e+00
s10         ,  3.161197563926354e-01,  3.502055812688538e-01,  1.797854439811445e+01
s11         ,  3.431871249187676e-01,  2.903107716665063e-01,  3.853858430459115e+01
s12         ,  2.917324756968375e-01,  2.945842005213325e-01,  3.707164804790970e+01
s13         ,  2.447364458196310e-01,  2.693813443530919e-01,  4.572301086242494e+01
s14         ,  3.105728952400728e-01,  2.996035684895016e-01,  3.534865391175665e+01
s15         ,  3.795908353494076e-01,  3.597219418866697e-01,  1.471187145323460e+01
s16         ,  3.670742293030571e-01,  3.730017839258283e-01,  1.015331146966457e+01
s17         ,  2.954366621683970e-01,  3.134597194285171e-01,  3.059226486656703e+01
s18         ,  3.635454507147386e-01,  3.337600064207936e-01,  2.362380276701015e+01
s19         ,  3.651486704953139e-01,  3.623784411967145e-01,  1.379997721417339e+01
s20         ,  3.399672486499590e-01,  3.004391704553291e-01,  3.506181754183738e+01
s21         ,  3.890225043355258e-01,  3.685765705338614e-01,  1.167235067418934e+01
s22         ,  2.558533901530953e-01,  2.759461794998170e-01,  4.346950553379595e+01
s23         ,  4.117639764254846e-01,  3.718520032593695e-01,  1.054799569260534e+01
s24         ,  3.311791000527954e-01,  3.522142683581779e-01,  1.728902410428066e+01
s25         ,  3.690868050126928e-01,  3.830021731076211e-01,  6.720486454892323e+00
s26         ,  2.979562579207253e-01,  2.507338952731665e-01,  5.212410470983293e+01
s27         ,  3.397813902812787e-01,  3.412240278603437e-01,  2.106163453108454e+01
s28         ,  2.613491376061739e-01,  2.787709380962461e-01,  4.249985307385275e+01
s29         ,  3.947313720925611e-01,  3.829846894378901e-01,  6.726488059201089e+00
s30         ,  2.592589137508671e-01,  2.937026593923381e-01,  3.737425391495655e+01
s31         ,  3.031212395007984e-01,  3.291287057968020e-01,  2.521358535886306e+01
s32         ,  3.857616783620361e-01,  3.527182962313786e-01,  1.711600688866909e+01
s33         ,  4.141193231435004e-01,  3.751986961734884e-01,  9.399179287213309e+00
s34         ,  4.179319881718991e-01,  3.640003543767865e-01,  1.324322446834258e+01
s35         ,  3.612111930609704e-01,  3.774536869767290e-01,  8.625110528815467e+00
s36         ,  3.787074193034875e-01,  3.452874541098597e-01,  1.966678568855978e+01
s37         ,  3.867254135891385e-01,  3.417144129662996e-01,  2.089330045648051e+01
s38         ,  3.446930711358910e-01,  3.705546375272738e-01,  1.099334131440921e+01
s39         ,  2.876898720952064e-01,  3.559986661719579e-01,  1.598995711350340e+01
s40         ,  3.049912944269815e-01,  3.505137866674261e-01,  1.787274699536607e+01
s41         ,  3.032122447573497e-01,  3.333498410577057e-01,  2.376459987930302e+01
s42         ,  3.284012713704346e-01,  3.066094625377966e-01,  3.294374667238466e+01
s43         ,  3.521735822893021e-01,  3.652843304378047e-01,  1.280247510744199e+01
s44         ,  3.330769886831567e-01,  3.296614936459847e-01,  2.503069573097029e+01
s45         ,  3.222694574216643e-01,  3.260727558506579e-01,  2.626259867507629e+01
s46         ,  3.537154217541030e-01,  3.090854625535503e-01,  3.209381227121847e+01
s47         ,  3.064622412169097e-01,  3.150338268100416e-01,  3.005192237618948e+01
s48         ,  2.709027668189650e-01,  2.782797619383011e-01,  4.266845869219439e+01
s49         ,  3.986674224858993e-01,  3.500141678069211e-01,  1.804425073297219e+01
s50         ,  3.630933243380700e-01,  3.249857086603928e-01,  2.663574843146519e+01
s51         ,  3.785261269820064e-01,  3.716975018140212e-01,  1.060103127119819e+01
s52         ,  3.404870415156796e-01,  3.422789783400511e-01,  2.069950258499197e+01
s53         ,  2.464211996641334e-01,  3.517406494275474e-01,  1.745160286826499e+01
s54         ,  4.479825317233843e-01,  3.797801458996757e-01,  7.826508970280966e+00
s55         ,  3.436317929445776e-01,  3.251562182656885e-01,  2.657721774554111e+01
s56         ,  3.917346641556894e-01,  3.844842647102825e-01,  6.211730141981742e+00
s57         ,  3.497750017469617e-01,  3.613545176277149e-01,  1.415145857924625e+01
s58         ,  4.567353100642558e-01,  3.721262706125437e-01,  1.045384817358417e+01
s59         ,  3.347920174849711e-01,  3.355788016234439e-01,  2.299946649820042e+01
s60         ,  2.709373029897972e-01,  2.717290412271695e-01,  4.491711897062645e+01
s61         ,  2.790893938381299e-01,  2.715854170906713e-01,  4.496642070474233e+01
s62         ,  3.360458157463063e-01,  3.471057207661258e-01,  1.904263085341392e+01
s63         ,  4.093736118424267e-01,  3.747797495557295e-01,  9.542990733263407e+00
s64         ,  3.302497794709098e-01,  3.778520261313788e-01,  8.488372988947063e+00
s65         ,  3.637362750415415e-01,  3.642545789921706e-01,  1.315595700272731e+01
s66         ,  3.848471859724885e-01,  3.628654626524945e-01,  1.363279777687945e+01
s67         ,  3.211750777924535e-01,  3.172821642528783e-01,  2.928013751110932e+01
s68         ,  4.095598752010021e-01,  3.721083757176998e-01,  1.045999093878462e+01
s69         ,  3.476279282639844e-01,  3.638066182867942e-01,  1.330972808974169e+01
s70         ,  3.542202710009075e-01,  3.650621661607886e-01,  1.287873724821130e+01
s71         ,  3.324591144603498e-01,  2.970462064825770e-01,  3.622651737382897e+01
s72         ,  3.490784623419291e-01,  3.730077989281630e-01,  1.015124670497357e+01
s73         ,  2.871691931895054e-01,  3.227115663464210e-01,  2.741639131252102e+01
s74         ,  4.049442418517104e-01,  3.838274306620502e-01,  6.437201002198986e+00
s75         ,  3.439829269029567e-01,  3.572003456507013e-01,  1.557745762979537e+01
s76         ,  3.071028154909760e-01,  2.981972945709792e-01,  3.583138435327933e+01
s77         ,  2.780468433194506e-01,  3.271969046713228e-01,  2.587671307385078e+01
s78         ,  2.669617651637353e-01,  2.940647964585165e-01,  3.724994343493877e+01
s79         ,  3.541307689639985e-01,  3.612109387767345e-01,  1.420074476824130e+01
s80         ,  3.629523222745701e-01,  3.440009978799424e-01,  2.010838641491053e+01
s81         ,  2.554152131748840e-01,  3.064631969595554e-01,  3.299395513194148e+01
s82         ,  3.259366268272620e-01,  3.311925550346534e-01,  2.450512960162976e+01
s83         ,  2.722850822770267e-01,  3.167588163980118e-01,  2.945978668025205e+01
s84         ,  3.998438077165619e-01,  3.297893611180792e-01,  2.498680277352612e+01
s85         ,  3.012322773461942e-01,  3.064925154371825e-01,  3.298389100327971e+01
s86         ,  3.200453803456573e-01,  3.422240267204611e-01,  2.071836578030384e+01
s87         ,  3.352140969143458e-01,  3.240046514098902e-01,  2.697251511216403e+01
s88         ,  3.302506455484479e-01,  3.381078639462068e-01,  2.213131744443110e+01
s89         ,  3.471406078486814e-01,  3.570218989708800e-01,  1.563871286848238e+01
s90         ,  3.483351733862548e-01,  3.367457174632860e-01,  2.259890029899321e+01
s91         ,  3.564650130752042e-01,  3.816518406374501e-01,  7.184013923433452e+00
s92         ,  2.923433543076974e-01,  2.997529996770050e-01,  3.529735879622427e+01
s93         ,  3.745472031333225e-01,  3.509539625331448e-01,  1.772164820358211e+01
s94         ,  3.437578785209007e-01,  3.523510058426058e-01,  1.724208634531268e+01
s95         ,  2.980732528469880e-01,  2.651826039087321e-01,  4.716430889252322e+01
s96         ,  3.581539694897533e-01,  3.408158162468214e-01,  2.120176098144020e+01
s97         ,  4.279362669937736e-01,  3.756991531427690e-01,  9.227387852726821e+00
s98         ,  2.896944279808133e-01,  3.188143287114766e-01,  2.875419273190040e+01
s99         ,  2.909528202324455e-01,  2.860230162281505e-01,  4.001043843530954e+01
s100        ,  3.111721139319150e-01,  3.363533205950724e-01,  2.273359803529472e+01
s101        ,  3.241780336567121e-01,  3.353388995247708e-01,  2.308181748579209e+01
s102        ,  3.096847321141750e-01,  2.586123420440301e-01,  4.941967704597641e+01
s103        ,  3.391049191815317e-01,  3.665582931775035e-01,  1.236516301076001e+01
s104        ,  2.515445686944838e-01,  2.856145090329947e-01,  4.015066634971897e+01
s105        ,  3.580226031747242e-01,  3.472277297618570e-01,  1.900074893012480e+01
s106        ,  3.582576851144277e-01,  3.767080830430268e-01,  8.881053351459364e+00
s107        ,  3.406125813060369e-01,  3.222178881545473e-01,  2.758585580190279e+01
s108        ,  3.541195107207772e-01,  3.669917031780184e-01,  1.221638673171990e+01
s109        ,  3.030334722988908e-01,  3.034753384895779e-01,  3.401959474554892e+01
s110        ,  3.844717335443058e-01,  3.295255633239796e-01,  2.507735641598591e+01
s111        ,  3.518414134147780e-01,  3.695370812429533e-01,  1.134263698713301e+01
s112        ,  3.724995886738390e-01,  3.721891872756199e-01,  1.043225082462828e+01
s113        ,  3.276637756053076e-01,  3.450532835294916e-01,  1.974716922278015e+01
s114        ,  3.975727278995340e-01,  3.653017745647868e-01,  1.279648707693875e+01
s115        ,  4.661802026900197e-01,  3.704757914421671e-01,  1.102040674239915e+01
s116        ,  3.149444114213277e-01,  3.547118624258409e-01,  1.643167713144187e+01
s117        ,  2.617905198031230e-01,  2.720745014338273e-01,  4.479853314186865e+01
s118        ,  2.697626524103243e-01,  2.868290402008520e-01,  3.973375527771469e+01
s119        ,  3.390451473349576e-01,  3.286963693312542e-01,  2.536199312647604e+01
s120        ,  3.261908135769222e-01,  3.574745625808432e-01,  1.548332741944526e+01
s121        ,  3.485047140780971e-01,  3.634350248177963e-01,  1.343728466104237e+01
s122        ,  2.626009490674024e-01,  2.872975800645927e-01,  3.957292000066417e+01
s123        ,  2.763746480585029e-01,  2.830433109891703e-01,  4.103327929630744e+01
s124        ,  3.084637495449347e-01,  3.435375076837113e-01,  2.026748829692733e+01
s125        ,  3.788458996149217e-01,  3.279488272489923e-01,  2.561860125571322e+01
s126        ,  3.251157603452653e-01,  3.244804583706751e-01,  2.680918526494578e+01
s127        ,  2.834263508079372e-01,  3.003925360444181e-01,  3.507782569606162e+01
s128        ,  3.547356336228297e-01,  3.774107068555749e-01,  8.639864278129977e+00
s129        ,  2.905669611170635e-01,  3.032083847989209e-01,  3.411123170991242e+01
s130        ,  3.001710267623137e-01,  3.632298535351989e-01,  1.350771363119640e+01
s131        ,  3.234187238329760e-01,  3.364711047527921e-01,  2.269316636852519e+01
s132        ,  2.761295727416017e-01,  2.798191463958624e-01,  4.214003551013575e+01
s133        ,  3.187185284669714e-01,  3.307622579230500e-01,  2.465283732196386e+01
s134        ,  2.870198930068550e-01,  3.179106242475732e-01,  2.906440658790686e+01
s135        ,  3.783093309701865e-01,  3.365265435594089e-01,  2.267413593694062e+01
s136        ,  3.883241345589045e-01,  3.696463422656053e-01,  1.130513104962587e+01
s137        ,  2.784112215023900e-01,  3.138513369183693e-01,  3.045783466680698e+01
s138        ,  3.453346818049723e-01,  3.500642761756134e-01,  1.802705007624079e+01
s139        ,  3.244324492872825e-01,  3.443396481343203e-01,  1.999213823262939e+01
s140        ,  3.327862834846864e-01,  3.115510007333369e-01,  3.124746909550919e+01
s141        ,  3.557762179436731e-01,  3.578696376113026e-01,  1.534771035268730e+01
s142        ,  2.749368728938547e-01,  2.664309492884380e-01,  4.673579044502800e+01
s143        ,  3.361413138168960e-01,  3.714711466613900e-01,  1.067873201024437e+01
s144        ,  3.409974995595333e-01,  3.571914868649050e-01,  1.558049857759541e+01
s145        ,  3.763216171571199e-01,  3.639325864094184e-01,  1.326648712036064e+01
s146        ,  3.752831948694745e-01,  3.722889512228258e-01,  1.039800494006167e+01
s147        ,  3.654575252194441e-01,  3.663143666757692e-01,  1.244889545173779e+01
s148        ,  3.473385960617674e-01,  3.502113846560725e-01,  1.797655227436279e+01
s149        ,  2.849292163595314e-01,  3.300574644805530e-01,  2.489477116230439e+01
s150        ,  3.503331909216502e-01,  3.701693314109477e-01,  1.112560501439374e+01
s151        ,  3.330423635366063e-01,  3.471760999945357e-01,  1.901847183605830e+01
s152        ,  3.630680102987860e-01,  3.276041540826235e-01,  2.573691691782623e+01
s153        ,  3.816822758848153e-01,  3.576198557327470e-01,  1.543345276384299e+01
s154        ,  3.320898103001320e-01,  3.302559977062270e-01,  2.482662083225545e+01
s155        ,  3.864039977120127e-01,  3.074945069515209e-01,  3.263993823579413e+01
s156        ,  2.690214273922155e-01,  2.979891261946037e-01,  3.590284213324328e+01
s157        ,  3.092688252015169e-01,  3.431316015220862e-01,  2.040682335678816e+01
s158        ,  3.521824739407696e-01,  3.594195915471759e-01,  1.481565899487637e+01
s159        ,  3.604301286467682e-01,  3.583121459048146e-01,  1.519581091041580e+01
s160        ,  2.959798492012398e-01,  2.959877030403965e-01,  3.658986894230144e+01
s161        ,  3.194137955766546e-01,  2.953026201391544e-01,  3.682503676205574e+01
s162        ,  3.677213080484411e-01,  3.146323296342928e-01,  3.018974396725116e+01
s163        ,  3.585762742017419e-01,  3.434534528398018e-01,  2.029634173108274e+01
s164        ,  4.006335057182285e-01,  3.791598341948185e-01,  8.039442837021555e+00
s165        ,  3.287266930084647e-01,  3.632622968297758e-01,  1.349657684930117e+01
s166        ,  2.950048096243486e-01,  3.223720857616869e-01,  2.753292452159115e+01
s167        ,  3.519819712307287e-01,  3.325431727461484e-01,  2.404150421854412e+01
s168        ,  4.374575067359432e-01,  3.770944109855593e-01,  8.748438890069625e+00
s169        ,  4.091080766385897e-01,  3.728062506617023e-01,  1.022043200548670e+01
s170        ,  3.398244019971832e-01,  3.167785582647281e-01,  2.945300990660158e+01
s171        ,  3.613080720154525e-01,  3.626852844886056e-01,  1.369464738061685e+01
s172        ,  3.578018153328690e-01,  3.535718498845724e-01,  1.682300825842897e+01
s173        ,  3.625516481683081e-01,  3.667585805615400e-01,  1.229641053227490e+01
s174        ,  3.825999337737049e-01,  3.582951260222954e-01,  1.520165331088627e+01
s175        ,  3.092599387015685e-01,  3.025410036169224e-01,  3.434032307568884e+01
