# c0 + a0 * (((face-area-count + cub_root_V) - (face-area-avg - cub_root_V)) - (sin(face-area-avg) * cub_root_V))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.947158749315385; Max AE: 3.34773460615521
# Coefficients
# Task   a0                      c0
# all ,  6.030587513372067e-02, -2.498790366170303e+01, 
# Feature Rung, Units, and Expressions
# 0;  3; Unitless;                                         3|1|add|2|1|sub|sub|2|sin|1|mult|sub; (((face-area-count + cub_root_V) - (face-area-avg - cub_root_V)) - (sin(face-area-avg) * cub_root_V)); $\left(\left(\left(face-area-count + cub_{root, V}\right) - \left(face-area-avg - cub_{root, V}\right)\right) - \left(\left(\sin{ face-area-avg }\right) cub_{root, V}\right)\right)$; (((face_sub_area_sub_count + cub_root_V) - (face_sub_area_sub_avg - cub_root_V)) - (sin(face_sub_area_sub_avg) .* cub_root_V)); (((newdata$face_sub_area_sub_count + newdata$cub_root_V) - (newdata$face_sub_area_sub_avg - newdata$cub_root_V)) - (sin(newdata$face_sub_area_sub_avg) * newdata$cub_root_V)); face-area-count,cub_root_V,face-area-avg,cub_root_V,face-area-avg,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.148758439663482e+01,  5.804275714939363e+01
s2          , -2.298888400764099e+01, -2.062623848029482e+01,  7.232570909114199e+01
s3          , -1.755271246623431e+01, -1.864392364234939e+01,  1.051967159963546e+02
s4          , -1.917258847351942e+01, -1.852965210816400e+01,  1.070915816944646e+02
s5          , -2.000094091703784e+01, -1.962476739766367e+01,  8.893223507904139e+01
s6          , -2.179532463031582e+01, -2.165441967052516e+01,  5.527627256525656e+01
s7          , -2.156980503382011e+01, -2.171434299261674e+01,  5.428261611041345e+01
s8          , -2.070680399014268e+01, -1.898123437099374e+01,  9.960338486739910e+01
s9          , -2.311678210871720e+01, -2.236193903503888e+01,  4.354409285731121e+01
s10         , -1.955558688693647e+01, -2.005201480151072e+01,  8.184756210315500e+01
s11         , -1.929232032084748e+01, -1.845979732167304e+01,  1.082499230059217e+02
s12         , -1.972420304545977e+01, -1.951977686364415e+01,  9.067320200451442e+01
s13         , -1.649771434553038e+01, -1.902373452330662e+01,  9.889864171893061e+01
s14         , -1.814284237715737e+01, -1.779824118339954e+01,  1.192199344153670e+02
s15         , -2.140988745272463e+01, -2.083784433888854e+01,  6.881683274825642e+01
s16         , -2.271802967642396e+01, -2.228050308116020e+01,  4.489447461859248e+01
s17         , -1.845283706311921e+01, -1.914575469052143e+01,  9.687528716277431e+01
s18         , -2.106370881996578e+01, -2.029639513328368e+01,  7.779521510991300e+01
s19         , -2.166440903696862e+01, -2.270332754557600e+01,  3.788314340951476e+01
s20         , -1.957524373940041e+01, -1.826112265336145e+01,  1.115443726407384e+02
s21         , -2.230012329283520e+01, -2.191273704200142e+01,  5.099281973576902e+01
s22         , -1.709175230426198e+01, -1.712440773252608e+01,  1.303935298466466e+02
s23         , -2.271630669020732e+01, -2.229656161069073e+01,  4.462818995735628e+01
s24         , -1.997593461761007e+01, -2.013297223649262e+01,  8.050511520552874e+01
s25         , -2.228124530569044e+01, -2.318610842610848e+01,  2.987760697609142e+01
s26         , -1.806502239865187e+01, -1.663372780385464e+01,  1.385300493413629e+02
s27         , -2.017409009594002e+01, -2.025594034181841e+01,  7.846604181420282e+01
s28         , -1.658938425028538e+01, -1.792001919874468e+01,  1.172005952535504e+02
s29         , -2.262132344831001e+01, -2.315440971659348e+01,  3.040323917104277e+01
s30         , -1.697997334312175e+01, -1.891184005938911e+01,  1.007540905233697e+02
s31         , -1.964904728113367e+01, -2.013379221246352e+01,  8.049151825549552e+01
s32         , -2.151059652715050e+01, -2.083569459748869e+01,  6.885248004456180e+01
s33         , -2.289264810431292e+01, -2.260228759192227e+01,  3.955860128869634e+01
s34         , -2.302504917991390e+01, -2.100183341622959e+01,  6.609754417185448e+01
s35         , -2.244061385591441e+01, -2.264258101454491e+01,  3.889045042390423e+01
s36         , -2.239655424600443e+01, -1.983883204705929e+01,  8.538258674177798e+01
s37         , -2.226102540809307e+01, -2.037359433061215e+01,  7.651508780627472e+01
s38         , -2.102436377352775e+01, -2.197533671358303e+01,  4.995478369959832e+01
s39         , -2.141661104833067e+01, -2.198250771405361e+01,  4.983587322106406e+01
s40         , -1.990275935468409e+01, -2.050609825614685e+01,  7.431789018264546e+01
s41         , -1.952311408648237e+01, -1.963744937840060e+01,  8.872194079662175e+01
s42         , -1.862175379272403e+01, -1.890244947374285e+01,  1.009098064569407e+02
s43         , -2.257821044890805e+01, -2.226633143083575e+01,  4.512947079919721e+01
s44         , -1.984867902879579e+01, -1.951641132508480e+01,  9.072900981017004e+01
s45         , -1.928264199244582e+01, -1.978946633742438e+01,  8.620117547008098e+01
s46         , -2.007096062658339e+01, -1.946528925715180e+01,  9.157672270414008e+01
s47         , -1.842882744186564e+01, -1.982047101356153e+01,  8.568705182842253e+01
s48         , -1.712958329507449e+01, -1.673268802720985e+01,  1.368890778251419e+02
s49         , -2.142142340445580e+01, -2.030595668500127e+01,  7.763666419432826e+01
s50         , -2.022197746600499e+01, -1.900489360460035e+01,  9.921106432559196e+01
s51         , -2.208446385448407e+01, -2.230866213826084e+01,  4.442753740827587e+01
s52         , -2.030062191637932e+01, -1.953529059857318e+01,  9.041595119943732e+01
s53         , -1.881589086732163e+01, -2.087872411886888e+01,  6.813895882818325e+01
s54         , -2.389190768082197e+01, -2.294149147592103e+01,  3.393387760718734e+01
s55         , -1.989931101552115e+01, -1.903468701131618e+01,  9.871702611373011e+01
s56         , -2.293632659980805e+01, -2.307433598976666e+01,  3.173103230312590e+01
s57         , -2.165250835772914e+01, -2.245952564666354e+01,  4.192589875253670e+01
s58         , -2.493828100106786e+01, -2.253415183595972e+01,  4.068843740850171e+01
s59         , -2.019609135900962e+01, -2.003801019494483e+01,  8.207978834205511e+01
s60         , -1.686951544328429e+01, -1.783764146021191e+01,  1.185665938125651e+02
s61         , -1.698686520707895e+01, -1.832701214111667e+01,  1.104517844375307e+02
s62         , -1.961666852236879e+01, -1.972906218585921e+01,  8.720280510286932e+01
s63         , -2.363642228074260e+01, -2.203468699905446e+01,  4.897062941380385e+01
s64         , -2.123215125329894e+01, -2.273765818676105e+01,  3.731386817540314e+01
s65         , -2.229595939650926e+01, -2.188245322978807e+01,  5.149498991647195e+01
s66         , -2.209517036440609e+01, -2.101292961436203e+01,  6.591354554638335e+01
s67         , -2.100952424313996e+01, -2.128075654256919e+01,  6.147240398905925e+01
s68         , -2.306714632630091e+01, -2.209005358484013e+01,  4.805253336324659e+01
s69         , -2.116954741071400e+01, -2.210450578615650e+01,  4.781288504897664e+01
s70         , -2.268552320802911e+01, -2.139784105841806e+01,  5.953089305684492e+01
s71         , -1.844586653395837e+01, -1.865017934070602e+01,  1.050929831785692e+02
s72         , -2.185924535832699e+01, -2.211339620480276e+01,  4.766546295077245e+01
s73         , -1.814705961150877e+01, -2.019341506270026e+01,  7.950284426470222e+01
s74         , -2.269683109870329e+01, -2.313720708570123e+01,  3.068849547242479e+01
s75         , -2.162544692540680e+01, -2.147081323323761e+01,  5.832085879968935e+01
s76         , -1.799713371423827e+01, -1.880390008897052e+01,  1.025439653934257e+02
s77         , -1.808839931225978e+01, -1.863074281152011e+01,  1.054152822770040e+02
s78         , -1.710463489071706e+01, -1.839127669456119e+01,  1.093861411100436e+02
s79         , -2.130172009097587e+01, -2.153641081781178e+01,  5.723311097364888e+01
s80         , -2.075517304342145e+01, -2.082120793801358e+01,  6.909269974857885e+01
s81         , -1.679587307458704e+01, -1.919765419925764e+01,  9.601468264254919e+01
s82         , -1.961963418382102e+01, -1.921861219121627e+01,  9.566715444712614e+01
s83         , -1.732943596118787e+01, -1.824538782270929e+01,  1.118052896843478e+02
s84         , -2.091958911511147e+01, -1.947383146178486e+01,  9.143507473677171e+01
s85         , -1.931803893900067e+01, -1.975913933756901e+01,  8.670406179397776e+01
s86         , -2.124992178205270e+01, -2.085044353230367e+01,  6.860791125615981e+01
s87         , -2.000999990609716e+01, -1.971053746454945e+01,  8.750998448246845e+01
s88         , -1.933594922663024e+01, -1.944283952654966e+01,  9.194898710710837e+01
s89         , -2.128477820873118e+01, -2.103741577900009e+01,  6.550751272480892e+01
s90         , -2.009844325702736e+01, -1.993690339643042e+01,  8.375635465156022e+01
s91         , -2.185233402642529e+01, -2.282109530601409e+01,  3.593030282512794e+01
s92         , -1.852873985612102e+01, -1.811725331892102e+01,  1.139300329784986e+02
s93         , -2.244477787769646e+01, -2.114641329464253e+01,  6.370010149993643e+01
s94         , -2.069748145715988e+01, -2.100013912990270e+01,  6.612563905188280e+01
s95         , -1.839144268754908e+01, -1.759649264375121e+01,  1.225653553913660e+02
s96         , -2.061908691885885e+01, -2.016785494263820e+01,  7.992668555720279e+01
s97         , -2.336181657728519e+01, -2.253439034800745e+01,  4.068448237017076e+01
s98         , -1.913590175727989e+01, -1.956638122459978e+01,  8.990040232534079e+01
s99         , -1.764848235022367e+01, -1.716981345484626e+01,  1.296406061519071e+02
s100        , -2.003395952271198e+01, -2.018155680939238e+01,  7.969947938991322e+01
s101        , -2.047737186068138e+01, -2.111799523885116e+01,  6.417133346080854e+01
s102        , -1.813404261594337e+01, -1.670453804936655e+01,  1.373558644820121e+02
s103        , -2.094885731266024e+01, -2.148196825464048e+01,  5.813588475896557e+01
s104        , -1.695125455205811e+01, -1.703464587817114e+01,  1.318819727911509e+02
s105        , -2.089913046364001e+01, -2.099112288806239e+01,  6.627514756693748e+01
s106        , -2.193421435204462e+01, -2.277172590233627e+01,  3.674895280853926e+01
s107        , -1.938858975045087e+01, -1.811608796592732e+01,  1.139493570160175e+02
s108        , -2.184761912256448e+01, -2.235719584683033e+01,  4.362274503171435e+01
