# c0 + a0 * ((cub_root_V / RBI) + (face-area-count + RBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.032839150616563; Max AE: 0.116496728775529
# Coefficients
# Task   a0                      c0
# all , -3.411175386508987e-03,  4.867769019954426e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|6|div|34|6|add|add; ((cub_root_V / RBI) + (face-area-count + RBI)); $\left(\left(\frac{ cub_{root, V} }{ RBI } \right) + \left(face-area-count + RBI\right)\right)$; ((cub_root_V ./ RBI) + (face_sub_area_sub_count + RBI)); ((newdata$cub_root_V / newdata$RBI) + (newdata$face_sub_area_sub_count + newdata$RBI)); cub_root_V,RBI,face-area-count,RBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.533014749944655e-01,  3.912886670350201e+01
s2          ,  4.250240521814745e-01,  3.482602859737012e-01,  4.060671185936880e+01
s3          ,  2.746380789449931e-01,  3.051167549762112e-01,  5.325441422264227e+01
s4          ,  3.247370215691567e-01,  3.093760575825556e-01,  5.200578226335055e+01
s5          ,  3.450588503436838e-01,  3.293882918367637e-01,  4.613911403709767e+01
s6          ,  3.418868902527870e-01,  3.574234427394836e-01,  3.792049501985295e+01
s7          ,  3.253614410179195e-01,  3.401596015396532e-01,  4.298146059439007e+01
s8          ,  3.920908336338758e-01,  3.181393589746174e-01,  4.943678466014310e+01
s9          ,  3.897447923973993e-01,  3.873500406314863e-01,  2.914739059069908e+01
s10         ,  3.161197563926354e-01,  3.432347128915230e-01,  4.207997913904433e+01
s11         ,  3.431871249187676e-01,  2.931349388739821e-01,  5.676693256151646e+01
s12         ,  2.917324756968375e-01,  2.878107316538348e-01,  5.832774565872754e+01
s13         ,  2.447364458196310e-01,  3.202164636412519e-01,  4.882787294166350e+01
s14         ,  3.105728952400728e-01,  3.016786444400635e-01,  5.426231037179520e+01
s15         ,  3.795908353494076e-01,  3.371888140732838e-01,  4.385235907651406e+01
s16         ,  3.670742293030571e-01,  3.740157234966048e-01,  3.305640013257663e+01
s17         ,  2.954366621683970e-01,  2.896082101993200e-01,  5.780080748000060e+01
s18         ,  3.635454507147386e-01,  3.174514981535138e-01,  4.963843386992108e+01
s19         ,  3.651486704953139e-01,  3.943503898216270e-01,  2.709520962755461e+01
s20         ,  3.399672486499590e-01,  3.023996088954157e-01,  5.405095669640120e+01
s21         ,  3.890225043355258e-01,  3.543330911973360e-01,  3.882644419923838e+01
s22         ,  2.558533901530953e-01,  2.841441427778215e-01,  5.940262116659922e+01
s23         ,  4.117639764254846e-01,  3.894051906076513e-01,  2.854491497942060e+01
s24         ,  3.311791000527954e-01,  3.336707421994289e-01,  4.488369621847655e+01
s25         ,  3.690868050126928e-01,  4.018492869477230e-01,  2.489687730030056e+01
s26         ,  2.979562579207253e-01,  2.771884322356970e-01,  6.144171612771849e+01
s27         ,  3.397813902812787e-01,  3.402661205288678e-01,  4.295023411754697e+01
s28         ,  2.613491376061739e-01,  3.038305656901550e-01,  5.363146586623202e+01
s29         ,  3.947313720925611e-01,  4.116764020965060e-01,  2.201601834838366e+01
s30         ,  2.592589137508671e-01,  3.189185939393100e-01,  4.920834874688738e+01
s31         ,  3.031212395007984e-01,  3.226925481931900e-01,  4.810199863988149e+01
s32         ,  3.857616783620361e-01,  3.377885902369914e-01,  4.367653224389807e+01
s33         ,  4.141193231435004e-01,  3.876586573342422e-01,  2.905691834351516e+01
s34         ,  4.179319881718991e-01,  3.649853189664763e-01,  3.570370011188675e+01
s35         ,  3.612111930609704e-01,  3.847141352424914e-01,  2.992011702376954e+01
s36         ,  3.787074193034875e-01,  3.317375549837486e-01,  4.545041794827267e+01
s37         ,  3.867254135891385e-01,  3.427491873990907e-01,  4.222231292063540e+01
s38         ,  3.446930711358910e-01,  3.816111339292858e-01,  3.082977453521789e+01
s39         ,  2.876898720952064e-01,  3.283248462886427e-01,  4.645086744395179e+01
s40         ,  3.049912944269815e-01,  3.364596020176341e-01,  4.406613056962865e+01
s41         ,  3.032122447573497e-01,  3.123021398325282e-01,  5.114798929804449e+01
s42         ,  3.284012713704346e-01,  3.159775351279049e-01,  5.007053215236009e+01
s43         ,  3.521735822893021e-01,  3.441189510640728e-01,  4.182076110644273e+01
s44         ,  3.330769886831567e-01,  3.294239002763733e-01,  4.612867527755736e+01
s45         ,  3.222694574216643e-01,  3.344063566440644e-01,  4.466804783887553e+01
s46         ,  3.537154217541030e-01,  3.190445401967144e-01,  4.917142708700955e+01
s47         ,  3.064622412169097e-01,  3.218014965640099e-01,  4.836321406512883e+01
s48         ,  2.709027668189650e-01,  2.790302303457651e-01,  6.090178548757834e+01
s49         ,  3.986674224858993e-01,  3.430808502552642e-01,  4.212508459942823e+01
s50         ,  3.630933243380700e-01,  3.193970910319742e-01,  4.906807536940094e+01
s51         ,  3.785261269820064e-01,  3.815149047685091e-01,  3.085798450681806e+01
s52         ,  3.404870415156796e-01,  3.413090393375355e-01,  4.264449820822011e+01
s53         ,  2.464211996641334e-01,  3.229325708405474e-01,  4.803163502026035e+01
s54         ,  4.479825317233843e-01,  4.064314782375755e-01,  2.355358920436307e+01
s55         ,  3.436317929445776e-01,  3.196428269817485e-01,  4.899603687183610e+01
s56         ,  3.917346641556894e-01,  4.031155354847321e-01,  2.452567136875653e+01
s57         ,  3.497750017469617e-01,  3.806967462735473e-01,  3.109783101198389e+01
s58         ,  4.567353100642558e-01,  3.675862735185916e-01,  3.494121965942982e+01
s59         ,  3.347920174849711e-01,  3.343337394626066e-01,  4.468933586227797e+01
s60         ,  2.709373029897972e-01,  3.031512157741428e-01,  5.383062006941343e+01
s61         ,  2.790893938381299e-01,  3.136041544220127e-01,  5.076629840210465e+01
s62         ,  3.360458157463063e-01,  3.340287911592618e-01,  4.477873270318827e+01
s63         ,  4.093736118424267e-01,  3.787953060902403e-01,  3.165524596954575e+01
s64         ,  3.302497794709098e-01,  3.851869256300993e-01,  2.978151659018357e+01
s65         ,  3.637362750415415e-01,  3.667747607246108e-01,  3.517911795020382e+01
s66         ,  3.848471859724885e-01,  3.571702129831258e-01,  3.799473035743170e+01
s67         ,  3.211750777924535e-01,  3.369320717360859e-01,  4.392762414151581e+01
s68         ,  4.095598752010021e-01,  3.877206039056439e-01,  2.903875845304258e+01
s69         ,  3.476279282639844e-01,  3.725065443356277e-01,  3.349882216896495e+01
s70         ,  3.542202710009075e-01,  3.462974392262150e-01,  4.118212840207988e+01
s71         ,  3.324591144603498e-01,  3.141150948751340e-01,  5.061651412096153e+01
s72         ,  3.490784623419291e-01,  3.700139289882477e-01,  3.422954254096288e+01
s73         ,  2.871691931895054e-01,  3.221555403087925e-01,  4.825942469499476e+01
s74         ,  4.049442418517104e-01,  4.062439499101305e-01,  2.360856389965040e+01
s75         ,  3.439829269029567e-01,  3.330968045122701e-01,  4.505194839613611e+01
s76         ,  3.071028154909760e-01,  3.172803091786953e-01,  4.968861861723589e+01
s77         ,  2.780468433194506e-01,  3.117150954834015e-01,  5.132008374720368e+01
s78         ,  2.669617651637353e-01,  3.078084238099974e-01,  5.246534050792457e+01
s79         ,  3.541307689639985e-01,  3.707812546766216e-01,  3.400459788071216e+01
s80         ,  3.629523222745701e-01,  3.486156940303149e-01,  4.050252253564790e+01
s81         ,  2.554152131748840e-01,  3.221338531841837e-01,  4.826578236417075e+01
s82         ,  3.259366268272620e-01,  3.252346265962732e-01,  4.735677797103610e+01
s83         ,  2.722850822770267e-01,  3.024454416405052e-01,  5.403752063994077e+01
s84         ,  3.998438077165619e-01,  3.302736550618223e-01,  4.587956619075703e+01
s85         ,  3.012322773461942e-01,  3.133295318477882e-01,  5.084680513163563e+01
s86         ,  3.200453803456573e-01,  3.102795876108959e-01,  5.174090874441224e+01
s87         ,  3.352140969143458e-01,  3.262822202296992e-01,  4.704967161773360e+01
s88         ,  3.302506455484479e-01,  3.316396031250158e-01,  4.547913293581629e+01
s89         ,  3.471406078486814e-01,  3.506893592815557e-01,  3.989461909584178e+01
s90         ,  3.483351733862548e-01,  3.360525657384450e-01,  4.418545491771081e+01
s91         ,  3.564650130752042e-01,  3.988807387456395e-01,  2.576711933295125e+01
s92         ,  2.923433543076974e-01,  2.856504543834086e-01,  5.896103976578809e+01
s93         ,  3.745472031333225e-01,  3.284625660252922e-01,  4.641049434053581e+01
s94         ,  3.437578785209007e-01,  3.481510515654673e-01,  4.063873437239052e+01
s95         ,  2.980732528469880e-01,  2.957404575105247e-01,  5.600311412906433e+01
s96         ,  3.581539694897533e-01,  3.386798785598656e-01,  4.341524743092737e+01
