# c0 + a0 * ((SBI / NBI) + (face-area-avg + B))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0328482410723998; Max AE: 0.12702546110062
# Coefficients
# Task   a0                      c0
# all , -6.968002228041824e-02,  5.645285472347726e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|4|div|32|8|add|add; ((SBI / NBI) + (face-area-avg + B)); $\left(\left(\frac{ SBI }{ NBI } \right) + \left(face-area-avg + B\right)\right)$; ((SBI ./ NBI) + (face_sub_area_sub_avg + B)); ((newdata$SBI / newdata$NBI) + (newdata$face_sub_area_sub_avg + newdata$B)); SBI,NBI,face-area-avg,B
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.548718028248122e-01,  3.008850134493700e+00
s2          ,  4.250240521814745e-01,  3.453700533188249e-01,  3.145212741666079e+00
s3          ,  2.746380789449931e-01,  2.961310510889885e-01,  3.851857209024031e+00
s4          ,  3.247370215691567e-01,  3.080954536421733e-01,  3.680152290431502e+00
s5          ,  3.450588503436838e-01,  3.263494825260925e-01,  3.418182958526610e+00
s6          ,  3.418868902527870e-01,  3.597431051539872e-01,  2.938940536738821e+00
s7          ,  3.253614410179195e-01,  3.608852042067877e-01,  2.922549912634193e+00
s8          ,  3.920908336338758e-01,  3.201928510206260e-01,  3.506538721110755e+00
s9          ,  3.897447923973993e-01,  3.911962945870979e-01,  2.487545884387372e+00
s10         ,  3.161197563926354e-01,  3.469392363224394e-01,  3.122692900938998e+00
s11         ,  3.431871249187676e-01,  2.839668795917930e-01,  4.026429074805623e+00
s12         ,  2.917324756968375e-01,  3.053210296924023e-01,  3.719968924510719e+00
s13         ,  2.447364458196310e-01,  2.984795762206472e-01,  3.818152783353682e+00
s14         ,  3.105728952400728e-01,  2.904444090294351e-01,  3.933468004678894e+00
s15         ,  3.795908353494076e-01,  3.397666915718667e-01,  3.225628355260579e+00
s16         ,  3.670742293030571e-01,  3.845206384307854e-01,  2.583350333608803e+00
s17         ,  2.954366621683970e-01,  3.015451368822882e-01,  3.774157954401073e+00
s18         ,  3.635454507147386e-01,  3.350717480233585e-01,  3.293006972471893e+00
s19         ,  3.651486704953139e-01,  3.799411670882975e-01,  2.649071772733182e+00
s20         ,  3.399672486499590e-01,  2.986489602311261e-01,  3.815721899939247e+00
s21         ,  3.890225043355258e-01,  3.512923975428462e-01,  3.060219309830084e+00
s22         ,  2.558533901530953e-01,  2.732140908478446e-01,  4.180745741075838e+00
s23         ,  4.117639764254846e-01,  3.837847863842381e-01,  2.593910778661274e+00
s24         ,  3.311791000527954e-01,  3.393984510656000e-01,  3.230913091031541e+00
s25         ,  3.690868050126928e-01,  3.795829923563443e-01,  2.654212051398877e+00
s26         ,  2.979562579207253e-01,  2.600710382599279e-01,  4.369365838455028e+00
s27         ,  3.397813902812787e-01,  3.500705987965161e-01,  3.077753729400346e+00
s28         ,  2.613491376061739e-01,  2.932412519348322e-01,  3.893329629089092e+00
s29         ,  3.947313720925611e-01,  3.890397033041202e-01,  2.518495806795531e+00
s30         ,  2.592589137508671e-01,  3.013394049858099e-01,  3.777110477803696e+00
s31         ,  3.031212395007984e-01,  3.272070485145856e-01,  3.405875758264218e+00
s32         ,  3.857616783620361e-01,  3.407152473304808e-01,  3.212015332078744e+00
s33         ,  4.141193231435004e-01,  3.741326409331868e-01,  2.732431765526167e+00
s34         ,  4.179319881718991e-01,  3.468839431583811e-01,  3.123486430594253e+00
s35         ,  3.612111930609704e-01,  3.883405156066569e-01,  2.528530070198167e+00
s36         ,  3.787074193034875e-01,  3.189464080720543e-01,  3.524426817408363e+00
s37         ,  3.867254135891385e-01,  3.336886792475212e-01,  3.312855829153818e+00
s38         ,  3.446930711358910e-01,  3.501025982912526e-01,  3.077294494548100e+00
s39         ,  2.876898720952064e-01,  3.481278534552106e-01,  3.105634681181436e+00
s40         ,  3.049912944269815e-01,  3.327726302420215e-01,  3.326002337658267e+00
s41         ,  3.032122447573497e-01,  3.163309071674114e-01,  3.561962696689761e+00
s42         ,  3.284012713704346e-01,  3.228478098126334e-01,  3.468436569229648e+00
s43         ,  3.521735822893021e-01,  3.636812339984493e-01,  2.882423206296338e+00
s44         ,  3.330769886831567e-01,  3.380187834437764e-01,  3.250713136678357e+00
s45         ,  3.222694574216643e-01,  3.314209739992993e-01,  3.345400383159496e+00
s46         ,  3.537154217541030e-01,  3.238754116756551e-01,  3.453689130446028e+00
s47         ,  3.064622412169097e-01,  3.121362830204286e-01,  3.622161072202648e+00
s48         ,  2.709027668189650e-01,  2.624698102901072e-01,  4.334940303679427e+00
s49         ,  3.986674224858993e-01,  3.461726466927963e-01,  3.133694470751332e+00
s50         ,  3.630933243380700e-01,  3.234676245262373e-01,  3.459541412579015e+00
s51         ,  3.785261269820064e-01,  3.743136102725521e-01,  2.729834617399018e+00
s52         ,  3.404870415156796e-01,  3.055942795444475e-01,  3.716047429610135e+00
s53         ,  2.464211996641334e-01,  3.394400266866586e-01,  3.230316426166949e+00
s54         ,  4.479825317233843e-01,  3.927583410282415e-01,  2.465128462721556e+00
s55         ,  3.436317929445776e-01,  3.208404329631961e-01,  3.497245068190208e+00
s56         ,  3.917346641556894e-01,  3.875220604986791e-01,  2.540275977865705e+00
s57         ,  3.497750017469617e-01,  3.622086189152182e-01,  2.903557170308356e+00
s58         ,  4.567353100642558e-01,  3.762454484797333e-01,  2.702110197343485e+00
s59         ,  3.347920174849711e-01,  3.425490083702424e-01,  3.185698448419008e+00
s60         ,  2.709373029897972e-01,  2.921618314532451e-01,  3.908820733228570e+00
s61         ,  2.790893938381299e-01,  3.103416316440178e-01,  3.647916680735440e+00
s62         ,  3.360458157463063e-01,  3.397322988046427e-01,  3.226121936721927e+00
s63         ,  4.093736118424267e-01,  3.866334415550994e-01,  2.553028828890976e+00
s64         ,  3.302497794709098e-01,  3.841276402361117e-01,  2.588990374782902e+00
s65         ,  3.637362750415415e-01,  3.784256928485218e-01,  2.670820822032805e+00
s66         ,  3.848471859724885e-01,  3.569118483168989e-01,  2.979572797527922e+00
s67         ,  3.211750777924535e-01,  3.466436348566559e-01,  3.126935170905472e+00
s68         ,  4.095598752010021e-01,  3.788274791216837e-01,  2.665054660369639e+00
s69         ,  3.476279282639844e-01,  3.702957775645822e-01,  2.787495803151811e+00
s70         ,  3.542202710009075e-01,  3.573579543270516e-01,  2.973170589326017e+00
s71         ,  3.324591144603498e-01,  3.205220003712609e-01,  3.501814994856617e+00
s72         ,  3.490784623419291e-01,  3.771468245902487e-01,  2.689174264187667e+00
s73         ,  2.871691931895054e-01,  3.071679706748180e-01,  3.693462891332616e+00
s74         ,  4.049442418517104e-01,  3.834092083950660e-01,  2.599300816966093e+00
s75         ,  3.439829269029567e-01,  3.438429263708689e-01,  3.167129022659938e+00
s76         ,  3.071028154909760e-01,  3.224894099791340e-01,  3.473580078398704e+00
s77         ,  2.780468433194506e-01,  3.140615197663847e-01,  3.594531391801452e+00
s78         ,  2.669617651637353e-01,  3.011217332729033e-01,  3.780234353281672e+00
s79         ,  3.541307689639985e-01,  3.542778886063751e-01,  3.017373584960564e+00
s80         ,  3.629523222745701e-01,  3.357069832953721e-01,  3.283890510518750e+00
s81         ,  2.554152131748840e-01,  3.080296321863448e-01,  3.681096914926076e+00
s82         ,  3.259366268272620e-01,  3.319054745915958e-01,  3.338447162186823e+00
s83         ,  2.722850822770267e-01,  3.157046849075477e-01,  3.570949810059841e+00
s84         ,  3.998438077165619e-01,  3.293449150477283e-01,  3.375194560652955e+00
s85         ,  3.012322773461942e-01,  3.289444532244841e-01,  3.380941714717181e+00
s86         ,  3.200453803456573e-01,  3.318594506991907e-01,  3.339107665597971e+00
s87         ,  3.352140969143458e-01,  3.310597133938468e-01,  3.350584948170090e+00
s88         ,  3.302506455484479e-01,  3.299469850891715e-01,  3.366554063395072e+00
s89         ,  3.471406078486814e-01,  3.587008237211306e-01,  2.953898646663960e+00
s90         ,  3.483351733862548e-01,  3.398568368225161e-01,  3.224334652306716e+00
s91         ,  3.564650130752042e-01,  3.936692379905333e-01,  2.452055892815850e+00
s92         ,  2.923433543076974e-01,  2.894341520105028e-01,  3.947966522128654e+00
s93         ,  3.745472031333225e-01,  3.483140091043195e-01,  3.102963102685669e+00
s94         ,  3.437578785209007e-01,  3.552696828353420e-01,  3.003140032838902e+00
s95         ,  2.980732528469880e-01,  2.869787427297005e-01,  3.983204875970172e+00
s96         ,  3.581539694897533e-01,  3.400851593005424e-01,  3.221057924335714e+00
s97         ,  4.279362669937736e-01,  3.962463357900015e-01,  2.415071148621927e+00
s98         ,  2.896944279808133e-01,  3.166851427162422e-01,  3.556878950484786e+00
s99         ,  2.909528202324455e-01,  2.640263471909096e-01,  4.312601951166588e+00
s100        ,  3.111721139319150e-01,  3.237502868333587e-01,  3.455484836563814e+00
s101        ,  3.241780336567121e-01,  3.349212040708881e-01,  3.295167476265428e+00
s102        ,  3.096847321141750e-01,  2.599141813233702e-01,  4.371616941876415e+00
s103        ,  3.391049191815317e-01,  3.612120393593897e-01,  2.917859398166694e+00
s104        ,  2.515445686944838e-01,  2.743020325452569e-01,  4.165132346277628e+00
s105        ,  3.580226031747242e-01,  3.414649480316105e-01,  3.201256140611889e+00
s106        ,  3.582576851144277e-01,  3.870391551890667e-01,  2.547206304432895e+00
s107        ,  3.406125813060369e-01,  3.073652580124626e-01,  3.690631558460038e+00
