# c0 + a0 * ((B + SBI) + (face-area-avg + Al))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0330774074875275; Max AE: 0.127285486458572
# Coefficients
# Task   a0                      c0
# all , -6.604951615094803e-02,  5.440139325425286e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|32|14|add|add; ((B + SBI) + (face-area-avg + Al)); $\left(\left(B + SBI\right) + \left(face-area-avg + Al\right)\right)$; ((B + SBI) + (face_sub_area_sub_avg + Al)); ((newdata$B + newdata$SBI) + (newdata$face_sub_area_sub_avg + newdata$Al)); B,SBI,face-area-avg,Al
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.562748627835872e-01,  2.842398865267792e+00
s2          ,  4.250240521814745e-01,  3.433952432970597e-01,  3.037398317755720e+00
s3          ,  2.746380789449931e-01,  2.945983324872887e-01,  3.776191175802579e+00
s4          ,  3.247370215691567e-01,  3.101230026647539e-01,  3.541145242354930e+00
s5          ,  3.450588503436838e-01,  3.239751267428647e-01,  3.331421918319467e+00
s6          ,  3.418868902527870e-01,  3.602549318198076e-01,  2.782139997858008e+00
s7          ,  3.253614410179195e-01,  3.584099214904838e-01,  2.810073742673144e+00
s8          ,  3.920908336338758e-01,  3.196100195562613e-01,  3.397510323518794e+00
s9          ,  3.897447923973993e-01,  3.872887937889986e-01,  2.372843101459730e+00
s10         ,  3.161197563926354e-01,  3.446907849610085e-01,  3.017783614432415e+00
s11         ,  3.431871249187676e-01,  2.951416503007901e-01,  3.767965259169674e+00
s12         ,  2.917324756968375e-01,  3.025456390383008e-01,  3.655867712223384e+00
s13         ,  2.447364458196310e-01,  2.988980647464897e-01,  3.711092557224140e+00
s14         ,  3.105728952400728e-01,  2.913569005921072e-01,  3.825266961426407e+00
s15         ,  3.795908353494076e-01,  3.478866205014466e-01,  2.969398164747447e+00
s16         ,  3.670742293030571e-01,  3.831991967405312e-01,  2.434760240097371e+00
s17         ,  2.954366621683970e-01,  3.147110948725109e-01,  3.471680809076243e+00
s18         ,  3.635454507147386e-01,  3.326923087706005e-01,  3.199442419668579e+00
s19         ,  3.651486704953139e-01,  3.785333361631702e-01,  2.505402098649336e+00
s20         ,  3.399672486499590e-01,  2.979487182894868e-01,  3.725465810993832e+00
s21         ,  3.890225043355258e-01,  3.503543466181920e-01,  2.932036405562026e+00
s22         ,  2.558533901530953e-01,  2.741539343417567e-01,  4.085722559784391e+00
s23         ,  4.117639764254846e-01,  3.785254543878002e-01,  2.505521429960591e+00
s24         ,  3.311791000527954e-01,  3.379085116374066e-01,  3.120468292819790e+00
s25         ,  3.690868050126928e-01,  3.803975187000421e-01,  2.477178083614743e+00
s26         ,  2.979562579207253e-01,  2.548917443538496e-01,  4.377355127445989e+00
