# c0 + a0 * ((SBI / NBI) + (face-area-avg - Ge))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.033090096957649; Max AE: 0.126708556200897
# Coefficients
# Task   a0                      c0
# all , -6.739943352926774e-02,  5.513461607107933e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|4|div|32|18|sub|add; ((SBI / NBI) + (face-area-avg - Ge)); $\left(\left(\frac{ SBI }{ NBI } \right) + \left(face-area-avg - Ge\right)\right)$; ((SBI ./ NBI) + (face_sub_area_sub_avg - Ge)); ((newdata$SBI / newdata$NBI) + (newdata$face_sub_area_sub_avg - newdata$Ge)); SBI,NBI,face-area-avg,Ge
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.532250494183770e-01,  2.939507068800269e+00
s2          ,  4.250240521814745e-01,  3.431756658687061e-01,  3.088608968081173e+00
s3          ,  2.746380789449931e-01,  2.993522331859081e-01,  3.738813730763162e+00
s4          ,  3.247370215691567e-01,  3.033059810342729e-01,  3.680152290431502e+00
s5          ,  3.450588503436838e-01,  3.209625656067033e-01,  3.418182958526610e+00
s6          ,  3.418868902527870e-01,  3.532632333583947e-01,  2.938940536738821e+00
s7          ,  3.253614410179195e-01,  3.614938834364864e-01,  2.816823040387497e+00
s8          ,  3.920908336338758e-01,  3.346656053721886e-01,  3.214872054444088e+00
s9          ,  3.897447923973993e-01,  3.866459767458203e-01,  2.443643445362981e+00
s10         ,  3.161197563926354e-01,  3.493033572927976e-01,  2.997692900938998e+00
s11         ,  3.431871249187676e-01,  2.799671219231207e-01,  4.026429074805623e+00
s12         ,  2.917324756968375e-01,  3.006223624522915e-01,  3.719968924510719e+00
s13         ,  2.447364458196310e-01,  3.152181935097063e-01,  3.503411747497108e+00
s14         ,  3.105728952400728e-01,  3.019422877914955e-01,  3.700385297911976e+00
s15         ,  3.795908353494076e-01,  3.412364517599498e-01,  3.117380932580167e+00
s16         ,  3.670742293030571e-01,  3.772298116179152e-01,  2.583350333608803e+00
