# c0 + a0 * ((cub_root_V / RBI) + (face-area-count + face-area-max))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.033100408733378; Max AE: 0.119247605616746
# Coefficients
# Task   a0                      c0
# all , -3.009937229425499e-03,  4.962510753047274e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|6|div|34|31|add|add; ((cub_root_V / RBI) + (face-area-count + face-area-max)); $\left(\left(\frac{ cub_{root, V} }{ RBI } \right) + \left(face-area-count + face-area-max\right)\right)$; ((cub_root_V ./ RBI) + (face_sub_area_sub_count + face_sub_area_sub_max)); ((newdata$cub_root_V / newdata$RBI) + (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_max)); cub_root_V,RBI,face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.516220717211268e-01,  4.805050489747443e+01
s2          ,  4.250240521814745e-01,  3.483643344247777e-01,  4.913283221795844e+01
s3          ,  2.746380789449931e-01,  2.991784790458326e-01,  6.547398873713709e+01
s4          ,  3.247370215691567e-01,  3.137202163840365e-01,  6.064274601352074e+01
s5          ,  3.450588503436838e-01,  3.238834054921151e-01,  5.726620081227134e+01
s6          ,  3.418868902527870e-01,  3.572090894616385e-01,  4.619431411519088e+01
s7          ,  3.253614410179195e-01,  3.417580316490285e-01,  5.132766296431594e+01
s8          ,  3.920908336338758e-01,  3.310348738280430e-01,  5.489024816249039e+01
s9          ,  3.897447923973993e-01,  3.867219312034520e-01,  3.638917882755349e+01
s10         ,  3.161197563926354e-01,  3.497007844014164e-01,  4.868881964401723e+01
s11         ,  3.431871249187676e-01,  2.925233576917928e-01,  6.768503861850292e+01
s12         ,  2.917324756968375e-01,  2.868535209407503e-01,  6.956874459602747e+01
s13         ,  2.447364458196310e-01,  3.204254383580104e-01,  5.841505106080782e+01
s14         ,  3.105728952400728e-01,  3.079139702204967e-01,  6.257177167783603e+01
s15         ,  3.795908353494076e-01,  3.382151316659698e-01,  5.250473069464030e+01
s16         ,  3.670742293030571e-01,  3.737603381746434e-01,  4.069544571647546e+01
s17         ,  2.954366621683970e-01,  2.847177788765580e-01,  7.027830825181172e+01
s18         ,  3.635454507147386e-01,  3.119743034930017e-01,  6.122279561520898e+01
s19         ,  3.651486704953139e-01,  3.843016681941995e-01,  3.719326968552610e+01
s20         ,  3.399672486499590e-01,  3.071522005041697e-01,  6.282485659564757e+01
s21         ,  3.890225043355258e-01,  3.526201808796967e-01,  4.771890025508777e+01
s22         ,  2.558533901530953e-01,  2.841525806172172e-01,  7.046608567581094e+01
s23         ,  4.117639764254846e-01,  3.908090622194140e-01,  3.503129967445829e+01
s24         ,  3.311791000527954e-01,  3.354197482792219e-01,  5.343344886172360e+01
s25         ,  3.690868050126928e-01,  4.007784659389729e-01,  3.171913634357655e+01
s26         ,  2.979562579207253e-01,  2.645505092494713e-01,  7.697853755557563e+01
s27         ,  3.397813902812787e-01,  3.445310951927353e-01,  5.040636018211933e+01
s28         ,  2.613491376061739e-01,  3.022628837156711e-01,  6.444924820777159e+01
s29         ,  3.947313720925611e-01,  4.105908266459771e-01,  2.845914785907348e+01
s30         ,  2.592589137508671e-01,  3.184839403130312e-01,  5.906008047404571e+01
s31         ,  3.031212395007984e-01,  3.135914392282421e-01,  6.068553001397613e+01
s32         ,  3.857616783620361e-01,  3.374949126604755e-01,  5.274401110170440e+01
s33         ,  4.141193231435004e-01,  3.861033261993211e-01,  3.659469972615673e+01
s34         ,  4.179319881718991e-01,  3.671372587400686e-01,  4.289585021987399e+01
s35         ,  3.612111930609704e-01,  3.842225860168675e-01,  3.721954338205336e+01
s36         ,  3.787074193034875e-01,  3.299198976381017e-01,  5.526067987084668e+01
s37         ,  3.867254135891385e-01,  3.398933748899378e-01,  5.194716317875947e+01
s38         ,  3.446930711358910e-01,  3.801023767168755e-01,  3.858841222746064e+01
s39         ,  2.876898720952064e-01,  3.225589165007896e-01,  5.770623955406872e+01
s40         ,  3.049912944269815e-01,  3.343246408492859e-01,  5.379727951547617e+01
s41         ,  3.032122447573497e-01,  3.087460255391036e-01,  6.229533557462677e+01
s42         ,  3.284012713704346e-01,  3.223602299346562e-01,  5.777224975660419e+01
s43         ,  3.521735822893021e-01,  3.403484304776166e-01,  5.179597876759296e+01
s44         ,  3.330769886831567e-01,  3.404005697384744e-01,  5.177865639277796e+01
s45         ,  3.222694574216643e-01,  3.378308020376816e-01,  5.263241761931467e+01
s46         ,  3.537154217541030e-01,  3.184951851749456e-01,  5.905634456161391e+01
s47         ,  3.064622412169097e-01,  3.181173290658854e-01,  5.918188077059733e+01
s48         ,  2.709027668189650e-01,  2.879036902943224e-01,  6.921984384709972e+01
s49         ,  3.986674224858993e-01,  3.465016591694638e-01,  4.975167411177075e+01
s50         ,  3.630933243380700e-01,  3.242923075708811e-01,  5.713035011253965e+01
s51         ,  3.785261269820064e-01,  3.794392572406773e-01,  3.880872229562931e+01
s52         ,  3.404870415156796e-01,  3.454672828474827e-01,  5.009532789692908e+01
s53         ,  2.464211996641334e-01,  3.201567090129838e-01,  5.850433177483718e+01
s54         ,  4.479825317233843e-01,  4.063275702958641e-01,  2.987554163248342e+01
s55         ,  3.436317929445776e-01,  3.233388144803364e-01,  5.744713183184701e+01
s56         ,  3.917346641556894e-01,  4.045068469427682e-01,  3.048044572659417e+01
s57         ,  3.497750017469617e-01,  3.782113815443078e-01,  3.921666292786762e+01
s58         ,  4.567353100642558e-01,  3.649902471026384e-01,  4.360915799800331e+01
s59         ,  3.347920174849711e-01,  3.327671663670680e-01,  5.431472368905954e+01
s60         ,  2.709373029897972e-01,  3.044180273718481e-01,  6.373323870594275e+01
s61         ,  2.790893938381299e-01,  3.152824389892267e-01,  6.012372435754810e+01
s62         ,  3.360458157463063e-01,  3.486486048608859e-01,  4.903838824307113e+01
s63         ,  4.093736118424267e-01,  3.811113542748265e-01,  3.825319674585953e+01
s64         ,  3.302497794709098e-01,  3.835437579659202e-01,  3.744507235465484e+01
s65         ,  3.637362750415415e-01,  3.637186371614324e-01,  4.403162858269678e+01
s66         ,  3.848471859724885e-01,  3.569264303154519e-01,  4.628822276664824e+01
s67         ,  3.211750777924535e-01,  3.144517724520751e-01,  6.039969906194753e+01
s68         ,  4.095598752010021e-01,  3.853506105613784e-01,  3.684477658177489e+01
s69         ,  3.476279282639844e-01,  3.704765268651905e-01,  4.178643568043550e+01
s70         ,  3.542202710009075e-01,  3.471013822495996e-01,  4.955242640843900e+01
s71         ,  3.324591144603498e-01,  3.308604586498628e-01,  5.494819461282666e+01
s72         ,  3.490784623419291e-01,  3.722090781365767e-01,  4.121082524761698e+01
s73         ,  2.871691931895054e-01,  3.192188448622842e-01,  5.881592104704221e+01
s74         ,  4.049442418517104e-01,  4.068774484920610e-01,  2.969285403660226e+01
s75         ,  3.439829269029567e-01,  3.314783467463155e-01,  5.474291189449877e+01
s76         ,  3.071028154909760e-01,  3.240839942574734e-01,  5.719955863668135e+01
s77         ,  2.780468433194506e-01,  3.154442630764435e-01,  6.006996108114659e+01
s78         ,  2.669617651637353e-01,  3.172471304796295e-01,  5.947098932002113e+01
s79         ,  3.541307689639985e-01,  3.706736562506466e-01,  4.172094282446199e+01
s80         ,  3.629523222745701e-01,  3.479922685247958e-01,  4.925644472932397e+01
s81         ,  2.554152131748840e-01,  3.232222898437213e-01,  5.748584514303368e+01
s82         ,  3.259366268272620e-01,  3.292728646484184e-01,  5.547564547988257e+01
s83         ,  2.722850822770267e-01,  3.190654789859418e-01,  5.886687422800661e+01
s84         ,  3.998438077165619e-01,  3.333388379622034e-01,  5.412479561031203e+01
s85         ,  3.012322773461942e-01,  3.049060030293553e-01,  6.357111716641802e+01
s86         ,  3.200453803456573e-01,  3.091609976386381e-01,  6.215746821464406e+01
s87         ,  3.352140969143458e-01,  3.203723226425616e-01,  5.843269784590671e+01
s88         ,  3.302506455484479e-01,  3.386026144681482e-01,  5.237599618204306e+01
s89         ,  3.471406078486814e-01,  3.465727294780777e-01,  4.972806222115751e+01
s90         ,  3.483351733862548e-01,  3.362507752683918e-01,  5.315735440332572e+01
s91         ,  3.564650130752042e-01,  3.998069665890839e-01,  3.204190033359984e+01
s92         ,  2.923433543076974e-01,  2.782596323806475e-01,  7.242391661625697e+01
s93         ,  3.745472031333225e-01,  3.261442174957043e-01,  5.651508481507139e+01
s94         ,  3.437578785209007e-01,  3.453541339797261e-01,  5.013291966683393e+01
s95         ,  2.980732528469880e-01,  2.904451491273334e-01,  6.837548775616018e+01
s96         ,  3.581539694897533e-01,  3.419426312403926e-01,  5.126633291744339e+01
s97         ,  4.279362669937736e-01,  4.025707372583986e-01,  3.112368494947297e+01
s98         ,  2.896944279808133e-01,  3.045521597031414e-01,  6.368867554031189e+01
s99         ,  2.909528202324455e-01,  2.830465732559195e-01,  7.083353764473748e+01
s100        ,  3.111721139319150e-01,  3.097070588519518e-01,  6.197604874583409e+01
s101        ,  3.241780336567121e-01,  3.411606107220477e-01,  5.152614581676225e+01
s102        ,  3.096847321141750e-01,  2.772384284092649e-01,  7.276319411394003e+01
s103        ,  3.391049191815317e-01,  3.744988728194331e-01,  4.045008025251509e+01
s104        ,  2.515445686944838e-01,  2.742016077322835e-01,  7.377212567812454e+01
s105        ,  3.580226031747242e-01,  3.320514876608263e-01,  5.455249565959936e+01
s106        ,  3.582576851144277e-01,  3.921703379048628e-01,  3.457903918472424e+01
s107        ,  3.406125813060369e-01,  3.185217114586929e-01,  5.904753165897661e+01
s108        ,  3.541195107207772e-01,  3.621500355424819e-01,  4.455276955654024e+01
s109        ,  3.030334722988908e-01,  3.220324937758176e-01,  5.788113447208419e+01
s110        ,  3.844717335443058e-01,  3.303055929918373e-01,  5.513253920732551e+01
s111        ,  3.518414134147780e-01,  3.694175158315360e-01,  4.213827392586517e+01
s112        ,  3.724995886738390e-01,  3.628368734665335e-01,  4.432457944103320e+01
s113        ,  3.276637756053076e-01,  3.318506635997583e-01,  5.461921600815172e+01
s114        ,  3.975727278995340e-01,  3.659828737320135e-01,  4.327937483187246e+01
s115        ,  4.661802026900197e-01,  3.735972473950093e-01,  4.074962982969873e+01
s116        ,  3.149444114213277e-01,  3.137680080513282e-01,  6.062686805207210e+01
s117        ,  2.617905198031230e-01,  3.111336659117371e-01,  6.150208302793189e+01
s118        ,  2.697626524103243e-01,  3.009439314802812e-01,  6.488744745740895e+01
s119        ,  3.390451473349576e-01,  3.061419869886336e-01,  6.316048270294976e+01
s120        ,  3.261908135769222e-01,  3.513104957991330e-01,  4.815402065153994e+01
s121        ,  3.485047140780971e-01,  3.613679930610756e-01,  4.481258975270946e+01
s122        ,  2.626009490674024e-01,  3.189261593737358e-01,  5.891316077871737e+01
s123        ,  2.763746480585029e-01,  2.878274347484946e-01,  6.924517844380900e+01
s124        ,  3.084637495449347e-01,  3.139700922357341e-01,  6.055972904916191e+01
s125        ,  3.788458996149217e-01,  3.231790502487583e-01,  5.750021075655554e+01
s126        ,  3.251157603452653e-01,  3.112545691519204e-01,  6.146191500083771e+01
