# c0 + a0 * ((face-area-count * RBI) / (RBI - SBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0331422693685744; Max AE: 0.112909938917421
# Coefficients
# Task   a0                      c0
# all , -3.410398590638047e-03,  4.492404809699607e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         34|6|mult|6|5|sub|div; ((face-area-count * RBI) / (RBI - SBI)); $\left(\frac{ \left(face-area-count RBI\right) }{ \left(RBI - SBI\right) } \right)$; ((face_sub_area_sub_count .* RBI) ./ (RBI - SBI)); ((newdata$face_sub_area_sub_count * newdata$RBI) / (newdata$RBI - newdata$SBI)); face-area-count,RBI,RBI,SBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.490361704164394e-01,  2.938199389027258e+01
s2          ,  4.250240521814745e-01,  3.438344791301793e-01,  3.090723827095561e+01
s3          ,  2.746380789449931e-01,  3.059064652885913e-01,  4.202852302215887e+01
s4          ,  3.247370215691567e-01,  3.075864784398130e-01,  4.153590812493441e+01
s5          ,  3.450588503436838e-01,  3.244335396232649e-01,  3.659599839423630e+01
s6          ,  3.418868902527870e-01,  3.523106137358615e-01,  2.842185881151350e+01
s7          ,  3.253614410179195e-01,  3.370132015330480e-01,  3.290737913890476e+01
s8          ,  3.920908336338758e-01,  3.157865970080497e-01,  3.913146232474349e+01
s9          ,  3.897447923973993e-01,  3.837155134342842e-01,  1.921328718453917e+01
s10         ,  3.161197563926354e-01,  3.412823737505494e-01,  3.165556879942690e+01
s11         ,  3.431871249187676e-01,  2.966656860755533e-01,  4.473811222924014e+01
s12         ,  2.917324756968375e-01,  2.947144928300083e-01,  4.531024278632555e+01
s13         ,  2.447364458196310e-01,  3.177465350230900e-01,  3.855676761884587e+01
s14         ,  3.105728952400728e-01,  2.997562905737595e-01,  4.383188252732486e+01
s15         ,  3.795908353494076e-01,  3.433404390092446e-01,  3.105210113897665e+01
s16         ,  3.670742293030571e-01,  3.702385629835623e-01,  2.316501015548976e+01
s17         ,  2.954366621683970e-01,  2.926450672469940e-01,  4.591704153081692e+01
s18         ,  3.635454507147386e-01,  3.177716630989730e-01,  3.854939954288199e+01
s19         ,  3.651486704953139e-01,  3.935599929428844e-01,  1.632668045897212e+01
s20         ,  3.399672486499590e-01,  3.002166759297823e-01,  4.369688793833853e+01
s21         ,  3.890225043355258e-01,  3.610354211829728e-01,  2.586356328820957e+01
s22         ,  2.558533901530953e-01,  2.830216459597520e-01,  4.873882937510567e+01
s23         ,  4.117639764254846e-01,  3.849990475980108e-01,  1.883692819610594e+01
s24         ,  3.311791000527954e-01,  3.298831959030279e-01,  3.499804550546754e+01
s25         ,  3.690868050126928e-01,  4.162633613953894e-01,  9.669579287622692e+00
s26         ,  2.979562579207253e-01,  2.785163633619004e-01,  5.005987220283235e+01
s27         ,  3.397813902812787e-01,  3.374173719388494e-01,  3.278886794584044e+01
s28         ,  2.613491376061739e-01,  3.032736570509142e-01,  4.280051731188924e+01
s29         ,  3.947313720925611e-01,  4.184835947140089e-01,  9.018560569542554e+00
s30         ,  2.592589137508671e-01,  3.171463570883035e-01,  3.873275230768373e+01
s31         ,  3.031212395007984e-01,  3.301299625210519e-01,  3.492568838606766e+01
s32         ,  3.857616783620361e-01,  3.399621193920576e-01,  3.204269491486576e+01
s33         ,  4.141193231435004e-01,  3.912513872356314e-01,  1.700361180464839e+01
s34         ,  4.179319881718991e-01,  3.679472024958230e-01,  2.383688484310821e+01
s35         ,  3.612111930609704e-01,  3.855273857801189e-01,  1.868200842116867e+01
s36         ,  3.787074193034875e-01,  3.284082655249638e-01,  3.543052585603800e+01
s37         ,  3.867254135891385e-01,  3.390854311722224e-01,  3.229975818666096e+01
s38         ,  3.446930711358910e-01,  3.912457529307524e-01,  1.700526390035778e+01
s39         ,  2.876898720952064e-01,  3.137985522736094e-01,  3.971439850701195e+01
s40         ,  3.049912944269815e-01,  3.460816405431533e-01,  3.024832367395141e+01
s41         ,  3.032122447573497e-01,  3.171294473481133e-01,  3.873771059620654e+01
s42         ,  3.284012713704346e-01,  3.141117746205221e-01,  3.962255518178523e+01
s43         ,  3.521735822893021e-01,  3.342003462960883e-01,  3.373216696419924e+01
s44         ,  3.330769886831567e-01,  3.362646672122367e-01,  3.312686501450479e+01
s45         ,  3.222694574216643e-01,  3.323175454073169e-01,  3.428424345576826e+01
s46         ,  3.537154217541030e-01,  3.176072269465084e-01,  3.859761565255196e+01
s47         ,  3.064622412169097e-01,  3.245767488411712e-01,  3.655400646452480e+01
s48         ,  2.709027668189650e-01,  2.810071664029645e-01,  4.932951679865714e+01
s49         ,  3.986674224858993e-01,  3.381605481566510e-01,  3.257095317780079e+01
s50         ,  3.630933243380700e-01,  3.180284060316084e-01,  3.847411715995460e+01
s51         ,  3.785261269820064e-01,  3.817175565360668e-01,  1.979912981997248e+01
s52         ,  3.404870415156796e-01,  3.367806669050251e-01,  3.297556314198911e+01
s53         ,  2.464211996641334e-01,  3.189299750326544e-01,  3.820975832415138e+01
