# c0 + a0 * ((bottleneck_min * O) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.442964612354453; Max AE: 2.57322155433214
# Coefficients
# Task   a0                      c0
# all , -7.495336954130030e-01, -1.231821775208325e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         23|10|mult|30|0|sub|sub; ((bottleneck_min * O) - (face-area-avg - E_T)); $\left(\left(bottleneck_{min} O\right) - \left(face-area-avg - E_{T}\right)\right)$; ((bottleneck_min .* O) - (face_sub_area_sub_avg - E_T)); ((newdata$bottleneck_min * newdata$O) - (newdata$face_sub_area_sub_avg - newdata$E_T)); bottleneck_min,O,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.217026210892469e+01,  1.314423142966620e+01
s2          , -2.298888400764099e+01, -2.337386558479504e+01,  1.475003445524886e+01
s3          , -1.755271246623431e+01, -1.774487848866672e+01,  7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.915175630161001e+01,  9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.064782082223569e+01,  1.111304684649663e+01
s6          , -2.179532463031582e+01, -2.154836891354083e+01,  1.231452464104586e+01
s7          , -2.156980503382011e+01, -2.102426847163257e+01,  1.161528930964494e+01
s8          , -2.070680399014268e+01, -2.119813387531084e+01,  1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.287597137223311e+01,  1.408576250108729e+01
s10         , -1.955558688693647e+01, -1.929133197298733e+01,  9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.964738208924038e+01,  9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.856439892489868e+01,  8.333422781445076e+00
s13         , -1.649771434553038e+01, -1.693170064985174e+01,  6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.852774154979974e+01,  8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.131313703929396e+01,  1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.239004013161583e+01,  1.343745109949043e+01
s17         , -1.845283706311921e+01, -1.850619410885471e+01,  8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.137125582320139e+01,  1.207822693832304e+01
s19         , -2.166440903696862e+01, -2.193608935999379e+01,  1.283180685107287e+01
s20         , -1.957524373940041e+01, -1.952598010200818e+01,  9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.243471274461940e+01,  1.349705163950212e+01
s22         , -1.709175230426198e+01, -1.674773372158829e+01,  5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.314010602559265e+01,  1.443816113903511e+01
s24         , -1.997593461761007e+01, -2.039765322375540e+01,  1.077928253408311e+01
s25         , -2.228124530569044e+01, -2.236488766942156e+01,  1.340389361922209e+01
s26         , -1.806502239865187e+01, -1.795206101447313e+01,  7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.023033169037745e+01,  1.055604836275510e+01
s28         , -1.658938425028538e+01, -1.717736138873457e+01,  6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.305488980548426e+01,  1.432446882522735e+01
s30         , -1.697997334312175e+01, -1.737183476107499e+01,  6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.910354304630314e+01,  9.052728830931466e+00
s32         , -2.151059652715050e+01, -2.148070929804451e+01,  1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.352845799963570e+01,  1.495628590970211e+01
s34         , -2.302504917991390e+01, -2.236979065618660e+01,  1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.223892450946713e+01,  1.323583825263178e+01
s36         , -2.239655424600443e+01, -2.213784013925672e+01,  1.310097524269771e+01
s37         , -2.226102540809307e+01, -2.232202095012424e+01,  1.334670243547725e+01
s38         , -2.102436377352775e+01, -2.076353175720120e+01,  1.126742407553069e+01
s39         , -2.141661104833067e+01, -1.997615389971216e+01,  1.021693380096713e+01
s40         , -1.990275935468409e+01, -1.904273506491061e+01,  8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.879399025713513e+01,  8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.938020703462817e+01,  9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.187067791775268e+01,  1.274453733585106e+01
s44         , -1.984867902879579e+01, -1.964055697809552e+01,  9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.948093018306268e+01,  9.556224723202973e+00
s46         , -2.007096062658339e+01, -2.043021631499433e+01,  1.082272700020680e+01
s47         , -1.842882744186564e+01, -1.888010891685587e+01,  8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.701884393643140e+01,  6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.227041341255574e+01,  1.327784957684751e+01
s50         , -2.022197746600499e+01, -2.042154498980690e+01,  1.081115804041152e+01
