# c0 + a0 * ((bottleneck_avg * O) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.44688579989016; Max AE: 2.07069717829872
# Coefficients
# Task   a0                      c0
# all , -6.690817873660693e-01, -1.289147691475920e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|10|mult|30|0|sub|sub; ((bottleneck_avg * O) - (face-area-avg - E_T)); $\left(\left(bottleneck_{avg} O\right) - \left(face-area-avg - E_{T}\right)\right)$; ((bottleneck_avg .* O) - (face_sub_area_sub_avg - E_T)); ((newdata$bottleneck_avg * newdata$O) - (newdata$face_sub_area_sub_avg - newdata$E_T)); bottleneck_avg,O,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.254285620130821e+01,  1.442481243517772e+01
s2          , -2.298888400764099e+01, -2.336328367223900e+01,  1.565101151341076e+01
s3          , -1.755271246623431e+01, -1.773566188907430e+01,  7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.899153114145139e+01,  9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.091147018123489e+01,  1.198656639279851e+01
s6          , -2.179532463031582e+01, -2.190322290873528e+01,  1.346882573123389e+01
s7          , -2.156980503382011e+01, -2.134239144419532e+01,  1.263061510417775e+01
s8          , -2.070680399014268e+01, -2.081825884297674e+01,  1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.293381096807514e+01,  1.500912779713962e+01
s10         , -1.955558688693647e+01, -1.911612532614178e+01,  9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.943395846644272e+01,  9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.863490334634499e+01,  8.584042399652761e+00
s13         , -1.649771434553038e+01, -1.700976726262791e+01,  6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.843449560317055e+01,  8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.092091803359281e+01,  1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.257375392138657e+01,  1.447099172246633e+01
s17         , -1.845283706311921e+01, -1.841526097717722e+01,  8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.151719173719381e+01,  1.289186910376218e+01
s19         , -2.166440903696862e+01, -2.194786412931112e+01,  1.353554585636474e+01
s20         , -1.957524373940041e+01, -1.932558727632250e+01,  9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.232069413025501e+01,  1.409277220444931e+01
s22         , -1.709175230426198e+01, -1.684554659859101e+01,  5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.302293951725305e+01,  1.514233804267444e+01
s24         , -1.997593461761007e+01, -2.057581827456332e+01,  1.148490588879210e+01
s25         , -2.228124530569044e+01, -2.245863381621262e+01,  1.429893487179769e+01
s26         , -1.806502239865187e+01, -1.792060628253641e+01,  7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.015546785901743e+01,  1.085665621366546e+01
