# c0 + a0 * (Ge * S) + a1 * (SBI - NBI) + a2 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.030489505459397; Max AE: 0.123361752393541
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.261917926605502e-01, -1.321334713269502e-01, -7.944825917858859e-04,  3.615409540165300e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         5|4|sub; (SBI - NBI); $\left(SBI - NBI\right)$; (SBI - NBI); (newdata$SBI - newdata$NBI); SBI,NBI
# 2;  1; Unitless;                                         34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.564916067207736e-01,  0.000000000000000e+00, -3.375212643988400e-01,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.555647343787358e-01,  0.000000000000000e+00, -4.497088211125086e-01,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  2.964212901317866e-01,  0.000000000000000e+00, -3.102117903801258e-01,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  2.919270626572556e-01,  0.000000000000000e+00, -3.137194677021182e-01,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.381571882005510e-01,  0.000000000000000e+00, -4.905722641740900e-01,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.608980929264846e-01,  0.000000000000000e+00, -3.500794614898473e-01,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.441859341165172e-01,  0.000000000000000e+00, -2.066303902157438e-01,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.823409181495429e-01,  1.822916666666667e-01, -3.390781322479878e-01,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.896185128336840e-01,  0.000000000000000e+00, -4.356200597920927e-01,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.607811289129184e-01,  5.078125000000000e-02, -3.769043926577314e-01,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.869264043423806e-01,  0.000000000000000e+00, -2.408234273757754e-01,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.846637651737436e-01,  0.000000000000000e+00, -1.315068258989337e-01,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.089029112759976e-01,  0.000000000000000e+00, -3.569219880321091e-01,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  3.263091464674894e-01,  9.989258861439311e-02, -3.745813932599276e-01,  1.602300038618577e+02
