# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0305847607695222; Max AE: 0.118277496838005
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.312755927297620e-01,  1.271310553621190e-01, -7.573847664599496e-04,  4.031580728329091e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.639879673624331e-01,  0.000000000000000e+00,  6.417673197130047e-02,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.632162322962458e-01,  0.000000000000000e+00,  1.762139112243052e-01,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  2.905270834622364e-01,  0.000000000000000e+00, -9.027419476714434e-02,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  2.997184793007059e-01,  0.000000000000000e+00,  1.920029984140204e-02,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.442855040169716e-01,  0.000000000000000e+00,  1.983272356832427e-01,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.653823896053880e-01,  0.000000000000000e+00,  5.454548565305867e-02,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.557753963227650e-01,  0.000000000000000e+00, -3.783601111138252e-02,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.866950926531380e-01,  1.822916666666667e-01,  1.467242940128557e-02,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.914782404193796e-01,  0.000000000000000e+00,  1.292047585025767e-01,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.560169250787629e-01,  5.078125000000000e-02, -1.646476650975018e-03,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.797693364812012e-01,  0.000000000000000e+00, -1.724462936149827e-01,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.953837205407581e-01,  0.000000000000000e+00, -1.409712193009257e-01,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.087021679830484e-01,  0.000000000000000e+00,  5.375670547540484e-03,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  3.232091917200739e-01,  9.989258861439311e-02, -1.317028649891022e-02,  1.602300038618577e+02
s15         ,  3.795908353494076e-01,  3.425512891643534e-01,  3.961632479540865e-02, -1.921777951832675e-01,  7.032168333223625e+01
