# c0 + a0 * (poly_dist_avg - SBI) + a1 * (Ge * S) + a2 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0306948537006614; Max AE: 0.108890413594712
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.234710935759745e-01,  4.302872587001137e-01, -3.102685790899784e-03,  4.425539103412072e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.590013059372349e-01,  6.417673197130047e-02,  0.000000000000000e+00,  2.948302917134020e+01
s2          ,  4.250240521814745e-01,  3.605321808929972e-01,  1.762139112243052e-01,  0.000000000000000e+00,  3.344813518492911e+01
s3          ,  2.746380789449931e-01,  2.915770699130039e-01, -9.363884935216206e-02,  0.000000000000000e+00,  4.493369896055938e+01
s4          ,  3.247370215691567e-01,  2.989698372702623e-01,  1.920029984140204e-02,  0.000000000000000e+00,  4.704142311717047e+01
s5          ,  3.450588503436838e-01,  3.393289698464846e-01,  1.600279415129083e-01,  0.000000000000000e+00,  3.963784080126527e+01
s6          ,  3.418868902527870e-01,  3.621210660789869e-01,  5.454548565305867e-02,  0.000000000000000e+00,  2.809425152914287e+01
s7          ,  3.253614410179195e-01,  3.477905885507975e-01, -3.783601111138252e-02,  0.000000000000000e+00,  2.903667151413612e+01
s8          ,  3.920908336338758e-01,  3.824412989488991e-01,  1.467242940128557e-02,  1.822916666666667e-01,  4.523887473280715e+01
s9          ,  3.897447923973993e-01,  3.934332293104591e-01,  1.292047585025767e-01,  0.000000000000000e+00,  2.097335606755381e+01
s10         ,  3.161197563926354e-01,  3.551147104292435e-01, -1.646476650975018e-03,  5.078125000000000e-02,  3.515871082245503e+01
s11         ,  3.431871249187676e-01,  2.801161000657018e-01, -1.733606170862432e-01,  0.000000000000000e+00,  4.545506532260281e+01
s12         ,  2.917324756968375e-01,  2.766271148537532e-01, -2.275982036434495e-01,  0.000000000000000e+00,  4.442119043826879e+01
s13         ,  2.447364458196310e-01,  3.052846309901927e-01,  5.375670547540484e-03,  0.000000000000000e+00,  4.445600636609184e+01
s14         ,  3.105728952400728e-01,  3.319160903291065e-01, -1.435766620032257e-02,  9.989258861439311e-02,  4.894068610810166e+01
s15         ,  3.795908353494076e-01,  3.418434175700927e-01, -1.921777951832675e-01,  3.961632479540865e-02,  3.030551476098331e+01
s16         ,  3.670742293030571e-01,  3.770733179429809e-01,  5.277935271314915e-02,  0.000000000000000e+00,  2.320483659902656e+01
s17         ,  2.954366621683970e-01,  2.863937368274098e-01, -1.857006927403524e-01,  0.000000000000000e+00,  4.294070198603407e+01
s18         ,  3.635454507147386e-01,  3.150737913268282e-01, -4.303154910176671e-02,  0.000000000000000e+00,  3.937458538239123e+01
s19         ,  3.651486704953139e-01,  3.852197619707600e-01, -1.448627021405524e-02,  0.000000000000000e+00,  1.790239698399253e+01
s20         ,  3.399672486499590e-01,  2.915834251240216e-01,  1.541991098392556e-02,  0.000000000000000e+00,  4.927163393006073e+01
s21         ,  3.890225043355258e-01,  3.562059135780108e-01, -1.109021690684581e-01,  0.000000000000000e+00,  2.341673942023508e+01
s22         ,  2.558533901530953e-01,  2.772529527488321e-01,  1.226778579962567e-02,  0.000000000000000e+00,  5.376492682890517e+01
s23         ,  4.117639764254846e-01,  3.883786564447708e-01,  9.352393369827960e-02,  0.000000000000000e+00,  2.118253690349684e+01
s24         ,  3.311791000527954e-01,  3.276123550117150e-01,  1.751879948982424e-02,  0.000000000000000e+00,  3.774298416040331e+01
s25         ,  3.690868050126928e-01,  4.007170844783555e-01, -8.905669092553886e-02,  0.000000000000000e+00,  9.940065131465964e+00
s26         ,  2.979562579207253e-01,  2.678604787715271e-01, -4.067710553836704e-02,  0.000000000000000e+00,  5.468519737415880e+01
s27         ,  3.397813902812787e-01,  3.273702471054737e-01, -1.633191659192222e-02,  0.000000000000000e+00,  3.647392976944617e+01
s28         ,  2.613491376061739e-01,  2.879621544377050e-01, -4.623757767005020e-02,  0.000000000000000e+00,  4.798512052395121e+01
s29         ,  3.947313720925611e-01,  4.091552504105772e-01, -7.845193593381650e-03,  0.000000000000000e+00,  1.045223637967390e+01
s30         ,  2.592589137508671e-01,  3.032986404092778e-01, -1.716300987071830e-02,  0.000000000000000e+00,  4.419916922827267e+01
s31         ,  3.031212395007984e-01,  3.127135697881698e-01, -1.642343482751850e-01,  0.000000000000000e+00,  3.531203394494859e+01
s32         ,  3.857616783620361e-01,  3.232473267049867e-01, -1.792878633159145e-01,  0.000000000000000e+00,  3.131793601940123e+01
