# c0 + a0 * (pockets-per-ion + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.034517168164935; Max AE: 0.119381589707452
# Coefficients
# Task   a0                      c0
# all , -2.671594282673608e-03,  4.232707289818425e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         35|34|add; (pockets-per-ion + face-area-count); $\left(pockets-per-ion + face-area-count\right)$; (pockets_sub_per_sub_ion + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_ion + newdata$face_sub_area_sub_count); pockets-per-ion,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.427075118678771e-01,  3.015548342667565e+01
s2          ,  4.250240521814745e-01,  3.426373796216121e-01,  3.018173451080168e+01
s3          ,  2.746380789449931e-01,  3.109105735425270e-01,  4.205734237717812e+01
s4          ,  3.247370215691567e-01,  2.923262803989538e-01,  4.901359814703810e+01
s5          ,  3.450588503436838e-01,  3.239591211321489e-01,  3.717316229255707e+01
s6          ,  3.418868902527870e-01,  3.509623606828254e-01,  2.706562473500064e+01
s7          ,  3.253614410179195e-01,  3.520210574331690e-01,  2.666934572017806e+01
s8          ,  3.920908336338758e-01,  3.051455916425144e-01,  4.421522313676834e+01
s9          ,  3.897447923973993e-01,  3.762366306769554e-01,  1.760525488840978e+01
s10         ,  3.161197563926354e-01,  3.398882646494338e-01,  3.121075115079354e+01
s11         ,  3.431871249187676e-01,  2.972186943752997e-01,  4.718232683160100e+01
s12         ,  2.917324756968375e-01,  3.110204493040036e-01,  4.201621496416141e+01
s13         ,  2.447364458196310e-01,  2.975563336761873e-01,  4.705594562803379e+01
s14         ,  3.105728952400728e-01,  2.997163697877817e-01,  4.624742611382347e+01
s15         ,  3.795908353494076e-01,  3.530189702774725e-01,  2.629581862784396e+01
s16         ,  3.670742293030571e-01,  3.688747386329153e-01,  2.036087242052721e+01
s17         ,  2.954366621683970e-01,  3.164207025464444e-01,  3.999485518005660e+01
s18         ,  3.635454507147386e-01,  3.255191166574517e-01,  3.658924296939486e+01
s19         ,  3.651486704953139e-01,  3.840730239736651e-01,  1.467202758382541e+01
s20         ,  3.399672486499590e-01,  2.961204828372966e-01,  4.759339656068578e+01
s21         ,  3.890225043355258e-01,  3.695537758997287e-01,  2.010670311375140e+01
s22         ,  2.558533901530953e-01,  2.873240587019519e-01,  5.088597140724583e+01
s23         ,  4.117639764254846e-01,  3.750394639849449e-01,  1.805336435614394e+01
s24         ,  3.311791000527954e-01,  3.334094433510933e-01,  3.363582794496032e+01
s25         ,  3.690868050126928e-01,  4.051284964668478e-01,  6.790788793288934e+00
s26         ,  2.979562579207253e-01,  2.842514233103098e-01,  5.203608443584804e+01
s27         ,  3.397813902812787e-01,  3.372442811183385e-01,  3.220041621642220e+01
s28         ,  2.613491376061739e-01,  2.941341749612429e-01,  4.833688814881192e+01
s29         ,  3.947313720925611e-01,  4.035887277616431e-01,  7.367137049156510e+00
s30         ,  2.592589137508671e-01,  3.112871938810998e-01,  4.191637024641138e+01
s31         ,  3.031212395007984e-01,  3.397253499589169e-01,  3.127173147687577e+01
s32         ,  3.857616783620361e-01,  3.499808375153278e-01,  2.743301703474584e+01
s33         ,  4.141193231435004e-01,  3.843260574160937e-01,  1.457731505802399e+01
s34         ,  4.179319881718991e-01,  3.631490125727481e-01,  2.250405939217964e+01
s35         ,  3.612111930609704e-01,  3.821268314053727e-01,  1.540050367801166e+01
s36         ,  3.787074193034875e-01,  3.081710149925643e-01,  4.308278196870963e+01
s37         ,  3.867254135891385e-01,  3.200709780189568e-01,  3.862852665622872e+01
s38         ,  3.446930711358910e-01,  3.843989577861032e-01,  1.455002784211615e+01
s39         ,  2.876898720952064e-01,  3.560717105517090e-01,  2.515315250745480e+01
s40         ,  3.049912944269815e-01,  3.494131948123495e-01,  2.764549042812738e+01
s41         ,  3.032122447573497e-01,  3.274114576441760e-01,  3.588092397088643e+01
s42         ,  3.284012713704346e-01,  3.031933538918062e-01,  4.494596199310189e+01
s43         ,  3.521735822893021e-01,  3.634283128705558e-01,  2.239951496355172e+01
s44         ,  3.330769886831567e-01,  3.349026750994152e-01,  3.307689885980466e+01
s45         ,  3.222694574216643e-01,  3.330156731406744e-01,  3.378321941565359e+01
s46         ,  3.537154217541030e-01,  3.165554575937718e-01,  3.994441524304921e+01
s47         ,  3.064622412169097e-01,  3.342161173664388e-01,  3.333388313972659e+01
s48         ,  2.709027668189650e-01,  2.890912437067389e-01,  5.022449933558887e+01
s49         ,  3.986674224858993e-01,  3.352146174804452e-01,  3.296013622744950e+01
s50         ,  3.630933243380700e-01,  3.179850339035011e-01,  3.940931291894231e+01
s51         ,  3.785261269820064e-01,  3.763755906707926e-01,  1.755324100488769e+01
s52         ,  3.404870415156796e-01,  3.032641437989280e-01,  4.491946474103751e+01
s53         ,  2.464211996641334e-01,  3.341763072577366e-01,  3.334878439511571e+01
s54         ,  4.479825317233843e-01,  3.929394087897953e-01,  1.135326587152788e+01
s55         ,  3.436317929445776e-01,  3.180557790349202e-01,  3.938283242679650e+01
s56         ,  3.917346641556894e-01,  4.006160382575988e-01,  8.479839499271542e+00
s57         ,  3.497750017469617e-01,  3.721917259637786e-01,  1.911929642510930e+01
s58         ,  4.567353100642558e-01,  3.749136691815400e-01,  1.810045039919347e+01
s59         ,  3.347920174849711e-01,  3.329542522073572e-01,  3.380620978275967e+01
s60         ,  2.709373029897972e-01,  2.943799005527210e-01,  4.824491101251105e+01
s61         ,  2.790893938381299e-01,  2.830527946906565e-01,  5.248474111527982e+01
s62         ,  3.360458157463063e-01,  3.342528382408907e-01,  3.332013821045719e+01
s63         ,  4.093736118424267e-01,  3.682469017347180e-01,  2.059587700272336e+01
s64         ,  3.302497794709098e-01,  3.892302114137793e-01,  1.274164935478040e+01
s65         ,  3.637362750415415e-01,  3.625759767052893e-01,  2.271855149196261e+01
s66         ,  3.848471859724885e-01,  3.518156550106037e-01,  2.674622955837809e+01
s67         ,  3.211750777924535e-01,  2.983654707692037e-01,  4.675307887230521e+01
s68         ,  4.095598752010021e-01,  3.776809737269559e-01,  1.706462525038140e+01
s69         ,  3.476279282639844e-01,  3.623623946987456e-01,  2.279849701659889e+01
s70         ,  3.542202710009075e-01,  3.511457530768334e-01,  2.699697943387938e+01
s71         ,  3.324591144603498e-01,  2.994708489824979e-01,  4.633932659694549e+01
s72         ,  3.490784623419291e-01,  3.674600894126333e-01,  2.089038741067996e+01
s73         ,  2.871691931895054e-01,  3.357237696895992e-01,  3.276955631325517e+01
s74         ,  4.049442418517104e-01,  4.020251573246720e-01,  7.952394491542678e+00
s75         ,  3.439829269029567e-01,  3.547935427351930e-01,  2.563158137100097e+01
s76         ,  3.071028154909760e-01,  3.111189943413186e-01,  4.197932873560713e+01
s77         ,  2.780468433194506e-01,  3.142072674903815e-01,  4.082336236410693e+01
s78         ,  2.669617651637353e-01,  2.984736515184956e-01,  4.671258591647226e+01
s79         ,  3.541307689639985e-01,  3.567694070678508e-01,  2.489199888818457e+01
s80         ,  3.629523222745701e-01,  3.471593865855163e-01,  2.848910962639041e+01
s81         ,  2.554152131748840e-01,  3.157311923903905e-01,  4.025294457653632e+01
s82         ,  3.259366268272620e-01,  3.265057156833034e-01,  3.621995073357517e+01
s83         ,  2.722850822770267e-01,  3.111160311965059e-01,  4.198043786539978e+01
s84         ,  3.998438077165619e-01,  3.158655930991995e-01,  4.020263727138874e+01
s85         ,  3.012322773461942e-01,  3.217528413808232e-01,  3.799899118642557e+01
s86         ,  3.200453803456573e-01,  3.364980597322550e-01,  3.247973309882571e+01
s87         ,  3.352140969143458e-01,  3.294797124557236e-01,  3.510675896201472e+01
s88         ,  3.302506455484479e-01,  3.315624013357560e-01,  3.432719116104303e+01
s89         ,  3.471406078486814e-01,  3.459472192611566e-01,  2.894283395579966e+01
s90         ,  3.483351733862548e-01,  3.336895072037623e-01,  3.353099771138582e+01
s91         ,  3.564650130752042e-01,  3.914037168783123e-01,  1.192808814953712e+01
s92         ,  2.923433543076974e-01,  3.035638326969405e-01,  4.480728868947304e+01
s93         ,  3.745472031333225e-01,  3.407753941319336e-01,  3.087869119384077e+01
s94         ,  3.437578785209007e-01,  3.468122259928406e-01,  2.861905472880628e+01
s95         ,  2.980732528469880e-01,  2.742488438451643e-01,  5.578013327216135e+01
s96         ,  3.581539694897533e-01,  3.356556512600608e-01,  3.279505360900109e+01
s97         ,  4.279362669937736e-01,  3.823195629256867e-01,  1.532836266409950e+01
s98         ,  2.896944279808133e-01,  3.244588002426394e-01,  3.698612823812332e+01
s99         ,  2.909528202324455e-01,  2.698144623046754e-01,  5.743995923048436e+01
s100        ,  3.111721139319150e-01,  3.336735235665794e-01,  3.353698051996067e+01
s101        ,  3.241780336567121e-01,  3.084558537194229e-01,  4.297616445994124e+01
s102        ,  3.096847321141750e-01,  2.772974235678776e-01,  5.463902448087350e+01
s103        ,  3.391049191815317e-01,  3.669251676156431e-01,  2.109061309631616e+01
s104        ,  2.515445686944838e-01,  2.928446104207412e-01,  4.881958290110462e+01
s105        ,  3.580226031747242e-01,  3.386395037115125e-01,  3.167817277466063e+01
s106        ,  3.582576851144277e-01,  3.852232455423350e-01,  1.424149006690917e+01
s107        ,  3.406125813060369e-01,  3.126342175758796e-01,  4.141216805391688e+01
s108        ,  3.541195107207772e-01,  3.687840929233881e-01,  2.039480186487251e+01
s109        ,  3.030334722988908e-01,  3.125181817943244e-01,  4.145560121377489e+01
s110        ,  3.844717335443058e-01,  3.061787369383063e-01,  4.382850824428176e+01
s111        ,  3.518414134147780e-01,  3.708375638562542e-01,  1.962617058497209e+01
s112        ,  3.724995886738390e-01,  3.783475270693652e-01,  1.681512878052737e+01
s113        ,  3.276637756053076e-01,  3.492930243743204e-01,  2.769047122435397e+01
s114        ,  3.975727278995340e-01,  3.672627782695085e-01,  2.096424261556804e+01
s115        ,  4.661802026900197e-01,  3.657902974767683e-01,  2.151540444515042e+01
s116        ,  3.149444114213277e-01,  3.470293235673916e-01,  2.853779329777279e+01
s117        ,  2.617905198031230e-01,  2.899571517908037e-01,  4.990038272488921e+01
s118        ,  2.697626524103243e-01,  2.899307214736098e-01,  4.991027581283495e+01
s119        ,  3.390451473349576e-01,  3.092015924103145e-01,  4.269702825436985e+01
s120        ,  3.261908135769222e-01,  3.622605834693863e-01,  2.283660580804959e+01
s121        ,  3.485047140780971e-01,  3.617671148817350e-01,  2.302131521203794e+01
s122        ,  2.626009490674024e-01,  3.100667128500367e-01,  4.237320646551037e+01
s123        ,  2.763746480585029e-01,  2.792177664955480e-01,  5.392022412255392e+01
s124        ,  3.084637495449347e-01,  3.306007667507676e-01,  3.468713899864133e+01
s125        ,  3.788458996149217e-01,  3.169764295965704e-01,  3.978684191482015e+01
