# c0 + a0 * (face-area-count + face-area-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0345661477404624; Max AE: 0.128135530338953
# Coefficients
# Task   a0                      c0
# all , -2.589619424283714e-03,  4.460989981695142e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|31|add; (face-area-count + face-area-max); $\left(face-area-count + face-area-max\right)$; (face_sub_area_sub_count + face_sub_area_sub_max); (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.535017318432878e-01,  3.575709444326503e+01
s2          ,  4.250240521814745e-01,  3.404797346699877e-01,  4.078563147507309e+01
s3          ,  2.746380789449931e-01,  3.049455431673550e-01,  5.450741281846931e+01
s4          ,  3.247370215691567e-01,  3.076444278649640e-01,  5.346521925431051e+01
s5          ,  3.450588503436838e-01,  3.162065851660630e-01,  5.015888117976228e+01
s6          ,  3.418868902527870e-01,  3.571061161763078e-01,  3.436523574031415e+01
s7          ,  3.253614410179195e-01,  3.564620582285057e-01,  3.461394330782868e+01
s8          ,  3.920908336338758e-01,  3.182745741791672e-01,  4.936031248132269e+01
s9          ,  3.897447923973993e-01,  3.749780308800371e-01,  2.746386848297180e+01
s10         ,  3.161197563926354e-01,  3.354322503234382e-01,  4.273475353494707e+01
s11         ,  3.431871249187676e-01,  3.137226338681242e-01,  5.111807667955115e+01
s12         ,  2.917324756968375e-01,  3.131888759193791e-01,  5.132419111618994e+01
s13         ,  2.447364458196310e-01,  3.095378966835901e-01,  5.273404277298265e+01
s14         ,  3.105728952400728e-01,  3.006437506051007e-01,  5.616858068040102e+01
s15         ,  3.795908353494076e-01,  3.510385535618213e-01,  3.670826829466901e+01
s16         ,  3.670742293030571e-01,  3.699963613425608e-01,  2.938757568518137e+01
s17         ,  2.954366621683970e-01,  3.120097373038323e-01,  5.177952389771360e+01
s18         ,  3.635454507147386e-01,  3.237983745433771e-01,  4.722725759595556e+01
s19         ,  3.651486704953139e-01,  3.782102258658188e-01,  2.621573334949533e+01
s20         ,  3.399672486499590e-01,  3.005426118897345e-01,  5.620763611627621e+01
s21         ,  3.890225043355258e-01,  3.688509849960634e-01,  2.982987092584752e+01
s22         ,  2.558533901530953e-01,  2.770699554002148e-01,  6.527176973738241e+01
s23         ,  4.117639764254846e-01,  3.769863295617214e-01,  2.668834963149433e+01
s24         ,  3.311791000527954e-01,  3.307556226218870e-01,  4.454066665781637e+01
s25         ,  3.690868050126928e-01,  4.075280720158799e-01,  1.489443807531796e+01
s26         ,  2.979562579207253e-01,  2.702120796186047e-01,  6.791998735472863e+01
s27         ,  3.397813902812787e-01,  3.331802280547412e-01,  4.360438798685878e+01
s28         ,  2.613491376061739e-01,  3.014847255226781e-01,  5.584383222134511e+01
s29         ,  3.947313720925611e-01,  4.057665120316096e-01,  1.557467701998740e+01
s30         ,  2.592589137508671e-01,  3.111570526165512e-01,  5.210879416781010e+01
s31         ,  3.031212395007984e-01,  3.279314243941954e-01,  4.563125093487579e+01
s32         ,  3.857616783620361e-01,  3.471157110832119e-01,  3.822310188057112e+01
s33         ,  4.141193231435004e-01,  3.846197639570857e-01,  2.374064452711371e+01
s34         ,  4.179319881718991e-01,  3.621965323706181e-01,  3.239953524140073e+01
s35         ,  3.612111930609704e-01,  3.838397962404635e-01,  2.404183462064953e+01
s36         ,  3.787074193034875e-01,  3.311085451362553e-01,  4.440438311319244e+01
s37         ,  3.867254135891385e-01,  3.357041830772917e-01,  4.262974476365676e+01
