# c0 + a0 * (face-area-avg + SBI)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0346076084911856; Max AE: 0.132595533943309
# Coefficients
# Task   a0                      c0
# all , -6.221526703285706e-02,  5.262504443787467e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         32|5|add; (face-area-avg + SBI); $\left(face-area-avg + SBI\right)$; (face_sub_area_sub_avg + SBI); (newdata$face_sub_area_sub_avg + newdata$SBI); face-area-avg,SBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.494098399622211e-01,  2.842398865267792e+00
s2          ,  4.250240521814745e-01,  3.372778969544237e-01,  3.037398317755720e+00
s3          ,  2.746380789449931e-01,  3.051092612207043e-01,  3.554452045367797e+00
s4          ,  3.247370215691567e-01,  3.059371475235034e-01,  3.541145242354930e+00
s5          ,  3.450588503436838e-01,  3.189851401313881e-01,  3.331421918319467e+00
s6          ,  3.418868902527870e-01,  3.531588614892183e-01,  2.782139997858008e+00
s7          ,  3.253614410179195e-01,  3.610136184141584e-01,  2.655888720646713e+00
s8          ,  3.920908336338758e-01,  3.148734323541363e-01,  3.397510323518794e+00
s9          ,  3.897447923973993e-01,  3.786233771943568e-01,  2.372843101459730e+00
s10         ,  3.161197563926354e-01,  3.384982309594534e-01,  3.017783614432415e+00
s11         ,  3.431871249187676e-01,  2.918254796089769e-01,  3.767965259169674e+00
s12         ,  2.917324756968375e-01,  3.200838287266828e-01,  3.313762449065489e+00
s13         ,  2.447364458196310e-01,  3.149455275394132e-01,  3.396351521367566e+00
s14         ,  3.105728952400728e-01,  2.882604389016370e-01,  3.825266961426407e+00
s15         ,  3.795908353494076e-01,  3.415085446321086e-01,  2.969398164747447e+00
s16         ,  3.670742293030571e-01,  3.747711858801056e-01,  2.434760240097371e+00
s17         ,  2.954366621683970e-01,  3.102588957892229e-01,  3.471680809076243e+00
s18         ,  3.635454507147386e-01,  3.361573265747910e-01,  3.055409497857879e+00
s19         ,  3.651486704953139e-01,  3.825919668113140e-01,  2.309055066685866e+00
s20         ,  3.399672486499590e-01,  3.008632579317342e-01,  3.622699012574860e+00
s21         ,  3.890225043355258e-01,  3.564084427717988e-01,  2.729908745987558e+00
s22         ,  2.558533901530953e-01,  2.737981517765125e-01,  4.057722559784391e+00
s23         ,  4.117639764254846e-01,  3.729610623502383e-01,  2.463854763293924e+00
s24         ,  3.311791000527954e-01,  3.321096762733998e-01,  3.120468292819790e+00
s25         ,  3.690868050126928e-01,  3.816226128813536e-01,  2.324635710733387e+00
s26         ,  2.979562579207253e-01,  2.701642776152233e-01,  4.116130637650071e+00
s27         ,  3.397813902812787e-01,  3.421009462341036e-01,  2.959876360369718e+00
s28         ,  2.613491376061739e-01,  2.923263903149474e-01,  3.759914008570590e+00
s29         ,  3.947313720925611e-01,  3.874219382398193e-01,  2.231421848042690e+00
s30         ,  2.592589137508671e-01,  3.152367072903192e-01,  3.391671323647734e+00
s31         ,  3.031212395007984e-01,  3.323146860664196e-01,  3.117173124241450e+00
s32         ,  3.857616783620361e-01,  3.401759691106250e-01,  2.990816951245299e+00
s33         ,  4.141193231435004e-01,  3.817126921222017e-01,  2.323187846806345e+00
s34         ,  4.179319881718991e-01,  3.452066517326284e-01,  2.909957656382084e+00
s35         ,  3.612111930609704e-01,  3.803525863321282e-01,  2.345049133511989e+00
s36         ,  3.787074193034875e-01,  3.151164371312540e-01,  3.393604453003292e+00
s37         ,  3.867254135891385e-01,  3.307592062470608e-01,  3.142174701724631e+00
s38         ,  3.446930711358910e-01,  3.514547317528350e-01,  2.809530858938510e+00
s39         ,  2.876898720952064e-01,  3.606176914916976e-01,  2.662252543247547e+00
s40         ,  3.049912944269815e-01,  3.383943484215661e-01,  3.019453341861737e+00
s41         ,  3.032122447573497e-01,  3.224368998495349e-01,  3.275941006916743e+00
s42         ,  3.284012713704346e-01,  3.171020383513594e-01,  3.361689437368034e+00
s43         ,  3.521735822893021e-01,  3.690591658607645e-01,  2.526570824408203e+00
s44         ,  3.330769886831567e-01,  3.296588857677860e-01,  3.159860400617374e+00
s45         ,  3.222694574216643e-01,  3.349237804343951e-01,  3.075236562808746e+00
s46         ,  3.537154217541030e-01,  3.220842555255353e-01,  3.281609138563809e+00
s47         ,  3.064622412169097e-01,  3.154530429947456e-01,  3.388194111144375e+00
s48         ,  2.709027668189650e-01,  2.609047074885014e-01,  4.264961793865020e+00
s49         ,  3.986674224858993e-01,  3.354170889038377e-01,  3.067307504669654e+00
s50         ,  3.630933243380700e-01,  3.191318715552319e-01,  3.329063471095150e+00
s51         ,  3.785261269820064e-01,  3.785363826385628e-01,  2.374241384549122e+00
s52         ,  3.404870415156796e-01,  3.010043092043668e-01,  3.620431863700322e+00
s53         ,  2.464211996641334e-01,  3.408504886648440e-01,  2.979975246525735e+00
s54         ,  4.479825317233843e-01,  3.900571815951122e-01,  2.189064988047199e+00
s55         ,  3.436317929445776e-01,  3.180191443783108e-01,  3.346948585633571e+00
s56         ,  3.917346641556894e-01,  3.805210485554446e-01,  2.342341402253239e+00
s57         ,  3.497750017469617e-01,  3.745906130042389e-01,  2.437662628602291e+00
s58         ,  4.567353100642558e-01,  3.742099431530603e-01,  2.443781220860000e+00
s59         ,  3.347920174849711e-01,  3.374232910274617e-01,  3.035061366072121e+00
s60         ,  2.709373029897972e-01,  2.889570482052636e-01,  3.814070203189258e+00
s61         ,  2.790893938381299e-01,  3.057705437260779e-01,  3.543823102715756e+00
s62         ,  3.360458157463063e-01,  3.349014432267845e-01,  3.075595593777764e+00
s63         ,  4.093736118424267e-01,  3.735749281224011e-01,  2.453987960474634e+00
s64         ,  3.302497794709098e-01,  3.790163571380321e-01,  2.366526646312673e+00
s65         ,  3.637362750415415e-01,  3.700391857324742e-01,  2.510818744276616e+00
s66         ,  3.848471859724885e-01,  3.482515910433622e-01,  2.861015661017414e+00
s67         ,  3.211750777924535e-01,  3.451665471680406e-01,  2.910602266081607e+00
s68         ,  4.095598752010021e-01,  3.693619711707847e-01,  2.521703766458258e+00
s69         ,  3.476279282639844e-01,  3.625776263142418e-01,  2.630750069401231e+00
s70         ,  3.542202710009075e-01,  3.530779434916655e-01,  2.783440611058142e+00
s71         ,  3.324591144603498e-01,  3.123391429926569e-01,  3.438244527233472e+00
s72         ,  3.490784623419291e-01,  3.691289813641678e-01,  2.525448664097191e+00
s73         ,  2.871691931895054e-01,  3.264754092352547e-01,  3.211029135951261e+00
s74         ,  4.049442418517104e-01,  3.870965269709030e-01,  2.236652256661599e+00
s75         ,  3.439829269029567e-01,  3.522917644116047e-01,  2.796077044486060e+00
s76         ,  3.071028154909760e-01,  3.150548596590546e-01,  3.394594201583283e+00
s77         ,  2.780468433194506e-01,  3.099889825591008e-01,  3.476019185217579e+00
s78         ,  2.669617651637353e-01,  3.049308855954376e-01,  3.557319116968927e+00
s79         ,  3.541307689639985e-01,  3.457202556999948e-01,  2.901702384133632e+00
s80         ,  3.629523222745701e-01,  3.475921075839882e-01,  2.871615687197898e+00
s81         ,  2.554152131748840e-01,  3.204896754007062e-01,  3.307239184063524e+00
s82         ,  3.259366268272620e-01,  3.259244568326734e-01,  3.219884718011052e+00
s83         ,  2.722850822770267e-01,  3.073207848968534e-01,  3.518905727211173e+00
s84         ,  3.998438077165619e-01,  3.240664248655413e-01,  3.249749284310364e+00
s85         ,  3.012322773461942e-01,  3.294652678391352e-01,  3.162972465193881e+00
s86         ,  3.200453803456573e-01,  3.431887479284506e-01,  2.942391878726773e+00
s87         ,  3.352140969143458e-01,  3.291425748647533e-01,  3.168159182052485e+00
s88         ,  3.302506455484479e-01,  3.278672173616743e-01,  3.188658290453088e+00
s89         ,  3.471406078486814e-01,  3.495621612595711e-01,  2.839950570747582e+00
s90         ,  3.483351733862548e-01,  3.326904317800952e-01,  3.111133678754907e+00
s91         ,  3.564650130752042e-01,  3.871504766501326e-01,  2.235785111316050e+00
s92         ,  2.923433543076974e-01,  2.962473039127080e-01,  3.696892281191522e+00
s93         ,  3.745472031333225e-01,  3.514547184250986e-01,  2.809531073158220e+00
s94         ,  3.437578785209007e-01,  3.533404365453450e-01,  2.779221501084044e+00
s95         ,  2.980732528469880e-01,  2.872956183489812e-01,  3.840774739479441e+00
s96         ,  3.581539694897533e-01,  3.394654433248270e-01,  3.002237392234852e+00
s97         ,  4.279362669937736e-01,  3.803500201483151e-01,  2.345090380362409e+00
s98         ,  2.896944279808133e-01,  3.220830435939215e-01,  3.281628618213606e+00
s99         ,  2.909528202324455e-01,  2.718654237703425e-01,  4.088787732343231e+00
s100        ,  3.111721139319150e-01,  3.340660209930625e-01,  3.089023523505701e+00
s101        ,  3.241780336567121e-01,  3.320102080324453e-01,  3.122067068260263e+00
s102        ,  3.096847321141750e-01,  2.639460339693920e-01,  4.216077868328151e+00
s103        ,  3.391049191815317e-01,  3.547703244610801e-01,  2.756238590555349e+00
s104        ,  2.515445686944838e-01,  2.766897287153082e-01,  4.011245592366272e+00
s105        ,  3.580226031747242e-01,  3.485915256713616e-01,  2.855551815176812e+00
s106        ,  3.582576851144277e-01,  3.848418982060980e-01,  2.272891412616908e+00
s107        ,  3.406125813060369e-01,  3.067985398024389e-01,  3.527299890240945e+00
s108        ,  3.541195107207772e-01,  3.746989996927642e-01,  2.435920504945277e+00
s109        ,  3.030334722988908e-01,  3.113193076404307e-01,  3.454636570551193e+00
s110        ,  3.844717335443058e-01,  3.113494374281673e-01,  3.454152287686656e+00
s111        ,  3.518414134147780e-01,  3.714256735209971e-01,  2.488533413767777e+00
s112        ,  3.724995886738390e-01,  3.794494296478501e-01,  2.359565774319801e+00
s113        ,  3.276637756053076e-01,  3.448658768463224e-01,  2.915435007883702e+00
s114        ,  3.975727278995340e-01,  3.759620030100456e-01,  2.415619968155581e+00
s115        ,  4.661802026900197e-01,  3.740693775994341e-01,  2.446040562663547e+00
s116        ,  3.149444114213277e-01,  3.481693996169625e-01,  2.862336742326224e+00
s117        ,  2.617905198031230e-01,  2.994511161264615e-01,  3.645396685873070e+00
s118        ,  2.697626524103243e-01,  2.973633367839281e-01,  3.678954033484080e+00
s119        ,  3.390451473349576e-01,  3.176358808319288e-01,  3.353108866938473e+00
s120        ,  3.261908135769222e-01,  3.500513414073109e-01,  2.832087868053058e+00
s121        ,  3.485047140780971e-01,  3.628466575589593e-01,  2.626425869609958e+00
s122        ,  2.626009490674024e-01,  3.095264832063799e-01,  3.483453041484348e+00
s123        ,  2.763746480585029e-01,  2.791178969550584e-01,  3.972217097343212e+00
s124        ,  3.084637495449347e-01,  3.297734455582506e-01,  3.158019055302500e+00
