# c0 + a0 * (face-area-max * Na-Na)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0346274229038838; Max AE: 0.144417044173128
# Coefficients
# Task   a0                      c0
# all , -3.160218568010665e-03,  4.538372292674036e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|22|mult; (face-area-max * Na-Na); $\left(face-area-max Na-Na\right)$; (face_sub_area_sub_max .* Na_sub_Na); (newdata$face_sub_area_sub_max * newdata$Na_sub_Na); face-area-max,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.603086318860101e-01,  2.959561035687130e+01
s2          ,  4.250240521814745e-01,  3.486492478972761e-01,  3.328503364763866e+01
s3          ,  2.746380789449931e-01,  3.122281283995087e-01,  4.480990723278889e+01
s4          ,  3.247370215691567e-01,  3.010889793399488e-01,  4.833471060313675e+01
s5          ,  3.450588503436838e-01,  3.141643396080630e-01,  4.419722454427058e+01
s6          ,  3.418868902527870e-01,  3.594993532823858e-01,  2.985169346827893e+01
s7          ,  3.253614410179195e-01,  3.675135106777326e-01,  2.731574311456915e+01
s8          ,  3.920908336338758e-01,  3.312130459254383e-01,  3.880243745898762e+01
s9          ,  3.897447923973993e-01,  3.719883217352264e-01,  2.589976160531846e+01
s10         ,  3.161197563926354e-01,  3.495420066650401e-01,  3.300253458988331e+01
s11         ,  3.431871249187676e-01,  3.095906648145308e-01,  4.564448988212702e+01
s12         ,  2.917324756968375e-01,  3.103238204712052e-01,  4.541249464480523e+01
s13         ,  2.447364458196310e-01,  2.916142511406002e-01,  5.133283494024955e+01
s14         ,  3.105728952400728e-01,  3.219228145790204e-01,  4.174218075410599e+01
s15         ,  3.795908353494076e-01,  3.691806309783220e-01,  2.678820988713205e+01
s16         ,  3.670742293030571e-01,  3.734709713981414e-01,  2.543060112448237e+01
s17         ,  2.954366621683970e-01,  3.105274056926329e-01,  4.534807339765209e+01
s18         ,  3.635454507147386e-01,  3.251878577118844e-01,  4.070901071773115e+01
s19         ,  3.651486704953139e-01,  3.526395396171068e-01,  3.202237043813079e+01
s20         ,  3.399672486499590e-01,  3.079928263146538e-01,  4.615010000544290e+01
s21         ,  3.890225043355258e-01,  3.675464324588189e-01,  2.730532554996794e+01
