# c0 + a0 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0347040392452562; Max AE: 0.124728453215639
# Coefficients
# Task   a0                      c0
# all , -2.854673507462753e-03,  4.357696306580497e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.516052083628733e-01,  2.948302917134020e+01
s2          ,  4.250240521814745e-01,  3.402861252715998e-01,  3.344813518492911e+01
s3          ,  2.746380789449931e-01,  3.074985906430342e-01,  4.493369896055938e+01
s4          ,  3.247370215691567e-01,  3.014817263321172e-01,  4.704142311717047e+01
s5          ,  3.450588503436838e-01,  3.226165366296516e-01,  3.963784080126527e+01
s6          ,  3.418868902527870e-01,  3.555697151058106e-01,  2.809425152914287e+01
s7          ,  3.253614410179195e-01,  3.528794137417469e-01,  2.903667151413612e+01
s8          ,  3.920908336338758e-01,  3.066274134508790e-01,  4.523887473280715e+01
s9          ,  3.897447923973993e-01,  3.758975467294207e-01,  2.097335606755381e+01
s10         ,  3.161197563926354e-01,  3.354029903166433e-01,  3.515871082245503e+01
s11         ,  3.431871249187676e-01,  3.060102599016266e-01,  4.545506532260281e+01
s12         ,  2.917324756968375e-01,  3.089616351439660e-01,  4.442119043826879e+01
s13         ,  2.447364458196310e-01,  3.088622470371718e-01,  4.445600636609184e+01
s14         ,  3.105728952400728e-01,  2.960599505882015e-01,  4.894068610810166e+01
s15         ,  3.795908353494076e-01,  3.492572805398493e-01,  3.030551476098331e+01
s16         ,  3.670742293030571e-01,  3.695273983738065e-01,  2.320483659902656e+01
s17         ,  2.954366621683970e-01,  3.131879463066650e-01,  4.294070198603407e+01
s18         ,  3.635454507147386e-01,  3.233680448996073e-01,  3.937458538239123e+01
s19         ,  3.651486704953139e-01,  3.846641322677651e-01,  1.790239698399253e+01
s20         ,  3.399672486499590e-01,  2.951152026085024e-01,  4.927163393006073e+01
s21         ,  3.890225043355258e-01,  3.689224850039459e-01,  2.341673942023508e+01
s22         ,  2.558533901530953e-01,  2.822883184089007e-01,  5.376492682890517e+01
s23         ,  4.117639764254846e-01,  3.753004037387851e-01,  2.118253690349684e+01
s24         ,  3.311791000527954e-01,  3.280257336827601e-01,  3.774298416040331e+01
s25         ,  3.690868050126928e-01,  4.073939900647995e-01,  9.940065131465964e+00
s26         ,  2.979562579207253e-01,  2.796612464636669e-01,  5.468519737415880e+01
s27         ,  3.397813902812787e-01,  3.316484696321547e-01,  3.647392976944617e+01
s28         ,  2.613491376061739e-01,  2.987877783459190e-01,  4.798512052395121e+01
s29         ,  3.947313720925611e-01,  4.059319083712562e-01,  1.045223637967390e+01
s30         ,  2.592589137508671e-01,  3.095954332102368e-01,  4.419916922827267e+01
s31         ,  3.031212395007984e-01,  3.349653028607795e-01,  3.531203394494859e+01
s32         ,  3.857616783620361e-01,  3.463671483950515e-01,  3.131793601940123e+01
s33         ,  4.141193231435004e-01,  3.844844786079198e-01,  1.796533015634156e+01
s34         ,  4.179319881718991e-01,  3.604153549694062e-01,  2.639681052549463e+01
s35         ,  3.612111930609704e-01,  3.831329940707021e-01,  1.843875891577224e+01
s36         ,  3.787074193034875e-01,  3.256236562582237e-01,  3.858443850474664e+01
s37         ,  3.867254135891385e-01,  3.313262389112544e-01,  3.658680807936774e+01
s38         ,  3.446930711358910e-01,  3.843930409884443e-01,  1.799736100653737e+01
s39         ,  2.876898720952064e-01,  3.589128401615940e-01,  2.692314560510506e+01
s40         ,  3.049912944269815e-01,  3.463328624445488e-01,  3.132994648238870e+01
s41         ,  3.032122447573497e-01,  3.209201011341304e-01,  4.023210683241956e+01
s42         ,  3.284012713704346e-01,  3.054746018678494e-01,  4.564270780864435e+01
s43         ,  3.521735822893021e-01,  3.666708700236324e-01,  2.420548635554215e+01
s44         ,  3.330769886831567e-01,  3.293324831601892e-01,  3.728522621575114e+01
s45         ,  3.222694574216643e-01,  3.276466373346206e-01,  3.787578265632533e+01
s46         ,  3.537154217541030e-01,  3.130582507366729e-01,  4.298613470177303e+01
s47         ,  3.064622412169097e-01,  3.321677585625462e-01,  3.629202142545026e+01
s48         ,  2.709027668189650e-01,  2.766639256408916e-01,  5.573516712199147e+01
s49         ,  3.986674224858993e-01,  3.335109432653814e-01,  3.582150012088641e+01
s50         ,  3.630933243380700e-01,  3.120573946269438e-01,  4.333673735637178e+01
s51         ,  3.785261269820064e-01,  3.754834248815334e-01,  2.111842409260280e+01
s52         ,  3.404870415156796e-01,  3.290566497837996e-01,  3.738185140797313e+01
s53         ,  2.464211996641334e-01,  3.342730704182294e-01,  3.555452487805896e+01
s54         ,  4.479825317233843e-01,  3.944145185914598e-01,  1.448680977298400e+01
s55         ,  3.436317929445776e-01,  3.142775505855982e-01,  4.255901060308442e+01
s56         ,  3.917346641556894e-01,  4.026327842527652e-01,  1.160792865406758e+01
s57         ,  3.497750017469617e-01,  3.751839737282450e-01,  2.122332265718665e+01
s58         ,  4.567353100642558e-01,  3.772320871196926e-01,  2.050586288951324e+01
s59         ,  3.347920174849711e-01,  3.280796101618013e-01,  3.772411108125770e+01
s60         ,  2.709373029897972e-01,  2.970340596334057e-01,  4.859945302394767e+01
s61         ,  2.790893938381299e-01,  3.021474393055270e-01,  4.680822202721414e+01
s62         ,  3.360458157463063e-01,  3.286130321574227e-01,  3.753725188554692e+01
s63         ,  4.093736118424267e-01,  3.670277167787869e-01,  2.408048195338492e+01
s64         ,  3.302497794709098e-01,  3.908114284884253e-01,  1.574898216979758e+01
s65         ,  3.637362750415415e-01,  3.610355368243566e-01,  2.617955911186393e+01
