# c0 + a0 * (face-area-max * Na-Na-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0347225337659458; Max AE: 0.135124996384451
# Coefficients
# Task   a0                      c0
# all , -2.330456788363772e-03,  4.439028140330616e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|24|mult; (face-area-max * Na-Na-avg); $\left(face-area-max Na-Na-avg\right)$; (face_sub_area_sub_max .* Na_sub_Na_sub_avg); (newdata$face_sub_area_sub_max * newdata$Na_sub_Na_sub_avg); face-area-max,Na-Na-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.555697665219292e-01,  3.790374829183237e+01
s2          ,  4.250240521814745e-01,  3.505834618945990e-01,  4.004337373017017e+01
s3          ,  2.746380789449931e-01,  3.046539849044203e-01,  5.975173185957626e+01
s4          ,  3.247370215691567e-01,  3.056385566264193e-01,  5.932925171451840e+01
s5          ,  3.450588503436838e-01,  3.210587754923965e-01,  5.271242923449129e+01
s6          ,  3.418868902527870e-01,  3.623152099344820e-01,  3.500927565186173e+01
s7          ,  3.253614410179195e-01,  3.650938804721783e-01,  3.381694694121129e+01
s8          ,  3.920908336338758e-01,  3.230600455379298e-01,  5.185368340597996e+01
s9          ,  3.897447923973993e-01,  3.732335328432700e-01,  3.032421864359432e+01
s10         ,  3.161197563926354e-01,  3.507713866286088e-01,  3.996273514680396e+01
s11         ,  3.431871249187676e-01,  3.036741269547212e-01,  6.017218932293350e+01
s12         ,  2.917324756968375e-01,  3.121956816463186e-01,  5.651558657700554e+01
s13         ,  2.447364458196310e-01,  2.924332445548525e-01,  6.499565674614237e+01
s14         ,  3.105728952400728e-01,  3.179039725511618e-01,  5.406615651962569e+01
s15         ,  3.795908353494076e-01,  3.649497027785834e-01,  3.387881365091165e+01
s16         ,  3.670742293030571e-01,  3.729200624878297e-01,  3.045872890656314e+01
s17         ,  2.954366621683970e-01,  3.116744243763100e-01,  5.673925829347390e+01
s18         ,  3.635454507147386e-01,  3.197212098551583e-01,  5.328637921885350e+01
s19         ,  3.651486704953139e-01,  3.555685882623864e-01,  3.790425388350379e+01
s20         ,  3.399672486499590e-01,  3.067546271140947e-01,  5.885034539312763e+01
s21         ,  3.890225043355258e-01,  3.681331554739978e-01,  3.251279274406208e+01
s22         ,  2.558533901530953e-01,  2.776205814327870e-01,  7.135177679781073e+01
s23         ,  4.117639764254846e-01,  3.749178887328983e-01,  2.960146081429728e+01
s24         ,  3.311791000527954e-01,  3.485217498521850e-01,  4.092805524527415e+01
s25         ,  3.690868050126928e-01,  3.900128014485446e-01,  2.312422734186526e+01
s26         ,  2.979562579207253e-01,  2.465482243559446e-01,  8.468493844748816e+01
s27         ,  3.397813902812787e-01,  3.445213450494008e-01,  4.264463064918581e+01
s28         ,  2.613491376061739e-01,  2.956904293614097e-01,  6.359799735901251e+01
s29         ,  3.947313720925611e-01,  3.891035462060419e-01,  2.351438915350782e+01
s30         ,  2.592589137508671e-01,  3.102291126625712e-01,  5.735944216513170e+01
s31         ,  3.031212395007984e-01,  3.268395652920771e-01,  5.023188987047270e+01
s32         ,  3.857616783620361e-01,  3.604878508918147e-01,  3.579339619500652e+01
s33         ,  4.141193231435004e-01,  3.773402040690874e-01,  2.856204427231978e+01
s34         ,  4.179319881718991e-01,  3.695567481067590e-01,  3.190192853929785e+01
s35         ,  3.612111930609704e-01,  3.808915738127077e-01,  2.703815000345683e+01
s36         ,  3.787074193034875e-01,  3.261392533181379e-01,  5.053239403662413e+01
s37         ,  3.867254135891385e-01,  3.326122399391144e-01,  4.775483272190813e+01
s38         ,  3.446930711358910e-01,  3.760682307374227e-01,  2.910784857043672e+01
s39         ,  2.876898720952064e-01,  3.455527510930470e-01,  4.220205387677104e+01
s40         ,  3.049912944269815e-01,  3.518747397422954e-01,  3.948928585600583e+01
s41         ,  3.032122447573497e-01,  3.299852466585294e-01,  4.888207665696067e+01
s42         ,  3.284012713704346e-01,  3.048469653488954e-01,  5.966892386869706e+01
s43         ,  3.521735822893021e-01,  3.589320061643812e-01,  3.646100982989647e+01
s44         ,  3.330769886831567e-01,  3.176142055664718e-01,  5.419049565611463e+01
s45         ,  3.222694574216643e-01,  3.354851191473151e-01,  4.652207903063813e+01
s46         ,  3.537154217541030e-01,  3.106326636696214e-01,  5.718627825620830e+01
s47         ,  3.064622412169097e-01,  3.314223139032176e-01,  4.826543049048220e+01
s48         ,  2.709027668189650e-01,  2.871442890321139e-01,  6.726514981254333e+01
s49         ,  3.986674224858993e-01,  3.452340592311749e-01,  4.233880469037260e+01
s50         ,  3.630933243380700e-01,  3.230553380312129e-01,  5.185570339911624e+01
s51         ,  3.785261269820064e-01,  3.699990317370456e-01,  3.171214444525460e+01
s52         ,  3.404870415156796e-01,  3.333452783614591e-01,  4.744028562281375e+01
s53         ,  2.464211996641334e-01,  3.400562260615249e-01,  4.456061510775665e+01
s54         ,  4.479825317233843e-01,  3.851041129065018e-01,  2.523054768496386e+01
s55         ,  3.436317929445776e-01,  3.219529088192697e-01,  5.232875624328299e+01
s56         ,  3.917346641556894e-01,  3.941747306628595e-01,  2.133834174420222e+01
s57         ,  3.497750017469617e-01,  3.604306707525186e-01,  3.581793221712098e+01
s58         ,  4.567353100642558e-01,  3.727501751433246e-01,  3.053162763841404e+01
s59         ,  3.347920174849711e-01,  3.320152998785427e-01,  4.801097995602652e+01
s60         ,  2.709373029897972e-01,  2.947146618107467e-01,  6.401669963040202e+01
s61         ,  2.790893938381299e-01,  2.820152420792773e-01,  6.946602604352368e+01
s62         ,  3.360458157463063e-01,  3.469900579659045e-01,  4.158530488574309e+01
s63         ,  4.093736118424267e-01,  3.733621343856001e-01,  3.026903566703272e+01
s64         ,  3.302497794709098e-01,  3.813559732417207e-01,  2.683887601076502e+01
s65         ,  3.637362750415415e-01,  3.585572284645957e-01,  3.662182710042336e+01
s66         ,  3.848471859724885e-01,  3.558139167413165e-01,  3.779898332875457e+01
s67         ,  3.211750777924535e-01,  2.950489779521159e-01,  6.387324443181668e+01
s68         ,  4.095598752010021e-01,  3.692476303668843e-01,  3.203457109307448e+01
s69         ,  3.476279282639844e-01,  3.674821796235008e-01,  3.279212675864125e+01
s70         ,  3.542202710009075e-01,  3.622744267068873e-01,  3.502677575218469e+01
s71         ,  3.324591144603498e-01,  3.021743555827990e-01,  6.081574185710220e+01
s72         ,  3.490784623419291e-01,  3.758556350820513e-01,  2.919907345666197e+01
s73         ,  2.871691931895054e-01,  3.307632911130761e-01,  4.854821745028858e+01
