# c0 + a0 * (face-area-count * cub_root_V)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.034805392235395; Max AE: 0.127556549295424
# Coefficients
# Task   a0                      c0
# all , -8.569647725698710e-05,  4.106286659329795e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|21|mult; (face-area-count * cub_root_V); $\left(face-area-count cub_{root, V}\right)$; (face_sub_area_sub_count .* cub_root_V); (newdata$face_sub_area_sub_count * newdata$cub_root_V); face-area-count,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.570664717341155e-01,  6.250221235843956e+02
s2          ,  4.250240521814745e-01,  3.431641492000809e-01,  7.872495917257556e+02
s3          ,  2.746380789449931e-01,  3.062424878778595e-01,  1.218091821231882e+03
s4          ,  3.247370215691567e-01,  3.047624155410347e-01,  1.235362920163830e+03
s5          ,  3.450588503436838e-01,  3.259642850386995e-01,  9.879563735203247e+02
s6          ,  3.418868902527870e-01,  3.599421523424139e-01,  5.914655445937012e+02
s7          ,  3.253614410179195e-01,  3.560900816856560e-01,  6.364157080083094e+02
s8          ,  3.920908336338758e-01,  3.129306548650255e-01,  1.140046991371379e+03
s9          ,  3.897447923973993e-01,  3.738869227792544e-01,  4.287427480075260e+02
s10         ,  3.161197563926354e-01,  3.305155641682406e-01,  9.348470827394132e+02
s11         ,  3.431871249187676e-01,  3.079345827316047e-01,  1.198346612234890e+03
s12         ,  2.917324756968375e-01,  3.165573095796602e-01,  1.097727227120638e+03
s13         ,  2.447364458196310e-01,  3.143094579005438e-01,  1.123957613141939e+03
s14         ,  3.105728952400728e-01,  2.953243482448659e-01,  1.345496587244051e+03
s15         ,  3.795908353494076e-01,  3.452860236667305e-01,  7.624892452731642e+02
s16         ,  3.670742293030571e-01,  3.703239864914289e-01,  4.703189761311260e+02
s17         ,  2.954366621683970e-01,  3.114950764744605e-01,  1.156798886391054e+03
s18         ,  3.635454507147386e-01,  3.292318818239095e-01,  9.498264889579631e+02
s19         ,  3.651486704953139e-01,  3.821341908563305e-01,  3.325046254958592e+02
s20         ,  3.399672486499590e-01,  2.993058377381287e-01,  1.299036223636302e+03
s21         ,  3.890225043355258e-01,  3.672436037455009e-01,  5.062642430140411e+02
s22         ,  2.558533901530953e-01,  2.811414856384007e-01,  1.510997703047604e+03
s23         ,  4.117639764254846e-01,  3.741736342756076e-01,  4.253970854373663e+02
s24         ,  3.311791000527954e-01,  3.306406226726010e-01,  9.333877636592905e+02
s25         ,  3.690868050126928e-01,  3.969697395017244e-01,  1.593872568448127e+02
s26         ,  2.979562579207253e-01,  2.689673789062590e-01,  1.653058463557443e+03
s27         ,  3.397813902812787e-01,  3.314554474887924e-01,  9.238794986491915e+02
s28         ,  2.613491376061739e-01,  2.965267837500729e-01,  1.331465257792770e+03
s29         ,  3.947313720925611e-01,  3.957157323562526e-01,  1.740203804644844e+02
s30         ,  2.592589137508671e-01,  3.105383962183199e-01,  1.167962475452851e+03
s31         ,  3.031212395007984e-01,  3.314795829803370e-01,  9.235978593996317e+02
s32         ,  3.857616783620361e-01,  3.447939904109851e-01,  7.682308261583369e+02
s33         ,  4.141193231435004e-01,  3.801522194207854e-01,  3.556324307334262e+02
s34         ,  4.179319881718991e-01,  3.556028367014647e-01,  6.421014141165100e+02
s35         ,  3.612111930609704e-01,  3.799658619202728e-01,  3.578070533839435e+02
s36         ,  3.787074193034875e-01,  3.330989172890358e-01,  9.047016998312192e+02
s37         ,  3.867254135891385e-01,  3.394226233286092e-01,  8.309097979703089e+02
s38         ,  3.446930711358910e-01,  3.776601404413668e-01,  3.847127273708866e+02
s39         ,  2.876898720952064e-01,  3.626054331016854e-01,  5.603874787907765e+02
s40         ,  3.049912944269815e-01,  3.415870331665348e-01,  8.056531023953555e+02
s41         ,  3.032122447573497e-01,  3.228350851101436e-01,  1.024471292554535e+03
s42         ,  3.284012713704346e-01,  3.087520989955249e-01,  1.188806940476054e+03
s43         ,  3.521735822893021e-01,  3.686571861063923e-01,  4.897690216684504e+02
s44         ,  3.330769886831567e-01,  3.234534324869226e-01,  1.017255740683893e+03
s45         ,  3.222694574216643e-01,  3.235073093040481e-01,  1.016627047196716e+03
s46         ,  3.537154217541030e-01,  3.190817437527788e-01,  1.068269374780357e+03
s47         ,  3.064622412169097e-01,  3.321778377212888e-01,  9.154498612169530e+02
s48         ,  2.709027668189650e-01,  2.761677939841987e-01,  1.569036164060265e+03
s49         ,  3.986674224858993e-01,  3.364140146694209e-01,  8.660175264964882e+02
s50         ,  3.630933243380700e-01,  3.107072759093875e-01,  1.165991802952963e+03
s51         ,  3.785261269820064e-01,  3.723820722743263e-01,  4.463029856403435e+02
s52         ,  3.404870415156796e-01,  3.371001808376490e-01,  8.580105909701846e+02
s53         ,  2.464211996641334e-01,  3.410497186292297e-01,  8.119230746801409e+02
s54         ,  4.479825317233843e-01,  3.881421326292075e-01,  2.623974056289298e+02
s55         ,  3.436317929445776e-01,  3.122974531627959e-01,  1.147435879718922e+03
s56         ,  3.917346641556894e-01,  3.935682634548725e-01,  1.990793907075800e+02
s57         ,  3.497750017469617e-01,  3.763848896818956e-01,  3.995937446575948e+02
s58         ,  4.567353100642558e-01,  3.765062214116091e-01,  3.981779136503331e+02
s59         ,  3.347920174849711e-01,  3.279919968148988e-01,  9.642948200807529e+02
s60         ,  2.709373029897972e-01,  2.965893234694820e-01,  1.330735476109661e+03
s61         ,  2.790893938381299e-01,  3.017844038063294e-01,  1.270113610390859e+03
s62         ,  3.360458157463063e-01,  3.237654927224377e-01,  1.013614281367203e+03
s63         ,  4.093736118424267e-01,  3.661926789953718e-01,  5.185275796617964e+02
s64         ,  3.302497794709098e-01,  3.841375998496778e-01,  3.091266634433535e+02
s65         ,  3.637362750415415e-01,  3.617705058530774e-01,  5.701303209160625e+02
s66         ,  3.848471859724885e-01,  3.487726628097502e-01,  7.218033354829172e+02
s67         ,  3.211750777924535e-01,  3.508308547821753e-01,  6.977861058568617e+02
s68         ,  4.095598752010021e-01,  3.718053999470088e-01,  4.530322275622507e+02
s69         ,  3.476279282639844e-01,  3.698349797906545e-01,  4.760252398706267e+02
s70         ,  3.542202710009075e-01,  3.523509741514095e-01,  6.800476944554737e+02
s71         ,  3.324591144603498e-01,  3.080337051847948e-01,  1.197189943298629e+03
s72         ,  3.490784623419291e-01,  3.678308125969296e-01,  4.994120494324102e+02
s73         ,  2.871691931895054e-01,  3.338378701608715e-01,  8.960787914516864e+02
s74         ,  4.049442418517104e-01,  3.946973857780391e-01,  1.859035594563067e+02
s75         ,  3.439829269029567e-01,  3.544980176681563e-01,  6.549936480644154e+02
s76         ,  3.071028154909760e-01,  3.085916745999260e-01,  1.190678947362846e+03
s77         ,  2.780468433194506e-01,  3.049192618984234e-01,  1.233532665730869e+03
s78         ,  2.669617651637353e-01,  3.023901111900387e-01,  1.263045555750844e+03
s79         ,  3.541307689639985e-01,  3.637488025829307e-01,  5.470453961539763e+02
s80         ,  3.629523222745701e-01,  3.444493871726331e-01,  7.722520327397770e+02
s81         ,  2.554152131748840e-01,  3.144623529768268e-01,  1.122173466568160e+03
s82         ,  3.259366268272620e-01,  3.140893589877574e-01,  1.126525967406098e+03
s83         ,  2.722850822770267e-01,  2.975242398551750e-01,  1.319825851634791e+03
s84         ,  3.998438077165619e-01,  3.214473340540845e-01,  1.040665086050824e+03
s85         ,  3.012322773461942e-01,  3.196579134796129e-01,  1.061545997749276e+03
s86         ,  3.200453803456573e-01,  3.393618839491749e-01,  8.316185713222420e+02
s87         ,  3.352140969143458e-01,  3.230688313554660e-01,  1.021743686323750e+03
s88         ,  3.302506455484479e-01,  3.200059494167699e-01,  1.057484734692765e+03
s89         ,  3.471406078486814e-01,  3.463550180696783e-01,  7.500150522005349e+02
s90         ,  3.483351733862548e-01,  3.278876974793241e-01,  9.655118985291696e+02
s91         ,  3.564650130752042e-01,  3.856868632185859e-01,  2.910481680547727e+02
s92         ,  2.923433543076974e-01,  2.945938887258815e-01,  1.354020385915423e+03
s93         ,  3.745472031333225e-01,  3.448993738396481e-01,  7.670010973289137e+02
s94         ,  3.437578785209007e-01,  3.446435184591509e-01,  7.699866970721794e+02
s95         ,  2.980732528469880e-01,  2.893502807833001e-01,  1.415208524686366e+03
