# c0 + a0 * (poly_dist_avg_fixed - SBI) + a1 * (face-area-count * face-area-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0322621682043356; Max AE: 0.117190477118036
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.301366148567368e-01, -1.713093889924300e-04,  4.067095859666165e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 1;  1; Unitless;                                         34|31|mult; (face-area-count * face-area-max); $\left(face-area-count face-area-max\right)$; (face_sub_area_sub_count .* face_sub_area_sub_max); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.684726413183056e-01,  6.417673197130047e-02,  2.719564150782347e+02
s2          ,  4.250240521814745e-01,  3.711151627938638e-01,  1.762139112243052e-01,  3.416409655908329e+02
s3          ,  2.746380789449931e-01,  2.933016970063672e-01, -9.027419476714434e-02,  5.934287165592986e+02
s4          ,  3.247370215691567e-01,  3.196700282361349e-01,  1.920029984140204e-02,  5.226696579954097e+02
s5          ,  3.450588503436838e-01,  3.418607444115363e-01,  1.983272356832427e-01,  5.292090362005653e+02
s6          ,  3.418868902527870e-01,  3.712126412989942e-01,  5.454548565305867e-02,  2.486455049355774e+02
s7          ,  3.253614410179195e-01,  3.599072105582110e-01, -3.783601111138252e-02,  2.444613529299252e+02
s8          ,  3.920908336338758e-01,  3.372776831017374e-01,  1.467242940128557e-02,  4.164472454106956e+02
s9          ,  3.897447923973993e-01,  3.936181208182998e-01,  1.292047585025767e-01,  1.745714885746613e+02
s10         ,  3.161197563926354e-01,  3.444185894185441e-01, -1.646476650975018e-03,  3.623661844536549e+02
s11         ,  3.431871249187676e-01,  3.002189083555154e-01, -1.724462936149827e-01,  4.906275202415810e+02
s12         ,  2.917324756968375e-01,  3.038768652213084e-01, -1.409712193009257e-01,  4.931848976298222e+02
s13         ,  2.447364458196310e-01,  3.112197111443378e-01,  5.375670547540484e-03,  5.614954729315575e+02
s14         ,  3.105728952400728e-01,  3.078328856137388e-01, -1.317028649891022e-02,  5.671771081707008e+02
s15         ,  3.795908353494076e-01,  3.345750935874550e-01, -1.921777951832675e-01,  2.750878100759685e+02
s16         ,  3.670742293030571e-01,  3.807647795890440e-01,  5.277935271314915e-02,  1.915442747591695e+02
