# c0 + a0 * (Na-Na / RBI) + a1 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.032434337446931; Max AE: 0.118164024248922
# Coefficients
# Task   a0                      a1                      c0
# all , -2.653863132077939e-02, -7.986358951689262e-04,  4.386620617698864e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|6|div; (Na-Na / RBI); $\left(\frac{ Na-Na }{ RBI } \right)$; (Na_sub_Na ./ RBI); (newdata$Na_sub_Na / newdata$RBI); Na-Na,RBI
# 1;  1; Unitless;                                         34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.538631282150676e-01,  1.314769765933942e+00,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.498533362942462e-01,  8.692625822982843e-01,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  3.038859600580016e-01,  1.059300021965628e+00,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  3.035249289606451e-01,  8.851163862301976e-01,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.303881483941615e-01,  7.388483774506871e-01,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.547860836819567e-01,  1.384047403378930e+00,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.461510122203415e-01,  1.794357118189776e+00,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.186011819094443e-01,  6.720178069022429e-01,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.840015742109203e-01,  9.429246963325953e-01,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.512171838467707e-01,  5.600648705111529e-01,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.815695358039947e-01,  1.887841530488051e+00,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.836480762347575e-01,  2.270939083572229e+00,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.206972307126505e-01,  6.648318542866319e-01,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  2.935350846061483e-01,  6.466627607568303e-01,  1.602300038618577e+02
s15         ,  3.795908353494076e-01,  3.457078772277433e-01,  1.386385137183344e+00,  7.032168333223625e+01
s16         ,  3.670742293030571e-01,  3.729194605382813e-01,  1.229992951375324e+00,  4.144601058896406e+01
s17         ,  2.954366621683970e-01,  2.920659531024619e-01,  1.930581274431683e+00,  1.194050061703162e+02
s18         ,  3.635454507147386e-01,  3.241871695603674e-01,  1.482744798076798e+00,  9.406648902835148e+01
s19         ,  3.651486704953139e-01,  3.845840678656500e-01,  1.201589236419262e+00,  2.778420090321054e+01
s20         ,  3.399672486499590e-01,  2.976901647759517e-01,  7.543301756084986e-01,  1.514494994539887e+02
s21         ,  3.890225043355258e-01,  3.535255940297095e-01,  1.817323981852293e+00,  4.621276957202334e+01
s22         ,  2.558533901530953e-01,  2.696807703678805e-01,  5.876895224458697e-01,  1.920585047110691e+02
s23         ,  4.117639764254846e-01,  3.842926116290676e-01,  8.996814347759979e-01,  3.818152479948186e+01
s24         ,  3.311791000527954e-01,  3.381353407802898e-01,  9.080759597591119e-01,  9.569771199192195e+01
s25         ,  3.690868050126928e-01,  3.848593234717866e-01,  1.651457619773584e+00,  1.249043956749137e+01
s26         ,  2.979562579207253e-01,  2.605297111429284e-01,  8.451847830218943e-01,  1.949603119697909e+02
s27         ,  3.397813902812787e-01,  3.479200151254123e-01,  6.909986502756368e-01,  9.065944651328017e+01
s28         ,  2.613491376061739e-01,  2.958155669272838e-01,  8.777521020549286e-01,  1.496954446179009e+02
s29         ,  3.947313720925611e-01,  3.929393550778555e-01,  1.312925530525646e+00,  1.362255334575322e+01
s30         ,  2.592589137508671e-01,  3.199279283533146e-01,  7.344756625901423e-01,  1.242645806347276e+02
s31         ,  3.031212395007984e-01,  3.296640673562548e-01,  1.395922853632783e+00,  9.009376223141300e+01
s32         ,  3.857616783620361e-01,  3.438751444900377e-01,  1.362583887654173e+00,  7.340742658374994e+01
s33         ,  4.141193231435004e-01,  3.804907474265908e-01,  1.328969717358596e+00,  2.867674382828888e+01
s34         ,  4.179319881718991e-01,  3.619707505986767e-01,  1.024862761809113e+00,  6.197174016413736e+01
s35         ,  3.612111930609704e-01,  3.784629344926253e-01,  1.379659794884977e+00,  2.953141071591577e+01
s36         ,  3.787074193034875e-01,  3.242183516787530e-01,  1.289060514150570e+00,  1.004635639861220e+02
s37         ,  3.867254135891385e-01,  3.417182190081370e-01,  1.020610807973509e+00,  8.747193712368941e+01
s38         ,  3.446930711358910e-01,  3.732067508526134e-01,  1.368564201109620e+00,  3.648156853636682e+01
s39         ,  2.876898720952064e-01,  3.298450972368220e-01,  2.624245024179411e+00,  4.905000335940491e+01
s40         ,  3.049912944269815e-01,  3.406443761998436e-01,  1.369817901076099e+00,  7.721239890393008e+01
s41         ,  3.032122447573497e-01,  3.150334191091788e-01,  1.375702806306994e+00,  1.090852209425641e+02
s42         ,  3.284012713704346e-01,  3.183963805452596e-01,  6.780753729451884e-01,  1.280564641696983e+02
s43         ,  3.521735822893021e-01,  3.471450087577257e-01,  2.226530071331800e+00,  4.060422593151581e+01
s44         ,  3.330769886831567e-01,  3.491195523704236e-01,  2.827681281760516e-01,  1.027229439507964e+02
s45         ,  3.222694574216643e-01,  3.428073367003662e-01,  5.990997862491692e-01,  1.001150051000196e+02
s46         ,  3.537154217541030e-01,  3.179308714079394e-01,  1.071453948779798e+00,  1.155673938479366e+02
s47         ,  3.064622412169097e-01,  3.185254351966572e-01,  1.630451091331296e+00,  9.624747226965897e+01
s48         ,  2.709027668189650e-01,  2.624655253343037e-01,  4.387699205417716e-01,  2.060415569536493e+02
s49         ,  3.986674224858993e-01,  3.484378203972502e-01,  6.136918129219988e-01,  9.257998676515706e+01
s50         ,  3.630933243380700e-01,  3.220759372699490e-01,  7.291718479101655e-01,  1.217512288728159e+02
s51         ,  3.785261269820064e-01,  3.789238387699270e-01,  1.149487213768831e+00,  3.660291980692317e+01
s52         ,  3.404870415156796e-01,  3.287615906968353e-01,  9.827634797913221e-01,  1.049530504631447e+02
s53         ,  2.464211996641334e-01,  3.265621500235388e-01,  1.852959926440414e+00,  7.879046232082669e+01
s54         ,  4.479825317233843e-01,  3.934873153871451e-01,  1.064592743634006e+00,  2.118851926769727e+01
s55         ,  3.436317929445776e-01,  3.204093516335334e-01,  8.295615511409429e-01,  1.205020742930340e+02
s56         ,  3.917346641556894e-01,  3.859551174693992e-01,  1.499692190774121e+00,  1.616151519479448e+01
s57         ,  3.497750017469617e-01,  3.683157892227107e-01,  1.607519415872946e+00,  3.466524306733423e+01
s58         ,  4.567353100642558e-01,  3.642821292604556e-01,  1.800841507941116e+00,  3.329184653965662e+01
s59         ,  3.347920174849711e-01,  3.400262084634038e-01,  7.827062914649283e-01,  9.749611816329735e+01
s60         ,  2.709373029897972e-01,  2.950781355647931e-01,  6.253463416003124e-01,  1.590062392208206e+02
s61         ,  2.790893938381299e-01,  3.117125802944195e-01,  6.872770116179905e-01,  1.361197147617512e+02
s62         ,  3.360458157463063e-01,  3.480900433252277e-01,  4.021380344331025e-01,  1.000453722304522e+02
s63         ,  4.093736118424267e-01,  3.807089636941522e-01,  8.010599193441950e-01,  4.594592408427103e+01
s64         ,  3.302497794709098e-01,  3.774647549296409e-01,  1.581578662547859e+00,  2.407151234544783e+01
s65         ,  3.637362750415415e-01,  3.693835459022496e-01,  1.118639649525786e+00,  4.957371797030457e+01
s66         ,  3.848471859724885e-01,  3.608393441611162e-01,  7.843461208624037e-01,  7.138076991550867e+01
s67         ,  3.211750777924535e-01,  3.404435359265948e-01,  1.655026355820550e+00,  6.798641519676785e+01
s68         ,  4.095598752010021e-01,  3.843208632471025e-01,  8.703359133605429e-01,  3.912130018431747e+01
s69         ,  3.476279282639844e-01,  3.689787520386243e-01,  1.285465129742791e+00,  4.453697209512089e+01
s70         ,  3.542202710009075e-01,  3.498204536201386e-01,  1.451196937528609e+00,  6.301848934574434e+01
s71         ,  3.324591144603498e-01,  3.242541841182301e-01,  4.099786537631771e-01,  1.296305437012043e+02
s72         ,  3.490784623419291e-01,  3.694972289596146e-01,  1.308141688128212e+00,  4.313422805320913e+01
s73         ,  2.871691931895054e-01,  3.206398085168919e-01,  1.686755049204987e+00,  9.172901358031852e+01
s74         ,  4.049442418517104e-01,  3.893180792189226e-01,  1.424883954773618e+00,  1.443650688640028e+01
