# c0 + a0 * (SBI - NBI) + a1 * (face-area-count * face-area-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0325057260763828; Max AE: 0.121319663823096
# Coefficients
# Task   a0                      a1                      c0
# all , -1.232831048481351e-01, -1.774615148021070e-04,  3.667937350285206e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         5|4|sub; (SBI - NBI); $\left(SBI - NBI\right)$; (SBI - NBI); (newdata$SBI - newdata$NBI); SBI,NBI
# 1;  1; Unitless;                                         34|31|mult; (face-area-count * face-area-max); $\left(face-area-count face-area-max\right)$; (face_sub_area_sub_count .* face_sub_area_sub_max); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.601426070759439e-01, -3.375212643988400e-01,  2.719564150782347e+02
s2          ,  4.250240521814745e-01,  3.616071115006615e-01, -4.497088211125086e-01,  3.416409655908329e+02
s3          ,  2.746380789449931e-01,  2.997268487393981e-01, -3.102117903801258e-01,  5.934287165592986e+02
s4          ,  3.247370215691567e-01,  3.127162958091774e-01, -3.137194677021182e-01,  5.226696579954097e+02
s5          ,  3.450588503436838e-01,  3.333587696971666e-01, -4.905722641740900e-01,  5.292090362005653e+02
s6          ,  3.418868902527870e-01,  3.658276100299498e-01, -3.500794614898473e-01,  2.486455049355774e+02
s7          ,  3.253614410179195e-01,  3.488852890887822e-01, -2.066303902157438e-01,  2.444613529299252e+02
s8          ,  3.920908336338758e-01,  3.346929809524123e-01, -3.390781322479878e-01,  4.164472454106956e+02
s9          ,  3.897447923973993e-01,  3.895186077301019e-01, -4.356200597920927e-01,  1.745714885746613e+02
s10         ,  3.161197563926354e-01,  3.489536267800611e-01, -3.769043926577314e-01,  3.623661844536549e+02
s11         ,  3.431871249187676e-01,  3.094156919299032e-01, -2.408234273757754e-01,  4.906275202415810e+02
s12         ,  2.917324756968375e-01,  2.954849658231540e-01, -1.315068258989337e-01,  4.931848976298222e+02
s13         ,  2.447364458196310e-01,  3.111523487207283e-01, -3.569219880321091e-01,  5.614954729315575e+02
s14         ,  3.105728952400728e-01,  3.123211834308938e-01, -3.745813932599276e-01,  5.671771081707008e+02
s15         ,  3.795908353494076e-01,  3.477293891861551e-01, -2.413400739214120e-01,  2.750878100759685e+02
s16         ,  3.670742293030571e-01,  3.774052262571538e-01, -3.617951416295873e-01,  1.915442747591695e+02
s17         ,  2.954366621683970e-01,  2.967639709009429e-01, -1.980356940443826e-01,  5.321954986434232e+02
s18         ,  3.635454507147386e-01,  3.179981903576776e-01, -2.625884731071820e-01,  4.573851802366324e+02
s19         ,  3.651486704953139e-01,  3.821916411267398e-01, -3.712113554236319e-01,  1.711141843185161e+02
s20         ,  3.399672486499590e-01,  3.043079668076368e-01, -3.169518912951237e-01,  5.722963741208272e+02
s21         ,  3.890225043355258e-01,  3.510013451177570e-01, -1.620537567535806e-01,  2.015697895712136e+02
s22         ,  2.558533901530953e-01,  2.644364529607238e-01, -3.555878269849804e-01,  8.238138482461038e+02
s23         ,  4.117639764254846e-01,  3.981592914263565e-01, -4.888331757341710e-01,  1.628483521718689e+02
s24         ,  3.311791000527954e-01,  3.532171874216790e-01, -4.445087828077657e-01,  3.853059101850771e+02
s25         ,  3.690868050126928e-01,  3.804203897907105e-01, -1.894437170699561e-01,  5.482064594689492e+01
s26         ,  2.979562579207253e-01,  2.366793264094533e-01, -2.948802192223005e-01,  9.380521618375974e+02
s27         ,  3.397813902812787e-01,  3.474687224939439e-01, -3.810206030148732e-01,  3.735932016544010e+02
s28         ,  2.613491376061739e-01,  3.052821550908645e-01, -3.665417423521666e-01,  6.012570337307275e+02
s29         ,  3.947313720925611e-01,  3.939777228446474e-01, -3.074155747655858e-01,  6.038018288978031e+01
s30         ,  2.592589137508671e-01,  3.156259268908140e-01, -3.630604583111255e-01,  5.405511656589900e+02
s31         ,  3.031212395007984e-01,  3.126779737591481e-01, -2.122051460632009e-01,  4.523632666514507e+02
s32         ,  3.857616783620361e-01,  3.477426601012248e-01, -2.767953103343653e-01,  2.996438988589548e+02
s33         ,  4.141193231435004e-01,  3.790251814451189e-01, -2.937997029026026e-01,  1.351791298944184e+02
s34         ,  4.179319881718991e-01,  3.599131761256658e-01, -2.650505466616372e-01,  2.229036153619451e+02
s35         ,  3.612111930609704e-01,  3.796341857817853e-01, -3.000377929644538e-01,  1.360809974044494e+02
s36         ,  3.787074193034875e-01,  3.463859737155032e-01, -4.061544210392594e-01,  3.971550646636163e+02
s37         ,  3.867254135891385e-01,  3.528130883397463e-01, -4.338704537078261e-01,  3.801925358237907e+02
s38         ,  3.446930711358910e-01,  3.707811617651047e-01, -2.313037966893596e-01,  1.382182695205456e+02
s39         ,  2.876898720952064e-01,  3.229137303204161e-01, -4.247175611046983e-02,  2.767701759140670e+02
s40         ,  3.049912944269815e-01,  3.337633821451836e-01, -1.934540368778354e-01,  3.205200139222909e+02
s41         ,  3.032122447573497e-01,  3.093645081962978e-01, -2.083036076709502e-01,  4.683243148783191e+02
s42         ,  3.284012713704346e-01,  3.195012709811793e-01, -3.492181931214536e-01,  5.090972387199362e+02
s43         ,  3.521735822893021e-01,  3.385849528812166e-01, -9.100146158352718e-02,  2.221761992790753e+02
s44         ,  3.330769886831567e-01,  3.251706580743383e-01, -4.097674313812279e-01,  5.192138603305290e+02
s45         ,  3.222694574216643e-01,  3.372434315294323e-01, -3.869397476747008e-01,  4.353250171888099e+02
s46         ,  3.537154217541030e-01,  3.199485638730072e-01, -3.117733362517686e-01,  4.805636656071225e+02
s47         ,  3.064622412169097e-01,  3.291445810948407e-01, -2.637113223309400e-01,  3.953550414155066e+02
s48         ,  2.709027668189650e-01,  2.747410025378363e-01, -3.931448097714856e-01,  7.918384188872830e+02
s49         ,  3.986674224858993e-01,  3.631919680299304e-01, -5.384260757773768e-01,  3.943424321023078e+02
s50         ,  3.630933243380700e-01,  3.235754817124283e-01, -3.265535718319206e-01,  4.703937732294669e+02
s51         ,  3.785261269820064e-01,  3.791793257459232e-01, -3.577705452154786e-01,  1.787512799907370e+02
s52         ,  3.404870415156796e-01,  3.671942772543682e-01, -4.771798407535925e-01,  3.292413579268077e+02
s53         ,  2.464211996641334e-01,  3.307609610420327e-01, -2.315583898393777e-01,  3.639099514705289e+02
s54         ,  4.479825317233843e-01,  3.986598119767781e-01, -3.981172562844882e-01,  9.700725545655393e+01
s55         ,  3.436317929445776e-01,  3.232420215591531e-01, -3.077763967735326e-01,  4.592282633981696e+02
s56         ,  3.917346641556894e-01,  3.879577662696359e-01, -2.632033441607201e-01,  6.358840251090116e+01
s57         ,  3.497750017469617e-01,  3.752498705954129e-01, -3.068628428353581e-01,  1.655281061537924e+02
s58         ,  4.567353100642558e-01,  3.599561412901277e-01, -1.866131557535412e-01,  1.681707891340718e+02
s59         ,  3.347920174849711e-01,  3.254589410079433e-01, -3.110245687204488e-01,  4.489923836463295e+02
s60         ,  2.709373029897972e-01,  2.983280383972476e-01, -3.911328911541866e-01,  6.575272052146565e+02
s61         ,  2.790893938381299e-01,  3.100321785171454e-01, -3.672938925231189e-01,  5.750130561388123e+02
s62         ,  3.360458157463063e-01,  3.501721235651120e-01, -4.248186954388100e-01,  3.887861506849951e+02
s63         ,  4.093736118424267e-01,  3.890819515959678e-01, -4.696256776844189e-01,  2.006558725344251e+02
s64         ,  3.302497794709098e-01,  3.759652288673142e-01, -2.381283706870666e-01,  1.137469781797220e+02
s65         ,  3.637362750415415e-01,  3.671810522603299e-01, -3.593758734327069e-01,  2.474770729950056e+02
