# c0 + a0 * (Na-Na / RBI) + a1 * (face-area-count * cub_root_V)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0325079855627986; Max AE: 0.11437658708883
# Coefficients
# Task   a0                      a1                      c0
# all , -2.740946321784276e-02, -1.031691022478012e-04,  4.569664197842503e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|6|div; (Na-Na / RBI); $\left(\frac{ Na-Na }{ RBI } \right)$; (Na_sub_Na ./ RBI); (newdata$Na_sub_Na / newdata$RBI); Na-Na,RBI
# 1;  1; Unitless;                                         34|21|mult; (face-area-count * cub_root_V); $\left(face-area-count cub_{root, V}\right)$; (face_sub_area_sub_count .* cub_root_V); (newdata$face_sub_area_sub_count * newdata$cub_root_V); face-area-count,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.564463148697359e-01,  1.314769765933942e+00,  6.250221235843956e+02
s2          ,  4.250240521814745e-01,  3.519205653848043e-01,  8.692625822982843e-01,  7.872495917257556e+02
s3          ,  2.746380789449931e-01,  3.022621351436410e-01,  1.059300021965628e+00,  1.218091821231882e+03
s4          ,  3.247370215691567e-01,  3.052545713288394e-01,  8.851163862301976e-01,  1.235362920163830e+03
s5          ,  3.450588503436838e-01,  3.347884102428677e-01,  7.388483774506871e-01,  9.879563735203247e+02
s6          ,  3.418868902527870e-01,  3.580094541433458e-01,  1.384047403378930e+00,  5.914655445937012e+02
s7          ,  3.253614410179195e-01,  3.421256171019373e-01,  1.794357118189776e+00,  6.364157080083094e+02
s8          ,  3.920908336338758e-01,  3.209291478041361e-01,  6.720178069022429e-01,  1.140046991371379e+03
s9          ,  3.897447923973993e-01,  3.868883555957348e-01,  9.429246963325953e-01,  4.287427480075260e+02
s10         ,  3.161197563926354e-01,  3.451680080511678e-01,  5.600648705111529e-01,  9.348470827394132e+02
s11         ,  3.431871249187676e-01,  2.815893526272546e-01,  1.887841530488051e+00,  1.198346612234890e+03
s12         ,  2.917324756968375e-01,  2.814696659681113e-01,  2.270939083572229e+00,  1.097727227120638e+03
s13         ,  2.447364458196310e-01,  3.227860376156954e-01,  6.648318542866319e-01,  1.123957613141939e+03
s14         ,  3.105728952400728e-01,  3.004280656454883e-01,  6.466627607568303e-01,  1.345496587244051e+03
s15         ,  3.795908353494076e-01,  3.403010164524237e-01,  1.386385137183344e+00,  7.624892452731642e+02
s16         ,  3.670742293030571e-01,  3.747305866877692e-01,  1.229992951375324e+00,  4.703189761311260e+02
s17         ,  2.954366621683970e-01,  2.847043207634380e-01,  1.930581274431683e+00,  1.156798886391054e+03
s18         ,  3.635454507147386e-01,  3.183324346229425e-01,  1.482744798076798e+00,  9.498264889579631e+02
s19         ,  3.651486704953139e-01,  3.897273001000117e-01,  1.201589236419262e+00,  3.325046254958592e+02
s20         ,  3.399672486499590e-01,  3.022702336018691e-01,  7.543301756084986e-01,  1.299036223636302e+03
s21         ,  3.890225043355258e-01,  3.549237174968451e-01,  1.817323981852293e+00,  5.062642430140411e+02
s22         ,  2.558533901530953e-01,  2.849698889133477e-01,  5.876895224458697e-01,  1.510997703047604e+03
s23         ,  4.117639764254846e-01,  3.884187991865774e-01,  8.996814347759979e-01,  4.253970854373663e+02
s24         ,  3.311791000527954e-01,  3.357797675404139e-01,  9.080759597591119e-01,  9.333877636592905e+02
s25         ,  3.690868050126928e-01,  3.952570127008211e-01,  1.651457619773584e+00,  1.593872568448127e+02
s26         ,  2.979562579207253e-01,  2.632558009133804e-01,  8.451847830218943e-01,  1.653058463557443e+03
s27         ,  3.397813902812787e-01,  3.427106992351556e-01,  6.909986502756368e-01,  9.238794986491915e+02
s28         ,  2.613491376061739e-01,  2.955416305079743e-01,  8.777521020549286e-01,  1.331465257792770e+03
s29         ,  3.947313720925611e-01,  4.030263093221993e-01,  1.312925530525646e+00,  1.740203804644844e+02
s30         ,  2.592589137508671e-01,  3.163371960744950e-01,  7.344756625901423e-01,  1.167962475452851e+03
s31         ,  3.031212395007984e-01,  3.234181616804056e-01,  1.395922853632783e+00,  9.235978593996317e+02
s32         ,  3.857616783620361e-01,  3.403610421805259e-01,  1.362583887654173e+00,  7.682308261583369e+02
s33         ,  4.141193231435004e-01,  3.838497945897121e-01,  1.328969717358596e+00,  3.556324307334262e+02
s34         ,  4.179319881718991e-01,  3.626304551646627e-01,  1.024862761809113e+00,  6.421014141165100e+02
s35         ,  3.612111930609704e-01,  3.822360529076615e-01,  1.379659794884977e+00,  3.578070533839435e+02
s36         ,  3.787074193034875e-01,  3.282967008624202e-01,  1.289060514150570e+00,  9.047016998312192e+02
s37         ,  3.867254135891385e-01,  3.432678074778691e-01,  1.020610807973509e+00,  8.309097979703089e+02
s38         ,  3.446930711358910e-01,  3.797643429465224e-01,  1.368564201109620e+00,  3.847127273708866e+02
s39         ,  2.876898720952064e-01,  3.272225992216448e-01,  2.624245024179411e+00,  5.603874787907765e+02
s40         ,  3.049912944269815e-01,  3.363019391122778e-01,  1.369817901076099e+00,  8.056531023953555e+02
s41         ,  3.032122447573497e-01,  3.135653607845998e-01,  1.375702806306994e+00,  1.024471292554535e+03
s42         ,  3.284012713704346e-01,  3.157325929957144e-01,  6.780753729451884e-01,  1.188806940476054e+03
