# c0 + a0 * (Na-Na-avg / RBI) + a1 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0325173119646547; Max AE: 0.116867959593563
# Coefficients
# Task   a0                      a1                      c0
# all , -2.020472464317415e-02, -7.770459527459063e-04,  4.349300829290962e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         24|6|div; (Na-Na-avg / RBI); $\left(\frac{ Na-Na-avg }{ RBI } \right)$; (Na_sub_Na_sub_avg ./ RBI); (newdata$Na_sub_Na_sub_avg / newdata$RBI); Na-Na-avg,RBI
# 1;  1; Unitless;                                         34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.523506776833488e-01,  1.683854519935631e+00,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.498382490243789e-01,  1.045761492120120e+00,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  3.026102183268888e-01,  1.412522693754171e+00,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  3.043495064570999e-01,  1.086450962879839e+00,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.308567886756439e-01,  8.811977044480909e-01,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.562635442879395e-01,  1.623174146271642e+00,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.463692484785938e-01,  2.221417854345111e+00,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.173222877398419e-01,  8.980517947904977e-01,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.837885988701691e-01,  1.104004549994113e+00,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.506082143782906e-01,  6.781819749119276e-01,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.805471030041554e-01,  2.488702541699432e+00,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.856430432384603e-01,  2.826170537262332e+00,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.203129889539719e-01,  8.417844649611165e-01,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  2.935008589748565e-01,  8.375836960806831e-01,  1.602300038618577e+02
s15         ,  3.795908353494076e-01,  3.448609677254723e-01,  1.753349100553005e+00,  7.032168333223625e+01
s16         ,  3.670742293030571e-01,  3.729592977031556e-01,  1.473186641540195e+00,  4.144601058896406e+01
s17         ,  2.954366621683970e-01,  2.933417351207210e-01,  2.415532598837920e+00,  1.194050061703162e+02
s18         ,  3.635454507147386e-01,  3.226217495118526e-01,  1.940850445689881e+00,  9.406648902835148e+01
s19         ,  3.651486704953139e-01,  3.846033488935059e-01,  1.422297689326828e+00,  2.778420090321054e+01
s20         ,  3.399672486499590e-01,  2.978115829983009e-01,  9.619175553202081e-01,  1.514494994539887e+02
s21         ,  3.890225043355258e-01,  3.552994235554934e-01,  2.163910401384928e+00,  4.621276957202334e+01
s22         ,  2.558533901530953e-01,  2.717334533417213e-01,  6.908456342622694e-01,  1.920585047110691e+02
s23         ,  4.117639764254846e-01,  3.838398504392833e-01,  1.060219010801762e+00,  3.818152479948186e+01
s24         ,  3.311791000527954e-01,  3.385836472458703e-01,  1.088107671899744e+00,  9.569771199192195e+01
s25         ,  3.690868050126928e-01,  3.854764681640291e-01,  1.967261121005124e+00,  1.249043956749137e+01
s26         ,  2.979562579207253e-01,  2.597982787720087e-01,  1.169958176236179e+00,  1.949603119697909e+02
s27         ,  3.397813902812787e-01,  3.472164811865333e-01,  8.546043589397797e-01,  9.065944651328017e+01
s28         ,  2.613491376061739e-01,  2.950751392181051e-01,  1.164811930961061e+00,  1.496954446179009e+02
s29         ,  3.947313720925611e-01,  3.935108317684152e-01,  1.526073815003217e+00,  1.362255334575322e+01
s30         ,  2.592589137508671e-01,  3.201253284588041e-01,  9.030296299818023e-01,  1.242645806347276e+02
s31         ,  3.031212395007984e-01,  3.296131115004700e-01,  1.747609964631897e+00,  9.009376223141300e+01
s32         ,  3.857616783620361e-01,  3.441095696257522e-01,  1.671864881680571e+00,  7.340742658374994e+01
s33         ,  4.141193231435004e-01,  3.812563302679738e-01,  1.553626960317136e+00,  2.867674382828888e+01
