# c0 + a0 * (poly_dist_avg - SBI) + a1 * (pockets-per-ion + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0325247192274863; Max AE: 0.116168148126411
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.310946936522941e-01, -2.637286265656210e-03,  4.252027698128178e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; Unitless;                                         35|34|add; (pockets-per-ion + face-area-count); $\left(pockets-per-ion + face-area-count\right)$; (pockets_sub_per_sub_ion + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_ion + newdata$face_sub_area_sub_count); pockets-per-ion,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.540873565548057e-01,  6.417673197130047e-02,  3.015548342667565e+01
s2          ,  4.250240521814745e-01,  3.687056046230214e-01,  1.762139112243052e-01,  3.018173451080168e+01
s3          ,  2.746380789449931e-01,  3.020099621217101e-01, -9.363884935216206e-02,  4.205734237717812e+01
s4          ,  3.247370215691567e-01,  2.984569380149824e-01,  1.920029984140204e-02,  4.901359814703810e+01
s5          ,  3.450588503436838e-01,  3.481453134160897e-01,  1.600279415129083e-01,  3.717316229255707e+01
s6          ,  3.418868902527870e-01,  3.609735931595989e-01,  5.454548565305867e-02,  2.706562473500064e+01
s7          ,  3.253614410179195e-01,  3.499079703452834e-01, -3.783601111138252e-02,  2.666934572017806e+01
s8          ,  3.920908336338758e-01,  3.105180467387905e-01,  1.467242940128557e-02,  4.421522313676834e+01
s9          ,  3.897447923973993e-01,  3.957107311265518e-01,  1.292047585025767e-01,  1.760525488840978e+01
s10         ,  3.161197563926354e-01,  3.426752401098511e-01, -1.646476650975018e-03,  3.121075115079354e+01
s11         ,  3.431871249187676e-01,  2.780428102898402e-01, -1.733606170862432e-01,  4.718232683160100e+01
s12         ,  2.917324756968375e-01,  2.845570663705255e-01, -2.275982036434495e-01,  4.201621496416141e+01
s13         ,  2.447364458196310e-01,  3.018074925741444e-01,  5.375670547540484e-03,  4.705594562803379e+01
s14         ,  3.105728952400728e-01,  3.013528542487877e-01, -1.435766620032257e-02,  4.624742611382347e+01
s15         ,  3.795908353494076e-01,  3.306596793150944e-01, -1.921777951832675e-01,  2.629581862784396e+01
