# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0306809682211147; Max AE: 0.108871482103654
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.448027218274358e-01,  1.227973914597131e-01, -3.233443096029729e-03,  4.471147855542194e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.596638237085912e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.948302917134020e+01
s2          ,  4.250240521814745e-01,  3.606007524026995e-01,  0.000000000000000e+00,  1.762139112243052e-01,  3.344813518492911e+01
s3          ,  2.746380789449931e-01,  2.907387912375891e-01,  0.000000000000000e+00, -9.027419476714434e-02,  4.493369896055938e+01
s4          ,  3.247370215691567e-01,  2.973667674843598e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.704142311717047e+01
s5          ,  3.450588503436838e-01,  3.433021500711606e-01,  0.000000000000000e+00,  1.983272356832427e-01,  3.963784080126527e+01
s6          ,  3.418868902527870e-01,  3.629716652632886e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.809425152914287e+01
s7          ,  3.253614410179195e-01,  3.485801970474344e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.903667151413612e+01
s8          ,  3.920908336338758e-01,  3.837230239339181e-01,  1.822916666666667e-01,  1.467242940128557e-02,  4.523887473280715e+01
s9          ,  3.897447923973993e-01,  3.951646394853129e-01,  0.000000000000000e+00,  1.292047585025767e-01,  2.097335606755381e+01
s10         ,  3.161197563926354e-01,  3.558165499600069e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.515871082245503e+01
s11         ,  3.431871249187676e-01,  2.789624633844534e-01,  0.000000000000000e+00, -1.724462936149827e-01,  4.545506532260281e+01
s12         ,  2.917324756968375e-01,  2.861704960131285e-01,  0.000000000000000e+00, -1.409712193009257e-01,  4.442119043826879e+01
s13         ,  2.447364458196310e-01,  3.040289370133109e-01,  0.000000000000000e+00,  5.375670547540484e-03,  4.445600636609184e+01
s14         ,  3.105728952400728e-01,  3.316830804222471e-01,  9.989258861439311e-02, -1.317028649891022e-02,  4.894068610810166e+01
s15         ,  3.795908353494076e-01,  3.431461452315042e-01,  3.961632479540865e-02, -1.921777951832675e-01,  3.030551476098331e+01
s16         ,  3.670742293030571e-01,  3.785644336947058e-01,  0.000000000000000e+00,  5.277935271314915e-02,  2.320483659902656e+01
s17         ,  2.954366621683970e-01,  2.854649085180305e-01,  0.000000000000000e+00, -1.857006927403524e-01,  4.294070198603407e+01
s18         ,  3.635454507147386e-01,  3.094480546570242e-01,  0.000000000000000e+00, -8.429535440795718e-02,  3.937458538239123e+01
s19         ,  3.651486704953139e-01,  3.875802190390781e-01,  0.000000000000000e+00, -1.342198368609421e-02,  1.790239698399253e+01
s20         ,  3.399672486499590e-01,  2.896912858383274e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.927163393006073e+01
s21         ,  3.890225043355258e-01,  3.478301499785018e-01,  0.000000000000000e+00, -1.919254219138963e-01,  2.341673942023508e+01
s22         ,  2.558533901530953e-01,  2.752485183803144e-01,  0.000000000000000e+00,  1.612057280721170e-02,  5.376492682890517e+01
s23         ,  4.117639764254846e-01,  3.901067529444125e-01,  0.000000000000000e+00,  9.352393369827960e-02,  2.118253690349684e+01
s24         ,  3.311791000527954e-01,  3.332875875084563e-01,  0.000000000000000e+00,  6.687921798360624e-02,  3.774298416040331e+01
s25         ,  3.690868050126928e-01,  4.040382212431049e-01,  0.000000000000000e+00, -8.905669092553886e-02,  9.940065131465964e+00
s26         ,  2.979562579207253e-01,  2.659663821973176e-01,  0.000000000000000e+00, -3.523633035661504e-02,  5.468519737415880e+01
s27         ,  3.397813902812787e-01,  3.312551228462422e-01,  0.000000000000000e+00,  1.691170850964692e-02,  3.647392976944617e+01
s28         ,  2.613491376061739e-01,  2.867194700405449e-01,  0.000000000000000e+00, -4.265692276589221e-02,  4.798512052395121e+01
s29         ,  3.947313720925611e-01,  4.123547046855283e-01,  0.000000000000000e+00, -7.845193593381650e-03,  1.045223637967390e+01
s30         ,  2.592589137508671e-01,  3.022101817525888e-01,  0.000000000000000e+00, -1.619826925130835e-02,  4.419916922827267e+01
s31         ,  3.031212395007984e-01,  3.181130474600526e-01,  0.000000000000000e+00, -1.207052165515109e-01,  3.531203394494859e+01
s32         ,  3.857616783620361e-01,  3.238339396148059e-01,  0.000000000000000e+00, -1.792878633159145e-01,  3.131793601940123e+01
s33         ,  4.141193231435004e-01,  3.772753178917804e-01,  0.000000000000000e+00, -9.568277274339740e-02,  1.796533015634156e+01
s34         ,  4.179319881718991e-01,  3.634132612674439e-01,  1.962809917355372e-02, -5.765245815444058e-02,  2.639681052549463e+01
s35         ,  3.612111930609704e-01,  3.875638307925252e-01,  0.000000000000000e+00,  5.677885583507125e-04,  1.843875891577224e+01
s36         ,  3.787074193034875e-01,  3.423625356117842e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.858443850474664e+01
s37         ,  3.867254135891385e-01,  3.482601757305309e-01,  0.000000000000000e+00,  1.583645380015084e-01,  3.658680807936774e+01
s38         ,  3.446930711358910e-01,  3.714854820838350e-01,  0.000000000000000e+00, -1.419888531000411e-01,  1.799736100653737e+01
s39         ,  2.876898720952064e-01,  3.266224318067745e-01,  0.000000000000000e+00, -2.723013418260190e-01,  2.692314560510506e+01
s40         ,  3.049912944269815e-01,  3.377247834256243e-01,  7.384563150746943e-03, -9.260031202555204e-02,  3.132994648238870e+01
s41         ,  3.032122447573497e-01,  3.059437309193777e-01,  0.000000000000000e+00, -9.025294777910879e-02,  4.023210683241956e+01
s42         ,  3.284012713704346e-01,  3.047188285760771e-01,  0.000000000000000e+00,  4.224146301611585e-02,  4.564270780864435e+01
s43         ,  3.521735822893021e-01,  3.502398528207218e-01,  0.000000000000000e+00, -1.515331048154459e-01,  2.420548635554215e+01
s44         ,  3.330769886831567e-01,  3.426728039846900e-01,  2.637119113573407e-02,  3.573119977985214e-02,  3.728522621575114e+01
s45         ,  3.222694574216643e-01,  3.228599187198111e-01,  0.000000000000000e+00, -1.454166799769833e-02,  3.787578265632533e+01
s46         ,  3.537154217541030e-01,  3.661590259518797e-01,  1.367166474432911e-01, -2.259393293949527e-02,  4.298613470177303e+01
s47         ,  3.064622412169097e-01,  3.295248376563442e-01,  4.966974241156713e-02, -1.818849580632207e-01,  3.629202142545026e+01
s48         ,  2.709027668189650e-01,  3.014069779598393e-01,  7.742878013148284e-02,  5.549921803268201e-04,  5.573516712199147e+01
s49         ,  3.986674224858993e-01,  3.511189278700615e-01,  0.000000000000000e+00,  1.614930442366636e-01,  3.582150012088641e+01
s50         ,  3.630933243380700e-01,  3.608800813437770e-01,  1.140992751502213e-01,  2.557466259082548e-02,  4.333673735637178e+01
s51         ,  3.785261269820064e-01,  3.865562452184810e-01,  0.000000000000000e+00,  6.292220179653368e-02,  2.111842409260280e+01
s52         ,  3.404870415156796e-01,  3.421369894366283e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.738185140797313e+01
s53         ,  2.464211996641334e-01,  3.277995742390990e-01,  0.000000000000000e+00, -3.543787261125286e-02,  3.555452487805896e+01
s54         ,  4.479825317233843e-01,  4.042519458939046e-01,  0.000000000000000e+00,  3.240651398480088e-02,  1.448680977298400e+01
s55         ,  3.436317929445776e-01,  3.107763311610481e-01,  0.000000000000000e+00,  1.037224488311621e-02,  4.255901060308442e+01
s56         ,  3.917346641556894e-01,  4.027380639484825e-01,  0.000000000000000e+00, -5.572711894520566e-02,  1.160792865406758e+01
s57         ,  3.497750017469617e-01,  3.771434602240384e-01,  0.000000000000000e+00, -1.096863046908764e-02,  2.122332265718665e+01
s58         ,  4.567353100642558e-01,  3.708236923017274e-01,  0.000000000000000e+00, -8.132544466581365e-02,  2.050586288951324e+01
s59         ,  3.347920174849711e-01,  3.248532936738122e-01,  0.000000000000000e+00, -2.302372611462891e-03,  3.772411108125770e+01
s60         ,  2.709373029897972e-01,  2.892011455631216e-01,  0.000000000000000e+00, -6.271095263825216e-03,  4.859945302394767e+01
s61         ,  2.790893938381299e-01,  2.974960746577106e-01,  0.000000000000000e+00,  1.411277091648948e-02,  4.680822202721414e+01
s62         ,  3.360458157463063e-01,  3.282349440993261e-01,  0.000000000000000e+00,  2.031579391632099e-02,  3.753725188554692e+01
s63         ,  4.093736118424267e-01,  3.891146078926138e-01,  0.000000000000000e+00,  1.617517296053618e-01,  2.408048195338492e+01
s64         ,  3.302497794709098e-01,  3.841517102405468e-01,  0.000000000000000e+00, -9.804473453489643e-02,  1.574898216979758e+01
s65         ,  3.637362750415415e-01,  3.578974536226278e-01,  0.000000000000000e+00, -3.719311306161904e-02,  2.617955911186393e+01
s66         ,  3.848471859724885e-01,  3.605601928442339e-01,  0.000000000000000e+00,  1.078330413574009e-01,  3.086375913786118e+01
s67         ,  3.211750777924535e-01,  3.355546097637052e-01,  0.000000000000000e+00, -1.988369118045880e-02,  3.374684728948764e+01
s68         ,  4.095598752010021e-01,  3.904952751980599e-01,  0.000000000000000e+00,  9.131628620930743e-02,  2.097853900188980e+01
s69         ,  3.476279282639844e-01,  3.697675390226992e-01,  0.000000000000000e+00, -8.820696908593106e-03,  2.358603064761868e+01
s70         ,  3.542202710009075e-01,  3.513091599423945e-01,  0.000000000000000e+00,  1.424079259842320e-02,  3.017042666222111e+01
s71         ,  3.324591144603498e-01,  3.097101130105965e-01,  0.000000000000000e+00,  6.754938472415900e-02,  4.506019016118127e+01
s72         ,  3.490784623419291e-01,  3.732402270676747e-01,  0.000000000000000e+00,  2.275633506458724e-02,  2.371124983328122e+01
s73         ,  2.871691931895054e-01,  3.071266973808182e-01,  0.000000000000000e+00, -1.756592006992091e-01,  3.662275568945142e+01
s74         ,  4.049442418517104e-01,  4.083400363545722e-01,  0.000000000000000e+00, -2.492008469316470e-02,  1.104538621639102e+01
s75         ,  3.439829269029567e-01,  3.307631350444911e-01,  0.000000000000000e+00, -1.795533436956769e-01,  2.916487641048094e+01
s76         ,  3.071028154909760e-01,  3.077841720397640e-01,  0.000000000000000e+00,  1.842545880608908e-02,  4.379022843053914e+01
s77         ,  2.780468433194506e-01,  3.008883992313158e-01,  0.000000000000000e+00, -3.037842026807180e-03,  4.510775137049264e+01
s78         ,  2.669617651637353e-01,  2.962982719402609e-01,  0.000000000000000e+00,  2.747967858061907e-02,  4.768630276844440e+01
s79         ,  3.541307689639985e-01,  3.729533415851625e-01,  0.000000000000000e+00,  7.832634511504244e-02,  2.591037242456147e+01
s80         ,  3.629523222745701e-01,  3.376101878649722e-01,  0.000000000000000e+00, -2.865350118939010e-02,  3.277806948795237e+01
s81         ,  2.554152131748840e-01,  3.057243011466317e-01,  0.000000000000000e+00, -3.845866992930501e-02,  4.226697548166854e+01
