# c0 + a0 * (poly_dist_avg - SBI) + a1 * (Ge * S) + a2 * (face-area-count * cub_root_V)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0307766713513219; Max AE: 0.116878463136545
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.248997479488366e-01,  4.292434607000303e-01, -9.324542859748283e-05,  4.153675482161026e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         34|21|mult; (face-area-count * cub_root_V); $\left(face-area-count cub_{root, V}\right)$; (face_sub_area_sub_count .* cub_root_V); (newdata$face_sub_area_sub_count * newdata$cub_root_V); face-area-count,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.651027500669622e-01,  6.417673197130047e-02,  0.000000000000000e+00,  6.250221235843956e+02
s2          ,  4.250240521814745e-01,  3.639691957194355e-01,  1.762139112243052e-01,  0.000000000000000e+00,  7.872495917257556e+02
s3          ,  2.746380789449931e-01,  2.900905855919432e-01, -9.363884935216206e-02,  0.000000000000000e+00,  1.218091821231882e+03
s4          ,  3.247370215691567e-01,  3.025737158627215e-01,  1.920029984140204e-02,  0.000000000000000e+00,  1.235362920163830e+03
s5          ,  3.450588503436838e-01,  3.432325822913185e-01,  1.600279415129083e-01,  0.000000000000000e+00,  9.879563735203247e+02
s6          ,  3.418868902527870e-01,  3.670288074196333e-01,  5.454548565305867e-02,  0.000000000000000e+00,  5.914655445937012e+02
s7          ,  3.253614410179195e-01,  3.512989845054962e-01, -3.783601111138252e-02,  0.000000000000000e+00,  6.364157080083094e+02
s8          ,  3.920908336338758e-01,  3.891434664752016e-01,  1.467242940128557e-02,  1.822916666666667e-01,  1.140046991371379e+03
s9          ,  3.897447923973993e-01,  3.915268886908404e-01,  1.292047585025767e-01,  0.000000000000000e+00,  4.287427480075260e+02
s10         ,  3.161197563926354e-01,  3.497892062829225e-01, -1.646476650975018e-03,  5.078125000000000e-02,  9.348470827394132e+02
s11         ,  3.431871249187676e-01,  2.819745073715922e-01, -1.733606170862432e-01,  0.000000000000000e+00,  1.198346612234890e+03
