# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (face-area-count * cub_root_V)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0307818565685564; Max AE: 0.112196229061077
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.438069459216660e-01,  1.236552069206082e-01, -9.717840692908896e-05,  4.187702440720185e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         34|21|mult; (face-area-count * cub_root_V); $\left(face-area-count cub_{root, V}\right)$; (face_sub_area_sub_count .* cub_root_V); (newdata$face_sub_area_sub_count * newdata$cub_root_V); face-area-count,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.659673768780504e-01,  0.000000000000000e+00,  6.417673197130047e-02,  6.250221235843956e+02
s2          ,  4.250240521814745e-01,  3.640563505472650e-01,  0.000000000000000e+00,  1.762139112243052e-01,  7.872495917257556e+02
s3          ,  2.746380789449931e-01,  2.892351471578291e-01,  0.000000000000000e+00, -9.027419476714434e-02,  1.218091821231882e+03
s4          ,  3.247370215691567e-01,  3.010938605610565e-01,  0.000000000000000e+00,  1.920029984140204e-02,  1.235362920163830e+03
s5          ,  3.450588503436838e-01,  3.472864129442770e-01,  0.000000000000000e+00,  1.983272356832427e-01,  9.879563735203247e+02
s6          ,  3.418868902527870e-01,  3.680373980099706e-01,  0.000000000000000e+00,  5.454548565305867e-02,  5.914655445937012e+02
s7          ,  3.253614410179195e-01,  3.522457596400944e-01,  0.000000000000000e+00, -3.783601111138252e-02,  6.364157080083094e+02
s8          ,  3.920908336338758e-01,  3.906989237701948e-01,  1.822916666666667e-01,  1.467242940128557e-02,  1.140046991371379e+03
s9          ,  3.897447923973993e-01,  3.930825479860106e-01,  0.000000000000000e+00,  1.292047585025767e-01,  4.287427480075260e+02
s10         ,  3.161197563926354e-01,  3.502567699107145e-01,  5.078125000000000e-02, -1.646476650975018e-03,  9.348470827394132e+02
s11         ,  3.431871249187676e-01,  2.809929472265086e-01,  0.000000000000000e+00, -1.724462936149827e-01,  1.198346612234890e+03
s12         ,  2.917324756968375e-01,  2.946630356052422e-01,  0.000000000000000e+00, -1.409712193009257e-01,  1.097727227120638e+03
s13         ,  2.447364458196310e-01,  3.102105634249567e-01,  0.000000000000000e+00,  5.375670547540484e-03,  1.123957613141939e+03
s14         ,  3.105728952400728e-01,  3.307214793660525e-01,  9.989258861439311e-02, -1.317028649891022e-02,  1.345496587244051e+03
s15         ,  3.795908353494076e-01,  3.384909690029669e-01,  3.961632479540865e-02, -1.921777951832675e-01,  7.624892452731642e+02
s16         ,  3.670742293030571e-01,  3.795918370039557e-01,  0.000000000000000e+00,  5.277935271314915e-02,  4.703189761311260e+02
s17         ,  2.954366621683970e-01,  2.833915135690832e-01,  0.000000000000000e+00, -1.857006927403524e-01,  1.156798886391054e+03
s18         ,  3.635454507147386e-01,  3.160440595242718e-01,  0.000000000000000e+00, -8.429535440795718e-02,  9.498264889579631e+02
s19         ,  3.651486704953139e-01,  3.847982760997886e-01,  0.000000000000000e+00, -1.342198368609421e-02,  3.325046254958592e+02
s20         ,  3.399672486499590e-01,  2.944387255992776e-01,  0.000000000000000e+00,  1.541991098392556e-02,  1.299036223636302e+03
s21         ,  3.890225043355258e-01,  3.458397136906650e-01,  0.000000000000000e+00, -1.919254219138963e-01,  5.062642430140411e+02
s22         ,  2.558533901530953e-01,  2.739272871824943e-01,  0.000000000000000e+00,  1.612057280721170e-02,  1.510997703047604e+03
s23         ,  4.117639764254846e-01,  3.889955543704277e-01,  0.000000000000000e+00,  9.352393369827960e-02,  4.253970854373663e+02
s24         ,  3.311791000527954e-01,  3.363350716909549e-01,  0.000000000000000e+00,  6.687921798360624e-02,  9.333877636592905e+02
s25         ,  3.690868050126928e-01,  3.922689208229799e-01,  0.000000000000000e+00, -8.905669092553886e-02,  1.593872568448127e+02
s26         ,  2.979562579207253e-01,  2.537715003014887e-01,  0.000000000000000e+00, -3.523633035661504e-02,  1.653058463557443e+03
s27         ,  3.397813902812787e-01,  3.310803270139861e-01,  0.000000000000000e+00,  1.691170850964692e-02,  9.238794986491915e+02
s28         ,  2.613491376061739e-01,  2.841058208270756e-01,  0.000000000000000e+00, -4.265692276589221e-02,  1.331465257792770e+03
s29         ,  3.947313720925611e-01,  4.008891216881641e-01,  0.000000000000000e+00, -7.845193593381650e-03,  1.740203804644844e+02
s30         ,  2.592589137508671e-01,  3.032665110185290e-01,  0.000000000000000e+00, -1.619826925130835e-02,  1.167962475452851e+03
s31         ,  3.031212395007984e-01,  3.140906469233717e-01,  0.000000000000000e+00, -1.207052165515109e-01,  9.235978593996317e+02
s32         ,  3.857616783620361e-01,  3.219449183954504e-01,  0.000000000000000e+00, -1.792878633159145e-01,  7.682308261583369e+02
s33         ,  4.141193231435004e-01,  3.723787779387022e-01,  0.000000000000000e+00, -9.568277274339740e-02,  3.556324307334262e+02
s34         ,  4.179319881718991e-01,  3.579539116671542e-01,  1.962809917355372e-02, -5.765245815444058e-02,  6.421014141165100e+02
s35         ,  3.612111930609704e-01,  3.840693346478454e-01,  0.000000000000000e+00,  5.677885583507125e-04,  3.578070533839435e+02
s36         ,  3.787074193034875e-01,  3.510008810521272e-01,  0.000000000000000e+00,  1.629377962925679e-01,  9.047016998312192e+02
s37         ,  3.867254135891385e-01,  3.576063533189558e-01,  0.000000000000000e+00,  1.583645380015084e-01,  8.309097979703089e+02
s38         ,  3.446930711358910e-01,  3.638268130902654e-01,  0.000000000000000e+00, -1.419888531000411e-01,  3.847127273708866e+02
s39         ,  2.876898720952064e-01,  3.306412028518665e-01,  0.000000000000000e+00, -2.723013418260190e-01,  5.603874787907765e+02
s40         ,  3.049912944269815e-01,  3.323049687182258e-01,  7.384563150746943e-03, -9.260031202555204e-02,  8.056531023953555e+02
s41         ,  3.032122447573497e-01,  3.080535089841636e-01,  0.000000000000000e+00, -9.025294777910879e-02,  1.024471292554535e+03
s42         ,  3.284012713704346e-01,  3.084672563001983e-01,  0.000000000000000e+00,  4.224146301611585e-02,  1.188806940476054e+03
s43         ,  3.521735822893021e-01,  3.524374133517839e-01,  0.000000000000000e+00, -1.515331048154459e-01,  4.897690216684504e+02
s44         ,  3.330769886831567e-01,  3.360370184534531e-01,  2.637119113573407e-02,  3.573119977985214e-02,  1.017255740683893e+03
s45         ,  3.222694574216643e-01,  3.181778942191917e-01,  0.000000000000000e+00, -1.454166799769833e-02,  1.016627047196716e+03
s46         ,  3.537154217541030e-01,  3.728394683654020e-01,  1.367166474432911e-01, -2.259393293949527e-02,  1.068269374780357e+03
s47         ,  3.064622412169097e-01,  3.293610394948392e-01,  4.966974241156713e-02, -1.818849580632207e-01,  9.154498612169530e+02
s48         ,  2.709027668189650e-01,  3.007258673440045e-01,  7.742878013148284e-02,  5.549921803268201e-04,  1.569036164060265e+03
s49         ,  3.986674224858993e-01,  3.545814962757433e-01,  0.000000000000000e+00,  1.614930442366636e-01,  8.660175264964882e+02
s50         ,  3.630933243380700e-01,  3.592615091995621e-01,  1.140992751502213e-01,  2.557466259082548e-02,  1.165991802952963e+03
s51         ,  3.785261269820064e-01,  3.831798888028445e-01,  0.000000000000000e+00,  6.292220179653368e-02,  4.463029856403435e+02
s52         ,  3.404870415156796e-01,  3.513954663816696e-01,  0.000000000000000e+00,  1.294351048128195e-01,  8.580105909701846e+02
s53         ,  2.464211996641334e-01,  3.354867756550641e-01,  0.000000000000000e+00, -3.543787261125286e-02,  8.119230746801409e+02
s54         ,  4.479825317233843e-01,  3.972781164030393e-01,  0.000000000000000e+00,  3.240651398480088e-02,  2.623974056289298e+02
s55         ,  3.436317929445776e-01,  3.085468353149089e-01,  0.000000000000000e+00,  1.037224488311621e-02,  1.147435879718922e+03
s56         ,  3.917346641556894e-01,  3.925330776063835e-01,  0.000000000000000e+00, -5.572711894520566e-02,  1.990793907075800e+02
s57         ,  3.497750017469617e-01,  3.785820322770736e-01,  0.000000000000000e+00, -1.096863046908764e-02,  3.995937446575948e+02
s58         ,  4.567353100642558e-01,  3.700196340610691e-01,  0.000000000000000e+00, -8.132544466581365e-02,  3.981779136503331e+02
s59         ,  3.347920174849711e-01,  3.247769092849197e-01,  0.000000000000000e+00, -2.302372611462891e-03,  9.642948200807529e+02
s60         ,  2.709373029897972e-01,  2.886760368771918e-01,  0.000000000000000e+00, -6.271095263825216e-03,  1.330735476109661e+03
s61         ,  2.790893938381299e-01,  2.970877444031829e-01,  0.000000000000000e+00,  1.411277091648948e-02,  1.270113610390859e+03
s62         ,  3.360458157463063e-01,  3.227809766686595e-01,  0.000000000000000e+00,  2.031579391632099e-02,  1.013614281367203e+03
s63         ,  4.093736118424267e-01,  3.883820035258062e-01,  0.000000000000000e+00,  1.617517296053618e-01,  5.185275796617964e+02
s64         ,  3.302497794709098e-01,  3.766060654429001e-01,  0.000000000000000e+00, -9.804473453489643e-02,  3.091266634433535e+02
s65         ,  3.637362750415415e-01,  3.587667656517692e-01,  0.000000000000000e+00, -3.719311306161904e-02,  5.701303209160625e+02
s66         ,  3.848471859724885e-01,  3.619606628556138e-01,  0.000000000000000e+00,  1.078330413574009e-01,  7.218033354829172e+02
s67         ,  3.211750777924535e-01,  3.485017799803309e-01,  0.000000000000000e+00, -1.988369118045880e-02,  6.977861058568617e+02
s68         ,  4.095598752010021e-01,  3.860370281764158e-01,  0.000000000000000e+00,  9.131628620930743e-02,  4.530322275622507e+02
s69         ,  3.476279282639844e-01,  3.714201445019375e-01,  0.000000000000000e+00, -8.820696908593106e-03,  4.760252398706267e+02
s70         ,  3.542202710009075e-01,  3.544452406445072e-01,  0.000000000000000e+00,  1.424079259842320e-02,  6.800476944554737e+02
s71         ,  3.324591144603498e-01,  3.107820657361570e-01,  0.000000000000000e+00,  6.754938472415900e-02,  1.197189943298629e+03
s72         ,  3.490784623419291e-01,  3.730521160281517e-01,  0.000000000000000e+00,  2.275633506458724e-02,  4.994120494324102e+02
s73         ,  2.871691931895054e-01,  3.099695598258310e-01,  0.000000000000000e+00, -1.756592006992091e-01,  8.960787914516864e+02
s74         ,  4.049442418517104e-01,  3.976229340923951e-01,  0.000000000000000e+00, -2.492008469316470e-02,  1.859035594563067e+02
s75         ,  3.439829269029567e-01,  3.329162989364702e-01,  0.000000000000000e+00, -1.795533436956769e-01,  6.549936480644154e+02
s76         ,  3.071028154909760e-01,  3.053403647245666e-01,  0.000000000000000e+00,  1.842545880608908e-02,  1.190678947362846e+03
s77         ,  2.780468433194506e-01,  2.985218597368833e-01,  0.000000000000000e+00, -3.037842026807180e-03,  1.233532665730869e+03
s78         ,  2.669617651637353e-01,  2.994274944262840e-01,  0.000000000000000e+00,  2.747967858061907e-02,  1.263045555750844e+03
s79         ,  3.541307689639985e-01,  3.752947043684183e-01,  0.000000000000000e+00,  7.832634511504244e-02,  5.470453961539763e+02
s80         ,  3.629523222745701e-01,  3.401808671640424e-01,  0.000000000000000e+00, -2.865350118939010e-02,  7.722520327397770e+02
s81         ,  2.554152131748840e-01,  3.049635995048319e-01,  0.000000000000000e+00, -3.845866992930501e-02,  1.122173466568160e+03
s82         ,  3.259366268272620e-01,  3.115471488825391e-01,  0.000000000000000e+00,  1.820306433793015e-02,  1.126525967406098e+03
s83         ,  2.722850822770267e-01,  2.928090519121287e-01,  0.000000000000000e+00,  1.857893074638033e-02,  1.319825851634791e+03
s84         ,  3.998438077165619e-01,  3.345456740459435e-01,  2.319177212916512e-02,  5.347882866070613e-02,  1.040665086050824e+03
s85         ,  3.012322773461942e-01,  3.053350485058202e-01,  0.000000000000000e+00, -8.310080002996516e-02,  1.061545997749276e+03
s86         ,  3.200453803456573e-01,  3.148641342824573e-01,  0.000000000000000e+00, -1.867348931828320e-01,  8.316185713222420e+02
s87         ,  3.352140969143458e-01,  3.176002488810471e-01,  0.000000000000000e+00, -1.519201262087351e-02,  1.021743686323750e+03
s88         ,  3.302506455484479e-01,  3.181007533228630e-01,  4.349110043222637e-03,  1.334564701862967e-03,  1.057484734692765e+03
s89         ,  3.471406078486814e-01,  3.621730895706949e-01,  0.000000000000000e+00,  1.317220184251488e-01,  7.500150522005349e+02
s90         ,  3.483351733862548e-01,  3.254153893598387e-01,  0.000000000000000e+00,  3.817497618747001e-03,  9.655118985291696e+02
s91         ,  3.564650130752042e-01,  3.964226183701029e-01,  0.000000000000000e+00,  4.800421880404987e-02,  2.910481680547727e+02
s92         ,  2.923433543076974e-01,  2.739627731053206e-01,  0.000000000000000e+00, -1.069581074933497e-01,  1.354020385915423e+03
s93         ,  3.745472031333225e-01,  3.282358516950384e-01,  0.000000000000000e+00, -1.293794901492889e-01,  7.670010973289137e+02
s94         ,  3.437578785209007e-01,  3.599718824657555e-01,  4.095000000000000e-02, -1.735612690428595e-02,  7.699866970721794e+02
s95         ,  2.980732528469880e-01,  2.818572650255554e-01,  0.000000000000000e+00,  4.971330122950937e-03,  1.415208524686366e+03
s96         ,  3.581539694897533e-01,  3.294436491383553e-01,  0.000000000000000e+00,  7.120710367779670e-03,  9.282628795657955e+02
s97         ,  4.279362669937736e-01,  3.959249102285191e-01,  0.000000000000000e+00,  1.010255559560225e-01,  3.636370566899366e+02
s98         ,  2.896944279808133e-01,  3.004647328692864e-01,  0.000000000000000e+00, -1.208787885717524e-01,  1.063592446673880e+03
s99         ,  2.909528202324455e-01,  2.647524458213614e-01,  0.000000000000000e+00, -8.857929017039712e-02,  1.472184123167920e+03
s100        ,  3.111721139319150e-01,  3.141157064777889e-01,  0.000000000000000e+00, -1.088685894687253e-01,  9.384015700407878e+02
s101        ,  3.241780336567121e-01,  3.532201995183990e-01,  0.000000000000000e+00, -2.783549937789082e-02,  6.391135858362875e+02
s102        ,  3.096847321141750e-01,  2.608652152207325e-01,  0.000000000000000e+00, -3.305954752284347e-02,  1.582831500560484e+03
s103        ,  3.391049191815317e-01,  3.710384093896409e-01,  3.305555555555555e-02, -5.577181127736516e-02,  5.711726167305400e+02
s104        ,  2.515445686944838e-01,  2.582429952392486e-01,  0.000000000000000e+00, -6.487659096760498e-02,  1.569329292089032e+03
s105        ,  3.580226031747242e-01,  3.463610657153846e-01,  0.000000000000000e+00,  3.601098284934251e-02,  7.909382991673257e+02
s106        ,  3.582576851144277e-01,  3.883563320158401e-01,  0.000000000000000e+00,  4.847092451593871e-03,  3.191375662175032e+02
s107        ,  3.406125813060369e-01,  2.918947043947285e-01,  0.000000000000000e+00,  3.036495981063803e-02,  1.344232007848527e+03
s108        ,  3.541195107207772e-01,  3.685860466093302e-01,  0.000000000000000e+00, -5.032873838055096e-02,  4.523719650628386e+02
s109        ,  3.030334722988908e-01,  3.070559719002860e-01,  0.000000000000000e+00, -9.691587494450357e-03,  1.137247053199385e+03
s110        ,  3.844717335443058e-01,  3.507791106137152e-01,  0.000000000000000e+00,  1.947373942589631e-01,  9.474473717989630e+02
s111        ,  3.518414134147780e-01,  3.673138899141438e-01,  1.470588235294118e-02, -9.129841215537482e-02,  4.804915445824626e+02
s112        ,  3.724995886738390e-01,  3.688209538105889e-01,  0.000000000000000e+00, -1.171336407038922e-01,  3.649484160478623e+02
s113        ,  3.276637756053076e-01,  3.290508020363218e-01,  0.000000000000000e+00, -9.884270838888576e-02,  7.974716701604842e+02
s114        ,  3.975727278995340e-01,  3.747479581303607e-01,  0.000000000000000e+00,  1.828469050540282e-02,  4.762712684038499e+02
s115        ,  4.661802026900197e-01,  3.777621962038459e-01,  0.000000000000000e+00,  7.118942550315577e-02,  5.125726237277340e+02
s116        ,  3.149444114213277e-01,  3.362733455746219e-01,  0.000000000000000e+00, -1.466379350342228e-01,  6.623318526439291e+02
s117        ,  2.617905198031230e-01,  2.952641666589855e-01,  0.000000000000000e+00, -1.924222192853661e-02,  1.246436119983255e+03
s118        ,  2.697626524103243e-01,  2.817574628186441e-01,  0.000000000000000e+00, -5.822228772308922e-02,  1.335824452363264e+03
s119        ,  3.390451473349576e-01,  3.334550928886372e-01,  0.000000000000000e+00,  9.885661389616279e-02,  1.003713574985402e+03
s120        ,  3.261908135769222e-01,  3.438099469983998e-01,  0.000000000000000e+00, -1.120039725625773e-01,  6.288477512813663e+02
s121        ,  3.485047140780971e-01,  3.665726915812136e-01,  0.000000000000000e+00,  6.658883019111358e-02,  6.218625101642720e+02
s122        ,  2.626009490674024e-01,  2.926323815964475e-01,  0.000000000000000e+00, -8.368274788751065e-02,  1.191520406939247e+03
s123        ,  2.763746480585029e-01,  2.735850326562179e-01,  0.000000000000000e+00, -9.493814147275809e-02,  1.373202340975850e+03
s124        ,  3.084637495449347e-01,  3.396979748401451e-01,  0.000000000000000e+00,  1.114778303349343e-01,  9.555320604993858e+02
s125        ,  3.788458996149217e-01,  3.329726720334534e-01,  5.925044616299822e-02,  3.535112674642983e-02,  1.198462561465450e+03
