# c0 + a0 * (Ge * S) + a1 * (Na-Na / RBI) + a2 * (face-area-count * cub_root_V)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.0308014765384764; Max AE: 0.111065120105589
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.931945924096432e-01, -2.430895784423559e-02, -1.090962335574889e-04,  4.542631670675281e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         22|6|div; (Na-Na / RBI); $\left(\frac{ Na-Na }{ RBI } \right)$; (Na_sub_Na ./ RBI); (newdata$Na_sub_Na / newdata$RBI); Na-Na,RBI
# 2;  1; Unitless;                                         34|21|mult; (face-area-count * cub_root_V); $\left(face-area-count cub_{root, V}\right)$; (face_sub_area_sub_count .* cub_root_V); (newdata$face_sub_area_sub_count * newdata$cub_root_V); face-area-count,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.541149246794034e-01,  0.000000000000000e+00,  1.314769765933942e+00,  6.250221235843956e+02
s2          ,  4.250240521814745e-01,  3.472463342719169e-01,  0.000000000000000e+00,  8.692625822982843e-01,  7.872495917257556e+02
s3          ,  2.746380789449931e-01,  2.956234576655873e-01,  0.000000000000000e+00,  1.059300021965628e+00,  1.218091821231882e+03
s4          ,  3.247370215691567e-01,  2.979734684809614e-01,  0.000000000000000e+00,  8.851163862301976e-01,  1.235362920163830e+03
s5          ,  3.450588503436838e-01,  3.285202137366144e-01,  0.000000000000000e+00,  7.388483774506871e-01,  9.879563735203247e+02
s6          ,  3.418868902527870e-01,  3.560917538901641e-01,  0.000000000000000e+00,  1.384047403378930e+00,  5.914655445937012e+02
s7          ,  3.253614410179195e-01,  3.412136588034196e-01,  0.000000000000000e+00,  1.794357118189776e+00,  6.364157080083094e+02
s8          ,  3.920908336338758e-01,  3.852283792664759e-01,  1.822916666666667e-01,  6.720178069022429e-01,  1.140046991371379e+03
s9          ,  3.897447923973993e-01,  3.845674314013817e-01,  0.000000000000000e+00,  9.429246963325953e-01,  4.287427480075260e+02
s10         ,  3.161197563926354e-01,  3.586271909569613e-01,  5.078125000000000e-02,  5.600648705111529e-01,  9.348470827394132e+02
s11         ,  3.431871249187676e-01,  2.776366049950937e-01,  0.000000000000000e+00,  1.887841530488051e+00,  1.198346612234890e+03
s12         ,  2.917324756968375e-01,  2.793010986657759e-01,  0.000000000000000e+00,  2.270939083572229e+00,  1.097727227120638e+03
s13         ,  2.447364458196310e-01,  3.154822552761186e-01,  0.000000000000000e+00,  6.648318542866319e-01,  1.123957613141939e+03
s14         ,  3.105728952400728e-01,  3.310320850090526e-01,  9.989258861439311e-02,  6.466627607568303e-01,  1.345496587244051e+03
s15         ,  3.795908353494076e-01,  3.529538091051676e-01,  3.961632479540865e-02,  1.386385137183344e+00,  7.624892452731642e+02
s16         ,  3.670742293030571e-01,  3.730532913973180e-01,  0.000000000000000e+00,  1.229992951375324e+00,  4.703189761311260e+02
s17         ,  2.954366621683970e-01,  2.811303467637362e-01,  0.000000000000000e+00,  1.930581274431683e+00,  1.156798886391054e+03
s18         ,  3.635454507147386e-01,  3.145966937988720e-01,  0.000000000000000e+00,  1.482744798076798e+00,  9.498264889579631e+02
s19         ,  3.651486704953139e-01,  3.887787826912834e-01,  0.000000000000000e+00,  1.201589236419262e+00,  3.325046254958592e+02
s20         ,  3.399672486499590e-01,  2.942062273745618e-01,  0.000000000000000e+00,  7.543301756084986e-01,  1.299036223636302e+03
s21         ,  3.890225043355258e-01,  3.548543929056971e-01,  0.000000000000000e+00,  1.817323981852293e+00,  5.062642430140411e+02
s22         ,  2.558533901530953e-01,  2.751328889243819e-01,  0.000000000000000e+00,  5.876895224458697e-01,  1.510997703047604e+03
s23         ,  4.117639764254846e-01,  3.859836292087669e-01,  0.000000000000000e+00,  8.996814347759979e-01,  4.253970854373663e+02
s24         ,  3.311791000527954e-01,  3.303596973785038e-01,  0.000000000000000e+00,  9.080759597591119e-01,  9.333877636592905e+02
s25         ,  3.690868050126928e-01,  3.967294040080812e-01,  0.000000000000000e+00,  1.651457619773584e+00,  1.593872568448127e+02
s26         ,  2.979562579207253e-01,  2.533751535820129e-01,  0.000000000000000e+00,  8.451847830218943e-01,  1.653058463557443e+03
s27         ,  3.397813902812787e-01,  3.366739364439459e-01,  0.000000000000000e+00,  6.909986502756368e-01,  9.238794986491915e+02
s28         ,  2.613491376061739e-01,  2.876680834831434e-01,  0.000000000000000e+00,  8.777521020549286e-01,  1.331465257792770e+03
s29         ,  3.947313720925611e-01,  4.033623476224430e-01,  0.000000000000000e+00,  1.312925530525646e+00,  1.740203804644844e+02
s30         ,  2.592589137508671e-01,  3.089885221396201e-01,  0.000000000000000e+00,  7.344756625901423e-01,  1.167962475452851e+03
s31         ,  3.031212395007984e-01,  3.195686894825047e-01,  0.000000000000000e+00,  1.395922853632783e+00,  9.235978593996317e+02
s32         ,  3.857616783620361e-01,  3.373290831466755e-01,  0.000000000000000e+00,  1.362583887654173e+00,  7.682308261583369e+02
s33         ,  4.141193231435004e-01,  3.831591395080809e-01,  0.000000000000000e+00,  1.328969717358596e+00,  3.556324307334262e+02
s34         ,  4.179319881718991e-01,  3.670166380068563e-01,  1.962809917355372e-02,  1.024862761809113e+00,  6.421014141165100e+02
s35         ,  3.612111930609704e-01,  3.816896734097908e-01,  0.000000000000000e+00,  1.379659794884977e+00,  3.578070533839435e+02
s36         ,  3.787074193034875e-01,  3.242279014257293e-01,  0.000000000000000e+00,  1.289060514150570e+00,  9.047016998312192e+02
s37         ,  3.867254135891385e-01,  3.388040525765541e-01,  0.000000000000000e+00,  1.020610807973509e+00,  8.309097979703089e+02
s38         ,  3.446930711358910e-01,  3.790240880378316e-01,  0.000000000000000e+00,  1.368564201109620e+00,  3.847127273708866e+02
s39         ,  2.876898720952064e-01,  3.293343421329548e-01,  0.000000000000000e+00,  2.624245024179411e+00,  5.603874787907765e+02
s40         ,  3.049912944269815e-01,  3.359741727289319e-01,  7.384563150746943e-03,  1.369817901076099e+00,  8.056531023953555e+02
s41         ,  3.032122447573497e-01,  3.090553061373427e-01,  0.000000000000000e+00,  1.375702806306994e+00,  1.024471292554535e+03
s42         ,  3.284012713704346e-01,  3.080855017784497e-01,  0.000000000000000e+00,  6.780753729451884e-01,  1.188806940476054e+03
s43         ,  3.521735822893021e-01,  3.467065858474364e-01,  0.000000000000000e+00,  2.226530071331800e+00,  4.897690216684504e+02
s44         ,  3.330769886831567e-01,  3.467796084366284e-01,  2.637119113573407e-02,  2.827681281760516e-01,  1.017255740683893e+03
s45         ,  3.222694574216643e-01,  3.287894938372732e-01,  0.000000000000000e+00,  5.990997862491692e-01,  1.016627047196716e+03
s46         ,  3.537154217541030e-01,  3.654293194483274e-01,  1.367166474432911e-01,  1.071453948779798e+00,  1.068269374780357e+03
s47         ,  3.064622412169097e-01,  3.342863424743803e-01,  4.966974241156713e-02,  1.630451091331296e+00,  9.154498612169530e+02
s48         ,  2.709027668189650e-01,  3.028657693958686e-01,  7.742878013148284e-02,  4.387699205417716e-01,  1.569036164060265e+03
s49         ,  3.986674224858993e-01,  3.448657083223149e-01,  0.000000000000000e+00,  6.136918129219988e-01,  8.660175264964882e+02
s50         ,  3.630933243380700e-01,  3.541956632813295e-01,  1.140992751502213e-01,  7.291718479101655e-01,  1.165991802952963e+03
s51         ,  3.785261269820064e-01,  3.776303560867102e-01,  0.000000000000000e+00,  1.149487213768831e+00,  4.463029856403435e+02
s52         ,  3.404870415156796e-01,  3.367674872391442e-01,  0.000000000000000e+00,  9.827634797913221e-01,  8.580105909701846e+02
s53         ,  2.464211996641334e-01,  3.206418929426110e-01,  0.000000000000000e+00,  1.852959926440414e+00,  8.119230746801409e+02
s54         ,  4.479825317233843e-01,  3.997574582918770e-01,  0.000000000000000e+00,  1.064592743634006e+00,  2.623974056289298e+02
s55         ,  3.436317929445776e-01,  3.089164575655859e-01,  0.000000000000000e+00,  8.295615511409429e-01,  1.147435879718922e+03
s56         ,  3.917346641556894e-01,  3.960884011175539e-01,  0.000000000000000e+00,  1.499692190774121e+00,  1.990793907075800e+02
s57         ,  3.497750017469617e-01,  3.715918728580059e-01,  0.000000000000000e+00,  1.607519415872946e+00,  3.995937446575948e+02
s58         ,  4.567353100642558e-01,  3.670468761018074e-01,  0.000000000000000e+00,  1.800841507941116e+00,  3.981779136503331e+02
s59         ,  3.347920174849711e-01,  3.300354599140826e-01,  0.000000000000000e+00,  7.827062914649283e-01,  9.642948200807529e+02
s60         ,  2.709373029897972e-01,  2.938834209066234e-01,  0.000000000000000e+00,  6.253463416003124e-01,  1.330735476109661e+03
s61         ,  2.790893938381299e-01,  2.989915680810475e-01,  0.000000000000000e+00,  6.872770116179905e-01,  1.270113610390859e+03
s62         ,  3.360458157463063e-01,  3.339061101636874e-01,  0.000000000000000e+00,  4.021380344331025e-01,  1.013614281367203e+03
s63         ,  4.093736118424267e-01,  3.782208293207005e-01,  0.000000000000000e+00,  8.010599193441950e-01,  5.185275796617964e+02
s64         ,  3.302497794709098e-01,  3.820920833584462e-01,  0.000000000000000e+00,  1.581578662547859e+00,  3.091266634433535e+02
s65         ,  3.637362750415415e-01,  3.648711323354504e-01,  0.000000000000000e+00,  1.118639649525786e+00,  5.701303209160625e+02
s66         ,  3.848471859724885e-01,  3.564505050097753e-01,  0.000000000000000e+00,  7.843461208624037e-01,  7.218033354829172e+02
s67         ,  3.211750777924535e-01,  3.379053651750566e-01,  0.000000000000000e+00,  1.655026355820550e+00,  6.977861058568617e+02
s68         ,  4.095598752010021e-01,  3.836820983321216e-01,  0.000000000000000e+00,  8.703359133605429e-01,  4.530322275622507e+02
s69         ,  3.476279282639844e-01,  3.710822886701901e-01,  0.000000000000000e+00,  1.285465129742791e+00,  4.760252398706267e+02
s70         ,  3.542202710009075e-01,  3.447954397849151e-01,  0.000000000000000e+00,  1.451196937528609e+00,  6.800476944554737e+02
s71         ,  3.324591144603498e-01,  3.136880995893784e-01,  0.000000000000000e+00,  4.099786537631771e-01,  1.197189943298629e+03
s72         ,  3.490784623419291e-01,  3.679796323302298e-01,  0.000000000000000e+00,  1.308141688128212e+00,  4.994120494324102e+02
s73         ,  2.871691931895054e-01,  3.155010885647270e-01,  0.000000000000000e+00,  1.686755049204987e+00,  8.960787914516864e+02
s74         ,  4.049442418517104e-01,  3.993443449363948e-01,  0.000000000000000e+00,  1.424883954773618e+00,  1.859035594563067e+02
s75         ,  3.439829269029567e-01,  3.324391657316762e-01,  0.000000000000000e+00,  2.071938322106566e+00,  6.549936480644154e+02
s76         ,  3.071028154909760e-01,  3.126697834829589e-01,  0.000000000000000e+00,  4.810899391912958e-01,  1.190678947362846e+03
s77         ,  2.780468433194506e-01,  3.034352436686755e-01,  0.000000000000000e+00,  6.686488043476645e-01,  1.233532665730869e+03
s78         ,  2.669617651637353e-01,  3.041817876376147e-01,  0.000000000000000e+00,  5.054871773898271e-01,  1.263045555750844e+03
s79         ,  3.541307689639985e-01,  3.665809042708594e-01,  0.000000000000000e+00,  1.151907484916947e+00,  5.470453961539763e+02
s80         ,  3.629523222745701e-01,  3.442270545035802e-01,  0.000000000000000e+00,  1.060774575370717e+00,  7.722520327397770e+02
s81         ,  2.554152131748840e-01,  3.129809442542866e-01,  0.000000000000000e+00,  7.757356087964173e-01,  1.122173466568160e+03
s82         ,  3.259366268272620e-01,  3.202532178739422e-01,  0.000000000000000e+00,  4.570417710238746e-01,  1.126525967406098e+03
s83         ,  2.722850822770267e-01,  3.022599183907567e-01,  0.000000000000000e+00,  3.297228685396391e-01,  1.319825851634791e+03
s84         ,  3.998438077165619e-01,  3.325038104313494e-01,  2.319177212916512e-02,  7.135474442789100e-01,  1.040665086050824e+03
s85         ,  3.012322773461942e-01,  3.055814405732081e-01,  0.000000000000000e+00,  1.352219893690016e+00,  1.061545997749276e+03
s86         ,  3.200453803456573e-01,  3.101905972615324e-01,  0.000000000000000e+00,  2.194504439890216e+00,  8.316185713222420e+02
s87         ,  3.352140969143458e-01,  3.193797124703973e-01,  0.000000000000000e+00,  9.632279140924855e-01,  1.021743686323750e+03
s88         ,  3.302506455484479e-01,  3.296035388190525e-01,  4.349110043222637e-03,  4.525933719677352e-01,  1.057484734692765e+03
s89         ,  3.471406078486814e-01,  3.483828171010332e-01,  0.000000000000000e+00,  9.896159602620541e-01,  7.500150522005349e+02
s90         ,  3.483351733862548e-01,  3.309898669904452e-01,  0.000000000000000e+00,  7.379826238360964e-01,  9.655118985291696e+02
s91         ,  3.564650130752042e-01,  3.929773973237874e-01,  0.000000000000000e+00,  1.214922952040956e+00,  2.910481680547727e+02
s92         ,  2.923433543076974e-01,  2.708884784192839e-01,  0.000000000000000e+00,  1.466791156300808e+00,  1.354020385915423e+03
s93         ,  3.745472031333225e-01,  3.270221018151455e-01,  0.000000000000000e+00,  1.792102099912421e+00,  7.670010973289137e+02
s94         ,  3.437578785209007e-01,  3.636761430375285e-01,  4.095000000000000e-02,  9.332236369239504e-01,  7.699866970721794e+02
s95         ,  2.980732528469880e-01,  2.781340753130650e-01,  0.000000000000000e+00,  8.941219180189606e-01,  1.415208524686366e+03
s96         ,  3.581539694897533e-01,  3.372706889746702e-01,  0.000000000000000e+00,  6.467777961418845e-01,  9.282628795657955e+02
s97         ,  4.279362669937736e-01,  3.959516146245930e-01,  0.000000000000000e+00,  7.668004237603327e-01,  3.636370566899366e+02
s98         ,  2.896944279808133e-01,  3.031375993615475e-01,  0.000000000000000e+00,  1.443568167690384e+00,  1.063592446673880e+03
s99         ,  2.909528202324455e-01,  2.560321816999153e-01,  0.000000000000000e+00,  1.547628765820564e+00,  1.472184123167920e+03
s100        ,  3.111721139319150e-01,  3.080592655254804e-01,  0.000000000000000e+00,  1.802949553288092e+00,  9.384015700407878e+02
s101        ,  3.241780336567121e-01,  3.473149138537538e-01,  0.000000000000000e+00,  1.531261373775480e+00,  6.391135858362875e+02
s102        ,  3.096847321141750e-01,  2.598909737661212e-01,  0.000000000000000e+00,  8.923146098282209e-01,  1.582831500560484e+03
s103        ,  3.391049191815317e-01,  3.824535093801665e-01,  3.305555555555555e-02,  9.253437489406620e-01,  5.711726167305400e+02
s104        ,  2.515445686944838e-01,  2.614957800910229e-01,  0.000000000000000e+00,  8.868941291641500e-01,  1.569329292089032e+03
s105        ,  3.580226031747242e-01,  3.370842595032890e-01,  0.000000000000000e+00,  1.270746296351103e+00,  7.909382991673257e+02
s106        ,  3.582576851144277e-01,  3.876594736226912e-01,  0.000000000000000e+00,  1.307624423370386e+00,  3.191375662175032e+02
s107        ,  3.406125813060369e-01,  3.011465738672782e-01,  0.000000000000000e+00,  2.659901818081457e-01,  1.344232007848527e+03
s108        ,  3.541195107207772e-01,  3.661310030534932e-01,  0.000000000000000e+00,  1.595300247224510e+00,  4.523719650628386e+02
s109        ,  3.030334722988908e-01,  3.086683337059680e-01,  0.000000000000000e+00,  8.854951072391721e-01,  1.137247053199385e+03
s110        ,  3.844717335443058e-01,  3.299143141306783e-01,  0.000000000000000e+00,  8.632995833927729e-01,  9.474473717989630e+02
s111        ,  3.518414134147780e-01,  3.769277662091418e-01,  1.470588235294118e-02,  1.262820755324469e+00,  4.804915445824626e+02
s112        ,  3.724995886738390e-01,  3.598027118191159e-01,  0.000000000000000e+00,  2.247976156155010e+00,  3.649484160478623e+02
s113        ,  3.276637756053076e-01,  3.334949765448783e-01,  0.000000000000000e+00,  1.389077851700176e+00,  7.974716701604842e+02
s114        ,  3.975727278995340e-01,  3.686900131053828e-01,  0.000000000000000e+00,  1.382772253875468e+00,  4.762712684038499e+02
s115        ,  4.661802026900197e-01,  3.694212410500869e-01,  0.000000000000000e+00,  1.189774713066268e+00,  5.125726237277340e+02
s116        ,  3.149444114213277e-01,  3.211808516353927e-01,  0.000000000000000e+00,  2.502139554203568e+00,  6.623318526439291e+02
