# c0 + a0 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.740741328601618; Max AE: 2.64074553273942
# Coefficients
# Task   a0                      c0
# all , -6.658155914996214e-02,  2.049356010213010e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644881e-01,  2.757642026335891e-01,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  1.418915350159966e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -5.948969420886536e-01,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -7.155895130693821e-01,  4.152719699841941e+01
s5          ,  2.455067115358116e-01, -3.030565921083803e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  3.727998230869616e-01,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  3.775656163624339e-01,  2.510891026275293e+01
s8          ,  1.258527874893824e+00, -5.227413424155203e-01,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  9.446186610943133e-01,  1.659224210461170e+01
s10         , -3.778119871449525e-01,  4.286981307258531e-02,  3.013576465851754e+01
s11         ,  2.051916464504998e-01, -5.600383870575674e-01,  3.919094762250037e+01
s12         , -9.030892502610828e-01, -5.058497318245112e-01,  3.837707879868677e+01
s13         , -1.915336013610816e+00, -5.328291662823892e-01,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -8.019673746476328e-01,  4.282452110258616e+01
s15         ,  9.892906044607525e-01,  3.692322449278445e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  7.524809918564872e-01,  1.947799112717624e+01
s17         , -8.233048349290432e-01, -4.660188062133690e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -2.106770887399989e-01,  3.394382960997833e+01
s19         ,  6.782210382119217e-01,  1.129094724613582e+00,  1.382156406891459e+01
s20         ,  1.358387811126361e-01, -8.085201277372507e-01,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  7.735499274395123e-01,  1.916155312464206e+01
s22         , -1.675888320916539e+00, -1.151942229827568e+00,  4.808085423217966e+01
s23         ,  1.682267394333138e+00,  9.064151063511943e-01,  1.716602792805679e+01
s24         , -5.344901610254714e-02, -1.085587136590029e-01,  3.241009599988077e+01
s25         ,  7.630444568978921e-01,  1.659642381151541e+00,  5.853176675897800e+00
s26         , -7.690353008448224e-01, -1.183483629493367e+00,  4.855457999151128e+01
s27         ,  1.318355805735755e-01, -1.824794642732064e-02,  3.105370290268286e+01
s28         , -1.557515501210242e+00, -7.602727791222965e-01,  4.219830273134875e+01
s29         ,  1.315402392066626e+00,  1.624074925102302e+00,  6.387370475251926e+00
s30         , -1.602536800620832e+00, -5.037494856846183e-01,  3.834553483716489e+01
s31         , -6.577868421803237e-01,  4.043342294083052e-02,  3.017235722503085e+01
s32         ,  1.122204297021453e+00,  2.942837497935169e-01,  2.635973508019736e+01
s33         ,  1.732999170998263e+00,  1.140676496619715e+00,  1.364761542376425e+01
s34         ,  1.815120104294483e+00,  6.225925591973422e-01,  2.142880805482728e+01
s35         ,  5.934117724273273e-01,  1.079299019234553e+00,  1.456945441595308e+01
s36         ,  9.702627198604922e-01, -2.047601521528963e-01,  3.385496211179049e+01
s37         ,  1.142962175227537e+00, -5.411546147467483e-02,  3.159240334024050e+01
s38         ,  2.376281988155590e-01,  1.147442517910216e+00,  1.354599537495671e+01
s39         , -9.901628269429661e-01,  5.300603735511640e-01,  2.281856502098313e+01
s40         , -6.175077579414835e-01,  2.812854487768650e-01,  2.655495882056330e+01
s41         , -6.558266813617913e-01, -2.566127412150463e-01,  3.463374515208191e+01
s42         , -1.132806252875512e-01, -5.749025119961688e-01,  3.941419449638512e+01
s43         ,  3.987508132795206e-01,  6.494672242000235e-01,  2.102517279386634e+01
s44         , -1.257042213831158e-02, -8.122214437679043e-02,  3.199952331832727e+01
s45         , -2.453536714432208e-01, -1.270924177103545e-01,  3.268845691975061e+01
s46         ,  4.319604697532171e-01, -3.950679213762944e-01,  3.671322754824214e+01
s47         , -5.858250576994644e-01, -9.923109821716292e-03,  3.092867073594050e+01
s48         , -1.351740028810569e+00, -1.168448299588210e+00,  4.832876176050090e+01
s49         ,  1.400180920836999e+00, -5.704612488438743e-02,  3.163641948295521e+01
s50         ,  6.339509690024699e-01, -4.298871245089888e-01,  3.723618320709463e+01
s51         ,  9.663578673416963e-01,  9.494668973229703e-01,  1.651942560270706e+01
s52         ,  1.470345916377529e-01, -1.174515880632416e-01,  3.254365962497115e+01
s53         , -1.879048126514940e+00,  1.547875736900295e-04,  3.077730904474448e+01
s54         ,  2.462378298792407e+00,  1.356751606655963e+00,  1.040234582066618e+01
s55         ,  2.147693442064033e-01, -4.152616580508597e-01,  3.701652078637559e+01
s56         ,  1.250856345991485e+00,  1.549668079471605e+00,  7.504899811912695e+00
s57         ,  3.470878239384724e-01,  8.955983809072714e-01,  1.732848620602472e+01
s58         ,  2.650904256602346e+00,  8.941127837468954e-01,  1.735079864777800e+01
s59         ,  2.436955679659398e-02, -1.240212190076488e-01,  3.264233005306387e+01
s60         , -1.350996154759193e+00, -8.263891893883142e-01,  4.319131657947904e+01
s61         , -1.175408395594881e+00, -6.433341407669455e-01,  4.044198101331916e+01
s62         ,  5.137509822735411e-02, -9.736725479128561e-02,  3.224200953554143e+01
s63         ,  1.630781368412474e+00,  7.480347358276616e-01,  1.954477021864827e+01
s64         , -7.346563779561160e-02,  1.253083320825869e+00,  1.195935780947528e+01
s65         ,  6.477994742971300e-01,  6.083758074307466e-01,  2.164233191861327e+01
s66         ,  1.102507059534665e+00,  3.395063849940687e-01,  2.568052846836815e+01
s67         , -2.689254974131806e-01, -1.176734670882351e-01,  3.254699206458095e+01
s68         ,  1.634793292022643e+00,  9.836486490523906e-01,  1.600604393718564e+01
s69         ,  3.008420412735001e-01,  6.302582744256799e-01,  2.131367534651877e+01
s70         ,  4.428344099007711e-01,  3.465394828765154e-01,  2.557489714984337e+01
s71         , -2.587880550234565e-02, -5.359802750123643e-01,  3.882961465955464e+01
s72         ,  3.320850724266520e-01,  7.279366623708392e-01,  1.984662667430073e+01
s73         , -1.001377721869568e+00, -1.896038745217110e-02,  3.106440317816374e+01
s74         ,  1.535377236435878e+00,  1.582034897820539e+00,  7.018776946029758e+00
s75         ,  2.223324131252060e-01,  4.212944855443330e-01,  2.445213878217813e+01
s76         , -5.720277382811451e-01, -5.289783864360649e-01,  3.872445207901895e+01
s77         , -1.197863875151751e+00, -5.789564977886177e-01,  3.947508201305198e+01
s78         , -1.436625202734527e+00, -7.322136329192768e-01,  4.177687754153273e+01
s79         ,  4.409066269069510e-01,  5.368634944988488e-01,  2.271638776598131e+01
s80         ,  6.309139277294877e-01,  2.276318938779245e-01,  2.736079087952870e+01
s81         , -1.685326208098238e+00, -4.156240134637756e-01,  3.702196306525193e+01
s82         , -1.663665661245248e-01, -2.894489181140449e-01,  3.512691739554111e+01
s83         , -1.321966357459876e+00, -6.612103740714681e-01,  4.071046726586034e+01
s84         ,  1.425519064192979e+00, -2.689955461949811e-01,  3.481972465058006e+01
s85         , -6.984731689207797e-01, -3.601387987761084e-01,  3.618862098981784e+01
s86         , -2.932580333118892e-01,  1.539152808819866e-02,  3.054846579281356e+01
s87         ,  3.346071912195332e-02, -2.020302518453279e-01,  3.381396126497314e+01
s88         , -7.344698336486584e-02, -1.642980574501820e-01,  3.324725488445475e+01
s89         ,  2.903456543575506e-01,  2.045013044611352e-01,  2.770819321903674e+01
s90         ,  3.160753830639384e-01, -9.756306674051718e-02,  3.224495046921333e+01
s91         ,  4.911838748491691e-01,  1.320484826771640e+00,  1.094704288615001e+01
s92         , -8.899315452749766e-01, -7.987853023868015e-01,  4.277672900667467e+01
s93         ,  8.806558878772816e-01,  1.298346541631139e-01,  2.882962460711596e+01
s94         ,  2.174850994919374e-01,  2.159555025400048e-01,  2.753616062885555e+01
s95         , -7.665153489308596e-01, -9.458414840439127e-01,  4.498539133802525e+01
s96         ,  5.275622810365227e-01, -5.931599817541366e-02,  3.167051110411887e+01
s97         ,  2.030602111680012e+00,  1.089864138406670e+00,  1.441077505627750e+01
s98         , -9.469867286116608e-01, -3.321391885025515e-01,  3.576808998046594e+01
s99         , -9.198822372946847e-01, -1.005455128876383e+00,  4.588073902278285e+01
s100        , -4.843791818667552e-01, -9.541285438528835e-02,  3.221265605642576e+01
s101        , -2.042448773263304e-01,  5.513715555395771e-02,  2.995151931133751e+01
