# c0 + a0 * (face-area-max + Na-Na)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.747659102079557; Max AE: 2.84956120266837
# Coefficients
# Task   a0                      c0
# all , -3.689219437179803e-01,  8.946603964175754e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|22|add; (face-area-max + Na-Na); $\left(face-area-max + Na-Na\right)$; (face_sub_area_sub_max + Na_sub_Na); (newdata$face_sub_area_sub_max + newdata$Na_sub_Na); face-area-max,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644881e-01,  5.897052418199861e-01, -1.598455315173070e+00
s2          ,  1.967875961713064e+00,  3.099538754789873e-01, -8.401611255629975e-01
s3          , -1.271285198486554e+00, -3.945681480618193e-01,  1.069516613962774e+00
s4          , -1.922048452937919e-01, -9.457391211137753e-01,  2.563520921479094e+00
s5          ,  2.455067115358116e-01, -3.434061230181301e-01,  9.308368040060108e-01
s6          ,  1.771859120156342e-01,  4.735804040579429e-01, -1.283687273479097e+00
s7          , -1.787554844087500e-01,  6.882307014782869e-01, -1.865518474022786e+00
s8          ,  1.258527874893824e+00, -4.241288191650562e-01,  1.149643783426660e+00
s9          ,  1.207996528852184e+00,  8.698949256560174e-01, -2.357937608398275e+00
s10         , -3.778119871449525e-01,  3.241801882180507e-01, -8.787229757898808e-01
s11         ,  2.051916464504998e-01, -7.142590500404684e-01,  1.936070928289586e+00
s12         , -9.030892502610828e-01, -6.937043909446561e-01,  1.880355459351460e+00
s13         , -1.915336013610816e+00, -9.238471219904082e-01,  2.504180458012106e+00
s14         , -4.972857440368104e-01, -3.102732230810019e-01,  8.410267493282755e-01
s15         ,  9.892906044607525e-01,  8.348252795646601e-01, -2.262877808653302e+00
s16         ,  7.196956197004112e-01,  8.913620588338956e-01, -2.416126430026864e+00
s17         , -8.233048349290432e-01, -5.139693737743695e-01,  1.393165634428267e+00
s18         ,  6.436893120625885e-01, -1.779394604864432e-01,  4.823227881030243e-01
s19         ,  6.782210382119217e-01,  4.821935708601821e-01, -1.307034127600692e+00
s20         ,  1.358387811126361e-01, -6.763993410063079e-01,  1.833448382575412e+00
s21         ,  1.192439177417436e+00,  7.579665758414448e-01, -2.054544568974912e+00
s22         , -1.675888320916539e+00, -1.389086394244763e+00,  3.765258255569204e+00
s23         ,  1.682267394333138e+00,  8.794074234758990e-01, -2.383722189613517e+00
s24         , -5.344901610254714e-02,  2.205623228214038e-01, -5.978563394700396e-01
s25         ,  7.630444568978921e-01,  1.428429776849719e+00, -3.871902447585693e+00
s26         , -7.690353008448224e-01, -1.302535082138903e+00,  3.530652226896584e+00
s27         ,  1.318355805735755e-01,  1.838656232256131e-01, -4.983862477049285e-01
s28         , -1.557515501210242e+00, -6.791445089562973e-01,  1.840889436155265e+00
s29         ,  1.315402392066626e+00,  1.322601724865595e+00, -3.585044878427313e+00
s30         , -1.602536800620832e+00, -6.045498910769517e-01,  1.638693228665995e+00
s31         , -6.577868421803237e-01, -5.674411605735458e-02,  1.538106285722388e-01
s32         ,  1.122204297021453e+00,  6.392350989315136e-01, -1.732710969939408e+00
s33         ,  1.732999170998263e+00,  9.694431808169013e-01, -2.627773157234542e+00
s34         ,  1.815120104294483e+00,  6.548821808436472e-01, -1.775123957777548e+00
s35         ,  5.934117724273273e-01,  1.105819731069342e+00, -2.997435500650723e+00
s36         ,  9.702627198604922e-01, -4.115155094172849e-01,  1.115454139892164e+00
s37         ,  1.142962175227537e+00, -8.995819449816479e-02,  2.438407257415210e-01
s38         ,  2.376281988155590e-01,  1.037147841986478e+00, -2.811293444716636e+00
s39         , -9.901628269429661e-01,  1.801289946295195e-01, -4.882577404157279e-01
s40         , -6.175077579414835e-01,  4.181557427059361e-01, -1.133453159472650e+00
s41         , -6.558266813617913e-01, -2.555512716712617e-02,  6.926974012329745e-02
s42         , -1.132806252875512e-01, -8.212103836754001e-01,  2.225973265236747e+00
s43         ,  3.987508132795206e-01,  6.222349900957083e-01, -1.686630466664166e+00
s44         , -1.257042213831158e-02, -3.619716999568021e-01,  9.811606658819644e-01
